,station_id,num_bikes_available,num_ebikes_available,num_bikes_disabled,num_docks_available,num_docks_disabled,is_installed,is_renting,is_returning,last_reported,eightd_has_available_keys,eightd_active_station_services,data_read_timestamp,year_station_last_reported
0,107,12,0,0,7,0,True,True,True,2020-03-11 20:18:31+00:00,False,[{'id': '6523db73-134d-4f62-af6f-78a8515cc83b'}],2020-03-11 20:18:33,2020
1,3,1,0,0,14,0,True,True,True,2020-03-11 20:14:52+00:00,True,,2020-03-11 20:18:33,2020
2,4,5,0,0,14,0,True,True,True,2020-03-11 20:04:27+00:00,False,,2020-03-11 20:18:33,2020
3,5,0,0,0,0,0,False,False,False,1970-01-02 00:00:00+00:00,False,,2020-03-11 20:18:33,1970
4,6,11,0,1,3,0,True,True,True,2020-03-11 19:56:01+00:00,False,,2020-03-11 20:18:33,2020
5,7,12,0,0,3,0,True,True,True,2020-03-11 19:10:33+00:00,False,,2020-03-11 20:18:33,2020
6,8,2,0,0,17,0,True,True,True,2020-03-11 20:10:35+00:00,False,,2020-03-11 20:18:33,2020
7,9,3,0,0,12,0,True,True,True,2020-03-11 20:08:36+00:00,False,,2020-03-11 20:18:33,2020
8,10,7,0,0,4,0,True,True,True,2020-03-11 20:18:02+00:00,False,,2020-03-11 20:18:33,2020
9,11,9,0,2,4,0,True,True,True,2020-03-11 20:17:30+00:00,False,,2020-03-11 20:18:33,2020
10,12,10,0,2,6,0,True,True,True,2020-03-11 20:16:27+00:00,True,,2020-03-11 20:18:33,2020
11,13,0,0,0,0,0,False,False,False,1970-01-02 00:00:00+00:00,False,,2020-03-11 20:18:33,1970
12,14,18,0,0,7,0,True,True,True,2020-03-11 20:17:41+00:00,False,,2020-03-11 20:18:33,2020
13,15,5,0,1,9,0,True,True,True,2020-03-11 19:55:41+00:00,False,,2020-03-11 20:18:33,2020
14,16,7,0,0,12,0,True,True,True,2020-03-11 20:15:53+00:00,True,,2020-03-11 20:18:33,2020
15,17,3,0,0,12,0,True,True,True,2020-03-11 20:11:22+00:00,False,,2020-03-11 20:18:33,2020
16,19,7,0,0,8,0,True,True,True,2020-03-11 20:13:01+00:00,False,,2020-03-11 20:18:33,2020
17,20,10,0,0,13,0,True,True,True,2020-03-11 20:05:46+00:00,True,,2020-03-11 20:18:33,2020
18,21,14,0,0,4,0,True,True,True,2020-03-11 20:01:53+00:00,True,,2020-03-11 20:18:33,2020
19,22,36,0,0,11,0,True,True,True,2020-03-11 20:17:03+00:00,True,,2020-03-11 20:18:33,2020
20,23,13,0,1,7,0,True,True,True,2020-03-11 20:17:32+00:00,True,,2020-03-11 20:18:33,2020
21,24,7,0,2,10,0,True,True,True,2020-03-11 20:14:13+00:00,False,,2020-03-11 20:18:33,2020
22,25,1,0,0,14,0,True,True,True,2020-03-11 20:15:34+00:00,False,,2020-03-11 20:18:33,2020
23,26,4,0,2,9,0,True,True,True,2020-03-11 20:03:51+00:00,False,,2020-03-11 20:18:33,2020
24,27,2,0,1,20,0,True,True,True,2020-03-11 20:11:27+00:00,False,,2020-03-11 20:18:33,2020
25,29,5,0,0,10,0,True,True,True,2020-03-11 20:08:34+00:00,False,,2020-03-11 20:18:33,2020
26,30,5,0,0,10,0,True,True,True,2020-03-11 20:16:19+00:00,False,,2020-03-11 20:18:33,2020
27,31,12,0,0,7,0,True,True,True,2020-03-11 20:15:49+00:00,False,,2020-03-11 20:18:33,2020
28,32,0,0,0,0,0,False,False,False,1970-01-02 00:00:00+00:00,False,,2020-03-11 20:18:33,1970
29,33,7,0,1,19,0,True,True,True,2020-03-11 20:18:08+00:00,True,,2020-03-11 20:18:33,2020
30,35,0,0,0,3,0,False,False,False,2019-11-18 21:05:37+00:00,False,,2020-03-11 20:18:33,2019
31,36,15,0,1,17,0,True,True,True,2020-03-11 20:10:32+00:00,True,,2020-03-11 20:18:33,2020
32,37,9,0,0,6,0,True,True,True,2020-03-11 17:09:43+00:00,True,,2020-03-11 20:18:33,2020
33,39,19,0,0,4,0,True,True,True,2020-03-11 20:16:59+00:00,False,,2020-03-11 20:18:33,2020
34,40,3,0,0,16,0,True,True,True,2020-03-11 20:17:04+00:00,False,,2020-03-11 20:18:33,2020
35,41,17,0,1,9,0,True,True,True,2020-03-11 20:11:28+00:00,True,,2020-03-11 20:18:33,2020
36,42,22,0,1,0,0,True,True,True,2020-03-11 20:03:06+00:00,False,,2020-03-11 20:18:33,2020
37,43,11,0,0,4,0,True,True,True,2020-03-11 19:27:44+00:00,False,,2020-03-11 20:18:33,2020
38,44,23,0,0,0,0,True,True,True,2020-03-11 20:03:47+00:00,False,,2020-03-11 20:18:33,2020
39,46,17,0,0,2,0,True,True,True,2020-03-11 20:01:45+00:00,False,,2020-03-11 20:18:33,2020
40,47,4,0,0,15,0,True,True,True,2020-03-11 20:10:41+00:00,True,,2020-03-11 20:18:33,2020
41,48,0,0,0,3,0,False,False,False,2020-03-04 17:50:43+00:00,False,,2020-03-11 20:18:33,2020
42,49,6,0,0,12,0,True,True,True,2020-03-11 20:06:14+00:00,False,,2020-03-11 20:18:33,2020
43,50,0,0,0,0,0,False,False,False,1970-01-02 00:00:00+00:00,True,,2020-03-11 20:18:33,1970
44,51,1,0,0,14,0,True,True,True,2020-03-11 20:16:02+00:00,False,,2020-03-11 20:18:33,2020
45,52,0,0,0,0,0,False,False,False,1970-01-02 00:00:00+00:00,True,,2020-03-11 20:18:33,1970
46,53,0,0,0,3,0,False,False,False,2020-03-04 20:56:41+00:00,False,,2020-03-11 20:18:33,2020
47,54,14,0,0,1,0,True,True,True,2020-03-11 20:01:17+00:00,False,,2020-03-11 20:18:33,2020
48,55,0,0,0,0,0,False,False,False,1970-01-02 00:00:00+00:00,False,,2020-03-11 20:18:33,1970
49,56,3,0,0,15,0,True,True,True,2020-03-11 20:02:28+00:00,False,,2020-03-11 20:18:33,2020
50,57,6,0,0,8,0,True,True,True,2020-03-11 20:14:58+00:00,True,,2020-03-11 20:18:33,2020
51,58,11,0,2,6,0,True,True,True,2020-03-11 19:52:11+00:00,True,,2020-03-11 20:18:33,2020
52,59,15,0,0,4,0,True,True,True,2020-03-11 19:27:24+00:00,True,,2020-03-11 20:18:33,2020
53,60,3,0,1,15,0,True,True,True,2020-03-11 20:14:34+00:00,False,,2020-03-11 20:18:33,2020
54,61,0,0,0,3,0,False,False,False,2020-03-04 20:12:26+00:00,False,,2020-03-11 20:18:33,2020
55,63,12,0,0,3,0,True,True,True,2020-03-11 19:43:58+00:00,False,,2020-03-11 20:18:33,2020
56,64,0,0,0,0,0,False,False,False,1970-01-02 00:00:00+00:00,False,,2020-03-11 20:18:33,1970
57,65,7,0,1,15,0,True,True,True,2020-03-11 19:51:56+00:00,False,,2020-03-11 20:18:33,2020
58,66,4,0,0,11,0,True,True,True,2020-03-11 20:05:42+00:00,False,,2020-03-11 20:18:33,2020
59,67,19,0,0,8,0,True,True,True,2020-03-11 20:18:02+00:00,True,,2020-03-11 20:18:33,2020
60,68,14,0,1,4,0,True,True,True,2020-03-11 20:14:39+00:00,True,,2020-03-11 20:18:33,2020
61,69,1,0,0,18,0,True,True,True,2020-03-11 20:16:45+00:00,True,,2020-03-11 20:18:33,2020
62,70,18,0,0,5,0,True,True,True,2020-03-11 20:06:47+00:00,False,,2020-03-11 20:18:33,2020
63,71,3,0,0,20,0,True,True,True,2020-03-11 20:13:22+00:00,False,,2020-03-11 20:18:33,2020
64,72,20,0,0,3,0,True,True,True,2020-03-11 20:03:13+00:00,False,,2020-03-11 20:18:33,2020
65,73,15,0,0,0,0,True,True,True,2020-03-11 20:06:50+00:00,False,,2020-03-11 20:18:33,2020
66,74,12,0,2,5,0,True,True,True,2020-03-11 20:18:14+00:00,True,,2020-03-11 20:18:33,2020
67,75,7,0,0,8,0,True,True,True,2020-03-11 20:14:14+00:00,False,,2020-03-11 20:18:33,2020
68,76,4,0,0,13,0,True,True,True,2020-03-11 20:18:16+00:00,False,,2020-03-11 20:18:33,2020
69,77,1,0,0,14,0,True,True,True,2020-03-11 18:12:54+00:00,False,,2020-03-11 20:18:33,2020
70,78,8,0,0,11,0,True,True,True,2020-03-11 20:00:13+00:00,False,,2020-03-11 20:18:33,2020
71,79,0,0,0,0,0,False,False,False,1970-01-02 00:00:00+00:00,False,,2020-03-11 20:18:33,1970
72,80,19,0,0,16,0,True,True,True,2020-03-11 20:17:59+00:00,False,,2020-03-11 20:18:33,2020
73,81,12,0,0,7,0,True,True,True,2020-03-11 20:13:20+00:00,False,,2020-03-11 20:18:33,2020
74,82,2,0,0,13,0,True,True,True,2020-03-11 19:19:43+00:00,False,,2020-03-11 20:18:33,2020
75,84,2,0,1,12,0,True,True,True,2020-03-11 20:16:44+00:00,False,,2020-03-11 20:18:33,2020
76,85,11,0,1,7,0,True,True,True,2020-03-11 20:18:07+00:00,False,,2020-03-11 20:18:33,2020
77,86,9,0,0,10,0,True,True,True,2020-03-11 20:01:01+00:00,False,,2020-03-11 20:18:33,2020
78,87,4,0,0,11,0,True,True,True,2020-03-11 20:16:32+00:00,False,,2020-03-11 20:18:33,2020
79,89,6,0,0,13,0,True,True,True,2020-03-11 20:15:59+00:00,False,,2020-03-11 20:18:33,2020
80,90,8,0,1,10,0,True,True,True,2020-03-11 18:28:19+00:00,False,,2020-03-11 20:18:33,2020
81,91,10,0,1,8,0,True,True,True,2020-03-11 20:17:09+00:00,False,,2020-03-11 20:18:33,2020
82,92,7,0,0,12,0,True,True,True,2020-03-11 15:58:35+00:00,False,,2020-03-11 20:18:33,2020
