,station_id,num_bikes_available,num_ebikes_available,num_bikes_disabled,num_docks_available,num_docks_disabled,is_installed,is_renting,is_returning,last_reported,eightd_has_available_keys,timestamp_of_data_read_request,year_station_last_reported
0,3,13,0,0,2,0,True,True,True,2020-03-18 22:24:13+00:00,True,2020-03-19 00:24:32,2020
1,4,2,0,0,17,0,True,True,True,2020-03-19 00:04:29+00:00,False,2020-03-19 00:24:32,2020
2,5,0,0,0,0,0,False,False,False,1970-01-02 00:00:00+00:00,False,2020-03-19 00:24:32,1970
3,6,5,0,0,10,0,True,True,True,2020-03-19 00:24:00+00:00,False,2020-03-19 00:24:32,2020
4,7,7,0,0,8,0,True,True,True,2020-03-18 19:48:30+00:00,False,2020-03-19 00:24:32,2020
5,8,15,0,0,3,1,True,True,True,2020-03-18 23:30:52+00:00,False,2020-03-19 00:24:32,2020
6,9,7,0,0,8,0,True,True,True,2020-03-18 22:37:09+00:00,False,2020-03-19 00:24:32,2020
7,10,6,0,0,5,0,True,True,True,2020-03-19 00:09:23+00:00,False,2020-03-19 00:24:32,2020
8,11,0,0,0,15,0,True,True,True,2020-03-18 21:52:49+00:00,False,2020-03-19 00:24:32,2020
9,12,9,0,0,9,0,True,True,True,2020-03-19 00:11:18+00:00,True,2020-03-19 00:24:32,2020
10,13,0,0,0,0,0,False,False,False,1970-01-02 00:00:00+00:00,False,2020-03-19 00:24:32,1970
11,14,16,0,0,9,0,True,True,True,2020-03-18 23:16:52+00:00,False,2020-03-19 00:24:32,2020
12,15,6,0,3,6,0,True,True,True,2020-03-18 23:02:57+00:00,False,2020-03-19 00:24:32,2020
13,16,14,0,0,5,0,True,True,True,2020-03-19 00:05:28+00:00,True,2020-03-19 00:24:32,2020
14,17,8,0,0,7,0,True,True,True,2020-03-18 23:20:53+00:00,False,2020-03-19 00:24:32,2020
15,19,4,0,1,10,0,True,True,True,2020-03-19 00:01:35+00:00,False,2020-03-19 00:24:32,2020
16,20,13,0,0,10,0,True,True,True,2020-03-18 22:24:48+00:00,True,2020-03-19 00:24:32,2020
17,21,6,0,0,12,0,True,True,True,2020-03-18 23:44:35+00:00,True,2020-03-19 00:24:32,2020
18,22,24,0,1,22,0,True,True,True,2020-03-19 00:06:54+00:00,True,2020-03-19 00:24:32,2020
19,23,13,0,0,8,0,True,True,True,2020-03-18 21:52:13+00:00,True,2020-03-19 00:24:32,2020
20,24,14,0,0,5,0,True,True,True,2020-03-19 00:23:23+00:00,False,2020-03-19 00:24:32,2020
21,25,4,0,0,11,0,True,True,True,2020-03-18 23:45:07+00:00,False,2020-03-19 00:24:32,2020
22,26,8,0,0,7,0,True,True,True,2020-03-18 23:32:45+00:00,False,2020-03-19 00:24:32,2020
23,27,12,0,0,11,0,True,True,True,2020-03-19 00:00:47+00:00,False,2020-03-19 00:24:32,2020
24,29,3,0,0,12,0,True,True,True,2020-03-18 21:10:32+00:00,False,2020-03-19 00:24:32,2020
25,30,5,0,0,10,0,True,True,True,2020-03-18 23:53:38+00:00,False,2020-03-19 00:24:32,2020
26,31,1,0,1,17,0,True,True,True,2020-03-18 22:41:06+00:00,False,2020-03-19 00:24:32,2020
27,32,0,0,0,0,0,False,False,False,1970-01-02 00:00:00+00:00,False,2020-03-19 00:24:32,1970
28,33,8,0,0,19,0,True,True,True,2020-03-18 23:58:29+00:00,True,2020-03-19 00:24:32,2020
29,35,0,0,0,3,0,False,False,False,2019-11-18 21:05:37+00:00,False,2020-03-19 00:24:32,2019
30,36,7,0,1,25,0,True,True,True,2020-03-18 23:37:36+00:00,True,2020-03-19 00:24:32,2020
31,37,9,0,0,6,0,True,True,True,2020-03-18 17:54:36+00:00,True,2020-03-19 00:24:32,2020
32,39,6,0,0,17,0,True,True,True,2020-03-18 23:59:15+00:00,False,2020-03-19 00:24:32,2020
33,40,7,0,0,12,0,True,True,True,2020-03-19 00:17:40+00:00,False,2020-03-19 00:24:32,2020
34,41,15,0,0,12,0,True,True,True,2020-03-19 00:22:19+00:00,True,2020-03-19 00:24:32,2020
35,42,19,0,0,4,0,True,True,True,2020-03-18 23:43:54+00:00,False,2020-03-19 00:24:32,2020
36,43,2,0,0,13,0,True,True,True,2020-03-18 22:55:56+00:00,False,2020-03-19 00:24:32,2020
37,44,16,0,0,7,0,True,True,True,2020-03-18 21:53:30+00:00,False,2020-03-19 00:24:32,2020
38,46,11,0,0,8,0,True,True,True,2020-03-19 00:00:31+00:00,False,2020-03-19 00:24:32,2020
