,station_id,num_bikes_available,num_ebikes_available,num_bikes_disabled,num_docks_available,num_docks_disabled,is_installed,is_renting,is_returning,last_reported,eightd_has_available_keys,eightd_active_station_services,timestamp_of_data_read_request,year_station_last_reported
0,107,16,0,0,3,0,True,True,True,2020-03-24 21:06:08+00:00,False,[{'id': '6523db73-134d-4f62-af6f-78a8515cc83b'}],2020-03-24 21:07:39,2020
1,3,7,0,0,8,0,True,True,True,2020-03-24 20:56:20+00:00,True,,2020-03-24 21:07:39,2020
2,4,5,0,0,14,0,True,True,True,2020-03-24 19:29:50+00:00,False,,2020-03-24 21:07:39,2020
3,5,0,0,0,0,0,False,False,False,1970-01-02 00:00:00+00:00,False,,2020-03-24 21:07:39,1970
4,6,9,0,0,6,0,True,True,True,2020-03-24 20:48:33+00:00,False,,2020-03-24 21:07:39,2020
5,7,0,0,0,15,0,True,True,True,2020-03-24 16:42:45+00:00,False,,2020-03-24 21:07:39,2020
6,8,2,0,2,15,0,True,True,True,2020-03-24 20:58:59+00:00,False,,2020-03-24 21:07:39,2020
7,9,11,0,0,4,0,True,True,True,2020-03-24 19:27:35+00:00,False,,2020-03-24 21:07:39,2020
8,10,5,0,0,6,0,True,True,True,2020-03-24 12:37:28+00:00,False,,2020-03-24 21:07:39,2020
9,11,9,0,0,6,0,True,True,True,2020-03-24 20:51:31+00:00,False,,2020-03-24 21:07:39,2020
10,12,3,0,1,14,0,True,True,True,2020-03-24 19:55:37+00:00,True,,2020-03-24 21:07:39,2020
11,13,0,0,0,0,0,False,False,False,1970-01-02 00:00:00+00:00,False,,2020-03-24 21:07:39,1970
12,14,18,0,0,7,0,True,True,True,2020-03-24 19:32:11+00:00,False,,2020-03-24 21:07:39,2020
13,15,10,0,2,3,0,True,True,True,2020-03-24 20:48:44+00:00,False,,2020-03-24 21:07:39,2020
14,16,11,0,0,8,0,True,True,True,2020-03-24 20:55:40+00:00,True,,2020-03-24 21:07:39,2020
15,17,6,0,0,9,0,True,True,True,2020-03-24 20:20:01+00:00,False,,2020-03-24 21:07:39,2020
16,19,6,0,1,8,0,True,True,True,2020-03-24 19:07:40+00:00,False,,2020-03-24 21:07:39,2020
17,20,12,0,1,10,0,True,True,True,2020-03-24 20:27:55+00:00,True,,2020-03-24 21:07:39,2020
18,21,16,0,1,1,0,True,True,True,2020-03-24 19:44:51+00:00,True,,2020-03-24 21:07:39,2020
19,22,12,0,0,35,0,True,True,True,2020-03-24 20:22:35+00:00,True,,2020-03-24 21:07:39,2020
20,23,7,0,0,14,0,True,True,True,2020-03-24 20:57:33+00:00,True,,2020-03-24 21:07:39,2020
21,24,0,0,0,19,0,True,True,True,2020-03-24 02:33:06+00:00,False,,2020-03-24 21:07:39,2020
22,25,13,0,1,1,0,True,True,True,2020-03-24 20:19:25+00:00,False,,2020-03-24 21:07:39,2020
23,26,10,0,0,5,0,True,True,True,2020-03-24 20:06:38+00:00,False,,2020-03-24 21:07:39,2020
24,27,11,0,0,12,0,True,True,True,2020-03-24 20:03:11+00:00,False,,2020-03-24 21:07:39,2020
25,29,3,0,0,12,0,True,True,True,2020-03-24 20:56:44+00:00,False,,2020-03-24 21:07:39,2020
26,30,13,0,1,1,0,True,True,True,2020-03-24 21:07:16+00:00,False,,2020-03-24 21:07:39,2020
27,31,10,0,0,9,0,True,True,True,2020-03-24 18:26:16+00:00,False,,2020-03-24 21:07:39,2020
28,32,0,0,0,0,0,False,False,False,1970-01-02 00:00:00+00:00,False,,2020-03-24 21:07:39,1970
29,33,10,0,0,17,0,True,True,True,2020-03-24 20:58:01+00:00,True,,2020-03-24 21:07:39,2020
30,35,0,0,0,3,0,False,False,False,2019-11-18 21:05:37+00:00,False,,2020-03-24 21:07:39,2019
31,36,8,0,0,25,0,True,True,True,2020-03-24 20:40:23+00:00,True,,2020-03-24 21:07:39,2020
32,37,8,0,0,7,0,True,True,True,2020-03-24 13:35:03+00:00,True,,2020-03-24 21:07:39,2020
33,39,15,0,0,8,0,True,True,True,2020-03-24 21:04:41+00:00,False,,2020-03-24 21:07:39,2020
34,40,11,0,1,7,0,True,True,True,2020-03-24 21:00:04+00:00,False,,2020-03-24 21:07:39,2020
35,41,17,0,1,9,0,True,True,True,2020-03-24 21:04:56+00:00,False,,2020-03-24 21:07:39,2020
36,42,21,0,1,1,0,True,True,True,2020-03-24 18:36:41+00:00,False,,2020-03-24 21:07:39,2020
37,43,5,0,0,10,0,True,True,True,2020-03-24 19:00:47+00:00,False,,2020-03-24 21:07:39,2020
38,44,12,0,0,11,0,True,True,True,2020-03-23 09:00:08+00:00,False,,2020-03-24 21:07:39,2020
39,46,12,0,2,5,0,True,True,True,2020-03-24 20:51:42+00:00,False,,2020-03-24 21:07:39,2020
40,47,8,0,1,10,0,True,True,True,2020-03-24 20:56:59+00:00,True,,2020-03-24 21:07:39,2020
41,48,0,0,0,3,0,False,False,False,2020-03-04 17:50:43+00:00,False,,2020-03-24 21:07:39,2020
42,49,11,0,0,7,0,True,True,True,2020-03-24 16:06:04+00:00,False,,2020-03-24 21:07:39,2020
43,50,0,0,0,0,0,False,False,False,1970-01-02 00:00:00+00:00,True,,2020-03-24 21:07:39,1970
44,51,10,0,1,4,0,True,True,True,2020-03-24 20:19:29+00:00,False,,2020-03-24 21:07:39,2020
45,52,0,0,0,0,0,False,False,False,1970-01-02 00:00:00+00:00,True,,2020-03-24 21:07:39,1970
46,53,0,0,0,3,0,False,False,False,2020-03-04 20:56:41+00:00,False,,2020-03-24 21:07:39,2020
47,54,9,0,1,5,0,True,True,True,2020-03-24 20:31:15+00:00,False,,2020-03-24 21:07:39,2020
48,55,0,0,0,0,0,False,False,False,1970-01-02 00:00:00+00:00,False,,2020-03-24 21:07:39,1970
49,56,10,0,1,7,0,True,True,True,2020-03-24 18:54:24+00:00,False,,2020-03-24 21:07:39,2020
50,57,7,0,0,7,0,True,True,True,2020-03-24 19:39:22+00:00,True,,2020-03-24 21:07:39,2020
51,58,7,0,0,11,1,True,True,True,2020-03-24 21:04:15+00:00,True,,2020-03-24 21:07:39,2020
52,59,17,0,0,2,0,True,True,True,2020-03-24 12:13:30+00:00,True,,2020-03-24 21:07:39,2020
53,60,14,0,2,3,0,True,True,True,2020-03-24 21:03:46+00:00,False,,2020-03-24 21:07:39,2020
54,61,0,0,0,3,0,False,False,False,2020-03-04 20:12:26+00:00,False,,2020-03-24 21:07:39,2020
55,63,0,0,0,15,0,True,True,True,2020-03-24 11:58:01+00:00,False,,2020-03-24 21:07:39,2020
56,64,0,0,0,0,0,False,False,False,1970-01-02 00:00:00+00:00,False,,2020-03-24 21:07:39,1970
57,65,14,0,0,9,0,True,True,True,2020-03-24 19:12:02+00:00,False,,2020-03-24 21:07:39,2020
58,66,11,0,1,3,0,True,True,True,2020-03-24 20:34:28+00:00,False,,2020-03-24 21:07:39,2020
59,67,2,0,0,25,0,True,True,True,2020-03-24 20:51:00+00:00,True,,2020-03-24 21:07:39,2020
60,68,8,0,0,11,0,True,True,True,2020-03-24 20:55:18+00:00,True,,2020-03-24 21:07:39,2020
61,69,19,0,0,0,0,True,True,True,2020-03-24 20:54:24+00:00,True,,2020-03-24 21:07:39,2020
62,70,2,0,0,21,0,True,True,True,2020-03-24 19:28:51+00:00,False,,2020-03-24 21:07:39,2020
63,71,11,0,1,11,0,True,True,True,2020-03-24 19:40:26+00:00,False,,2020-03-24 21:07:39,2020
64,72,9,0,0,14,0,True,True,True,2020-03-24 19:47:54+00:00,False,,2020-03-24 21:07:39,2020
65,73,8,0,0,7,0,True,True,True,2020-03-24 19:00:22+00:00,False,,2020-03-24 21:07:39,2020
66,74,12,0,1,6,0,True,True,True,2020-03-24 20:29:17+00:00,True,,2020-03-24 21:07:39,2020
67,75,1,0,0,14,0,True,True,True,2020-03-24 18:21:12+00:00,False,,2020-03-24 21:07:39,2020
68,76,15,0,0,2,0,True,True,True,2020-03-24 20:52:41+00:00,False,,2020-03-24 21:07:39,2020
69,77,10,0,1,4,0,True,True,True,2020-03-24 19:07:40+00:00,False,,2020-03-24 21:07:39,2020
70,78,5,0,1,13,0,True,True,True,2020-03-24 16:44:44+00:00,False,,2020-03-24 21:07:39,2020
71,79,0,0,0,0,0,False,False,False,1970-01-02 00:00:00+00:00,False,,2020-03-24 21:07:39,1970
72,80,0,0,35,0,0,True,False,True,2020-03-23 22:56:27+00:00,False,,2020-03-24 21:07:39,2020
73,81,13,0,1,5,0,True,True,True,2020-03-24 20:56:48+00:00,False,,2020-03-24 21:07:39,2020
74,82,4,0,1,10,0,True,True,True,2020-03-24 21:02:13+00:00,False,,2020-03-24 21:07:39,2020
75,84,4,0,0,11,0,True,True,True,2020-03-24 17:50:15+00:00,False,,2020-03-24 21:07:39,2020
76,85,10,0,1,8,0,True,True,True,2020-03-24 20:38:07+00:00,False,,2020-03-24 21:07:39,2020
77,86,8,0,0,11,0,True,True,True,2020-03-24 20:00:39+00:00,False,,2020-03-24 21:07:39,2020
78,87,9,0,1,5,0,True,True,True,2020-03-24 21:06:05+00:00,False,,2020-03-24 21:07:39,2020
79,89,7,0,0,12,0,True,True,True,2020-03-24 19:54:11+00:00,False,,2020-03-24 21:07:39,2020
80,90,14,0,0,5,0,True,True,True,2020-03-24 18:49:07+00:00,False,,2020-03-24 21:07:39,2020
81,91,17,0,0,2,0,True,False,False,2020-03-24 20:40:21+00:00,False,,2020-03-24 21:07:39,2020
