,last_reported,num_ebikes_available,num_docks_available,legacy_id,station_status,num_docks_disabled,is_installed,is_returning,is_renting,eightd_has_available_keys,station_id,num_bikes_disabled,num_bikes_available,valet,eightd_active_station_services,timestamp_of_data_read_request,year_station_last_reported
0,2020-07-11 23:27:24+00:00,0,8,3,active,0,True,True,True,True,3,0,7,,,2020-07-11 23:27:55,2020
1,2020-07-11 23:08:56+00:00,0,8,4,active,0,True,True,True,False,4,1,10,,,2020-07-11 23:27:55,2020
2,2020-07-11 22:41:01+00:00,0,15,5,active,0,True,True,True,False,5,0,0,,,2020-07-11 23:27:55,2020
3,2020-07-11 23:25:42+00:00,0,8,6,active,0,True,True,True,False,6,2,5,,,2020-07-11 23:27:55,2020
4,2020-07-11 23:05:42+00:00,0,0,7,active,0,True,True,True,False,7,1,14,,,2020-07-11 23:27:55,2020
5,2020-07-11 23:21:22+00:00,0,19,8,active,0,True,True,True,False,8,0,0,,,2020-07-11 23:27:55,2020
6,2020-07-11 23:06:28+00:00,0,3,9,active,0,True,True,True,False,9,0,12,,,2020-07-11 23:27:55,2020
7,2020-07-11 23:03:19+00:00,0,4,10,active,0,True,True,True,False,10,0,7,,,2020-07-11 23:27:55,2020
8,2020-07-11 23:04:43+00:00,0,14,11,active,0,True,True,True,False,11,1,0,"{'off_dock_count': 0, 'off_dock_capacity': 50, 'valet_revision': 57, 'region': 'BOS', 'active': True, 'station_id': 'f8346ad7-0de8-11e7-991c-3863bb43a7d0', 'dock_blocked_count': 0}",[{'id': 'f8346ad7-0de8-11e7-991c-3863bb43a7d0'}],2020-07-11 23:27:55,2020
9,2020-07-11 22:54:53+00:00,0,16,12,active,0,True,True,True,True,12,0,2,,,2020-07-11 23:27:55,2020
10,2020-07-11 23:25:50+00:00,0,7,13,active,0,True,True,True,False,13,1,11,,,2020-07-11 23:27:55,2020
11,2020-07-11 23:26:16+00:00,0,11,14,active,0,True,True,True,False,14,0,14,,,2020-07-11 23:27:55,2020
12,2020-07-11 23:24:23+00:00,0,4,15,active,0,True,True,True,False,15,0,11,,,2020-07-11 23:27:55,2020
13,2020-07-11 22:14:23+00:00,0,13,16,active,0,True,True,True,True,16,0,6,,,2020-07-11 23:27:55,2020
14,2020-07-11 23:21:57+00:00,0,14,17,active,0,True,True,True,False,17,0,1,,,2020-07-11 23:27:55,2020
15,2020-07-11 23:08:47+00:00,0,12,19,active,0,True,True,True,False,19,1,2,,,2020-07-11 23:27:55,2020
16,2020-07-11 23:18:45+00:00,0,13,20,active,0,True,True,True,True,20,0,10,,,2020-07-11 23:27:55,2020
17,2020-07-11 23:25:05+00:00,0,17,21,active,0,True,True,True,True,21,0,1,,,2020-07-11 23:27:55,2020
18,2020-07-11 23:22:30+00:00,0,25,22,active,0,True,True,True,True,22,1,21,,,2020-07-11 23:27:55,2020
19,2020-07-11 23:25:37+00:00,0,15,23,active,0,True,True,True,True,23,0,6,,,2020-07-11 23:27:55,2020
20,2020-07-11 22:31:42+00:00,0,0,24,active,1,True,True,True,False,24,2,16,,,2020-07-11 23:27:55,2020
21,2020-07-11 23:27:07+00:00,0,2,25,active,0,True,True,True,False,25,0,13,,,2020-07-11 23:27:55,2020
22,2020-07-11 23:16:36+00:00,0,11,26,active,0,True,True,True,False,26,0,4,,,2020-07-11 23:27:55,2020
23,2020-07-11 23:01:20+00:00,0,21,27,active,0,True,True,True,False,27,2,0,,,2020-07-11 23:27:55,2020
24,2020-07-11 23:08:40+00:00,0,11,29,active,0,True,True,True,False,29,0,4,,,2020-07-11 23:27:55,2020
25,2020-07-11 23:15:31+00:00,0,14,30,active,0,True,True,True,False,30,0,1,,,2020-07-11 23:27:55,2020
26,2020-07-11 23:27:44+00:00,0,2,31,active,0,True,True,True,True,31,0,17,,,2020-07-11 23:27:55,2020
27,2020-07-11 23:26:35+00:00,0,2,32,active,0,True,True,True,False,32,1,12,,,2020-07-11 23:27:55,2020
28,2020-07-11 23:27:17+00:00,0,25,33,active,0,True,True,True,False,33,1,1,,,2020-07-11 23:27:55,2020
