,num_docks_available,num_docks_disabled,station_id,num_ebikes_available,legacy_id,eightd_has_available_keys,num_bikes_disabled,is_returning,is_renting,last_reported,station_status,num_bikes_available,is_installed,eightd_active_station_services,valet,timestamp_of_data_read_request,year_station_last_reported
0,9,0,3,0,3,True,0,True,True,2020-07-11 23:28:09+00:00,active,6,True,,,2020-07-11 23:29:50,2020
1,7,0,4,0,4,False,1,True,True,2020-07-11 23:29:41+00:00,active,11,True,,,2020-07-11 23:29:50,2020
2,15,0,5,0,5,False,0,True,True,2020-07-11 22:41:01+00:00,active,0,True,,,2020-07-11 23:29:50,2020
3,8,0,6,0,6,False,2,True,True,2020-07-11 23:25:42+00:00,active,5,True,,,2020-07-11 23:29:50,2020
4,0,0,7,0,7,False,1,True,True,2020-07-11 23:05:42+00:00,active,14,True,,,2020-07-11 23:29:50,2020
5,19,0,8,0,8,False,0,True,True,2020-07-11 23:21:22+00:00,active,0,True,,,2020-07-11 23:29:50,2020
6,3,0,9,0,9,False,0,True,True,2020-07-11 23:06:28+00:00,active,12,True,,,2020-07-11 23:29:50,2020
7,5,0,10,0,10,False,0,True,True,2020-07-11 23:29:33+00:00,active,6,True,,,2020-07-11 23:29:50,2020
8,13,0,11,0,11,False,1,True,True,2020-07-11 23:27:51+00:00,active,1,True,[{'id': 'f8346ad7-0de8-11e7-991c-3863bb43a7d0'}],"{'station_id': 'f8346ad7-0de8-11e7-991c-3863bb43a7d0', 'off_dock_capacity': 50, 'region': 'BOS', 'dock_blocked_count': 0, 'active': True, 'valet_revision': 57, 'off_dock_count': 0}",2020-07-11 23:29:50,2020
9,16,0,12,0,12,True,0,True,True,2020-07-11 22:54:53+00:00,active,2,True,,,2020-07-11 23:29:50,2020
10,7,0,13,0,13,False,1,True,True,2020-07-11 23:25:50+00:00,active,11,True,,,2020-07-11 23:29:50,2020
11,11,0,14,0,14,False,0,True,True,2020-07-11 23:26:16+00:00,active,14,True,,,2020-07-11 23:29:50,2020
12,4,0,15,0,15,False,0,True,True,2020-07-11 23:24:23+00:00,active,11,True,,,2020-07-11 23:29:50,2020
13,13,0,16,0,16,True,0,True,True,2020-07-11 22:14:23+00:00,active,6,True,,,2020-07-11 23:29:50,2020
14,14,0,17,0,17,False,0,True,True,2020-07-11 23:21:57+00:00,active,1,True,,,2020-07-11 23:29:50,2020
15,11,0,19,0,19,False,1,True,True,2020-07-11 23:29:15+00:00,active,3,True,,,2020-07-11 23:29:50,2020
16,13,0,20,0,20,True,0,True,True,2020-07-11 23:18:45+00:00,active,10,True,,,2020-07-11 23:29:50,2020
17,17,0,21,0,21,True,0,True,True,2020-07-11 23:25:05+00:00,active,1,True,,,2020-07-11 23:29:50,2020
18,25,0,22,0,22,True,1,True,True,2020-07-11 23:22:30+00:00,active,21,True,,,2020-07-11 23:29:50,2020
19,15,0,23,0,23,True,0,True,True,2020-07-11 23:25:37+00:00,active,6,True,,,2020-07-11 23:29:50,2020
20,0,1,24,0,24,False,2,True,True,2020-07-11 22:31:42+00:00,active,16,True,,,2020-07-11 23:29:50,2020
21,2,0,25,0,25,False,0,True,True,2020-07-11 23:27:07+00:00,active,13,True,,,2020-07-11 23:29:50,2020
22,11,0,26,0,26,False,0,True,True,2020-07-11 23:16:36+00:00,active,4,True,,,2020-07-11 23:29:50,2020
23,21,0,27,0,27,False,2,True,True,2020-07-11 23:01:20+00:00,active,0,True,,,2020-07-11 23:29:50,2020
24,11,0,29,0,29,False,0,True,True,2020-07-11 23:08:40+00:00,active,4,True,,,2020-07-11 23:29:50,2020
25,14,0,30,0,30,False,0,True,True,2020-07-11 23:15:31+00:00,active,1,True,,,2020-07-11 23:29:50,2020
26,1,0,31,0,31,True,0,True,True,2020-07-11 23:29:06+00:00,active,18,True,,,2020-07-11 23:29:50,2020
27,2,0,32,0,32,False,2,True,True,2020-07-11 23:29:20+00:00,active,11,True,,,2020-07-11 23:29:50,2020
28,25,0,33,0,33,False,1,True,True,2020-07-11 23:27:17+00:00,active,1,True,,,2020-07-11 23:29:50,2020
29,17,0,35,0,35,False,0,True,True,2020-07-11 23:22:33+00:00,active,6,True,,,2020-07-11 23:29:50,2020
30,31,0,36,0,36,True,1,True,True,2020-07-11 23:26:11+00:00,active,1,True,,,2020-07-11 23:29:50,2020
31,0,0,37,0,37,True,0,True,True,2020-07-11 23:22:27+00:00,active,15,True,,,2020-07-11 23:29:50,2020
32,15,0,39,0,39,False,1,True,True,2020-07-11 23:20:05+00:00,active,7,True,,,2020-07-11 23:29:50,2020
33,15,0,40,0,40,False,0,True,True,2020-07-11 23:27:59+00:00,active,4,True,,,2020-07-11 23:29:50,2020
34,6,0,41,0,41,True,1,True,True,2020-07-11 23:29:41+00:00,active,20,True,,,2020-07-11 23:29:50,2020
35,8,0,42,0,42,False,1,True,True,2020-07-11 23:29:39+00:00,active,14,True,,,2020-07-11 23:29:50,2020
36,2,0,43,0,43,False,1,True,True,2020-07-11 22:49:55+00:00,active,12,True,,,2020-07-11 23:29:50,2020
37,18,0,44,0,44,False,0,True,True,2020-07-11 23:18:31+00:00,active,5,True,,,2020-07-11 23:29:50,2020
38,5,0,46,0,46,False,0,True,True,2020-07-11 23:29:15+00:00,active,14,True,,,2020-07-11 23:29:50,2020
