,eightd_has_available_keys,station_status,num_bikes_available,is_installed,is_returning,station_id,is_renting,num_docks_available,last_reported,num_bikes_disabled,num_ebikes_available,legacy_id,num_docks_disabled,eightd_active_station_services,valet,timestamp_of_data_read_request,year_station_last_reported
0,True,active,11,True,True,3,True,4,2020-07-27 02:06:47+00:00,0,0,3,0,,,2020-07-27 02:14:45,2020
1,False,active,17,True,True,4,True,2,2020-07-27 01:45:12+00:00,0,0,4,0,,,2020-07-27 02:14:45,2020
2,False,active,8,True,True,5,True,7,2020-07-27 02:13:18+00:00,0,0,5,0,,,2020-07-27 02:14:45,2020
3,False,active,11,True,True,6,True,4,2020-07-27 02:14:43+00:00,0,0,6,0,,,2020-07-27 02:14:45,2020
4,False,active,7,True,True,7,True,8,2020-07-27 01:30:12+00:00,0,0,7,0,,,2020-07-27 02:14:45,2020
5,False,active,6,True,True,8,True,10,2020-07-27 00:49:25+00:00,3,0,8,0,,,2020-07-27 02:14:45,2020
6,False,active,10,True,True,9,True,4,2020-07-27 01:21:15+00:00,1,0,9,0,,,2020-07-27 02:14:45,2020
7,False,active,4,True,True,10,True,5,2020-07-27 01:28:03+00:00,2,0,10,0,,,2020-07-27 02:14:45,2020
8,False,active,7,True,True,11,True,8,2020-07-27 02:07:27+00:00,0,0,11,0,[{'id': 'f8346ad7-0de8-11e7-991c-3863bb43a7d0'}],"{'region': 'BOS', 'off_dock_count': 0, 'station_id': 'f8346ad7-0de8-11e7-991c-3863bb43a7d0', 'dock_blocked_count': 0, 'off_dock_capacity': 50, 'valet_revision': 69, 'active': True}",2020-07-27 02:14:45,2020
9,True,active,8,True,True,12,True,10,2020-07-27 01:46:26+00:00,0,0,12,0,,,2020-07-27 02:14:45,2020
10,False,active,6,True,True,13,True,10,2020-07-27 00:33:05+00:00,3,0,13,0,,,2020-07-27 02:14:45,2020
11,False,active,9,True,True,14,True,15,2020-07-27 01:50:12+00:00,1,0,14,0,,,2020-07-27 02:14:45,2020
12,False,active,12,True,True,15,True,2,2020-07-27 01:53:49+00:00,1,0,15,0,,,2020-07-27 02:14:45,2020
13,True,active,8,True,True,16,True,10,2020-07-27 01:35:39+00:00,1,0,16,0,,,2020-07-27 02:14:45,2020
14,False,active,5,True,True,17,True,9,2020-07-27 02:01:07+00:00,1,0,17,0,,,2020-07-27 02:14:45,2020
15,False,active,3,True,True,19,True,10,2020-07-27 02:14:08+00:00,2,0,19,0,,,2020-07-27 02:14:45,2020
16,True,active,1,True,True,20,True,21,2020-07-27 02:10:43+00:00,1,0,20,0,,,2020-07-27 02:14:45,2020
17,True,active,4,True,True,21,True,13,2020-07-27 00:54:03+00:00,1,0,21,0,,,2020-07-27 02:14:45,2020
18,True,active,4,True,True,22,True,42,2020-07-27 02:12:50+00:00,1,0,22,0,,,2020-07-27 02:14:45,2020
19,False,active,2,True,True,23,True,19,2020-07-27 02:09:35+00:00,0,0,23,0,,,2020-07-27 02:14:45,2020
20,False,active,2,True,True,24,True,17,2020-07-27 01:56:41+00:00,0,0,24,0,,,2020-07-27 02:14:45,2020
21,False,active,13,True,True,25,True,2,2020-07-26 23:45:11+00:00,0,0,25,0,,,2020-07-27 02:14:45,2020
22,False,active,15,True,True,26,True,0,2020-07-27 00:13:35+00:00,0,0,26,0,,,2020-07-27 02:14:45,2020
23,False,active,20,True,True,27,True,0,2020-07-27 02:00:27+00:00,3,0,27,0,,,2020-07-27 02:14:45,2020
24,False,active,14,True,True,29,True,1,2020-07-27 01:27:10+00:00,0,0,29,0,,,2020-07-27 02:14:45,2020
25,False,active,8,True,True,30,True,7,2020-07-27 02:06:30+00:00,0,0,30,0,,,2020-07-27 02:14:45,2020
26,True,active,3,True,True,31,True,16,2020-07-27 00:28:38+00:00,0,0,31,0,,,2020-07-27 02:14:45,2020
27,False,active,10,True,True,32,True,0,2020-07-27 02:07:47+00:00,5,0,32,0,,,2020-07-27 02:14:45,2020
28,False,active,12,True,True,33,True,14,2020-07-27 02:09:44+00:00,1,0,33,0,,,2020-07-27 02:14:45,2020
29,False,active,4,True,True,35,True,19,2020-07-27 00:35:09+00:00,0,0,35,0,,,2020-07-27 02:14:45,2020
30,True,active,24,True,True,36,True,9,2020-07-27 02:14:29+00:00,0,0,36,0,,,2020-07-27 02:14:45,2020
31,True,active,3,True,True,37,True,12,2020-07-27 00:55:47+00:00,0,0,37,0,,,2020-07-27 02:14:45,2020
32,False,active,14,True,True,39,True,9,2020-07-27 02:04:33+00:00,0,0,39,0,,,2020-07-27 02:14:45,2020
33,False,active,15,True,True,40,True,2,2020-07-27 02:14:25+00:00,2,0,40,0,,,2020-07-27 02:14:45,2020
34,True,active,21,True,True,41,True,5,2020-07-27 02:03:35+00:00,1,0,41,0,,,2020-07-27 02:14:45,2020
35,False,active,15,True,True,42,True,6,2020-07-27 02:08:09+00:00,2,0,42,0,,,2020-07-27 02:14:45,2020
36,False,active,0,True,True,43,True,15,2020-07-27 00:06:19+00:00,0,0,43,0,,,2020-07-27 02:14:45,2020
37,False,active,2,True,True,44,True,21,2020-07-27 01:42:47+00:00,0,0,44,0,,,2020-07-27 02:14:45,2020
38,False,active,10,True,True,46,True,8,2020-07-27 02:06:13+00:00,1,0,46,0,,,2020-07-27 02:14:45,2020
39,True,active,19,True,True,47,True,0,2020-07-27 02:01:07+00:00,0,0,47,0,,,2020-07-27 02:14:45,2020
40,False,active,2,True,True,48,True,17,2020-07-27 01:35:39+00:00,0,0,48,0,,,2020-07-27 02:14:45,2020
41,False,active,12,True,True,49,True,6,2020-07-27 01:39:34+00:00,0,0,49,0,,,2020-07-27 02:14:45,2020
42,True,active,1,True,True,50,True,14,2020-07-27 01:27:35+00:00,0,0,50,0,,,2020-07-27 02:14:45,2020
43,False,active,9,True,True,51,True,3,2020-07-27 01:14:54+00:00,3,0,51,0,,,2020-07-27 02:14:45,2020
44,True,active,14,True,True,52,True,9,2020-07-27 02:03:07+00:00,0,0,52,0,,,2020-07-27 02:14:45,2020
45,False,active,11,True,True,53,True,6,2020-07-27 02:03:59+00:00,2,0,53,0,,,2020-07-27 02:14:45,2020
46,False,active,4,True,True,54,True,11,2020-07-27 02:06:23+00:00,0,0,54,0,,,2020-07-27 02:14:45,2020
47,False,active,7,True,True,55,True,8,2020-07-27 02:08:59+00:00,0,0,55,0,,,2020-07-27 02:14:45,2020
48,True,active,18,True,True,56,True,0,2020-07-27 00:22:22+00:00,0,0,56,0,,,2020-07-27 02:14:45,2020
49,True,active,13,True,True,57,True,1,2020-07-27 02:13:30+00:00,0,0,57,0,,,2020-07-27 02:14:45,2020
50,True,active,10,True,True,58,True,8,2020-07-27 02:09:52+00:00,1,0,58,0,,,2020-07-27 02:14:45,2020
51,True,active,11,True,True,59,True,8,2020-07-27 01:01:17+00:00,0,0,59,0,,,2020-07-27 02:14:45,2020
52,False,active,17,True,True,60,True,0,2020-07-27 01:35:38+00:00,2,0,60,0,,,2020-07-27 02:14:45,2020
53,False,active,12,True,True,61,True,6,2020-07-27 02:09:59+00:00,1,0,61,0,,,2020-07-27 02:14:45,2020
54,False,active,13,True,True,63,True,2,2020-07-27 01:53:20+00:00,0,0,63,0,,,2020-07-27 02:14:45,2020
55,False,active,4,True,True,64,True,14,2020-07-27 01:28:24+00:00,1,0,64,0,,,2020-07-27 02:14:45,2020
56,False,active,4,True,True,65,True,17,2020-07-27 02:12:19+00:00,2,0,65,0,,,2020-07-27 02:14:45,2020
57,False,active,5,True,True,66,True,10,2020-07-27 02:13:13+00:00,0,0,66,0,,,2020-07-27 02:14:45,2020
58,True,active,0,True,True,67,True,27,2020-07-27 01:36:41+00:00,0,0,67,0,,,2020-07-27 02:14:45,2020
59,True,active,4,True,True,68,True,14,2020-07-27 02:00:28+00:00,1,0,68,0,,,2020-07-27 02:14:45,2020
60,True,active,7,True,True,69,True,10,2020-07-27 01:56:12+00:00,2,0,69,0,,,2020-07-27 02:14:45,2020
61,False,active,20,True,True,70,True,2,2020-07-27 01:54:42+00:00,1,0,70,0,,,2020-07-27 02:14:45,2020
62,False,active,9,True,True,71,True,13,2020-07-27 02:08:23+00:00,1,0,71,0,,,2020-07-27 02:14:45,2020
63,False,active,9,True,True,72,True,14,2020-07-27 01:54:22+00:00,0,0,72,0,,,2020-07-27 02:14:45,2020
64,False,active,11,True,True,73,True,3,2020-07-27 01:31:26+00:00,1,0,73,0,,,2020-07-27 02:14:45,2020
65,True,active,11,True,True,74,True,8,2020-07-27 01:56:23+00:00,0,0,74,0,,,2020-07-27 02:14:45,2020
66,False,active,3,True,True,75,True,11,2020-07-27 01:59:31+00:00,1,0,75,0,,,2020-07-27 02:14:45,2020
