,is_returning,num_ebikes_available,is_renting,num_docks_available,station_id,station_status,is_installed,num_bikes_available,eightd_has_available_keys,num_bikes_disabled,num_docks_disabled,last_reported,legacy_id,valet,eightd_active_station_services,timestamp_of_data_read_request,year_station_last_reported
0,True,0,True,0,3,active,True,15,True,0,0,2020-07-27 16:29:04+00:00,3,,,2020-07-27 16:42:50,2020
1,True,0,True,9,4,active,True,10,False,0,0,2020-07-27 16:39:17+00:00,4,,,2020-07-27 16:42:50,2020
2,True,0,True,13,5,active,True,2,False,0,0,2020-07-27 16:24:45+00:00,5,,,2020-07-27 16:42:50,2020
3,True,0,True,2,6,active,True,11,False,2,0,2020-07-27 16:28:44+00:00,6,,,2020-07-27 16:42:50,2020
4,True,0,True,3,7,active,True,12,False,0,0,2020-07-27 16:08:45+00:00,7,,,2020-07-27 16:42:50,2020
5,True,0,True,12,8,active,True,6,False,1,0,2020-07-27 14:14:18+00:00,8,,,2020-07-27 16:42:50,2020
6,True,0,True,1,9,active,True,13,False,1,0,2020-07-27 16:27:59+00:00,9,,,2020-07-27 16:42:50,2020
7,True,0,True,3,10,active,True,7,False,1,0,2020-07-27 16:39:08+00:00,10,,,2020-07-27 16:42:50,2020
8,True,0,True,10,11,active,True,5,False,0,0,2020-07-27 16:22:38+00:00,11,"{'valet_revision': 69, 'dock_blocked_count': 0, 'station_id': 'f8346ad7-0de8-11e7-991c-3863bb43a7d0', 'region': 'BOS', 'off_dock_count': 66, 'off_dock_capacity': 50, 'active': True}",[{'id': 'f8346ad7-0de8-11e7-991c-3863bb43a7d0'}],2020-07-27 16:42:50,2020
9,True,0,True,1,12,active,True,17,True,0,0,2020-07-27 16:30:29+00:00,12,,,2020-07-27 16:42:50,2020
10,True,0,True,3,13,active,True,13,False,3,0,2020-07-27 16:33:44+00:00,13,,,2020-07-27 16:42:50,2020
11,True,0,True,9,14,active,True,15,False,1,0,2020-07-27 16:30:31+00:00,14,,,2020-07-27 16:42:50,2020
12,True,0,True,7,15,active,True,7,False,1,0,2020-07-27 16:27:51+00:00,15,,,2020-07-27 16:42:50,2020
13,True,0,True,8,16,active,True,10,True,1,0,2020-07-27 16:24:33+00:00,16,,,2020-07-27 16:42:50,2020
14,True,0,True,7,17,active,True,8,False,0,0,2020-07-27 14:53:06+00:00,17,,,2020-07-27 16:42:50,2020
15,True,0,True,14,19,active,True,1,False,0,0,2020-07-27 16:27:55+00:00,19,,,2020-07-27 16:42:50,2020
16,True,0,True,21,20,active,True,1,True,1,0,2020-07-27 16:41:29+00:00,20,,,2020-07-27 16:42:50,2020
17,True,0,True,9,21,active,True,8,True,1,0,2020-07-27 16:00:47+00:00,21,,,2020-07-27 16:42:50,2020
18,True,0,True,40,22,active,True,6,True,1,0,2020-07-27 16:28:32+00:00,22,,,2020-07-27 16:42:50,2020
19,True,0,True,8,23,active,True,13,True,0,0,2020-07-27 16:25:24+00:00,23,,,2020-07-27 16:42:50,2020
20,True,0,True,11,24,active,True,8,False,0,0,2020-07-27 16:38:21+00:00,24,,,2020-07-27 16:42:50,2020
21,True,0,True,11,25,active,True,4,False,0,0,2020-07-27 16:18:50+00:00,25,,,2020-07-27 16:42:50,2020
22,True,0,True,4,26,active,True,11,False,0,0,2020-07-27 16:37:12+00:00,26,,,2020-07-27 16:42:50,2020
23,True,0,True,1,27,active,True,20,False,2,0,2020-07-27 16:25:48+00:00,27,,,2020-07-27 16:42:50,2020
24,True,0,True,0,29,active,True,14,False,1,0,2020-07-27 13:01:51+00:00,29,,,2020-07-27 16:42:50,2020
25,True,0,True,2,30,active,True,13,False,0,0,2020-07-27 16:16:04+00:00,30,,,2020-07-27 16:42:50,2020
26,True,0,True,16,31,active,True,3,True,0,0,2020-07-27 13:20:48+00:00,31,,,2020-07-27 16:42:50,2020
27,True,0,True,14,32,active,True,1,False,0,0,2020-07-27 16:40:39+00:00,32,,,2020-07-27 16:42:50,2020
28,True,0,True,20,33,active,True,6,False,1,0,2020-07-27 16:39:50+00:00,33,,,2020-07-27 16:42:50,2020
29,True,0,True,3,35,active,True,20,False,0,0,2020-07-27 16:40:17+00:00,35,,,2020-07-27 16:42:50,2020
30,True,0,True,7,36,active,True,26,True,0,0,2020-07-27 16:26:14+00:00,36,,,2020-07-27 16:42:50,2020
31,True,0,True,15,37,active,True,0,True,0,0,2020-07-27 16:09:57+00:00,37,,,2020-07-27 16:42:50,2020
32,True,0,True,3,39,active,True,19,False,1,0,2020-07-27 16:42:24+00:00,39,,,2020-07-27 16:42:50,2020
33,True,0,True,11,40,active,True,8,False,0,0,2020-07-27 16:37:46+00:00,40,,,2020-07-27 16:42:50,2020
34,True,0,True,23,41,active,True,3,True,1,0,2020-07-27 16:40:43+00:00,41,,,2020-07-27 16:42:50,2020
35,True,0,True,0,42,active,True,20,False,3,0,2020-07-27 16:25:33+00:00,42,,,2020-07-27 16:42:50,2020
36,True,0,True,13,43,active,True,2,False,0,0,2020-07-27 16:38:30+00:00,43,,,2020-07-27 16:42:50,2020
37,True,0,True,17,44,active,True,6,False,0,0,2020-07-27 16:42:13+00:00,44,,,2020-07-27 16:42:50,2020
38,True,0,True,11,46,active,True,7,False,1,0,2020-07-27 16:28:09+00:00,46,,,2020-07-27 16:42:50,2020
39,True,0,True,19,47,active,True,0,True,0,0,2020-07-27 16:37:56+00:00,47,,,2020-07-27 16:42:50,2020
40,True,0,True,10,48,active,True,9,False,0,0,2020-07-27 15:56:21+00:00,48,,,2020-07-27 16:42:50,2020
41,True,0,True,2,49,active,True,16,False,0,0,2020-07-27 15:52:40+00:00,49,,,2020-07-27 16:42:50,2020
42,True,0,True,5,50,active,True,10,True,0,0,2020-07-27 15:54:05+00:00,50,,,2020-07-27 16:42:50,2020
43,False,0,False,0,51,active,True,9,False,6,0,2020-07-27 16:27:58+00:00,51,,,2020-07-27 16:42:50,2020
44,True,0,True,6,52,active,True,17,True,0,0,2020-07-27 16:41:53+00:00,52,,,2020-07-27 16:42:50,2020
45,True,0,True,13,53,active,True,4,False,2,0,2020-07-27 16:30:27+00:00,53,,,2020-07-27 16:42:50,2020
46,True,0,True,8,54,active,True,7,False,0,0,2020-07-27 16:37:47+00:00,54,,,2020-07-27 16:42:50,2020
47,True,0,True,7,55,active,True,8,False,0,0,2020-07-27 16:33:43+00:00,55,,,2020-07-27 16:42:50,2020
48,True,0,True,3,56,active,True,15,True,0,0,2020-07-27 16:30:00+00:00,56,,,2020-07-27 16:42:50,2020
49,True,0,True,4,57,active,True,10,True,0,0,2020-07-27 16:29:58+00:00,57,,,2020-07-27 16:42:50,2020
50,True,0,True,7,58,active,True,11,True,1,0,2020-07-27 16:32:30+00:00,58,,,2020-07-27 16:42:50,2020
51,True,0,True,14,59,active,True,5,True,0,0,2020-07-27 16:14:55+00:00,59,,,2020-07-27 16:42:50,2020
52,True,0,True,14,60,active,True,5,False,0,0,2020-07-27 16:21:42+00:00,60,"{'valet_revision': 57, 'dock_blocked_count': 0, 'station_id': 'f8348a68-0de8-11e7-991c-3863bb43a7d0', 'region': 'BOS', 'off_dock_count': 43, 'off_dock_capacity': 40, 'active': True}",[{'id': 'f8348a68-0de8-11e7-991c-3863bb43a7d0'}],2020-07-27 16:42:50,2020
53,True,0,True,9,61,active,True,10,False,0,0,2020-07-27 16:38:14+00:00,61,,,2020-07-27 16:42:50,2020
54,True,0,True,0,63,active,True,15,False,0,0,2020-07-27 16:14:51+00:00,63,,,2020-07-27 16:42:50,2020
55,True,0,True,6,64,active,True,12,False,1,0,2020-07-27 16:41:21+00:00,64,,,2020-07-27 16:42:50,2020
56,True,0,True,18,65,active,True,3,False,2,0,2020-07-27 15:31:40+00:00,65,,,2020-07-27 16:42:50,2020
57,True,0,True,13,66,active,True,2,False,0,0,2020-07-27 16:39:45+00:00,66,,,2020-07-27 16:42:50,2020
58,True,0,True,12,67,active,True,14,True,1,0,2020-07-27 16:40:30+00:00,67,,,2020-07-27 16:42:50,2020
59,True,0,True,11,68,active,True,7,True,1,0,2020-07-27 16:41:07+00:00,68,,,2020-07-27 16:42:50,2020
60,True,0,True,15,69,active,True,2,True,2,0,2020-07-27 15:30:24+00:00,69,,,2020-07-27 16:42:50,2020
61,True,0,True,13,70,active,True,10,False,0,0,2020-07-27 16:26:43+00:00,70,,,2020-07-27 16:42:50,2020
62,True,0,True,17,71,active,True,6,False,0,0,2020-07-27 15:40:43+00:00,71,,,2020-07-27 16:42:50,2020
63,True,0,True,9,72,active,True,14,False,0,0,2020-07-27 16:41:43+00:00,72,,,2020-07-27 16:42:50,2020
64,True,0,True,1,73,active,True,13,False,1,0,2020-07-27 15:58:57+00:00,73,,,2020-07-27 16:42:50,2020
65,True,0,True,7,74,active,True,12,True,0,0,2020-07-27 15:54:34+00:00,74,,,2020-07-27 16:42:50,2020
66,True,0,True,14,75,active,True,1,False,0,0,2020-07-27 16:22:48+00:00,75,,,2020-07-27 16:42:50,2020
67,True,0,True,7,76,active,True,10,False,0,0,2020-07-27 16:35:16+00:00,76,,,2020-07-27 16:42:50,2020
68,True,0,True,10,77,active,True,3,False,2,0,2020-07-27 15:04:24+00:00,77,,,2020-07-27 16:42:50,2020
69,True,0,True,7,78,active,True,10,False,2,0,2020-07-27 16:41:28+00:00,78,,,2020-07-27 16:42:50,2020
70,True,0,True,12,79,active,True,7,False,0,0,2020-07-27 15:38:02+00:00,79,,,2020-07-27 16:42:50,2020
71,True,0,True,8,80,active,True,26,False,1,0,2020-07-27 16:38:30+00:00,80,,,2020-07-27 16:42:50,2020
72,True,0,True,17,81,active,True,1,False,1,0,2020-07-27 16:35:18+00:00,81,,,2020-07-27 16:42:50,2020
73,False,0,False,12,82,active,True,3,False,0,0,2020-07-27 14:51:09+00:00,82,,,2020-07-27 16:42:50,2020
74,True,0,True,10,84,active,True,5,False,0,0,2020-07-27 16:34:09+00:00,84,,,2020-07-27 16:42:50,2020
75,True,0,True,1,85,active,True,18,False,0,0,2020-07-27 16:22:59+00:00,85,,,2020-07-27 16:42:50,2020
76,True,0,True,6,86,active,True,13,False,0,0,2020-07-27 16:37:14+00:00,86,,,2020-07-27 16:42:50,2020
77,True,0,True,10,87,active,True,5,False,0,0,2020-07-27 16:36:03+00:00,87,,,2020-07-27 16:42:50,2020
78,True,0,True,12,89,active,True,6,False,1,0,2020-07-27 16:38:34+00:00,89,,,2020-07-27 16:42:50,2020
79,True,0,True,11,90,active,True,8,False,0,0,2020-07-27 16:35:13+00:00,90,,,2020-07-27 16:42:50,2020
80,True,0,True,5,91,active,True,14,False,0,0,2020-07-27 16:29:02+00:00,91,,,2020-07-27 16:42:50,2020
81,True,0,True,3,92,active,True,15,False,1,0,2020-07-27 13:03:48+00:00,92,,,2020-07-27 16:42:50,2020
82,True,0,True,1,93,active,True,13,False,1,0,2020-07-27 15:46:04+00:00,93,,,2020-07-27 16:42:50,2020
83,True,0,True,3,94,active,True,8,False,0,0,2020-07-27 15:35:33+00:00,94,,,2020-07-27 16:42:50,2020
84,True,0,True,13,95,active,True,2,False,0,0,2020-07-27 15:28:44+00:00,95,,,2020-07-27 16:42:50,2020
85,True,0,True,18,96,active,True,1,False,0,0,2020-07-27 15:51:37+00:00,96,,,2020-07-27 16:42:50,2020
86,True,0,True,14,97,active,True,5,False,0,0,2020-07-27 16:37:59+00:00,97,,,2020-07-27 16:42:50,2020
87,True,0,True,14,98,active,True,8,False,0,0,2020-07-27 16:29:37+00:00,98,,,2020-07-27 16:42:50,2020
88,True,0,True,8,99,active,True,7,False,0,0,2020-07-27 15:57:23+00:00,99,,,2020-07-27 16:42:50,2020
89,True,0,True,8,100,active,True,16,True,1,0,2020-07-27 16:30:44+00:00,100,,,2020-07-27 16:42:50,2020
90,True,0,True,13,101,active,True,2,False,0,0,2020-07-27 16:22:07+00:00,101,,,2020-07-27 16:42:50,2020
91,True,0,True,10,102,active,True,3,False,2,0,2020-07-27 15:06:51+00:00,102,,,2020-07-27 16:42:50,2020
92,True,0,True,14,103,active,True,1,False,0,0,2020-07-27 15:34:29+00:00,103,,,2020-07-27 16:42:50,2020
93,True,0,True,13,104,active,True,6,False,0,0,2020-07-27 15:59:26+00:00,104,,,2020-07-27 16:42:50,2020
94,True,0,True,5,105,active,True,14,False,0,0,2020-07-27 16:35:02+00:00,105,,,2020-07-27 16:42:50,2020
95,True,0,True,5,106,active,True,10,False,0,0,2020-07-27 10:14:30+00:00,106,,,2020-07-27 16:42:50,2020
96,True,0,True,0,107,active,True,18,False,1,0,2020-07-27 16:37:20+00:00,107,,,2020-07-27 16:42:50,2020
97,True,0,True,8,108,active,True,9,False,0,0,2020-07-27 16:19:06+00:00,108,,,2020-07-27 16:42:50,2020
98,True,0,True,14,109,active,True,20,False,1,0,2020-07-27 11:55:27+00:00,109,,,2020-07-27 16:42:50,2020
99,True,0,True,5,110,active,True,8,False,2,0,2020-07-27 16:06:06+00:00,110,,,2020-07-27 16:42:50,2020
100,True,0,True,10,111,active,True,5,False,0,0,2020-07-27 16:37:21+00:00,111,,,2020-07-27 16:42:50,2020
101,True,0,True,3,112,active,True,12,False,0,0,2020-07-27 16:32:22+00:00,112,,,2020-07-27 16:42:50,2020
102,True,0,True,6,113,active,True,9,False,0,0,2020-07-27 14:41:40+00:00,113,,,2020-07-27 16:42:50,2020
103,True,0,True,11,114,active,True,4,False,0,0,2020-07-27 15:12:40+00:00,114,,,2020-07-27 16:42:50,2020
104,True,0,True,13,115,active,True,6,False,0,0,2020-07-27 16:08:11+00:00,115,,,2020-07-27 16:42:50,2020
105,True,0,True,11,116,active,True,12,False,0,0,2020-07-27 16:35:44+00:00,116,,,2020-07-27 16:42:50,2020
106,True,0,True,8,117,active,True,10,False,1,0,2020-07-27 16:35:30+00:00,117,,,2020-07-27 16:42:50,2020
107,True,0,True,7,118,active,True,11,False,1,0,2020-07-27 16:21:06+00:00,118,,,2020-07-27 16:42:50,2020
108,True,0,True,6,119,active,True,9,False,0,0,2020-07-27 16:06:11+00:00,119,,,2020-07-27 16:42:50,2020
109,True,0,True,8,120,active,True,7,False,0,0,2020-07-27 16:28:10+00:00,120,,,2020-07-27 16:42:50,2020
110,True,0,True,16,121,active,True,1,False,0,0,2020-07-27 15:54:49+00:00,121,,,2020-07-27 16:42:50,2020
111,True,0,True,4,122,active,True,10,False,1,0,2020-07-27 16:36:38+00:00,122,,,2020-07-27 16:42:50,2020
112,True,0,True,15,124,active,True,0,False,0,0,2020-07-27 15:45:04+00:00,124,,,2020-07-27 16:42:50,2020
113,True,0,True,7,125,active,True,8,False,0,0,2020-07-27 16:30:57+00:00,125,,,2020-07-27 16:42:50,2020
114,True,0,True,12,126,active,True,3,False,0,0,2020-07-27 14:47:55+00:00,126,,,2020-07-27 16:42:50,2020
115,True,0,True,8,128,active,True,10,False,1,0,2020-07-27 16:19:27+00:00,128,,,2020-07-27 16:42:50,2020
116,True,0,True,9,129,active,True,10,False,0,0,2020-07-27 15:29:51+00:00,129,,,2020-07-27 16:42:50,2020
117,True,0,True,8,130,active,True,7,False,0,0,2020-07-27 16:28:07+00:00,130,,,2020-07-27 16:42:50,2020
118,True,0,True,6,131,active,True,12,False,0,0,2020-07-27 14:13:01+00:00,131,,,2020-07-27 16:42:50,2020
119,True,0,True,16,133,active,True,7,False,0,0,2020-07-27 15:08:39+00:00,133,,,2020-07-27 16:42:50,2020
120,True,0,True,9,135,active,True,8,False,0,0,2020-07-27 12:42:49+00:00,135,,,2020-07-27 16:42:50,2020
121,True,0,True,3,136,active,True,16,False,0,0,2020-07-27 15:59:55+00:00,136,,,2020-07-27 16:42:50,2020
122,True,0,True,13,137,active,True,2,False,0,0,2020-07-27 15:48:54+00:00,137,,,2020-07-27 16:42:50,2020
123,True,0,True,3,138,active,True,10,False,2,0,2020-07-27 15:14:24+00:00,138,,,2020-07-27 16:42:50,2020
124,True,0,True,15,139,active,True,4,False,0,0,2020-07-27 16:20:03+00:00,139,,,2020-07-27 16:42:50,2020
125,True,0,True,8,140,active,True,8,False,1,0,2020-07-27 16:26:34+00:00,140,,,2020-07-27 16:42:50,2020
126,True,0,True,5,141,active,True,9,False,1,0,2020-07-27 16:35:55+00:00,141,,,2020-07-27 16:42:50,2020
127,True,0,True,2,142,active,True,21,False,0,0,2020-07-27 15:08:48+00:00,142,,,2020-07-27 16:42:50,2020
128,True,0,True,14,143,active,True,9,False,0,0,2020-07-27 16:09:56+00:00,143,,,2020-07-27 16:42:50,2020
129,True,0,True,9,144,active,True,10,False,0,0,2020-07-27 15:46:20+00:00,144,,,2020-07-27 16:42:50,2020
