,is_returning,is_renting,is_installed,eightd_has_available_keys,station_status,last_reported,legacy_id,num_ebikes_available,num_bikes_available,num_docks_available,num_bikes_disabled,station_id,num_docks_disabled,valet,eightd_active_station_services,timestamp_of_data_read_request,year_station_last_reported
0,True,True,True,False,active,2020-07-28 15:59:10+00:00,3,0,5,10,0,3,0,,,2020-07-28 16:04:50,2020
1,True,True,True,False,active,2020-07-28 15:52:06+00:00,4,0,11,8,0,4,0,,,2020-07-28 16:04:50,2020
2,True,True,True,False,active,2020-07-28 16:00:44+00:00,5,0,8,7,0,5,0,,,2020-07-28 16:04:50,2020
3,True,True,True,False,active,2020-07-28 15:43:35+00:00,6,0,5,10,0,6,0,,,2020-07-28 16:04:50,2020
4,True,True,True,False,active,2020-07-28 13:55:33+00:00,7,0,6,9,0,7,0,,,2020-07-28 16:04:50,2020
5,True,True,True,False,active,2020-07-28 16:03:49+00:00,8,0,4,14,1,8,0,,,2020-07-28 16:04:50,2020
6,True,True,True,False,active,2020-07-28 15:23:56+00:00,9,0,7,7,1,9,0,,,2020-07-28 16:04:50,2020
7,True,True,True,False,active,2020-07-28 15:28:23+00:00,10,0,10,1,0,10,0,,,2020-07-28 16:04:50,2020
8,True,True,True,False,active,2020-07-28 16:04:19+00:00,11,0,9,4,2,11,0,"{'dock_blocked_count': 0, 'valet_revision': 69, 'active': True, 'off_dock_count': 52, 'region': 'BOS', 'off_dock_capacity': 50, 'station_id': 'f8346ad7-0de8-11e7-991c-3863bb43a7d0'}",[{'id': 'f8346ad7-0de8-11e7-991c-3863bb43a7d0'}],2020-07-28 16:04:50,2020
9,True,True,True,True,active,2020-07-28 16:01:32+00:00,12,0,17,1,0,12,0,,,2020-07-28 16:04:50,2020
10,True,True,True,False,active,2020-07-28 15:32:05+00:00,13,0,19,0,0,13,0,,,2020-07-28 16:04:50,2020
11,True,True,True,False,active,2020-07-28 16:03:42+00:00,14,0,15,10,0,14,0,,,2020-07-28 16:04:50,2020
12,True,True,True,False,active,2020-07-28 15:54:53+00:00,15,0,12,2,1,15,0,,,2020-07-28 16:04:50,2020
13,True,True,True,True,active,2020-07-28 15:56:58+00:00,16,0,13,5,1,16,0,,,2020-07-28 16:04:50,2020
14,True,True,True,False,active,2020-07-28 15:20:50+00:00,17,0,8,7,0,17,0,,,2020-07-28 16:04:50,2020
15,True,True,True,False,active,2020-07-28 15:15:24+00:00,19,0,4,11,0,19,0,,,2020-07-28 16:04:50,2020
16,True,True,True,True,active,2020-07-28 16:01:39+00:00,20,0,3,20,0,20,0,,,2020-07-28 16:04:50,2020
17,True,True,True,True,active,2020-07-28 15:49:47+00:00,21,0,9,8,1,21,0,,,2020-07-28 16:04:50,2020
18,True,True,True,True,active,2020-07-28 15:17:01+00:00,22,0,5,42,0,22,0,,,2020-07-28 16:04:50,2020
19,True,True,True,True,active,2020-07-28 15:28:58+00:00,23,0,15,4,2,23,0,,,2020-07-28 16:04:50,2020
20,True,True,True,False,active,2020-07-28 16:02:41+00:00,24,0,8,11,0,24,0,,,2020-07-28 16:04:50,2020
21,True,True,True,False,active,2020-07-28 15:57:17+00:00,25,0,11,4,0,25,0,,,2020-07-28 16:04:50,2020
22,True,True,True,False,active,2020-07-28 15:50:47+00:00,26,0,12,3,0,26,0,,,2020-07-28 16:04:50,2020
23,True,True,True,False,active,2020-07-28 15:34:30+00:00,27,0,13,10,0,27,0,,,2020-07-28 16:04:50,2020
24,True,True,True,False,active,2020-07-28 16:01:36+00:00,29,0,13,1,1,29,0,,,2020-07-28 16:04:50,2020
25,True,True,True,False,active,2020-07-28 15:38:58+00:00,30,0,10,5,0,30,0,,,2020-07-28 16:04:50,2020
26,True,True,True,True,active,2020-07-28 14:04:41+00:00,31,0,10,9,0,31,0,,,2020-07-28 16:04:50,2020
27,True,True,True,False,active,2020-07-28 15:30:55+00:00,32,0,1,14,0,32,0,,,2020-07-28 16:04:50,2020
28,True,True,True,False,active,2020-07-28 15:59:04+00:00,33,0,10,16,1,33,0,,,2020-07-28 16:04:50,2020
29,True,True,True,False,active,2020-07-28 15:55:49+00:00,35,0,15,8,0,35,0,,,2020-07-28 16:04:50,2020
30,True,True,True,True,active,2020-07-28 15:59:14+00:00,36,0,20,12,1,36,0,,,2020-07-28 16:04:50,2020
31,True,True,True,True,active,2020-07-28 15:43:16+00:00,37,0,1,14,0,37,0,,,2020-07-28 16:04:50,2020
32,True,True,True,False,active,2020-07-28 16:02:32+00:00,39,0,22,1,0,39,0,,,2020-07-28 16:04:50,2020
33,True,True,True,False,active,2020-07-28 15:57:58+00:00,40,0,13,6,0,40,0,,,2020-07-28 16:04:50,2020
34,True,True,True,True,active,2020-07-28 15:22:03+00:00,41,0,18,8,1,41,0,,,2020-07-28 16:04:50,2020
35,True,True,True,False,active,2020-07-28 15:07:52+00:00,42,0,21,1,1,42,0,,,2020-07-28 16:04:50,2020
36,True,True,True,True,active,2020-07-28 15:27:37+00:00,43,0,8,7,0,43,0,,,2020-07-28 16:04:50,2020
37,True,True,True,False,active,2020-07-28 15:11:56+00:00,44,0,6,17,0,44,0,,,2020-07-28 16:04:50,2020
38,True,True,True,False,active,2020-07-28 16:02:56+00:00,46,0,5,14,0,46,0,,,2020-07-28 16:04:50,2020
39,True,True,True,True,active,2020-07-28 15:59:05+00:00,47,0,7,12,0,47,0,,,2020-07-28 16:04:50,2020
40,True,True,True,False,active,2020-07-28 15:05:50+00:00,48,0,8,10,1,48,0,,,2020-07-28 16:04:50,2020
41,True,True,True,False,active,2020-07-28 15:27:45+00:00,49,0,2,15,1,49,0,,,2020-07-28 16:04:50,2020
42,True,True,True,True,active,2020-07-28 16:00:44+00:00,50,0,7,8,0,50,0,,,2020-07-28 16:04:50,2020
43,False,False,True,False,active,2020-07-28 13:37:37+00:00,51,0,6,4,5,51,0,,,2020-07-28 16:04:50,2020
44,True,True,True,True,active,2020-07-28 16:02:35+00:00,52,0,6,15,2,52,0,,,2020-07-28 16:04:50,2020
45,True,True,True,False,active,2020-07-28 16:00:08+00:00,53,0,5,14,0,53,0,,,2020-07-28 16:04:50,2020
46,True,True,True,False,active,2020-07-28 15:11:35+00:00,54,0,14,0,1,54,0,,,2020-07-28 16:04:50,2020
47,False,False,True,False,active,2020-07-28 13:38:09+00:00,55,0,10,4,1,55,0,,,2020-07-28 16:04:50,2020
48,True,True,True,True,active,2020-07-28 15:19:51+00:00,56,0,16,2,0,56,0,,,2020-07-28 16:04:50,2020
49,True,True,True,True,active,2020-07-28 15:59:28+00:00,57,0,6,8,0,57,0,,,2020-07-28 16:04:50,2020
50,True,True,True,True,active,2020-07-28 15:38:29+00:00,58,0,9,10,0,58,0,,,2020-07-28 16:04:50,2020
51,True,True,True,True,active,2020-07-28 15:57:10+00:00,59,0,7,12,0,59,0,,,2020-07-28 16:04:50,2020
52,True,True,True,False,active,2020-07-28 16:04:26+00:00,60,0,12,7,0,60,0,"{'dock_blocked_count': 0, 'valet_revision': 59, 'active': True, 'off_dock_count': 34, 'region': 'BOS', 'off_dock_capacity': 40, 'station_id': 'f8348a68-0de8-11e7-991c-3863bb43a7d0'}",[{'id': 'f8348a68-0de8-11e7-991c-3863bb43a7d0'}],2020-07-28 16:04:50,2020
53,True,True,True,False,active,2020-07-28 16:00:13+00:00,61,0,10,9,0,61,0,,,2020-07-28 16:04:50,2020
54,True,True,True,False,active,2020-07-28 14:10:19+00:00,63,0,13,2,0,63,0,,,2020-07-28 16:04:50,2020
55,True,True,True,False,active,2020-07-28 15:33:17+00:00,64,0,13,6,0,64,0,,,2020-07-28 16:04:50,2020
56,True,True,True,False,active,2020-07-28 13:03:59+00:00,65,0,9,13,1,65,0,,,2020-07-28 16:04:50,2020
57,True,True,True,False,active,2020-07-28 15:41:56+00:00,66,0,0,15,0,66,0,,,2020-07-28 16:04:50,2020
58,True,True,True,True,active,2020-07-28 15:58:41+00:00,67,0,11,13,3,67,0,,,2020-07-28 16:04:50,2020
59,True,True,True,True,active,2020-07-28 15:56:22+00:00,68,0,9,10,0,68,0,,,2020-07-28 16:04:50,2020
60,True,True,True,True,active,2020-07-28 15:51:23+00:00,69,0,3,14,2,69,0,,,2020-07-28 16:04:50,2020
61,True,True,True,False,active,2020-07-28 15:30:51+00:00,70,0,9,14,0,70,0,,,2020-07-28 16:04:50,2020
62,True,True,True,False,active,2020-07-28 15:10:54+00:00,71,0,12,11,0,71,0,,,2020-07-28 16:04:50,2020
63,True,True,True,False,active,2020-07-28 15:44:10+00:00,72,0,7,16,0,72,0,,,2020-07-28 16:04:50,2020
64,True,True,True,False,active,2020-07-28 15:37:32+00:00,73,0,14,1,0,73,0,,,2020-07-28 16:04:50,2020
65,True,True,True,True,active,2020-07-28 15:57:32+00:00,74,0,12,4,3,74,0,,,2020-07-28 16:04:50,2020
66,True,True,True,False,active,2020-07-28 15:58:08+00:00,75,0,0,14,1,75,0,,,2020-07-28 16:04:50,2020
67,True,True,True,False,active,2020-07-28 15:56:22+00:00,76,0,3,14,0,76,0,,,2020-07-28 16:04:50,2020
68,True,True,True,False,active,2020-07-28 15:49:52+00:00,77,0,0,15,0,77,0,,,2020-07-28 16:04:50,2020
69,True,True,True,False,active,2020-07-28 15:38:08+00:00,78,0,11,7,1,78,0,,,2020-07-28 16:04:50,2020
70,True,True,True,False,active,2020-07-28 15:16:31+00:00,79,0,9,9,1,79,0,,,2020-07-28 16:04:50,2020
71,True,True,True,False,active,2020-07-28 15:44:57+00:00,80,0,26,9,0,80,0,,,2020-07-28 16:04:50,2020
72,True,True,True,False,active,2020-07-28 15:07:26+00:00,81,0,2,17,0,81,0,,,2020-07-28 16:04:50,2020
73,True,True,True,False,active,2020-07-28 15:29:27+00:00,82,0,7,8,0,82,0,,,2020-07-28 16:04:50,2020
74,True,True,True,False,active,2020-07-28 15:56:48+00:00,84,0,5,9,1,84,0,,,2020-07-28 16:04:50,2020
75,True,True,True,False,active,2020-07-28 15:43:21+00:00,85,0,16,3,0,85,0,,,2020-07-28 16:04:50,2020
76,True,True,True,False,active,2020-07-28 15:49:00+00:00,86,0,7,12,0,86,0,,,2020-07-28 16:04:50,2020
77,True,True,True,False,active,2020-07-28 15:57:13+00:00,87,0,6,9,0,87,0,,,2020-07-28 16:04:50,2020
78,True,True,True,False,active,2020-07-28 15:50:43+00:00,89,0,6,12,1,89,0,,,2020-07-28 16:04:50,2020
79,True,True,True,False,active,2020-07-28 15:31:57+00:00,90,0,12,7,0,90,0,,,2020-07-28 16:04:50,2020
80,True,True,True,False,active,2020-07-28 15:53:26+00:00,91,0,8,11,0,91,0,,,2020-07-28 16:04:50,2020
81,True,True,True,False,active,2020-07-28 13:05:08+00:00,92,0,14,4,1,92,0,,,2020-07-28 16:04:50,2020
82,True,True,True,False,active,2020-07-28 15:50:59+00:00,93,0,4,10,1,93,0,,,2020-07-28 16:04:50,2020
83,True,True,True,False,active,2020-07-28 14:24:10+00:00,94,0,11,0,0,94,0,,,2020-07-28 16:04:50,2020
84,True,True,True,False,active,2020-07-28 15:12:57+00:00,95,0,11,4,0,95,0,,,2020-07-28 16:04:50,2020
85,True,True,True,False,active,2020-07-28 15:56:35+00:00,96,0,2,17,0,96,0,,,2020-07-28 16:04:50,2020
86,True,True,True,False,active,2020-07-28 15:14:55+00:00,97,0,1,18,0,97,0,,,2020-07-28 16:04:50,2020
87,True,True,True,False,active,2020-07-28 16:04:06+00:00,98,0,7,15,0,98,0,,,2020-07-28 16:04:50,2020
88,True,True,True,False,active,2020-07-28 14:31:27+00:00,99,0,8,7,0,99,0,,,2020-07-28 16:04:50,2020
89,True,True,True,True,active,2020-07-28 15:46:19+00:00,100,0,14,9,2,100,0,,,2020-07-28 16:04:50,2020
90,True,True,True,False,active,2020-07-28 11:38:24+00:00,101,0,0,15,0,101,0,,,2020-07-28 16:04:50,2020
91,True,True,True,False,active,2020-07-28 15:51:56+00:00,102,0,0,13,2,102,0,,,2020-07-28 16:04:50,2020
92,True,True,True,False,active,2020-07-28 14:41:00+00:00,103,0,5,10,0,103,0,,,2020-07-28 16:04:50,2020
93,True,True,True,False,active,2020-07-28 15:53:00+00:00,104,0,9,10,0,104,0,,,2020-07-28 16:04:50,2020
94,True,True,True,False,active,2020-07-28 15:56:14+00:00,105,0,19,0,0,105,0,,,2020-07-28 16:04:50,2020
95,True,True,True,False,active,2020-07-28 12:53:25+00:00,106,0,9,6,0,106,0,,,2020-07-28 16:04:50,2020
96,True,True,True,False,active,2020-07-28 16:04:46+00:00,107,0,8,11,0,107,0,,,2020-07-28 16:04:50,2020
97,True,True,True,False,active,2020-07-28 13:19:20+00:00,108,0,6,11,0,108,0,,,2020-07-28 16:04:50,2020
98,True,True,True,False,active,2020-07-28 15:59:57+00:00,109,0,21,12,2,109,0,,,2020-07-28 16:04:50,2020
99,True,True,True,False,active,2020-07-28 15:48:09+00:00,110,0,4,7,4,110,0,,,2020-07-28 16:04:50,2020
100,True,True,True,False,active,2020-07-28 12:49:26+00:00,111,0,3,12,0,111,0,,,2020-07-28 16:04:50,2020
101,True,True,True,False,active,2020-07-28 14:48:55+00:00,112,0,9,6,0,112,0,,,2020-07-28 16:04:50,2020
102,True,True,True,False,active,2020-07-28 13:56:57+00:00,113,0,2,13,0,113,0,,,2020-07-28 16:04:50,2020
103,True,True,True,False,active,2020-07-28 16:03:23+00:00,114,0,4,11,0,114,0,,,2020-07-28 16:04:50,2020
104,True,True,True,False,active,2020-07-28 16:03:59+00:00,115,0,7,12,0,115,0,,,2020-07-28 16:04:50,2020
105,True,True,True,False,active,2020-07-28 15:43:46+00:00,116,0,8,15,0,116,0,,,2020-07-28 16:04:50,2020
106,True,True,True,False,active,2020-07-28 15:50:10+00:00,117,0,16,3,0,117,0,,,2020-07-28 16:04:50,2020
107,True,True,True,False,active,2020-07-28 15:35:31+00:00,118,0,13,6,0,118,0,,,2020-07-28 16:04:50,2020
108,True,True,True,False,active,2020-07-28 15:48:18+00:00,119,0,7,8,0,119,0,,,2020-07-28 16:04:50,2020
109,True,True,True,False,active,2020-07-28 15:01:55+00:00,120,0,10,5,0,120,0,,,2020-07-28 16:04:50,2020
110,True,True,True,False,active,2020-07-28 13:56:30+00:00,121,0,1,15,1,121,0,,,2020-07-28 16:04:50,2020
111,True,True,True,False,active,2020-07-28 16:00:07+00:00,122,0,9,6,0,122,0,,,2020-07-28 16:04:50,2020
112,True,True,True,False,active,2020-07-28 14:40:00+00:00,124,0,2,13,0,124,0,,,2020-07-28 16:04:50,2020
113,True,True,True,False,active,2020-07-28 15:56:15+00:00,125,0,0,15,0,125,0,,,2020-07-28 16:04:50,2020
114,True,True,True,False,active,2020-07-28 14:46:07+00:00,126,0,1,14,0,126,0,,,2020-07-28 16:04:50,2020
115,True,True,True,False,active,2020-07-28 15:47:32+00:00,128,0,8,10,1,128,0,,,2020-07-28 16:04:50,2020
116,True,True,True,False,active,2020-07-28 15:44:34+00:00,129,0,8,11,0,129,0,,,2020-07-28 16:04:50,2020
117,True,True,True,False,active,2020-07-28 16:02:32+00:00,130,0,7,8,0,130,0,,,2020-07-28 16:04:50,2020
118,True,True,True,False,active,2020-07-28 15:23:04+00:00,131,0,11,6,1,131,0,,,2020-07-28 16:04:50,2020
119,True,True,True,False,active,2020-07-28 15:18:49+00:00,133,0,1,21,1,133,0,,,2020-07-28 16:04:50,2020
120,True,True,True,False,active,2020-07-28 15:44:56+00:00,135,0,8,8,1,135,0,,,2020-07-28 16:04:50,2020
121,True,True,True,False,active,2020-07-28 14:15:37+00:00,136,0,17,1,1,136,0,,,2020-07-28 16:04:50,2020
122,True,True,True,False,active,2020-07-28 15:42:00+00:00,137,0,2,13,0,137,0,,,2020-07-28 16:04:50,2020
123,True,True,True,False,active,2020-07-28 16:03:31+00:00,138,0,8,6,1,138,0,,,2020-07-28 16:04:50,2020
124,True,True,True,False,active,2020-07-28 15:50:40+00:00,139,0,2,16,1,139,0,,,2020-07-28 16:04:50,2020
125,True,True,True,False,active,2020-07-28 13:55:49+00:00,140,0,6,10,1,140,0,,,2020-07-28 16:04:50,2020
126,True,True,True,False,active,2020-07-28 15:59:26+00:00,141,0,9,5,1,141,0,,,2020-07-28 16:04:50,2020
127,True,True,True,False,active,2020-07-28 14:19:46+00:00,142,0,19,3,1,142,0,,,2020-07-28 16:04:50,2020
