,num_docks_available,is_renting,station_status,is_installed,last_reported,num_bikes_disabled,is_returning,eightd_has_available_keys,station_id,num_docks_disabled,num_ebikes_available,num_bikes_available,legacy_id,eightd_active_station_services,valet,timestamp_of_data_read_request,year_station_last_reported
0,10,True,active,True,2020-07-28 15:59:10+00:00,0,True,False,3,0,0,5,3,,,2020-07-28 16:27:15,2020
1,7,True,active,True,2020-07-28 16:25:21+00:00,0,True,False,4,0,0,12,4,,,2020-07-28 16:27:15,2020
2,8,True,active,True,2020-07-28 16:15:24+00:00,0,True,False,5,0,0,7,5,,,2020-07-28 16:27:15,2020
3,12,True,active,True,2020-07-28 16:12:08+00:00,0,True,False,6,0,0,3,6,,,2020-07-28 16:27:15,2020
4,9,True,active,True,2020-07-28 13:55:33+00:00,0,True,False,7,0,0,6,7,,,2020-07-28 16:27:15,2020
5,15,True,active,True,2020-07-28 16:23:44+00:00,1,True,False,8,0,0,3,8,,,2020-07-28 16:27:15,2020
6,6,True,active,True,2020-07-28 16:22:38+00:00,1,True,False,9,0,0,8,9,,,2020-07-28 16:27:15,2020
7,2,True,active,True,2020-07-28 16:24:37+00:00,1,True,False,10,0,0,8,10,,,2020-07-28 16:27:15,2020
8,4,True,active,True,2020-07-28 16:26:13+00:00,1,True,False,11,0,0,10,11,[{'id': 'f8346ad7-0de8-11e7-991c-3863bb43a7d0'}],"{'valet_revision': 69, 'off_dock_count': 52, 'active': True, 'dock_blocked_count': 0, 'station_id': 'f8346ad7-0de8-11e7-991c-3863bb43a7d0', 'off_dock_capacity': 50, 'region': 'BOS'}",2020-07-28 16:27:15,2020
9,2,True,active,True,2020-07-28 16:07:47+00:00,0,True,True,12,0,0,16,12,,,2020-07-28 16:27:15,2020
10,2,True,active,True,2020-07-28 16:22:33+00:00,0,True,False,13,0,0,17,13,,,2020-07-28 16:27:15,2020
11,11,True,active,True,2020-07-28 16:25:32+00:00,0,True,False,14,0,0,14,14,,,2020-07-28 16:27:15,2020
12,2,True,active,True,2020-07-28 15:54:53+00:00,1,True,False,15,0,0,12,15,,,2020-07-28 16:27:15,2020
13,7,True,active,True,2020-07-28 16:23:24+00:00,1,True,True,16,0,0,11,16,,,2020-07-28 16:27:15,2020
14,7,True,active,True,2020-07-28 16:16:47+00:00,0,True,False,17,0,0,8,17,,,2020-07-28 16:27:15,2020
15,12,True,active,True,2020-07-28 16:20:56+00:00,0,True,False,19,0,0,3,19,,,2020-07-28 16:27:15,2020
16,21,True,active,True,2020-07-28 16:25:09+00:00,0,True,True,20,0,0,2,20,,,2020-07-28 16:27:15,2020
17,8,True,active,True,2020-07-28 15:49:47+00:00,1,True,True,21,0,0,9,21,,,2020-07-28 16:27:15,2020
18,41,True,active,True,2020-07-28 16:10:17+00:00,0,True,True,22,0,0,6,22,,,2020-07-28 16:27:15,2020
19,4,True,active,True,2020-07-28 16:14:55+00:00,2,True,True,23,0,0,15,23,,,2020-07-28 16:27:15,2020
20,12,True,active,True,2020-07-28 16:21:48+00:00,0,True,False,24,0,0,7,24,,,2020-07-28 16:27:15,2020
21,3,True,active,True,2020-07-28 16:21:11+00:00,0,True,False,25,0,0,12,25,,,2020-07-28 16:27:15,2020
22,2,True,active,True,2020-07-28 16:15:02+00:00,0,True,False,26,0,0,13,26,,,2020-07-28 16:27:15,2020
23,11,True,active,True,2020-07-28 16:18:27+00:00,0,True,False,27,0,0,12,27,,,2020-07-28 16:27:15,2020
24,1,True,active,True,2020-07-28 16:01:36+00:00,1,True,False,29,0,0,13,29,,,2020-07-28 16:27:15,2020
25,5,True,active,True,2020-07-28 15:38:58+00:00,0,True,False,30,0,0,10,30,,,2020-07-28 16:27:15,2020
26,9,True,active,True,2020-07-28 14:04:41+00:00,0,True,True,31,0,0,10,31,,,2020-07-28 16:27:15,2020
27,13,True,active,True,2020-07-28 16:07:14+00:00,0,True,False,32,0,0,2,32,,,2020-07-28 16:27:15,2020
28,17,True,active,True,2020-07-28 16:20:22+00:00,1,True,False,33,0,0,9,33,,,2020-07-28 16:27:15,2020
29,8,True,active,True,2020-07-28 15:55:49+00:00,0,True,False,35,0,0,15,35,,,2020-07-28 16:27:15,2020
30,11,True,active,True,2020-07-28 16:21:34+00:00,1,True,True,36,0,0,21,36,,,2020-07-28 16:27:15,2020
31,14,True,active,True,2020-07-28 15:43:16+00:00,0,True,True,37,0,0,1,37,,,2020-07-28 16:27:15,2020
32,2,True,active,True,2020-07-28 16:19:14+00:00,0,True,False,39,0,0,21,39,,,2020-07-28 16:27:15,2020
33,6,True,active,True,2020-07-28 16:17:01+00:00,0,True,False,40,0,0,13,40,,,2020-07-28 16:27:15,2020
