,legacy_id,num_bikes_disabled,station_status,is_returning,num_ebikes_available,station_id,num_bikes_available,eightd_has_available_keys,is_installed,num_docks_available,last_reported,num_docks_disabled,is_renting,eightd_active_station_services,valet,timestamp_of_data_read_request,year_station_last_reported
0,3,0,active,True,0,3,3,False,True,12,2020-07-28 16:35:29+00:00,0,True,,,2020-07-28 16:37:25,2020
1,4,0,active,True,0,4,14,False,True,5,2020-07-28 16:31:00+00:00,0,True,,,2020-07-28 16:37:25,2020
2,5,0,active,True,0,5,7,False,True,8,2020-07-28 16:15:24+00:00,0,True,,,2020-07-28 16:37:25,2020
3,6,0,active,True,0,6,2,False,True,13,2020-07-28 16:34:31+00:00,0,True,,,2020-07-28 16:37:25,2020
4,7,0,active,True,0,7,6,False,True,9,2020-07-28 13:55:33+00:00,0,True,,,2020-07-28 16:37:25,2020
5,8,2,active,True,0,8,2,False,True,15,2020-07-28 16:36:24+00:00,0,True,,,2020-07-28 16:37:25,2020
6,9,1,active,True,0,9,9,False,True,5,2020-07-28 16:29:49+00:00,0,True,,,2020-07-28 16:37:25,2020
7,10,1,active,True,0,10,8,False,True,2,2020-07-28 16:28:12+00:00,0,True,,,2020-07-28 16:37:25,2020
8,11,1,active,True,0,11,11,False,True,3,2020-07-28 16:29:58+00:00,0,True,[{'id': 'f8346ad7-0de8-11e7-991c-3863bb43a7d0'}],"{'region': 'BOS', 'valet_revision': 69, 'off_dock_capacity': 50, 'station_id': 'f8346ad7-0de8-11e7-991c-3863bb43a7d0', 'dock_blocked_count': 0, 'active': True, 'off_dock_count': 52}",2020-07-28 16:37:25,2020
9,12,0,active,True,0,12,16,True,True,2,2020-07-28 16:07:47+00:00,0,True,,,2020-07-28 16:37:25,2020
10,13,0,active,True,0,13,18,False,True,1,2020-07-28 16:28:44+00:00,0,True,,,2020-07-28 16:37:25,2020
11,14,0,active,True,0,14,15,False,True,10,2020-07-28 16:28:36+00:00,0,True,,,2020-07-28 16:37:25,2020
12,15,0,active,True,0,15,11,False,True,4,2020-07-28 16:32:12+00:00,0,True,,,2020-07-28 16:37:25,2020
13,16,1,active,True,0,16,12,True,True,6,2020-07-28 16:35:58+00:00,0,True,,,2020-07-28 16:37:25,2020
14,17,0,active,True,0,17,8,False,True,7,2020-07-28 16:16:47+00:00,0,True,,,2020-07-28 16:37:25,2020
15,19,0,active,True,0,19,2,False,True,13,2020-07-28 16:28:52+00:00,0,True,,,2020-07-28 16:37:25,2020
16,20,0,active,True,0,20,2,True,True,21,2020-07-28 16:25:09+00:00,0,True,,,2020-07-28 16:37:25,2020
17,21,1,active,True,0,21,9,True,True,8,2020-07-28 15:49:47+00:00,0,True,,,2020-07-28 16:37:25,2020
18,22,0,active,True,0,22,6,True,True,41,2020-07-28 16:10:17+00:00,0,True,,,2020-07-28 16:37:25,2020
19,23,2,active,True,0,23,17,True,True,2,2020-07-28 16:34:06+00:00,0,True,,,2020-07-28 16:37:25,2020
20,24,0,active,True,0,24,8,False,True,11,2020-07-28 16:33:24+00:00,0,True,,,2020-07-28 16:37:25,2020
21,25,0,active,True,0,25,12,False,True,3,2020-07-28 16:21:11+00:00,0,True,,,2020-07-28 16:37:25,2020
22,26,0,active,True,0,26,13,False,True,2,2020-07-28 16:15:02+00:00,0,True,,,2020-07-28 16:37:25,2020
23,27,0,active,True,0,27,12,False,True,11,2020-07-28 16:18:27+00:00,0,True,,,2020-07-28 16:37:25,2020
24,29,1,active,True,0,29,13,False,True,1,2020-07-28 16:01:36+00:00,0,True,,,2020-07-28 16:37:25,2020
25,30,0,active,True,0,30,10,False,True,5,2020-07-28 16:36:29+00:00,0,True,,,2020-07-28 16:37:25,2020
26,31,0,active,True,0,31,10,True,True,9,2020-07-28 14:04:41+00:00,0,True,,,2020-07-28 16:37:25,2020
27,32,0,active,True,0,32,1,False,True,14,2020-07-28 16:34:04+00:00,0,True,,,2020-07-28 16:37:25,2020
28,33,1,active,True,0,33,8,False,True,18,2020-07-28 16:30:10+00:00,0,True,,,2020-07-28 16:37:25,2020
29,35,1,active,True,0,35,16,False,True,6,2020-07-28 16:34:10+00:00,0,True,,,2020-07-28 16:37:25,2020
30,36,1,active,True,0,36,22,True,True,10,2020-07-28 16:29:24+00:00,0,True,,,2020-07-28 16:37:25,2020
31,37,0,active,True,0,37,1,True,True,14,2020-07-28 15:43:16+00:00,0,True,,,2020-07-28 16:37:25,2020
32,39,0,active,True,0,39,21,False,True,2,2020-07-28 16:19:14+00:00,0,True,,,2020-07-28 16:37:25,2020
33,40,0,active,True,0,40,14,False,True,5,2020-07-28 16:34:09+00:00,0,True,,,2020-07-28 16:37:25,2020
34,41,1,active,True,0,41,17,True,True,9,2020-07-28 16:24:39+00:00,0,True,,,2020-07-28 16:37:25,2020
35,42,1,active,True,0,42,21,False,True,1,2020-07-28 15:07:52+00:00,0,True,,,2020-07-28 16:37:25,2020
36,43,0,active,True,0,43,8,True,True,7,2020-07-28 15:27:37+00:00,0,True,,,2020-07-28 16:37:25,2020
37,44,0,active,True,0,44,6,False,True,17,2020-07-28 15:11:56+00:00,0,True,,,2020-07-28 16:37:25,2020
38,46,0,active,True,0,46,7,False,True,12,2020-07-28 16:28:49+00:00,0,True,,,2020-07-28 16:37:25,2020
39,47,0,active,True,0,47,8,True,True,11,2020-07-28 16:32:21+00:00,0,True,,,2020-07-28 16:37:25,2020
40,48,1,active,True,0,48,8,False,True,10,2020-07-28 15:05:50+00:00,0,True,,,2020-07-28 16:37:25,2020
41,49,1,active,True,0,49,1,False,True,16,2020-07-28 16:10:35+00:00,0,True,,,2020-07-28 16:37:25,2020
42,50,0,active,True,0,50,8,True,True,7,2020-07-28 16:33:06+00:00,0,True,,,2020-07-28 16:37:25,2020
43,51,3,active,False,0,51,10,False,True,2,2020-07-28 16:13:03+00:00,0,False,,,2020-07-28 16:37:25,2020
44,52,2,active,True,0,52,6,True,True,15,2020-07-28 16:34:34+00:00,0,True,,,2020-07-28 16:37:25,2020
45,53,0,active,True,0,53,5,False,True,14,2020-07-28 16:00:08+00:00,0,True,,,2020-07-28 16:37:25,2020
46,54,1,active,True,0,54,14,False,True,0,2020-07-28 15:11:35+00:00,0,True,,,2020-07-28 16:37:25,2020
47,55,1,active,False,0,55,10,False,True,4,2020-07-28 13:38:09+00:00,0,False,,,2020-07-28 16:37:25,2020
48,56,0,active,True,0,56,15,True,True,3,2020-07-28 16:19:47+00:00,0,True,,,2020-07-28 16:37:25,2020
49,57,0,active,True,0,57,6,True,True,8,2020-07-28 15:59:28+00:00,0,True,,,2020-07-28 16:37:25,2020
50,58,0,active,True,0,58,8,True,True,11,2020-07-28 16:22:16+00:00,0,True,,,2020-07-28 16:37:25,2020
51,59,0,active,True,0,59,6,True,True,13,2020-07-28 16:05:54+00:00,0,True,,,2020-07-28 16:37:25,2020
52,60,0,active,True,0,60,13,False,True,6,2020-07-28 16:31:04+00:00,0,True,[{'id': 'f8348a68-0de8-11e7-991c-3863bb43a7d0'}],"{'region': 'BOS', 'valet_revision': 59, 'off_dock_capacity': 40, 'station_id': 'f8348a68-0de8-11e7-991c-3863bb43a7d0', 'dock_blocked_count': 0, 'active': True, 'off_dock_count': 34}",2020-07-28 16:37:25,2020
53,61,0,active,True,0,61,7,False,True,12,2020-07-28 16:32:56+00:00,0,True,,,2020-07-28 16:37:25,2020
54,63,0,active,True,0,63,13,False,True,2,2020-07-28 14:10:19+00:00,0,True,,,2020-07-28 16:37:25,2020
55,64,0,active,True,0,64,15,False,True,4,2020-07-28 16:27:32+00:00,0,True,,,2020-07-28 16:37:25,2020
