,num_bikes_disabled,is_installed,num_bikes_available,is_renting,legacy_id,num_docks_available,is_returning,last_reported,station_status,num_ebikes_available,station_id,eightd_has_available_keys,num_docks_disabled,valet,eightd_active_station_services,timestamp_of_data_read_request,year_station_last_reported
0,0,True,2,True,3,13,True,2020-07-28 18:09:55+00:00,active,0,3,False,0,,,2020-07-28 18:29:40,2020
1,0,True,18,True,4,1,True,2020-07-28 18:23:22+00:00,active,0,4,False,0,,,2020-07-28 18:29:40,2020
2,0,True,5,True,5,10,True,2020-07-28 18:11:39+00:00,active,0,5,False,0,,,2020-07-28 18:29:40,2020
3,0,True,3,True,6,12,True,2020-07-28 18:14:43+00:00,active,0,6,False,0,,,2020-07-28 18:29:40,2020
4,0,True,7,True,7,8,True,2020-07-28 17:42:57+00:00,active,0,7,False,0,,,2020-07-28 18:29:40,2020
5,1,True,0,True,8,18,True,2020-07-28 18:23:45+00:00,active,0,8,False,0,,,2020-07-28 18:29:40,2020
6,1,True,11,True,9,3,True,2020-07-28 18:21:40+00:00,active,0,9,False,0,,,2020-07-28 18:29:40,2020
7,1,True,8,True,10,2,True,2020-07-28 18:15:20+00:00,active,0,10,False,0,,,2020-07-28 18:29:40,2020
8,1,True,3,True,11,11,True,2020-07-28 18:27:34+00:00,active,0,11,False,0,"{'dock_blocked_count': 0, 'region': 'BOS', 'valet_revision': 69, 'off_dock_count': 52, 'station_id': 'f8346ad7-0de8-11e7-991c-3863bb43a7d0', 'off_dock_capacity': 50, 'active': True}",[{'id': 'f8346ad7-0de8-11e7-991c-3863bb43a7d0'}],2020-07-28 18:29:40,2020
9,0,True,18,True,12,0,True,2020-07-28 18:24:25+00:00,active,0,12,True,0,,,2020-07-28 18:29:40,2020
10,0,True,17,True,13,2,True,2020-07-28 18:27:03+00:00,active,0,13,False,0,,,2020-07-28 18:29:40,2020
11,0,True,15,True,14,10,True,2020-07-28 18:18:50+00:00,active,0,14,False,0,,,2020-07-28 18:29:40,2020
12,0,True,10,True,15,5,True,2020-07-28 18:29:09+00:00,active,0,15,False,0,,,2020-07-28 18:29:40,2020
13,1,True,8,True,16,10,True,2020-07-28 18:28:06+00:00,active,0,16,True,0,,,2020-07-28 18:29:40,2020
14,0,True,10,True,17,5,True,2020-07-28 18:00:38+00:00,active,0,17,False,0,,,2020-07-28 18:29:40,2020
15,0,True,1,True,19,14,True,2020-07-28 17:45:15+00:00,active,0,19,False,0,,,2020-07-28 18:29:40,2020
16,0,True,3,True,20,20,True,2020-07-28 17:41:26+00:00,active,0,20,True,0,,,2020-07-28 18:29:40,2020
17,1,True,4,True,21,13,True,2020-07-28 18:20:17+00:00,active,0,21,True,0,,,2020-07-28 18:29:40,2020
18,0,True,8,True,22,39,True,2020-07-28 18:25:45+00:00,active,0,22,True,0,,,2020-07-28 18:29:40,2020
19,2,True,18,True,23,1,True,2020-07-28 18:07:25+00:00,active,0,23,True,0,,,2020-07-28 18:29:40,2020
20,0,True,9,True,24,10,True,2020-07-28 18:01:40+00:00,active,0,24,False,0,,,2020-07-28 18:29:40,2020
21,0,True,10,True,25,5,True,2020-07-28 18:22:44+00:00,active,0,25,False,0,,,2020-07-28 18:29:40,2020
22,0,True,13,True,26,2,True,2020-07-28 17:50:35+00:00,active,0,26,False,0,,,2020-07-28 18:29:40,2020
23,0,True,13,True,27,10,True,2020-07-28 18:28:29+00:00,active,0,27,False,0,,,2020-07-28 18:29:40,2020
24,1,True,13,True,29,1,True,2020-07-28 16:01:36+00:00,active,0,29,False,0,,,2020-07-28 18:29:40,2020
