,num_bikes_disabled,num_ebikes_available,station_status,num_docks_available,station_id,num_docks_disabled,is_renting,num_bikes_available,is_returning,eightd_has_available_keys,legacy_id,last_reported,is_installed,eightd_active_station_services,valet,timestamp_of_data_read_request,year_station_last_reported
0,0,0,active,11,3,0,True,4,True,True,3,2020-07-28 20:54:09+00:00,True,,,2020-07-28 21:02:45,2020
1,0,0,active,8,4,0,True,11,True,False,4,2020-07-28 20:56:02+00:00,True,,,2020-07-28 21:02:45,2020
2,0,0,active,5,5,0,True,10,True,False,5,2020-07-28 20:51:24+00:00,True,,,2020-07-28 21:02:45,2020
3,0,0,active,10,6,0,True,5,True,False,6,2020-07-28 20:51:46+00:00,True,,,2020-07-28 21:02:45,2020
4,0,0,active,14,7,0,True,1,True,False,7,2020-07-28 20:40:44+00:00,True,,,2020-07-28 21:02:45,2020
5,1,0,active,16,8,0,True,2,True,False,8,2020-07-28 20:57:23+00:00,True,,,2020-07-28 21:02:45,2020
6,1,0,active,5,9,0,True,9,True,False,9,2020-07-28 20:59:18+00:00,True,,,2020-07-28 21:02:45,2020
7,1,0,active,3,10,0,True,7,True,False,10,2020-07-28 21:00:30+00:00,True,,,2020-07-28 21:02:45,2020
8,2,0,active,10,11,0,True,3,True,False,11,2020-07-28 20:59:50+00:00,True,[{'id': 'f8346ad7-0de8-11e7-991c-3863bb43a7d0'}],"{'region': 'BOS', 'active': True, 'dock_blocked_count': 0, 'off_dock_count': 41, 'station_id': 'f8346ad7-0de8-11e7-991c-3863bb43a7d0', 'off_dock_capacity': 50, 'valet_revision': 69}",2020-07-28 21:02:45,2020
9,0,0,active,4,12,0,True,14,True,True,12,2020-07-28 21:01:10+00:00,True,,,2020-07-28 21:02:45,2020
10,0,0,active,14,13,0,True,5,True,False,13,2020-07-28 21:01:42+00:00,True,,,2020-07-28 21:02:45,2020
11,1,0,active,9,14,0,True,15,True,False,14,2020-07-28 21:01:21+00:00,True,,,2020-07-28 21:02:45,2020
12,0,0,active,5,15,0,True,10,True,False,15,2020-07-28 18:29:09+00:00,True,,,2020-07-28 21:02:45,2020
13,1,0,active,12,16,0,True,6,True,True,16,2020-07-28 20:57:42+00:00,True,,,2020-07-28 21:02:45,2020
14,0,0,active,9,17,0,True,6,True,False,17,2020-07-28 21:00:53+00:00,True,,,2020-07-28 21:02:45,2020
15,0,0,active,12,19,0,True,3,True,False,19,2020-07-28 20:43:39+00:00,True,,,2020-07-28 21:02:45,2020
16,0,0,active,11,20,0,True,12,True,True,20,2020-07-28 21:02:16+00:00,True,,,2020-07-28 21:02:45,2020
17,2,0,active,14,21,0,True,2,True,True,21,2020-07-28 20:36:06+00:00,True,,,2020-07-28 21:02:45,2020
18,0,0,active,44,22,0,True,3,True,True,22,2020-07-28 20:58:53+00:00,True,,,2020-07-28 21:02:45,2020
19,2,0,active,9,23,0,True,10,True,True,23,2020-07-28 21:01:30+00:00,True,,,2020-07-28 21:02:45,2020
20,0,0,active,10,24,0,True,9,True,False,24,2020-07-28 20:38:26+00:00,True,,,2020-07-28 21:02:45,2020
21,0,0,active,1,25,0,True,14,True,False,25,2020-07-28 21:00:20+00:00,True,,,2020-07-28 21:02:45,2020
22,0,0,active,2,26,0,True,13,True,False,26,2020-07-28 20:42:15+00:00,True,,,2020-07-28 21:02:45,2020
23,0,0,active,12,27,0,True,11,True,False,27,2020-07-28 21:00:16+00:00,True,,,2020-07-28 21:02:45,2020
24,1,0,active,2,29,0,True,12,True,False,29,2020-07-28 18:55:47+00:00,True,,,2020-07-28 21:02:45,2020
25,0,0,active,4,30,0,True,11,True,False,30,2020-07-28 20:47:08+00:00,True,,,2020-07-28 21:02:45,2020
26,0,0,active,15,31,0,True,4,True,True,31,2020-07-28 20:44:49+00:00,True,,,2020-07-28 21:02:45,2020
27,0,0,active,14,32,0,True,1,True,False,32,2020-07-28 20:56:35+00:00,True,,,2020-07-28 21:02:45,2020
28,2,0,active,20,33,0,True,5,True,False,33,2020-07-28 20:41:36+00:00,True,,,2020-07-28 21:02:45,2020
29,1,0,active,15,35,0,True,7,True,False,35,2020-07-28 20:50:22+00:00,True,,,2020-07-28 21:02:45,2020
30,1,0,active,12,36,0,True,20,True,True,36,2020-07-28 20:50:04+00:00,True,,,2020-07-28 21:02:45,2020
31,0,0,active,14,37,0,True,1,True,True,37,2020-07-28 20:55:56+00:00,True,,,2020-07-28 21:02:45,2020
32,0,0,active,10,39,0,True,13,True,False,39,2020-07-28 21:01:23+00:00,True,,,2020-07-28 21:02:45,2020
33,2,0,active,2,40,0,True,15,True,False,40,2020-07-28 20:44:36+00:00,True,,,2020-07-28 21:02:45,2020
34,1,0,active,11,41,0,True,15,True,True,41,2020-07-28 21:02:20+00:00,True,,,2020-07-28 21:02:45,2020
35,1,0,active,7,42,0,True,15,True,False,42,2020-07-28 20:56:45+00:00,True,,,2020-07-28 21:02:45,2020
36,0,0,active,10,43,0,True,5,True,True,43,2020-07-28 20:51:47+00:00,True,,,2020-07-28 21:02:45,2020
37,0,0,active,15,44,0,True,8,True,False,44,2020-07-28 20:53:53+00:00,True,,,2020-07-28 21:02:45,2020
38,1,0,active,7,46,0,True,11,True,False,46,2020-07-28 20:45:19+00:00,True,,,2020-07-28 21:02:45,2020
39,0,0,active,9,47,0,True,10,True,True,47,2020-07-28 20:59:11+00:00,True,,,2020-07-28 21:02:45,2020
40,1,0,active,10,48,0,True,8,True,False,48,2020-07-28 21:02:09+00:00,True,,,2020-07-28 21:02:45,2020
41,1,0,active,14,49,0,True,3,True,False,49,2020-07-28 20:34:14+00:00,True,,,2020-07-28 21:02:45,2020
42,0,0,active,12,50,0,True,3,True,True,50,2020-07-28 20:51:20+00:00,True,,,2020-07-28 21:02:45,2020
43,2,0,active,0,51,0,True,13,True,False,51,2020-07-28 20:24:27+00:00,True,,,2020-07-28 21:02:45,2020
44,3,0,active,2,52,0,True,18,True,True,52,2020-07-28 20:57:52+00:00,True,,,2020-07-28 21:02:45,2020
45,0,0,active,11,53,0,True,8,True,False,53,2020-07-28 20:53:40+00:00,True,,,2020-07-28 21:02:45,2020
46,0,0,active,5,54,0,True,10,True,False,54,2020-07-28 20:32:31+00:00,True,,,2020-07-28 21:02:45,2020
47,0,0,active,5,55,0,True,10,True,False,55,2020-07-28 20:38:46+00:00,True,,,2020-07-28 21:02:45,2020
48,0,0,active,4,56,0,True,14,True,True,56,2020-07-28 20:12:02+00:00,True,,,2020-07-28 21:02:45,2020
49,0,0,active,8,57,0,True,6,True,True,57,2020-07-28 21:01:51+00:00,True,,,2020-07-28 21:02:45,2020
50,0,0,active,18,58,0,True,1,True,True,58,2020-07-28 21:01:54+00:00,True,,,2020-07-28 21:02:45,2020
51,0,0,active,15,59,0,True,4,True,True,59,2020-07-28 20:31:37+00:00,True,,,2020-07-28 21:02:45,2020
52,0,0,active,5,60,0,True,14,True,False,60,2020-07-28 21:01:53+00:00,True,[{'id': 'f8348a68-0de8-11e7-991c-3863bb43a7d0'}],"{'region': 'BOS', 'active': True, 'dock_blocked_count': 0, 'off_dock_count': 15, 'station_id': 'f8348a68-0de8-11e7-991c-3863bb43a7d0', 'off_dock_capacity': 40, 'valet_revision': 59}",2020-07-28 21:02:45,2020
53,0,0,active,0,61,0,True,19,True,False,61,2020-07-28 21:01:54+00:00,True,,,2020-07-28 21:02:45,2020
54,0,0,active,1,63,0,True,14,True,False,63,2020-07-28 20:20:36+00:00,True,,,2020-07-28 21:02:45,2020
55,0,0,active,12,64,0,True,7,True,False,64,2020-07-28 20:59:49+00:00,True,,,2020-07-28 21:02:45,2020
56,1,0,active,13,65,0,True,9,True,False,65,2020-07-28 21:01:55+00:00,True,,,2020-07-28 21:02:45,2020
57,0,0,active,10,66,0,True,5,True,False,66,2020-07-28 20:55:32+00:00,True,,,2020-07-28 21:02:45,2020
58,4,0,active,7,67,0,True,16,True,True,67,2020-07-28 20:51:53+00:00,True,,,2020-07-28 21:02:45,2020
59,0,0,active,10,68,0,True,9,True,True,68,2020-07-28 21:00:47+00:00,True,,,2020-07-28 21:02:45,2020
60,1,0,active,14,69,0,True,4,True,True,69,2020-07-28 20:59:47+00:00,True,,,2020-07-28 21:02:45,2020
