,is_returning,num_bikes_available,is_installed,is_renting,station_status,num_docks_disabled,num_bikes_disabled,legacy_id,num_docks_available,last_reported,num_ebikes_available,station_id,eightd_has_available_keys,valet,eightd_active_station_services,timestamp_of_data_read_request,year_station_last_reported
0,True,0,True,True,active,0,0,3,15,2020-07-29 06:09:47+00:00,0,3,True,,,2020-07-29 06:44:15,2020
1,True,12,True,True,active,0,1,4,6,2020-07-29 06:24:08+00:00,0,4,False,,,2020-07-29 06:44:15,2020
2,True,5,True,True,active,0,0,5,10,2020-07-29 06:37:49+00:00,0,5,False,,,2020-07-29 06:44:15,2020
3,True,5,True,True,active,0,0,6,10,2020-07-29 04:25:07+00:00,0,6,False,,,2020-07-29 06:44:15,2020
4,True,1,True,True,active,0,0,7,14,2020-07-29 01:18:59+00:00,0,7,False,,,2020-07-29 06:44:15,2020
5,True,17,True,True,active,0,1,8,1,2020-07-29 06:11:17+00:00,0,8,False,,,2020-07-29 06:44:15,2020
6,True,4,True,True,active,0,1,9,10,2020-07-29 06:33:09+00:00,0,9,False,,,2020-07-29 06:44:15,2020
7,True,9,True,True,active,0,0,10,2,2020-07-29 04:00:11+00:00,0,10,False,,,2020-07-29 06:44:15,2020
8,True,0,True,True,active,0,2,11,13,2020-07-29 06:13:26+00:00,0,11,False,"{'valet_revision': 69, 'active': True, 'off_dock_capacity': 50, 'off_dock_count': 2, 'station_id': 'f8346ad7-0de8-11e7-991c-3863bb43a7d0', 'dock_blocked_count': 0, 'region': 'BOS'}",[{'id': 'f8346ad7-0de8-11e7-991c-3863bb43a7d0'}],2020-07-29 06:44:15,2020
9,True,3,True,True,active,0,0,12,15,2020-07-29 04:26:52+00:00,0,12,True,,,2020-07-29 06:44:15,2020
10,True,0,True,True,active,0,0,13,19,2020-07-29 03:20:49+00:00,0,13,False,,,2020-07-29 06:44:15,2020
11,True,0,True,True,active,0,0,14,25,2020-07-29 01:55:26+00:00,0,14,False,,,2020-07-29 06:44:15,2020
12,True,9,True,True,active,0,0,15,6,2020-07-29 04:21:32+00:00,0,15,False,,,2020-07-29 06:44:15,2020
13,True,7,True,True,active,0,2,16,10,2020-07-29 03:04:42+00:00,0,16,True,,,2020-07-29 06:44:15,2020
14,True,14,True,True,active,0,0,17,1,2020-07-29 02:53:39+00:00,0,17,False,,,2020-07-29 06:44:15,2020
15,True,13,True,True,active,0,0,19,2,2020-07-29 04:22:01+00:00,0,19,False,,,2020-07-29 06:44:15,2020
16,True,23,True,True,active,0,0,20,0,2020-07-29 05:07:04+00:00,0,20,True,,,2020-07-29 06:44:15,2020
17,True,7,True,True,active,0,0,21,11,2020-07-29 05:08:44+00:00,0,21,True,,,2020-07-29 06:44:15,2020
18,True,0,True,True,active,0,0,22,47,2020-07-29 03:20:08+00:00,0,22,False,,,2020-07-29 06:44:15,2020
19,True,3,True,True,active,0,0,23,18,2020-07-29 04:21:00+00:00,0,23,True,,,2020-07-29 06:44:15,2020
20,True,1,True,True,active,0,0,24,18,2020-07-29 01:59:15+00:00,0,24,False,,,2020-07-29 06:44:15,2020
21,True,15,True,True,active,0,0,25,0,2020-07-29 02:30:10+00:00,0,25,False,,,2020-07-29 06:44:15,2020
22,True,10,True,True,active,0,1,26,4,2020-07-29 04:15:28+00:00,0,26,False,,,2020-07-29 06:44:15,2020
23,True,18,True,True,active,0,0,27,5,2020-07-29 05:33:33+00:00,0,27,False,,,2020-07-29 06:44:15,2020
24,True,9,True,True,active,0,0,29,6,2020-07-29 01:16:11+00:00,0,29,False,,,2020-07-29 06:44:15,2020
25,True,1,True,True,active,0,0,30,14,2020-07-29 05:50:02+00:00,0,30,False,,,2020-07-29 06:44:15,2020
26,True,3,True,True,active,0,1,31,15,2020-07-29 03:45:45+00:00,0,31,True,,,2020-07-29 06:44:15,2020
27,True,3,True,True,active,0,0,32,12,2020-07-29 06:13:09+00:00,0,32,False,,,2020-07-29 06:44:15,2020
28,True,14,True,True,active,0,0,33,13,2020-07-29 05:19:17+00:00,0,33,False,,,2020-07-29 06:44:15,2020
29,True,2,True,True,active,0,1,35,20,2020-07-29 01:27:12+00:00,0,35,False,,,2020-07-29 06:44:15,2020
30,True,19,True,True,active,0,1,36,13,2020-07-29 05:12:48+00:00,0,36,True,,,2020-07-29 06:44:15,2020
31,True,2,True,True,active,0,0,37,13,2020-07-29 01:10:00+00:00,0,37,True,,,2020-07-29 06:44:15,2020
32,True,10,True,True,active,0,1,39,12,2020-07-29 04:41:07+00:00,0,39,False,,,2020-07-29 06:44:15,2020
33,True,18,True,True,active,0,0,40,1,2020-07-29 05:54:47+00:00,0,40,False,,,2020-07-29 06:44:15,2020
34,True,16,True,True,active,0,1,41,10,2020-07-29 06:29:40+00:00,0,41,True,,,2020-07-29 06:44:15,2020
35,True,8,True,True,active,0,1,42,14,2020-07-29 04:16:18+00:00,0,42,False,,,2020-07-29 06:44:15,2020
36,True,2,True,True,active,0,0,43,13,2020-07-29 01:36:20+00:00,0,43,True,,,2020-07-29 06:44:15,2020
37,True,16,True,True,active,0,0,44,7,2020-07-29 05:56:05+00:00,0,44,False,,,2020-07-29 06:44:15,2020
38,True,13,True,True,active,0,0,46,6,2020-07-29 06:19:50+00:00,0,46,False,,,2020-07-29 06:44:15,2020
39,True,19,True,True,active,0,0,47,0,2020-07-29 04:57:08+00:00,0,47,True,,,2020-07-29 06:44:15,2020
40,True,0,True,True,active,0,1,48,18,2020-07-29 02:03:41+00:00,0,48,False,,,2020-07-29 06:44:15,2020
41,True,2,True,True,active,0,1,49,15,2020-07-29 04:50:31+00:00,0,49,False,,,2020-07-29 06:44:15,2020
42,True,5,True,True,active,0,0,50,10,2020-07-29 02:38:37+00:00,0,50,True,,,2020-07-29 06:44:15,2020
43,True,7,True,True,active,0,2,51,6,2020-07-29 05:12:37+00:00,0,51,False,,,2020-07-29 06:44:15,2020
44,True,19,True,True,active,0,0,52,4,2020-07-29 03:40:30+00:00,0,52,True,,,2020-07-29 06:44:15,2020
45,True,9,True,True,active,0,1,53,9,2020-07-29 05:12:40+00:00,0,53,False,,,2020-07-29 06:44:15,2020
46,True,6,True,True,active,0,0,54,9,2020-07-29 05:07:26+00:00,0,54,False,,,2020-07-29 06:44:15,2020
47,True,10,True,True,active,0,1,55,4,2020-07-29 05:31:07+00:00,0,55,False,,,2020-07-29 06:44:15,2020
48,True,18,True,True,active,0,0,56,0,2020-07-29 01:50:13+00:00,0,56,True,,,2020-07-29 06:44:15,2020
49,True,7,True,True,active,0,0,57,7,2020-07-29 04:41:41+00:00,0,57,True,,,2020-07-29 06:44:15,2020
50,True,9,True,True,active,0,1,58,9,2020-07-29 03:44:32+00:00,0,58,True,,,2020-07-29 06:44:15,2020
51,True,2,True,True,active,0,0,59,17,2020-07-29 02:43:07+00:00,0,59,True,,,2020-07-29 06:44:15,2020
52,True,4,True,True,active,0,0,60,15,2020-07-29 05:39:43+00:00,0,60,False,,,2020-07-29 06:44:15,2020
53,True,0,True,True,active,0,0,61,19,2020-07-29 05:02:19+00:00,0,61,False,,,2020-07-29 06:44:15,2020
54,True,14,True,True,active,0,0,63,1,2020-07-29 01:51:36+00:00,0,63,False,,,2020-07-29 06:44:15,2020
55,True,5,True,True,active,0,0,64,14,2020-07-29 04:07:15+00:00,0,64,False,,,2020-07-29 06:44:15,2020
56,True,8,True,True,active,0,1,65,14,2020-07-29 04:04:38+00:00,0,65,False,,,2020-07-29 06:44:15,2020
57,True,15,True,True,active,0,0,66,0,2020-07-29 03:34:09+00:00,0,66,False,,,2020-07-29 06:44:15,2020
58,True,1,True,True,active,0,3,67,23,2020-07-29 06:00:06+00:00,0,67,True,,,2020-07-29 06:44:15,2020
59,True,4,True,True,active,0,0,68,15,2020-07-29 05:14:25+00:00,0,68,True,,,2020-07-29 06:44:15,2020
60,True,7,True,True,active,0,2,69,10,2020-07-29 04:13:15+00:00,0,69,True,,,2020-07-29 06:44:15,2020
61,True,6,True,True,active,0,0,70,17,2020-07-29 04:04:24+00:00,0,70,False,,,2020-07-29 06:44:15,2020
62,True,16,True,True,active,0,0,71,7,2020-07-29 00:54:15+00:00,0,71,False,,,2020-07-29 06:44:15,2020
63,True,9,True,True,active,0,0,72,14,2020-07-29 03:40:17+00:00,0,72,False,,,2020-07-29 06:44:15,2020
64,True,4,True,True,active,0,2,73,9,2020-07-29 03:41:39+00:00,0,73,False,,,2020-07-29 06:44:15,2020
65,True,2,True,True,active,0,0,74,17,2020-07-29 04:57:29+00:00,0,74,True,,,2020-07-29 06:44:15,2020
66,True,4,True,True,active,0,0,75,11,2020-07-29 05:54:36+00:00,0,75,False,,,2020-07-29 06:44:15,2020
67,True,7,True,True,active,0,0,76,10,2020-07-29 04:04:53+00:00,0,76,False,,,2020-07-29 06:44:15,2020
68,True,8,True,True,active,0,1,77,6,2020-07-29 01:46:51+00:00,0,77,False,,,2020-07-29 06:44:15,2020
69,True,16,True,True,active,0,0,78,3,2020-07-29 03:57:20+00:00,0,78,False,,,2020-07-29 06:44:15,2020
