,num_bikes_available,is_renting,eightd_has_available_keys,num_docks_available,station_status,legacy_id,is_returning,num_ebikes_available,is_installed,last_reported,num_bikes_disabled,station_id,num_docks_disabled,valet,eightd_active_station_services,timestamp_of_data_read_request,year_station_last_reported
0,8,True,True,7,active,3,True,0,True,2020-07-29 15:27:34+00:00,0,3,0,,,2020-07-29 15:31:15,2020
1,4,True,False,15,active,4,True,0,True,2020-07-29 14:57:32+00:00,0,4,0,,,2020-07-29 15:31:15,2020
2,10,True,False,5,active,5,True,0,True,2020-07-29 15:28:06+00:00,0,5,0,,,2020-07-29 15:31:15,2020
3,14,True,False,1,active,6,True,0,True,2020-07-29 15:24:56+00:00,0,6,0,,,2020-07-29 15:31:15,2020
4,1,True,False,14,active,7,True,0,True,2020-07-29 13:32:50+00:00,0,7,0,,,2020-07-29 15:31:15,2020
5,9,True,False,8,active,8,True,0,True,2020-07-29 15:24:05+00:00,2,8,0,,,2020-07-29 15:31:15,2020
6,3,True,False,11,active,9,True,0,True,2020-07-29 15:14:31+00:00,1,9,0,,,2020-07-29 15:31:15,2020
7,10,True,False,0,active,10,True,0,True,2020-07-29 14:57:36+00:00,1,10,0,,,2020-07-29 15:31:15,2020
8,4,True,False,10,active,11,True,0,True,2020-07-29 15:29:05+00:00,1,11,0,"{'dock_blocked_count': 0, 'region': 'BOS', 'off_dock_capacity': 50, 'valet_revision': 69, 'off_dock_count': 58, 'station_id': 'f8346ad7-0de8-11e7-991c-3863bb43a7d0', 'active': True}",[{'id': 'f8346ad7-0de8-11e7-991c-3863bb43a7d0'}],2020-07-29 15:31:15,2020
9,7,True,True,11,active,12,True,0,True,2020-07-29 15:27:26+00:00,0,12,0,,,2020-07-29 15:31:15,2020
10,19,True,False,0,active,13,True,0,True,2020-07-29 15:19:33+00:00,0,13,0,,,2020-07-29 15:31:15,2020
11,19,True,False,6,active,14,True,0,True,2020-07-29 15:26:14+00:00,0,14,0,,,2020-07-29 15:31:15,2020
12,8,True,False,7,active,15,True,0,True,2020-07-29 15:07:51+00:00,0,15,0,,,2020-07-29 15:31:15,2020
13,8,True,True,10,active,16,True,0,True,2020-07-29 15:05:54+00:00,1,16,0,,,2020-07-29 15:31:15,2020
14,13,True,False,2,active,17,True,0,True,2020-07-29 13:20:45+00:00,0,17,0,,,2020-07-29 15:31:15,2020
15,3,True,False,12,active,19,True,0,True,2020-07-29 15:22:57+00:00,0,19,0,,,2020-07-29 15:31:15,2020
16,19,True,True,3,active,20,True,0,True,2020-07-29 14:26:25+00:00,1,20,0,,,2020-07-29 15:31:15,2020
17,5,True,False,13,active,21,True,0,True,2020-07-29 15:25:08+00:00,0,21,0,,,2020-07-29 15:31:15,2020
18,10,True,True,37,active,22,True,0,True,2020-07-29 15:26:16+00:00,0,22,0,,,2020-07-29 15:31:15,2020
19,13,True,True,8,active,23,True,0,True,2020-07-29 15:17:15+00:00,0,23,0,,,2020-07-29 15:31:15,2020
20,6,True,False,12,active,24,True,0,True,2020-07-29 14:40:54+00:00,1,24,0,,,2020-07-29 15:31:15,2020
21,12,True,False,3,active,25,True,0,True,2020-07-29 15:19:19+00:00,0,25,0,,,2020-07-29 15:31:15,2020
22,10,True,False,4,active,26,True,0,True,2020-07-29 15:30:06+00:00,1,26,0,,,2020-07-29 15:31:15,2020
23,11,True,False,12,active,27,True,0,True,2020-07-29 15:07:05+00:00,0,27,0,,,2020-07-29 15:31:15,2020
24,12,True,False,3,active,29,True,0,True,2020-07-29 13:23:58+00:00,0,29,0,,,2020-07-29 15:31:15,2020
25,15,True,False,0,active,30,True,0,True,2020-07-29 13:41:18+00:00,0,30,0,,,2020-07-29 15:31:15,2020
26,7,True,True,11,active,31,True,0,True,2020-07-29 14:56:24+00:00,1,31,0,,,2020-07-29 15:31:15,2020
27,2,True,False,13,active,32,True,0,True,2020-07-29 15:28:03+00:00,0,32,0,,,2020-07-29 15:31:15,2020
28,16,True,False,11,active,33,True,0,True,2020-07-29 15:17:13+00:00,0,33,0,,,2020-07-29 15:31:15,2020
29,8,True,False,15,active,35,True,0,True,2020-07-29 15:18:00+00:00,0,35,0,,,2020-07-29 15:31:15,2020
30,20,True,True,13,active,36,True,0,True,2020-07-29 15:25:59+00:00,0,36,0,,,2020-07-29 15:31:15,2020
31,0,True,True,15,active,37,True,0,True,2020-07-29 13:17:22+00:00,0,37,0,,,2020-07-29 15:31:15,2020
32,12,True,False,11,active,39,True,0,True,2020-07-29 15:09:40+00:00,0,39,0,,,2020-07-29 15:31:15,2020
33,10,True,False,9,active,40,True,0,True,2020-07-29 15:17:01+00:00,0,40,0,,,2020-07-29 15:31:15,2020
34,10,True,True,16,active,41,True,0,True,2020-07-29 15:16:15+00:00,1,41,0,,,2020-07-29 15:31:15,2020
35,10,True,False,13,active,42,True,0,True,2020-07-29 15:25:20+00:00,0,42,0,,,2020-07-29 15:31:15,2020
36,4,True,True,11,active,43,True,0,True,2020-07-29 13:52:12+00:00,0,43,0,,,2020-07-29 15:31:15,2020
37,17,True,False,6,active,44,True,0,True,2020-07-29 14:43:56+00:00,0,44,0,,,2020-07-29 15:31:15,2020
38,6,True,False,12,active,46,True,0,True,2020-07-29 15:30:13+00:00,1,46,0,,,2020-07-29 15:31:15,2020
39,4,True,True,15,active,47,True,0,True,2020-07-29 15:28:57+00:00,0,47,0,,,2020-07-29 15:31:15,2020
40,13,True,False,5,active,48,True,0,True,2020-07-29 14:59:04+00:00,1,48,0,,,2020-07-29 15:31:15,2020
41,7,True,False,10,active,49,True,0,True,2020-07-29 15:06:59+00:00,1,49,0,,,2020-07-29 15:31:15,2020
42,13,True,True,2,active,50,True,0,True,2020-07-29 15:28:33+00:00,0,50,0,,,2020-07-29 15:31:15,2020
43,6,True,False,6,active,51,True,0,True,2020-07-29 14:56:18+00:00,3,51,0,,,2020-07-29 15:31:15,2020
44,5,True,True,18,active,52,True,0,True,2020-07-29 15:27:12+00:00,0,52,0,,,2020-07-29 15:31:15,2020
45,7,True,False,12,active,53,True,0,True,2020-07-29 15:29:00+00:00,0,53,0,,,2020-07-29 15:31:15,2020
46,1,True,False,14,active,54,True,0,True,2020-07-29 15:18:52+00:00,0,54,0,,,2020-07-29 15:31:15,2020
47,6,True,False,7,active,55,True,0,True,2020-07-29 15:06:32+00:00,2,55,0,,,2020-07-29 15:31:15,2020
48,17,True,True,1,active,56,True,0,True,2020-07-29 14:23:48+00:00,0,56,0,,,2020-07-29 15:31:15,2020
49,7,True,True,7,active,57,True,0,True,2020-07-29 15:27:37+00:00,0,57,0,,,2020-07-29 15:31:15,2020
50,3,True,True,15,active,58,True,0,True,2020-07-29 15:31:14+00:00,1,58,0,,,2020-07-29 15:31:15,2020
51,10,True,True,9,active,59,True,0,True,2020-07-29 15:26:27+00:00,0,59,0,,,2020-07-29 15:31:15,2020
52,3,True,False,16,active,60,True,0,True,2020-07-29 15:27:01+00:00,0,60,0,"{'dock_blocked_count': 0, 'region': 'BOS', 'off_dock_capacity': 40, 'valet_revision': 61, 'off_dock_count': 28, 'station_id': 'f8348a68-0de8-11e7-991c-3863bb43a7d0', 'active': True}",[{'id': 'f8348a68-0de8-11e7-991c-3863bb43a7d0'}],2020-07-29 15:31:15,2020
53,15,True,False,4,active,61,True,0,True,2020-07-29 15:26:25+00:00,0,61,0,,,2020-07-29 15:31:15,2020
54,15,True,False,0,active,63,True,0,True,2020-07-29 10:45:40+00:00,0,63,0,,,2020-07-29 15:31:15,2020
55,14,True,False,5,active,64,True,0,True,2020-07-29 14:33:48+00:00,0,64,0,,,2020-07-29 15:31:15,2020
56,7,True,False,15,active,65,True,0,True,2020-07-29 15:24:17+00:00,1,65,0,,,2020-07-29 15:31:15,2020
57,2,True,False,13,active,66,True,0,True,2020-07-29 15:17:09+00:00,0,66,0,,,2020-07-29 15:31:15,2020
58,7,True,True,17,active,67,True,0,True,2020-07-29 15:12:11+00:00,3,67,0,,,2020-07-29 15:31:15,2020
59,2,True,True,16,active,68,True,0,True,2020-07-29 15:28:38+00:00,1,68,0,,,2020-07-29 15:31:15,2020
60,3,True,True,15,active,69,True,0,True,2020-07-29 15:24:08+00:00,1,69,0,,,2020-07-29 15:31:15,2020
61,4,True,False,19,active,70,True,0,True,2020-07-29 15:13:18+00:00,0,70,0,,,2020-07-29 15:31:15,2020
62,14,True,False,9,active,71,True,0,True,2020-07-29 14:59:38+00:00,0,71,0,,,2020-07-29 15:31:15,2020
63,9,True,False,14,active,72,True,0,True,2020-07-29 15:02:27+00:00,0,72,0,,,2020-07-29 15:31:15,2020
64,13,True,False,1,active,73,True,0,True,2020-07-29 15:30:23+00:00,1,73,0,,,2020-07-29 15:31:15,2020
65,8,True,True,11,active,74,True,0,True,2020-07-29 15:15:34+00:00,0,74,0,,,2020-07-29 15:31:15,2020
66,9,True,False,6,active,75,True,0,True,2020-07-29 15:16:39+00:00,0,75,0,,,2020-07-29 15:31:15,2020
67,1,True,False,16,active,76,True,0,True,2020-07-29 15:30:10+00:00,0,76,0,,,2020-07-29 15:31:15,2020
68,1,True,False,14,active,77,True,0,True,2020-07-29 15:17:54+00:00,0,77,0,,,2020-07-29 15:31:15,2020
69,15,True,False,4,active,78,True,0,True,2020-07-29 15:20:39+00:00,0,78,0,,,2020-07-29 15:31:15,2020
70,5,True,False,14,active,79,True,0,True,2020-07-29 15:25:11+00:00,0,79,0,,,2020-07-29 15:31:15,2020
71,29,True,False,5,active,80,True,0,True,2020-07-29 15:19:44+00:00,1,80,0,,,2020-07-29 15:31:15,2020
72,2,True,False,17,active,81,True,0,True,2020-07-29 15:24:50+00:00,0,81,0,,,2020-07-29 15:31:15,2020
73,0,True,False,15,active,82,True,0,True,2020-07-29 15:05:04+00:00,0,82,0,,,2020-07-29 15:31:15,2020
74,6,True,False,8,active,84,True,0,True,2020-07-29 15:22:22+00:00,1,84,0,,,2020-07-29 15:31:15,2020
75,16,True,False,2,active,85,True,0,True,2020-07-29 15:29:32+00:00,1,85,0,,,2020-07-29 15:31:15,2020
76,7,True,False,12,active,86,True,0,True,2020-07-29 13:49:56+00:00,0,86,0,,,2020-07-29 15:31:15,2020
77,3,True,False,12,active,87,True,0,True,2020-07-29 14:58:27+00:00,0,87,0,,,2020-07-29 15:31:15,2020
78,11,True,False,8,active,89,True,0,True,2020-07-29 14:53:02+00:00,0,89,0,,,2020-07-29 15:31:15,2020
79,9,True,False,10,active,90,True,0,True,2020-07-29 15:04:59+00:00,0,90,0,,,2020-07-29 15:31:15,2020
80,14,True,False,2,active,91,True,0,True,2020-07-29 15:00:09+00:00,3,91,0,,,2020-07-29 15:31:15,2020
81,13,True,False,5,active,92,True,0,True,2020-07-29 12:48:24+00:00,1,92,0,,,2020-07-29 15:31:15,2020
82,5,True,False,9,active,93,True,0,True,2020-07-29 12:40:38+00:00,1,93,0,,,2020-07-29 15:31:15,2020
83,7,True,False,4,active,94,True,0,True,2020-07-29 14:02:19+00:00,0,94,0,,,2020-07-29 15:31:15,2020
