,is_returning,is_installed,is_renting,num_docks_available,station_id,legacy_id,last_reported,num_docks_disabled,num_bikes_disabled,station_status,num_bikes_available,num_ebikes_available,eightd_has_available_keys,eightd_active_station_services,valet,timestamp_of_data_read_request,year_station_last_reported
0,True,True,True,10,3,3,2020-07-29 17:40:47+00:00,0,0,active,5,0,True,,,2020-07-29 17:44:00,2020
1,True,True,True,11,4,4,2020-07-29 17:32:48+00:00,0,0,active,8,0,False,,,2020-07-29 17:44:00,2020
2,True,True,True,7,5,5,2020-07-29 17:06:21+00:00,0,0,active,8,0,False,,,2020-07-29 17:44:00,2020
3,True,True,True,0,6,6,2020-07-29 17:38:57+00:00,0,0,active,15,0,False,,,2020-07-29 17:44:00,2020
4,True,True,True,12,7,7,2020-07-29 16:19:34+00:00,0,0,active,3,0,False,,,2020-07-29 17:44:00,2020
5,True,True,True,14,8,8,2020-07-29 17:28:41+00:00,0,1,active,4,0,False,,,2020-07-29 17:44:00,2020
6,True,True,True,12,9,9,2020-07-29 17:41:35+00:00,0,2,active,1,0,False,,,2020-07-29 17:44:00,2020
7,True,True,True,5,10,10,2020-07-29 17:31:55+00:00,0,1,active,5,0,False,,,2020-07-29 17:44:00,2020
8,True,True,True,0,11,11,2020-07-29 17:35:31+00:00,0,1,active,14,0,False,[{'id': 'f8346ad7-0de8-11e7-991c-3863bb43a7d0'}],"{'off_dock_capacity': 50, 'station_id': 'f8346ad7-0de8-11e7-991c-3863bb43a7d0', 'dock_blocked_count': 0, 'active': True, 'valet_revision': 69, 'region': 'BOS', 'off_dock_count': 50}",2020-07-29 17:44:00,2020
9,True,True,True,8,12,12,2020-07-29 17:37:03+00:00,0,0,active,10,0,True,,,2020-07-29 17:44:00,2020
10,True,True,True,4,13,13,2020-07-29 17:34:31+00:00,0,0,active,15,0,False,,,2020-07-29 17:44:00,2020
11,True,True,True,0,14,14,2020-07-29 17:20:22+00:00,0,0,active,25,0,False,,,2020-07-29 17:44:00,2020
12,True,True,True,7,15,15,2020-07-29 17:32:46+00:00,0,0,active,8,0,False,,,2020-07-29 17:44:00,2020
13,True,True,True,9,16,16,2020-07-29 17:29:57+00:00,0,1,active,9,0,True,,,2020-07-29 17:44:00,2020
14,True,True,True,1,17,17,2020-07-29 17:43:33+00:00,0,0,active,14,0,False,,,2020-07-29 17:44:00,2020
15,True,True,True,11,19,19,2020-07-29 17:39:56+00:00,0,0,active,4,0,False,,,2020-07-29 17:44:00,2020
16,True,True,True,15,20,20,2020-07-29 17:38:25+00:00,0,1,active,7,0,True,,,2020-07-29 17:44:00,2020
17,True,True,True,13,21,21,2020-07-29 17:30:19+00:00,0,0,active,5,0,False,,,2020-07-29 17:44:00,2020
18,True,True,True,36,22,22,2020-07-29 17:41:39+00:00,0,0,active,11,0,True,,,2020-07-29 17:44:00,2020
19,True,True,True,12,23,23,2020-07-29 17:07:25+00:00,0,0,active,9,0,True,,,2020-07-29 17:44:00,2020
20,True,True,True,10,24,24,2020-07-29 17:01:42+00:00,0,1,active,8,0,False,,,2020-07-29 17:44:00,2020
21,True,True,True,9,25,25,2020-07-29 17:33:38+00:00,0,0,active,6,0,False,,,2020-07-29 17:44:00,2020
22,True,True,True,1,26,26,2020-07-29 17:17:21+00:00,0,0,active,14,0,False,,,2020-07-29 17:44:00,2020
23,True,True,True,10,27,27,2020-07-29 17:41:12+00:00,0,1,active,12,0,False,,,2020-07-29 17:44:00,2020
24,True,True,True,3,29,29,2020-07-29 13:23:58+00:00,0,0,active,12,0,False,,,2020-07-29 17:44:00,2020
25,True,True,True,0,30,30,2020-07-29 16:42:41+00:00,0,0,active,15,0,False,,,2020-07-29 17:44:00,2020
26,True,True,True,11,31,31,2020-07-29 14:56:24+00:00,0,1,active,7,0,True,,,2020-07-29 17:44:00,2020
27,True,True,True,12,32,32,2020-07-29 17:43:12+00:00,0,0,active,3,0,False,,,2020-07-29 17:44:00,2020
28,True,True,True,7,33,33,2020-07-29 17:10:44+00:00,0,0,active,20,0,False,,,2020-07-29 17:44:00,2020
29,True,True,True,14,35,35,2020-07-29 17:38:02+00:00,0,0,active,9,0,False,,,2020-07-29 17:44:00,2020
30,True,True,True,8,36,36,2020-07-29 17:41:44+00:00,0,0,active,25,0,True,,,2020-07-29 17:44:00,2020
31,True,True,True,15,37,37,2020-07-29 17:19:07+00:00,0,0,active,0,0,True,,,2020-07-29 17:44:00,2020
32,True,True,True,13,39,39,2020-07-29 17:41:24+00:00,0,1,active,9,0,False,,,2020-07-29 17:44:00,2020
33,True,True,True,6,40,40,2020-07-29 17:36:23+00:00,0,0,active,13,0,False,,,2020-07-29 17:44:00,2020
34,True,True,True,12,41,41,2020-07-29 17:40:47+00:00,0,1,active,14,0,True,,,2020-07-29 17:44:00,2020
35,True,True,True,10,42,42,2020-07-29 17:33:04+00:00,0,1,active,12,0,False,,,2020-07-29 17:44:00,2020
36,True,True,True,7,43,43,2020-07-29 16:36:39+00:00,0,0,active,8,0,True,,,2020-07-29 17:44:00,2020
37,True,True,True,6,44,44,2020-07-29 14:43:56+00:00,0,0,active,17,0,False,,,2020-07-29 17:44:00,2020
38,True,True,True,9,46,46,2020-07-29 17:40:44+00:00,0,1,active,9,0,False,,,2020-07-29 17:44:00,2020
39,True,True,True,12,47,47,2020-07-29 17:31:50+00:00,0,0,active,7,0,True,,,2020-07-29 17:44:00,2020
40,True,True,True,4,48,48,2020-07-29 16:43:55+00:00,0,1,active,14,0,False,,,2020-07-29 17:44:00,2020
41,True,True,True,10,49,49,2020-07-29 16:39:12+00:00,0,0,active,8,0,False,,,2020-07-29 17:44:00,2020
42,True,True,True,4,50,50,2020-07-29 17:34:55+00:00,0,1,active,10,0,True,,,2020-07-29 17:44:00,2020
43,True,True,True,8,51,51,2020-07-29 17:00:44+00:00,0,3,active,4,0,False,,,2020-07-29 17:44:00,2020
44,True,True,True,16,52,52,2020-07-29 17:38:26+00:00,0,0,active,7,0,True,,,2020-07-29 17:44:00,2020
45,True,True,True,18,53,53,2020-07-29 17:25:29+00:00,0,0,active,1,0,False,,,2020-07-29 17:44:00,2020
46,True,True,True,11,54,54,2020-07-29 17:27:06+00:00,0,0,active,4,0,False,,,2020-07-29 17:44:00,2020
47,True,True,True,5,55,55,2020-07-29 16:56:41+00:00,0,2,active,8,0,False,,,2020-07-29 17:44:00,2020
48,True,True,True,5,56,56,2020-07-29 17:24:04+00:00,0,0,active,13,0,True,,,2020-07-29 17:44:00,2020
49,True,True,True,6,57,57,2020-07-29 17:33:59+00:00,0,0,active,8,0,True,,,2020-07-29 17:44:00,2020
50,True,True,True,13,58,58,2020-07-29 17:27:02+00:00,0,1,active,5,0,True,,,2020-07-29 17:44:00,2020
51,True,True,True,19,59,59,2020-07-29 17:40:30+00:00,0,0,active,0,0,True,,,2020-07-29 17:44:00,2020
52,True,True,True,17,60,60,2020-07-29 17:39:28+00:00,0,0,active,2,0,False,[{'id': 'f8348a68-0de8-11e7-991c-3863bb43a7d0'}],"{'off_dock_capacity': 40, 'station_id': 'f8348a68-0de8-11e7-991c-3863bb43a7d0', 'dock_blocked_count': 0, 'active': True, 'valet_revision': 61, 'region': 'BOS', 'off_dock_count': 28}",2020-07-29 17:44:00,2020
53,True,True,True,8,61,61,2020-07-29 17:42:42+00:00,0,1,active,10,0,False,,,2020-07-29 17:44:00,2020
54,True,True,True,1,63,63,2020-07-29 17:13:57+00:00,0,0,active,14,0,False,,,2020-07-29 17:44:00,2020
55,True,True,True,5,64,64,2020-07-29 17:40:21+00:00,0,1,active,13,0,False,,,2020-07-29 17:44:00,2020
56,True,True,True,15,65,65,2020-07-29 15:24:17+00:00,0,1,active,7,0,False,,,2020-07-29 17:44:00,2020
57,True,True,True,14,66,66,2020-07-29 17:12:52+00:00,0,0,active,1,0,False,,,2020-07-29 17:44:00,2020
58,True,True,True,13,67,67,2020-07-29 17:40:18+00:00,0,3,active,11,0,True,,,2020-07-29 17:44:00,2020
59,True,True,True,13,68,68,2020-07-29 17:40:23+00:00,0,1,active,5,0,True,,,2020-07-29 17:44:00,2020
60,True,True,True,15,69,69,2020-07-29 17:25:22+00:00,0,1,active,3,0,True,,,2020-07-29 17:44:00,2020
61,True,True,True,18,70,70,2020-07-29 17:08:18+00:00,0,0,active,5,0,False,,,2020-07-29 17:44:00,2020
62,True,True,True,7,71,71,2020-07-29 16:53:42+00:00,0,0,active,16,0,False,,,2020-07-29 17:44:00,2020
63,True,True,True,15,72,72,2020-07-29 17:11:41+00:00,0,0,active,8,0,False,,,2020-07-29 17:44:00,2020
64,True,True,True,7,73,73,2020-07-29 17:38:52+00:00,0,1,active,7,0,False,,,2020-07-29 17:44:00,2020
65,True,True,True,8,74,74,2020-07-29 17:25:36+00:00,0,2,active,9,0,True,,,2020-07-29 17:44:00,2020
66,True,True,True,7,75,75,2020-07-29 17:08:35+00:00,0,0,active,8,0,False,,,2020-07-29 17:44:00,2020
67,True,True,True,16,76,76,2020-07-29 17:32:14+00:00,0,0,active,1,0,False,,,2020-07-29 17:44:00,2020
68,True,True,True,11,77,77,2020-07-29 17:05:56+00:00,0,0,active,4,0,False,,,2020-07-29 17:44:00,2020
69,True,True,True,9,78,78,2020-07-29 17:07:19+00:00,0,0,active,10,0,False,,,2020-07-29 17:44:00,2020
70,True,True,True,12,79,79,2020-07-29 17:20:08+00:00,0,0,active,7,0,False,,,2020-07-29 17:44:00,2020
71,True,True,True,5,80,80,2020-07-29 17:33:19+00:00,0,4,active,26,0,False,,,2020-07-29 17:44:00,2020
72,True,True,True,15,81,81,2020-07-29 17:28:45+00:00,0,0,active,4,0,False,,,2020-07-29 17:44:00,2020
73,True,True,True,9,82,82,2020-07-29 17:38:48+00:00,0,0,active,6,0,False,,,2020-07-29 17:44:00,2020
74,True,True,True,3,84,84,2020-07-29 17:33:20+00:00,0,1,active,11,0,False,,,2020-07-29 17:44:00,2020
75,True,True,True,4,85,85,2020-07-29 17:05:00+00:00,0,1,active,14,0,False,,,2020-07-29 17:44:00,2020
76,True,True,True,12,86,86,2020-07-29 17:26:33+00:00,0,0,active,7,0,False,,,2020-07-29 17:44:00,2020
77,True,True,True,12,87,87,2020-07-29 17:41:13+00:00,0,0,active,3,0,False,,,2020-07-29 17:44:00,2020
78,True,True,True,8,89,89,2020-07-29 17:38:57+00:00,0,0,active,11,0,False,,,2020-07-29 17:44:00,2020
79,True,True,True,8,90,90,2020-07-29 17:36:02+00:00,0,0,active,11,0,False,,,2020-07-29 17:44:00,2020
80,True,True,True,1,91,91,2020-07-29 17:28:20+00:00,0,3,active,15,0,False,,,2020-07-29 17:44:00,2020
81,True,True,True,6,92,92,2020-07-29 17:42:50+00:00,0,0,active,13,0,False,,,2020-07-29 17:44:00,2020
82,True,True,True,9,93,93,2020-07-29 12:40:38+00:00,0,1,active,5,0,False,,,2020-07-29 17:44:00,2020
83,True,True,True,4,94,94,2020-07-29 17:35:36+00:00,0,0,active,7,0,False,,,2020-07-29 17:44:00,2020
84,True,True,True,13,95,95,2020-07-29 17:39:58+00:00,0,0,active,2,0,False,,,2020-07-29 17:44:00,2020
85,True,True,True,16,96,96,2020-07-29 14:13:20+00:00,0,0,active,3,0,False,,,2020-07-29 17:44:00,2020
86,True,True,True,12,97,97,2020-07-29 17:37:40+00:00,0,1,active,6,0,False,,,2020-07-29 17:44:00,2020
87,True,True,True,11,98,98,2020-07-29 17:04:49+00:00,0,0,active,11,0,False,,,2020-07-29 17:44:00,2020
88,True,True,True,5,99,99,2020-07-29 16:24:16+00:00,0,2,active,8,0,False,,,2020-07-29 17:44:00,2020
89,True,True,True,8,100,100,2020-07-29 17:23:06+00:00,0,1,active,16,0,True,,,2020-07-29 17:44:00,2020
90,True,True,True,13,101,101,2020-07-29 16:29:21+00:00,0,0,active,2,0,False,,,2020-07-29 17:44:00,2020
91,True,True,True,12,102,102,2020-07-29 17:00:55+00:00,0,0,active,3,0,False,,,2020-07-29 17:44:00,2020
92,True,True,True,15,103,103,2020-07-29 17:11:17+00:00,0,0,active,0,0,False,,,2020-07-29 17:44:00,2020
93,True,True,True,10,104,104,2020-07-29 17:01:50+00:00,0,1,active,8,0,False,,,2020-07-29 17:44:00,2020
94,True,True,True,8,105,105,2020-07-29 17:40:54+00:00,0,2,active,9,0,False,,,2020-07-29 17:44:00,2020
95,True,True,True,4,106,106,2020-07-29 12:13:40+00:00,0,0,active,11,0,False,,,2020-07-29 17:44:00,2020
96,True,True,True,10,107,107,2020-07-29 17:42:36+00:00,0,1,active,8,0,False,,,2020-07-29 17:44:00,2020
97,True,True,True,0,108,108,2020-07-29 17:26:47+00:00,0,0,active,17,0,False,,,2020-07-29 17:44:00,2020
98,True,True,True,14,109,109,2020-07-29 16:13:59+00:00,0,2,active,19,0,False,,,2020-07-29 17:44:00,2020
99,True,True,True,11,110,110,2020-07-29 17:34:53+00:00,0,0,active,4,0,False,,,2020-07-29 17:44:00,2020
100,True,True,True,15,111,111,2020-07-29 15:28:41+00:00,0,0,active,0,0,False,,,2020-07-29 17:44:00,2020
101,True,True,True,7,112,112,2020-07-29 17:21:20+00:00,0,0,active,8,0,False,,,2020-07-29 17:44:00,2020
102,True,True,True,13,113,113,2020-07-29 14:34:19+00:00,0,0,active,2,0,False,,,2020-07-29 17:44:00,2020
103,True,True,True,13,114,114,2020-07-29 17:10:42+00:00,0,0,active,2,0,False,,,2020-07-29 17:44:00,2020
104,True,True,True,8,115,115,2020-07-29 17:37:38+00:00,0,1,active,10,0,False,,,2020-07-29 17:44:00,2020
105,True,True,True,15,116,116,2020-07-29 17:36:54+00:00,0,0,active,8,0,False,,,2020-07-29 17:44:00,2020
106,True,True,True,3,117,117,2020-07-29 16:32:57+00:00,0,0,active,16,0,False,,,2020-07-29 17:44:00,2020
107,True,True,True,14,118,118,2020-07-29 17:22:38+00:00,0,0,active,5,0,False,,,2020-07-29 17:44:00,2020
108,True,True,True,5,119,119,2020-07-29 17:37:23+00:00,0,0,active,10,0,False,,,2020-07-29 17:44:00,2020
109,True,True,True,5,120,120,2020-07-29 17:26:52+00:00,0,0,active,10,0,False,,,2020-07-29 17:44:00,2020
110,True,True,True,14,121,121,2020-07-29 17:32:39+00:00,0,1,active,2,0,False,,,2020-07-29 17:44:00,2020
111,True,True,True,14,122,122,2020-07-29 16:54:30+00:00,0,0,active,1,0,False,,,2020-07-29 17:44:00,2020
112,True,True,True,10,124,124,2020-07-29 17:18:54+00:00,0,0,active,5,0,False,,,2020-07-29 17:44:00,2020
113,True,True,True,13,125,125,2020-07-29 17:25:35+00:00,0,0,active,2,0,False,,,2020-07-29 17:44:00,2020
114,True,True,True,14,126,126,2020-07-29 17:01:49+00:00,0,0,active,1,0,False,,,2020-07-29 17:44:00,2020
115,True,True,True,5,128,128,2020-07-29 17:21:35+00:00,0,0,active,14,0,False,,,2020-07-29 17:44:00,2020
116,True,True,True,12,129,129,2020-07-29 16:39:06+00:00,0,0,active,7,0,False,,,2020-07-29 17:44:00,2020
117,True,True,True,7,130,130,2020-07-29 08:49:10+00:00,0,0,active,8,0,False,,,2020-07-29 17:44:00,2020
118,True,True,True,11,131,131,2020-07-29 17:36:22+00:00,0,1,active,6,0,False,,,2020-07-29 17:44:00,2020
119,True,True,True,16,133,133,2020-07-29 17:39:10+00:00,0,1,active,6,0,False,,,2020-07-29 17:44:00,2020
120,True,True,True,7,135,135,2020-07-29 15:54:17+00:00,0,0,active,10,0,False,,,2020-07-29 17:44:00,2020
121,True,True,True,3,136,136,2020-07-29 17:05:24+00:00,0,2,active,14,0,False,,,2020-07-29 17:44:00,2020
122,True,True,True,12,137,137,2020-07-29 16:00:11+00:00,0,0,active,3,0,False,,,2020-07-29 17:44:00,2020
123,True,True,True,5,138,138,2020-07-29 17:33:04+00:00,0,0,active,10,0,False,,,2020-07-29 17:44:00,2020
124,True,True,True,18,139,139,2020-07-29 17:29:31+00:00,0,0,active,1,0,False,,,2020-07-29 17:44:00,2020
125,True,True,True,11,140,140,2020-07-29 16:43:15+00:00,0,0,active,6,0,False,,,2020-07-29 17:44:00,2020
126,True,True,True,10,141,141,2020-07-29 17:23:18+00:00,0,0,active,5,0,False,,,2020-07-29 17:44:00,2020
