,is_installed,is_returning,station_status,num_bikes_disabled,station_id,last_reported,legacy_id,num_docks_disabled,num_bikes_available,num_docks_available,eightd_has_available_keys,num_ebikes_available,is_renting,eightd_active_station_services,valet,timestamp_of_data_read_request,year_station_last_reported
0,True,True,active,0,3,2020-07-29 18:07:18+00:00,3,0,7,8,True,0,True,,,2020-07-29 18:14:40,2020
1,True,True,active,0,4,2020-07-29 18:12:36+00:00,4,0,8,11,False,0,True,,,2020-07-29 18:14:40,2020
2,True,True,active,0,5,2020-07-29 18:14:03+00:00,5,0,8,7,False,0,True,,,2020-07-29 18:14:40,2020
3,True,True,active,0,6,2020-07-29 18:09:26+00:00,6,0,13,2,False,0,True,,,2020-07-29 18:14:40,2020
4,True,True,active,0,7,2020-07-29 17:55:02+00:00,7,0,4,11,False,0,True,,,2020-07-29 18:14:40,2020
5,True,True,active,1,8,2020-07-29 18:09:30+00:00,8,0,5,13,False,0,True,,,2020-07-29 18:14:40,2020
6,True,True,active,2,9,2020-07-29 18:04:22+00:00,9,0,3,10,False,0,True,,,2020-07-29 18:14:40,2020
7,True,True,active,1,10,2020-07-29 17:52:13+00:00,10,0,3,7,False,0,True,,,2020-07-29 18:14:40,2020
8,True,True,active,1,11,2020-07-29 18:11:28+00:00,11,0,14,0,False,0,True,[{'id': 'f8346ad7-0de8-11e7-991c-3863bb43a7d0'}],"{'valet_revision': 69, 'station_id': 'f8346ad7-0de8-11e7-991c-3863bb43a7d0', 'off_dock_count': 50, 'off_dock_capacity': 50, 'active': True, 'region': 'BOS', 'dock_blocked_count': 0}",2020-07-29 18:14:40,2020
9,True,True,active,1,12,2020-07-29 18:11:49+00:00,12,0,7,10,True,0,True,,,2020-07-29 18:14:40,2020
10,True,True,active,0,13,2020-07-29 18:14:02+00:00,13,0,12,7,False,0,True,,,2020-07-29 18:14:40,2020
11,True,True,active,0,14,2020-07-29 18:03:37+00:00,14,0,21,4,False,0,True,,,2020-07-29 18:14:40,2020
12,True,True,active,0,15,2020-07-29 18:03:05+00:00,15,0,8,7,False,0,True,,,2020-07-29 18:14:40,2020
13,True,True,active,1,16,2020-07-29 18:12:35+00:00,16,0,10,8,True,0,True,,,2020-07-29 18:14:40,2020
14,True,True,active,0,17,2020-07-29 18:08:58+00:00,17,0,14,1,False,0,True,,,2020-07-29 18:14:40,2020
15,True,True,active,0,19,2020-07-29 18:02:56+00:00,19,0,5,10,False,0,True,,,2020-07-29 18:14:40,2020
16,True,True,active,1,20,2020-07-29 18:12:25+00:00,20,0,6,16,True,0,True,,,2020-07-29 18:14:40,2020
17,True,True,active,0,21,2020-07-29 17:58:07+00:00,21,0,6,12,False,0,True,,,2020-07-29 18:14:40,2020
18,True,True,active,0,22,2020-07-29 18:09:04+00:00,22,0,9,38,True,0,True,,,2020-07-29 18:14:40,2020
19,True,True,active,0,23,2020-07-29 17:57:47+00:00,23,0,9,12,True,0,True,,,2020-07-29 18:14:40,2020
20,True,True,active,1,24,2020-07-29 17:01:42+00:00,24,0,8,10,False,0,True,,,2020-07-29 18:14:40,2020
21,True,True,active,0,25,2020-07-29 18:12:37+00:00,25,0,5,10,False,0,True,,,2020-07-29 18:14:40,2020
22,True,True,active,0,26,2020-07-29 18:14:34+00:00,26,0,14,1,False,0,True,,,2020-07-29 18:14:40,2020
23,True,True,active,1,27,2020-07-29 17:48:07+00:00,27,0,11,11,False,0,True,,,2020-07-29 18:14:40,2020
24,True,True,active,0,29,2020-07-29 18:14:17+00:00,29,0,12,3,False,0,True,,,2020-07-29 18:14:40,2020
25,True,True,active,0,30,2020-07-29 18:02:57+00:00,30,0,12,3,False,0,True,,,2020-07-29 18:14:40,2020
26,True,True,active,1,31,2020-07-29 18:06:30+00:00,31,0,6,12,True,0,True,,,2020-07-29 18:14:40,2020
27,True,True,active,0,32,2020-07-29 18:12:10+00:00,32,0,3,12,False,0,True,,,2020-07-29 18:14:40,2020
28,True,True,active,0,33,2020-07-29 17:58:33+00:00,33,0,19,8,False,0,True,,,2020-07-29 18:14:40,2020
29,True,True,active,0,35,2020-07-29 18:11:28+00:00,35,0,6,17,False,0,True,,,2020-07-29 18:14:40,2020
30,True,True,active,0,36,2020-07-29 18:12:28+00:00,36,0,24,9,True,0,True,,,2020-07-29 18:14:40,2020
31,True,True,active,0,37,2020-07-29 17:19:07+00:00,37,0,0,15,True,0,True,,,2020-07-29 18:14:40,2020
32,True,True,active,1,39,2020-07-29 18:07:39+00:00,39,0,14,8,False,0,True,,,2020-07-29 18:14:40,2020
33,True,True,active,0,40,2020-07-29 18:04:20+00:00,40,0,10,9,False,0,True,,,2020-07-29 18:14:40,2020
34,True,True,active,1,41,2020-07-29 18:14:17+00:00,41,0,14,12,True,0,True,,,2020-07-29 18:14:40,2020
35,True,True,active,1,42,2020-07-29 17:44:34+00:00,42,0,13,9,False,0,True,,,2020-07-29 18:14:40,2020
36,True,True,active,0,43,2020-07-29 18:03:24+00:00,43,0,9,6,True,0,True,,,2020-07-29 18:14:40,2020
37,True,True,active,0,44,2020-07-29 17:57:46+00:00,44,0,18,5,False,0,True,,,2020-07-29 18:14:40,2020
38,True,True,active,1,46,2020-07-29 18:08:40+00:00,46,0,7,11,False,0,True,,,2020-07-29 18:14:40,2020
39,True,True,active,0,47,2020-07-29 18:13:44+00:00,47,0,8,11,True,0,True,,,2020-07-29 18:14:40,2020
40,True,True,active,0,48,2020-07-29 18:11:33+00:00,48,0,16,3,False,0,True,,,2020-07-29 18:14:40,2020
41,True,True,active,0,49,2020-07-29 17:52:15+00:00,49,0,7,11,False,0,True,,,2020-07-29 18:14:40,2020
42,True,True,active,1,50,2020-07-29 17:55:49+00:00,50,0,12,2,True,0,True,,,2020-07-29 18:14:40,2020
43,True,True,active,3,51,2020-07-29 17:58:15+00:00,51,0,5,7,False,0,True,,,2020-07-29 18:14:40,2020
44,True,True,active,0,52,2020-07-29 18:02:26+00:00,52,0,10,13,True,0,True,,,2020-07-29 18:14:40,2020
45,True,True,active,0,53,2020-07-29 17:57:33+00:00,53,0,5,14,False,0,True,,,2020-07-29 18:14:40,2020
46,True,True,active,0,54,2020-07-29 18:02:03+00:00,54,0,4,11,False,0,True,,,2020-07-29 18:14:40,2020
47,True,True,active,3,55,2020-07-29 17:58:56+00:00,55,0,1,11,False,0,True,,,2020-07-29 18:14:40,2020
48,True,True,active,0,56,2020-07-29 17:24:04+00:00,56,0,13,5,True,0,True,,,2020-07-29 18:14:40,2020
49,True,True,active,0,57,2020-07-29 18:04:11+00:00,57,0,9,5,True,0,True,,,2020-07-29 18:14:40,2020
50,True,True,active,1,58,2020-07-29 17:27:02+00:00,58,0,5,13,True,0,True,,,2020-07-29 18:14:40,2020
51,True,True,active,0,59,2020-07-29 18:11:49+00:00,59,0,6,13,True,0,True,,,2020-07-29 18:14:40,2020
52,True,True,active,0,60,2020-07-29 18:09:38+00:00,60,0,0,19,False,0,True,[{'id': 'f8348a68-0de8-11e7-991c-3863bb43a7d0'}],"{'valet_revision': 61, 'station_id': 'f8348a68-0de8-11e7-991c-3863bb43a7d0', 'off_dock_count': 28, 'off_dock_capacity': 40, 'active': True, 'region': 'BOS', 'dock_blocked_count': 0}",2020-07-29 18:14:40,2020
53,True,True,active,1,61,2020-07-29 18:11:23+00:00,61,0,14,4,False,0,True,,,2020-07-29 18:14:40,2020
54,True,True,active,0,63,2020-07-29 18:02:50+00:00,63,0,13,2,False,0,True,,,2020-07-29 18:14:40,2020
55,True,True,active,1,64,2020-07-29 17:40:21+00:00,64,0,13,5,False,0,True,,,2020-07-29 18:14:40,2020
56,True,True,active,1,65,2020-07-29 18:03:19+00:00,65,0,9,13,False,0,True,,,2020-07-29 18:14:40,2020
57,True,True,active,0,66,2020-07-29 17:59:23+00:00,66,0,1,14,False,0,True,,,2020-07-29 18:14:40,2020
58,True,True,active,2,67,2020-07-29 17:58:49+00:00,67,0,10,15,True,0,True,,,2020-07-29 18:14:40,2020
59,True,True,active,1,68,2020-07-29 18:11:51+00:00,68,0,4,14,True,0,True,,,2020-07-29 18:14:40,2020
60,True,True,active,1,69,2020-07-29 18:14:22+00:00,69,0,0,18,True,0,True,,,2020-07-29 18:14:40,2020
61,True,True,active,0,70,2020-07-29 18:03:07+00:00,70,0,4,19,False,0,True,,,2020-07-29 18:14:40,2020
62,True,True,active,0,71,2020-07-29 16:53:42+00:00,71,0,16,7,False,0,True,,,2020-07-29 18:14:40,2020
63,True,True,active,0,72,2020-07-29 17:11:41+00:00,72,0,8,15,False,0,True,,,2020-07-29 18:14:40,2020
64,True,True,active,1,73,2020-07-29 17:48:07+00:00,73,0,8,6,False,0,True,,,2020-07-29 18:14:40,2020
65,True,True,active,2,74,2020-07-29 17:54:30+00:00,74,0,8,9,True,0,True,,,2020-07-29 18:14:40,2020
66,True,True,active,0,75,2020-07-29 17:08:35+00:00,75,0,8,7,False,0,True,,,2020-07-29 18:14:40,2020
67,True,True,active,0,76,2020-07-29 18:13:19+00:00,76,0,5,12,False,0,True,,,2020-07-29 18:14:40,2020
68,True,True,active,0,77,2020-07-29 17:05:56+00:00,77,0,4,11,False,0,True,,,2020-07-29 18:14:40,2020
69,True,True,active,0,78,2020-07-29 18:07:36+00:00,78,0,11,8,False,0,True,,,2020-07-29 18:14:40,2020
70,True,True,active,0,79,2020-07-29 17:57:34+00:00,79,0,6,13,False,0,True,,,2020-07-29 18:14:40,2020
71,True,True,active,5,80,2020-07-29 18:10:09+00:00,80,0,25,5,False,0,True,,,2020-07-29 18:14:40,2020
72,True,True,active,0,81,2020-07-29 18:08:50+00:00,81,0,6,13,False,0,True,,,2020-07-29 18:14:40,2020
73,True,True,active,0,82,2020-07-29 18:09:24+00:00,82,0,3,12,False,0,True,,,2020-07-29 18:14:40,2020
74,True,True,active,1,84,2020-07-29 17:52:29+00:00,84,0,10,4,False,0,True,,,2020-07-29 18:14:40,2020
75,True,True,active,1,85,2020-07-29 17:47:51+00:00,85,0,13,5,False,0,True,,,2020-07-29 18:14:40,2020
76,True,True,active,1,86,2020-07-29 18:09:48+00:00,86,0,4,14,False,0,True,,,2020-07-29 18:14:40,2020
77,True,True,active,0,87,2020-07-29 18:03:22+00:00,87,0,2,13,False,0,True,,,2020-07-29 18:14:40,2020
78,True,True,active,0,89,2020-07-29 17:38:57+00:00,89,0,11,8,False,0,True,,,2020-07-29 18:14:40,2020
79,True,True,active,0,90,2020-07-29 17:45:04+00:00,90,0,9,10,False,0,True,,,2020-07-29 18:14:40,2020
