,num_bikes_disabled,last_reported,station_status,is_installed,is_returning,num_docks_disabled,eightd_has_available_keys,legacy_id,num_bikes_available,station_id,num_docks_available,num_ebikes_available,is_renting,valet,eightd_active_station_services,timestamp_of_data_read_request,year_station_last_reported
0,2,2020-07-29 21:17:08+00:00,active,True,True,0,True,3,5,3,8,0,True,,,2020-07-29 21:28:45,2020
1,0,2020-07-29 21:28:04+00:00,active,True,True,0,False,4,13,4,6,0,True,,,2020-07-29 21:28:45,2020
2,0,2020-07-29 21:28:26+00:00,active,True,True,0,False,5,10,5,5,0,True,,,2020-07-29 21:28:45,2020
3,0,2020-07-29 21:26:01+00:00,active,True,True,0,False,6,13,6,2,0,True,,,2020-07-29 21:28:45,2020
4,0,2020-07-29 20:55:56+00:00,active,True,True,0,False,7,6,7,9,0,True,,,2020-07-29 21:28:45,2020
5,1,2020-07-29 21:21:38+00:00,active,True,True,0,False,8,5,8,13,0,True,,,2020-07-29 21:28:45,2020
6,1,2020-07-29 21:27:18+00:00,active,True,True,0,False,9,7,9,7,0,True,,,2020-07-29 21:28:45,2020
7,1,2020-07-29 20:56:36+00:00,active,True,True,0,False,10,2,10,8,0,True,,,2020-07-29 21:28:45,2020
8,1,2020-07-29 21:26:38+00:00,active,True,True,0,False,11,10,11,4,0,True,"{'off_dock_capacity': 50, 'off_dock_count': 23, 'region': 'BOS', 'dock_blocked_count': 0, 'active': True, 'valet_revision': 69, 'station_id': 'f8346ad7-0de8-11e7-991c-3863bb43a7d0'}",[{'id': 'f8346ad7-0de8-11e7-991c-3863bb43a7d0'}],2020-07-29 21:28:45,2020
9,1,2020-07-29 21:25:32+00:00,active,True,True,0,True,12,12,12,5,0,True,,,2020-07-29 21:28:45,2020
10,0,2020-07-29 21:21:08+00:00,active,True,True,0,False,13,0,13,19,0,True,,,2020-07-29 21:28:45,2020
11,0,2020-07-29 21:20:52+00:00,active,True,True,0,False,14,2,14,23,0,True,,,2020-07-29 21:28:45,2020
12,1,2020-07-29 21:22:37+00:00,active,True,True,0,False,15,9,15,5,0,True,,,2020-07-29 21:28:45,2020
13,2,2020-07-29 21:20:56+00:00,active,True,True,0,True,16,11,16,6,0,True,,,2020-07-29 21:28:45,2020
14,0,2020-07-29 21:26:29+00:00,active,True,True,0,False,17,12,17,3,0,True,,,2020-07-29 21:28:45,2020
15,0,2020-07-29 21:26:48+00:00,active,True,True,0,False,19,2,19,13,0,True,,,2020-07-29 21:28:45,2020
16,1,2020-07-29 21:16:22+00:00,active,True,True,0,False,20,12,20,10,0,True,,,2020-07-29 21:28:45,2020
17,0,2020-07-29 21:23:40+00:00,active,True,True,0,False,21,5,21,13,0,True,,,2020-07-29 21:28:45,2020
