,is_installed,last_reported,num_bikes_available,num_ebikes_available,station_id,num_bikes_disabled,station_status,is_returning,legacy_id,num_docks_disabled,eightd_has_available_keys,num_docks_available,is_renting,eightd_active_station_services,valet,timestamp_of_data_read_request,year_station_last_reported
0,True,2020-07-29 21:51:11+00:00,6,0,3,2,active,True,3,0,True,7,True,,,2020-07-29 22:09:40,2020
1,True,2020-07-29 22:01:06+00:00,15,0,4,0,active,True,4,0,False,4,True,,,2020-07-29 22:09:40,2020
2,True,2020-07-29 22:07:54+00:00,8,0,5,0,active,True,5,0,False,7,True,,,2020-07-29 22:09:40,2020
3,True,2020-07-29 22:06:49+00:00,8,0,6,0,active,True,6,0,False,7,True,,,2020-07-29 22:09:40,2020
4,True,2020-07-29 21:40:19+00:00,7,0,7,0,active,True,7,0,False,8,True,,,2020-07-29 22:09:40,2020
5,True,2020-07-29 22:03:08+00:00,4,0,8,1,active,True,8,0,False,14,True,,,2020-07-29 22:09:40,2020
6,True,2020-07-29 22:04:41+00:00,7,0,9,1,active,True,9,0,False,7,True,,,2020-07-29 22:09:40,2020
7,True,2020-07-29 21:45:24+00:00,2,0,10,1,active,True,10,0,False,8,True,,,2020-07-29 22:09:40,2020
8,True,2020-07-29 22:07:46+00:00,6,0,11,1,active,True,11,0,False,8,True,[{'id': 'f8346ad7-0de8-11e7-991c-3863bb43a7d0'}],"{'off_dock_capacity': 50, 'region': 'BOS', 'station_id': 'f8346ad7-0de8-11e7-991c-3863bb43a7d0', 'active': True, 'off_dock_count': 12, 'valet_revision': 69, 'dock_blocked_count': 0}",2020-07-29 22:09:40,2020
9,True,2020-07-29 21:54:07+00:00,12,0,12,1,active,True,12,0,True,5,True,,,2020-07-29 22:09:40,2020
10,True,2020-07-29 22:08:31+00:00,9,0,13,0,active,True,13,0,False,10,True,,,2020-07-29 22:09:40,2020
11,True,2020-07-29 21:56:13+00:00,0,0,14,0,active,True,14,0,False,25,True,,,2020-07-29 22:09:40,2020
12,True,2020-07-29 22:04:16+00:00,8,0,15,1,active,True,15,0,False,6,True,,,2020-07-29 22:09:40,2020
13,True,2020-07-29 22:08:28+00:00,10,0,16,2,active,True,16,0,True,7,True,,,2020-07-29 22:09:40,2020
14,True,2020-07-29 22:06:58+00:00,11,0,17,0,active,True,17,0,False,4,True,,,2020-07-29 22:09:40,2020
15,True,2020-07-29 21:58:53+00:00,2,0,19,0,active,True,19,0,False,13,True,,,2020-07-29 22:09:40,2020
16,True,2020-07-29 22:09:06+00:00,13,0,20,1,active,True,20,0,False,9,True,,,2020-07-29 22:09:40,2020
