,num_docks_available,num_docks_disabled,last_reported,num_ebikes_available,station_id,station_status,is_renting,num_bikes_disabled,is_installed,legacy_id,num_bikes_available,is_returning,eightd_has_available_keys,eightd_active_station_services,valet,timestamp_of_data_read_request,year_station_last_reported
0,11,0,2020-07-29 23:10:59+00:00,0,3,active,True,2,True,3,2,True,True,,,2020-07-29 23:21:10,2020
1,0,0,2020-07-29 22:39:12+00:00,0,4,active,True,1,True,4,18,True,False,,,2020-07-29 23:21:10,2020
2,13,0,2020-07-29 23:19:43+00:00,0,5,active,True,0,True,5,2,True,False,,,2020-07-29 23:21:10,2020
3,12,0,2020-07-29 23:19:22+00:00,0,6,active,True,0,True,6,3,True,False,,,2020-07-29 23:21:10,2020
4,3,0,2020-07-29 23:05:06+00:00,0,7,active,True,1,True,7,11,True,False,,,2020-07-29 23:21:10,2020
5,11,0,2020-07-29 23:14:02+00:00,0,8,active,True,1,True,8,7,True,False,,,2020-07-29 23:21:10,2020
6,8,0,2020-07-29 23:19:02+00:00,0,9,active,True,1,True,9,6,True,False,,,2020-07-29 23:21:10,2020
7,8,0,2020-07-29 23:14:21+00:00,0,10,active,True,1,True,10,2,True,False,,,2020-07-29 23:21:10,2020
8,13,0,2020-07-29 23:19:46+00:00,0,11,active,True,1,True,11,1,True,False,[{'id': 'f8346ad7-0de8-11e7-991c-3863bb43a7d0'}],"{'off_dock_count': 12, 'region': 'BOS', 'active': True, 'station_id': 'f8346ad7-0de8-11e7-991c-3863bb43a7d0', 'valet_revision': 69, 'dock_blocked_count': 0, 'off_dock_capacity': 50}",2020-07-29 23:21:10,2020
9,0,0,2020-07-29 23:07:34+00:00,0,12,active,True,1,True,12,17,True,True,,,2020-07-29 23:21:10,2020
10,14,0,2020-07-29 23:10:34+00:00,0,13,active,True,0,True,13,5,True,False,,,2020-07-29 23:21:10,2020
11,25,0,2020-07-29 23:14:47+00:00,0,14,active,True,0,True,14,0,True,False,,,2020-07-29 23:21:10,2020
12,3,0,2020-07-29 22:53:50+00:00,0,15,active,True,0,True,15,12,True,False,,,2020-07-29 23:21:10,2020
13,8,0,2020-07-29 23:20:28+00:00,0,16,active,True,2,True,16,9,True,True,,,2020-07-29 23:21:10,2020
14,9,0,2020-07-29 23:08:59+00:00,0,17,active,True,0,True,17,6,True,False,,,2020-07-29 23:21:10,2020
15,9,0,2020-07-29 23:10:55+00:00,0,19,active,True,0,True,19,6,True,False,,,2020-07-29 23:21:10,2020
16,3,0,2020-07-29 23:14:36+00:00,0,20,active,True,1,True,20,19,True,False,,,2020-07-29 23:21:10,2020
17,15,0,2020-07-29 23:16:12+00:00,0,21,active,True,0,True,21,3,True,False,,,2020-07-29 23:21:10,2020
18,28,0,2020-07-29 23:15:28+00:00,0,22,active,True,1,True,22,18,True,True,,,2020-07-29 23:21:10,2020
19,18,0,2020-07-29 23:01:10+00:00,0,23,active,True,0,True,23,3,True,True,,,2020-07-29 23:21:10,2020
20,5,0,2020-07-29 23:19:17+00:00,0,24,active,True,0,True,24,14,True,False,,,2020-07-29 23:21:10,2020
21,5,0,2020-07-29 23:20:50+00:00,0,25,active,True,0,True,25,10,True,False,,,2020-07-29 23:21:10,2020
22,10,0,2020-07-29 23:19:54+00:00,0,26,active,True,1,True,26,4,True,False,,,2020-07-29 23:21:10,2020
23,19,0,2020-07-29 23:18:59+00:00,0,27,active,True,1,True,27,3,True,False,,,2020-07-29 23:21:10,2020
