,is_installed,is_returning,eightd_has_available_keys,station_id,num_bikes_available,num_docks_available,station_status,legacy_id,num_ebikes_available,is_renting,last_reported,num_docks_disabled,num_bikes_disabled,eightd_active_station_services,valet,timestamp_of_data_read_request,year_station_last_reported
0,True,True,True,3,2,11,active,3,0,True,2020-07-30 00:09:37+00:00,0,2,,,2020-07-30 00:12:10,2020
1,True,True,False,4,18,0,active,4,0,True,2020-07-29 22:39:12+00:00,0,1,,,2020-07-30 00:12:10,2020
2,True,True,False,5,6,9,active,5,0,True,2020-07-30 00:08:09+00:00,0,0,,,2020-07-30 00:12:10,2020
3,True,True,False,6,5,10,active,6,0,True,2020-07-30 00:03:02+00:00,0,0,,,2020-07-30 00:12:10,2020
4,True,True,False,7,14,0,active,7,0,True,2020-07-29 23:47:26+00:00,0,1,,,2020-07-30 00:12:10,2020
5,True,True,False,8,10,6,active,8,0,True,2020-07-30 00:03:15+00:00,0,3,,,2020-07-30 00:12:10,2020
6,True,True,False,9,4,10,active,9,0,True,2020-07-29 23:59:34+00:00,0,1,,,2020-07-30 00:12:10,2020
7,True,True,False,10,1,10,active,10,0,True,2020-07-29 23:51:42+00:00,0,0,,,2020-07-30 00:12:10,2020
8,True,True,False,11,0,14,active,11,0,True,2020-07-29 23:57:41+00:00,0,1,[{'id': 'f8346ad7-0de8-11e7-991c-3863bb43a7d0'}],"{'station_id': 'f8346ad7-0de8-11e7-991c-3863bb43a7d0', 'active': True, 'dock_blocked_count': 0, 'off_dock_count': 12, 'valet_revision': 69, 'off_dock_capacity': 50, 'region': 'BOS'}",2020-07-30 00:12:10,2020
9,True,True,True,12,11,6,active,12,0,True,2020-07-30 00:11:30+00:00,0,1,,,2020-07-30 00:12:10,2020
10,True,True,False,13,1,18,active,13,0,True,2020-07-29 23:56:45+00:00,0,0,,,2020-07-30 00:12:10,2020
11,True,True,False,14,0,25,active,14,0,True,2020-07-29 23:14:47+00:00,0,0,,,2020-07-30 00:12:10,2020
12,True,True,False,15,9,6,active,15,0,True,2020-07-29 23:59:55+00:00,0,0,,,2020-07-30 00:12:10,2020
13,True,True,True,16,6,11,active,16,0,True,2020-07-30 00:06:23+00:00,0,2,,,2020-07-30 00:12:10,2020
14,True,True,False,17,11,4,active,17,0,True,2020-07-30 00:11:24+00:00,0,0,,,2020-07-30 00:12:10,2020
15,True,True,False,19,3,12,active,19,0,True,2020-07-30 00:06:09+00:00,0,0,,,2020-07-30 00:12:10,2020
16,True,True,False,20,17,5,active,20,0,True,2020-07-30 00:07:39+00:00,0,1,,,2020-07-30 00:12:10,2020
17,True,True,False,21,5,13,active,21,0,True,2020-07-30 00:11:51+00:00,0,0,,,2020-07-30 00:12:10,2020
18,True,True,True,22,17,29,active,22,0,True,2020-07-30 00:08:14+00:00,0,1,,,2020-07-30 00:12:10,2020
19,True,True,True,23,3,18,active,23,0,True,2020-07-29 23:47:20+00:00,0,0,,,2020-07-30 00:12:10,2020
20,True,True,False,24,14,5,active,24,0,True,2020-07-30 00:07:32+00:00,0,0,,,2020-07-30 00:12:10,2020
21,True,True,False,25,12,3,active,25,0,True,2020-07-29 23:58:03+00:00,0,0,,,2020-07-30 00:12:10,2020
22,True,True,False,26,3,11,active,26,0,True,2020-07-29 23:57:00+00:00,0,1,,,2020-07-30 00:12:10,2020
23,True,True,False,27,6,15,active,27,0,True,2020-07-30 00:11:19+00:00,0,2,,,2020-07-30 00:12:10,2020
24,True,True,False,29,10,5,active,29,0,True,2020-07-29 23:54:35+00:00,0,0,,,2020-07-30 00:12:10,2020
25,True,True,False,30,1,13,active,30,0,True,2020-07-30 00:10:12+00:00,0,1,,,2020-07-30 00:12:10,2020
26,True,True,True,31,9,9,active,31,0,True,2020-07-29 23:42:49+00:00,0,1,,,2020-07-30 00:12:10,2020
27,True,True,False,32,7,7,active,32,0,True,2020-07-29 23:53:54+00:00,0,1,,,2020-07-30 00:12:10,2020
