,is_returning,num_ebikes_available,is_installed,last_reported,eightd_has_available_keys,legacy_id,num_docks_disabled,num_bikes_available,station_status,station_id,num_docks_available,is_renting,num_bikes_disabled,timestamp_of_data_read_request,year_station_last_reported
0,True,0,True,2020-07-30 02:47:00+00:00,True,3,0,0,active,3,13,True,2,2020-07-30 02:55:35,2020
1,True,0,True,2020-07-30 02:34:55+00:00,False,4,0,14,active,4,4,True,1,2020-07-30 02:55:35,2020
2,True,0,True,2020-07-30 02:52:53+00:00,False,5,0,11,active,5,4,True,0,2020-07-30 02:55:35,2020
3,True,0,True,2020-07-30 02:33:41+00:00,False,6,0,9,active,6,6,True,0,2020-07-30 02:55:35,2020
4,True,0,True,2020-07-30 02:46:47+00:00,False,7,0,8,active,7,6,True,1,2020-07-30 02:55:35,2020
5,True,0,True,2020-07-30 02:00:10+00:00,False,8,0,13,active,8,4,True,2,2020-07-30 02:55:35,2020
6,True,0,True,2020-07-30 02:25:22+00:00,False,9,0,3,active,9,11,True,1,2020-07-30 02:55:35,2020
7,True,0,True,2020-07-30 00:54:27+00:00,False,10,0,0,active,10,11,True,0,2020-07-30 02:55:35,2020
8,True,0,True,2020-07-30 02:29:13+00:00,False,11,0,0,active,11,14,True,1,2020-07-30 02:55:35,2020
9,True,0,True,2020-07-30 02:46:41+00:00,True,12,0,5,active,12,12,True,1,2020-07-30 02:55:35,2020
10,True,0,True,2020-07-30 01:11:35+00:00,False,13,0,0,active,13,19,True,0,2020-07-30 02:55:35,2020
11,True,0,True,2020-07-30 02:20:48+00:00,False,14,0,0,active,14,25,True,0,2020-07-30 02:55:35,2020
12,True,0,True,2020-07-30 01:53:00+00:00,False,15,0,10,active,15,5,True,0,2020-07-30 02:55:35,2020
13,True,0,True,2020-07-30 01:06:31+00:00,True,16,0,2,active,16,15,True,2,2020-07-30 02:55:35,2020
14,True,0,True,2020-07-30 02:43:37+00:00,False,17,0,13,active,17,2,True,0,2020-07-30 02:55:35,2020
15,True,0,True,2020-07-30 01:24:28+00:00,False,19,0,6,active,19,9,True,0,2020-07-30 02:55:35,2020
16,True,0,True,2020-07-30 02:52:30+00:00,False,20,0,14,active,20,8,True,1,2020-07-30 02:55:35,2020
17,True,0,True,2020-07-30 02:43:07+00:00,False,21,0,14,active,21,4,True,0,2020-07-30 02:55:35,2020
18,True,0,True,2020-07-30 01:51:15+00:00,True,22,0,16,active,22,30,True,1,2020-07-30 02:55:35,2020
19,True,0,True,2020-07-30 02:32:35+00:00,True,23,0,8,active,23,13,True,0,2020-07-30 02:55:35,2020
20,True,0,True,2020-07-30 02:46:46+00:00,False,24,0,13,active,24,6,True,0,2020-07-30 02:55:35,2020
21,True,0,True,2020-07-30 02:37:18+00:00,False,25,0,14,active,25,1,True,0,2020-07-30 02:55:35,2020
22,True,0,True,2020-07-30 02:50:30+00:00,False,26,0,4,active,26,10,True,1,2020-07-30 02:55:35,2020
23,True,0,True,2020-07-30 02:51:00+00:00,False,27,0,4,active,27,17,True,2,2020-07-30 02:55:35,2020
24,True,0,True,2020-07-30 00:20:39+00:00,False,29,0,7,active,29,8,True,0,2020-07-30 02:55:35,2020
25,True,0,True,2020-07-30 02:44:58+00:00,False,30,0,0,active,30,15,True,0,2020-07-30 02:55:35,2020
26,True,0,True,2020-07-30 02:41:54+00:00,True,31,0,7,active,31,11,True,1,2020-07-30 02:55:35,2020
27,True,0,True,2020-07-30 02:46:15+00:00,False,32,0,12,active,32,2,True,1,2020-07-30 02:55:35,2020
28,True,0,True,2020-07-30 02:44:22+00:00,False,33,0,20,active,33,6,True,1,2020-07-30 02:55:35,2020
29,True,0,True,2020-07-30 01:41:03+00:00,False,35,0,1,active,35,22,True,0,2020-07-30 02:55:35,2020
30,True,0,True,2020-07-30 02:04:04+00:00,True,36,0,13,active,36,20,True,0,2020-07-30 02:55:35,2020
31,True,0,True,2020-07-29 23:52:20+00:00,True,37,0,3,active,37,12,True,0,2020-07-30 02:55:35,2020
32,True,0,True,2020-07-30 02:44:24+00:00,False,39,0,15,active,39,7,True,1,2020-07-30 02:55:35,2020
33,True,0,True,2020-07-30 02:52:12+00:00,False,40,0,8,active,40,11,True,0,2020-07-30 02:55:35,2020
34,True,0,True,2020-07-30 02:20:23+00:00,True,41,0,22,active,41,4,True,1,2020-07-30 02:55:35,2020
35,True,0,True,2020-07-30 02:13:18+00:00,False,42,0,21,active,42,1,True,1,2020-07-30 02:55:35,2020
36,True,0,True,2020-07-30 02:37:40+00:00,True,43,0,6,active,43,9,True,0,2020-07-30 02:55:35,2020
37,True,0,True,2020-07-30 02:06:30+00:00,False,44,0,11,active,44,11,True,1,2020-07-30 02:55:35,2020
38,True,0,True,2020-07-30 02:52:34+00:00,False,46,0,8,active,46,10,True,1,2020-07-30 02:55:35,2020
39,True,0,True,2020-07-30 02:43:30+00:00,True,47,0,14,active,47,5,True,0,2020-07-30 02:55:35,2020
40,True,0,True,2020-07-29 23:43:25+00:00,False,48,0,0,active,48,19,True,0,2020-07-30 02:55:35,2020
41,True,0,True,2020-07-30 02:19:42+00:00,False,49,0,4,active,49,14,True,0,2020-07-30 02:55:35,2020
42,True,0,True,2020-07-30 02:42:21+00:00,True,50,0,2,active,50,13,True,0,2020-07-30 02:55:35,2020
43,True,0,True,2020-07-30 01:38:59+00:00,False,51,0,1,active,51,13,True,1,2020-07-30 02:55:35,2020
44,True,0,True,2020-07-30 02:53:23+00:00,True,52,0,6,active,52,17,True,0,2020-07-30 02:55:35,2020
45,True,0,True,2020-07-30 02:38:32+00:00,False,53,0,7,active,53,12,True,0,2020-07-30 02:55:35,2020
46,True,0,True,2020-07-30 02:48:47+00:00,False,54,0,0,active,54,15,True,0,2020-07-30 02:55:35,2020
47,True,0,True,2020-07-30 02:45:44+00:00,False,55,0,14,active,55,1,True,0,2020-07-30 02:55:35,2020
48,True,0,True,2020-07-30 01:29:58+00:00,True,56,0,11,active,56,7,True,0,2020-07-30 02:55:35,2020
49,True,0,True,2020-07-30 02:08:01+00:00,True,57,0,9,active,57,5,True,0,2020-07-30 02:55:35,2020
50,True,0,True,2020-07-30 02:25:48+00:00,True,58,0,18,active,58,1,True,0,2020-07-30 02:55:35,2020
51,True,0,True,2020-07-30 02:18:36+00:00,True,59,0,9,active,59,10,True,0,2020-07-30 02:55:35,2020
52,True,0,True,2020-07-30 02:52:19+00:00,False,60,0,13,active,60,5,True,1,2020-07-30 02:55:35,2020
53,True,0,True,2020-07-30 02:51:58+00:00,False,61,0,8,active,61,11,True,0,2020-07-30 02:55:35,2020
54,True,0,True,2020-07-30 02:05:50+00:00,False,63,0,15,active,63,0,True,0,2020-07-30 02:55:35,2020
55,True,0,True,2020-07-30 02:44:39+00:00,False,64,0,11,active,64,6,True,2,2020-07-30 02:55:35,2020
56,True,0,True,2020-07-30 02:12:21+00:00,False,65,0,8,active,65,14,True,1,2020-07-30 02:55:35,2020
57,True,0,True,2020-07-30 02:34:20+00:00,False,66,0,15,active,66,0,True,0,2020-07-30 02:55:35,2020
58,True,0,True,2020-07-30 02:45:18+00:00,True,67,0,9,active,67,18,True,0,2020-07-30 02:55:35,2020
59,True,0,True,2020-07-30 02:51:07+00:00,True,68,0,5,active,68,13,True,1,2020-07-30 02:55:35,2020
60,True,0,True,2020-07-30 02:50:35+00:00,True,69,0,7,active,69,11,True,1,2020-07-30 02:55:35,2020
61,True,0,True,2020-07-30 01:13:39+00:00,False,70,0,2,active,70,21,True,0,2020-07-30 02:55:35,2020
62,True,0,True,2020-07-30 02:49:36+00:00,False,71,0,22,active,71,1,True,0,2020-07-30 02:55:35,2020
63,True,0,True,2020-07-30 02:14:23+00:00,False,72,0,1,active,72,21,True,1,2020-07-30 02:55:35,2020
64,True,0,True,2020-07-30 02:30:52+00:00,False,73,0,7,active,73,7,True,1,2020-07-30 02:55:35,2020
65,True,0,True,2020-07-30 02:50:47+00:00,True,74,0,14,active,74,4,True,1,2020-07-30 02:55:35,2020
66,True,0,True,2020-07-30 02:31:35+00:00,False,75,0,0,active,75,15,True,0,2020-07-30 02:55:35,2020
67,True,0,True,2020-07-30 02:29:40+00:00,False,76,0,6,active,76,10,True,1,2020-07-30 02:55:35,2020
68,True,0,True,2020-07-30 01:23:21+00:00,False,77,0,11,active,77,4,True,0,2020-07-30 02:55:35,2020
69,True,0,True,2020-07-30 02:30:03+00:00,False,78,0,18,active,78,1,True,0,2020-07-30 02:55:35,2020
70,True,0,True,2020-07-30 01:35:06+00:00,False,79,0,13,active,79,5,True,1,2020-07-30 02:55:35,2020
71,True,0,True,2020-07-30 02:07:57+00:00,False,80,0,6,active,80,28,True,1,2020-07-30 02:55:35,2020
72,True,0,True,2020-07-30 02:41:57+00:00,False,81,0,7,active,81,12,True,0,2020-07-30 02:55:35,2020
73,True,0,True,2020-07-30 01:21:58+00:00,False,82,0,1,active,82,14,True,0,2020-07-30 02:55:35,2020
