,num_docks_available,station_id,station_status,num_bikes_disabled,num_docks_disabled,is_returning,last_reported,eightd_has_available_keys,is_installed,legacy_id,is_renting,num_ebikes_available,num_bikes_available,timestamp_of_data_read_request,year_station_last_reported
0,13,3,active,2,0,True,2020-07-30 02:47:00+00:00,True,True,3,True,0,0,2020-07-30 03:05:55,2020
1,4,4,active,1,0,True,2020-07-30 02:34:55+00:00,False,True,4,True,0,14,2020-07-30 03:05:55,2020
2,6,5,active,0,0,True,2020-07-30 02:58:45+00:00,False,True,5,True,0,9,2020-07-30 03:05:55,2020
3,6,6,active,0,0,True,2020-07-30 02:33:41+00:00,False,True,6,True,0,9,2020-07-30 03:05:55,2020
4,6,7,active,1,0,True,2020-07-30 03:00:06+00:00,False,True,7,True,0,8,2020-07-30 03:05:55,2020
5,4,8,active,2,0,True,2020-07-30 02:00:10+00:00,False,True,8,True,0,13,2020-07-30 03:05:55,2020
6,11,9,active,1,0,True,2020-07-30 02:25:22+00:00,False,True,9,True,0,3,2020-07-30 03:05:55,2020
7,11,10,active,0,0,True,2020-07-30 00:54:27+00:00,False,True,10,True,0,0,2020-07-30 03:05:55,2020
8,14,11,active,1,0,True,2020-07-30 02:29:13+00:00,False,True,11,True,0,0,2020-07-30 03:05:55,2020
9,13,12,active,1,0,True,2020-07-30 02:59:20+00:00,True,True,12,True,0,4,2020-07-30 03:05:55,2020
10,19,13,active,0,0,True,2020-07-30 01:11:35+00:00,False,True,13,True,0,0,2020-07-30 03:05:55,2020
11,25,14,active,0,0,True,2020-07-30 02:20:48+00:00,False,True,14,True,0,0,2020-07-30 03:05:55,2020
12,5,15,active,0,0,True,2020-07-30 01:53:00+00:00,False,True,15,True,0,10,2020-07-30 03:05:55,2020
13,15,16,active,2,0,True,2020-07-30 01:06:31+00:00,True,True,16,True,0,2,2020-07-30 03:05:55,2020
14,2,17,active,0,0,True,2020-07-30 02:43:37+00:00,False,True,17,True,0,13,2020-07-30 03:05:55,2020
15,10,19,active,0,0,True,2020-07-30 02:59:19+00:00,False,True,19,True,0,5,2020-07-30 03:05:55,2020
16,8,20,active,1,0,True,2020-07-30 02:52:30+00:00,False,True,20,True,0,14,2020-07-30 03:05:55,2020
17,4,21,active,0,0,True,2020-07-30 02:43:07+00:00,False,True,21,True,0,14,2020-07-30 03:05:55,2020
18,30,22,active,1,0,True,2020-07-30 01:51:15+00:00,True,True,22,True,0,16,2020-07-30 03:05:55,2020
19,13,23,active,0,0,True,2020-07-30 02:32:35+00:00,True,True,23,True,0,8,2020-07-30 03:05:55,2020
20,6,24,active,0,0,True,2020-07-30 02:46:46+00:00,False,True,24,True,0,13,2020-07-30 03:05:55,2020
21,0,25,active,0,0,True,2020-07-30 03:01:02+00:00,False,True,25,True,0,15,2020-07-30 03:05:55,2020
22,10,26,active,1,0,True,2020-07-30 02:50:30+00:00,False,True,26,True,0,4,2020-07-30 03:05:55,2020
23,17,27,active,2,0,True,2020-07-30 02:51:00+00:00,False,True,27,True,0,4,2020-07-30 03:05:55,2020
24,8,29,active,0,0,True,2020-07-30 00:20:39+00:00,False,True,29,True,0,7,2020-07-30 03:05:55,2020
25,15,30,active,0,0,True,2020-07-30 02:44:58+00:00,False,True,30,True,0,0,2020-07-30 03:05:55,2020
26,11,31,active,1,0,True,2020-07-30 02:41:54+00:00,True,True,31,True,0,7,2020-07-30 03:05:55,2020
27,1,32,active,1,0,True,2020-07-30 02:54:31+00:00,False,True,32,True,0,13,2020-07-30 03:05:55,2020
28,6,33,active,1,0,True,2020-07-30 02:44:22+00:00,False,True,33,True,0,20,2020-07-30 03:05:55,2020
29,22,35,active,0,0,True,2020-07-30 01:41:03+00:00,False,True,35,True,0,1,2020-07-30 03:05:55,2020
30,21,36,active,0,0,True,2020-07-30 02:56:25+00:00,True,True,36,True,0,12,2020-07-30 03:05:55,2020
31,12,37,active,0,0,True,2020-07-29 23:52:20+00:00,True,True,37,True,0,3,2020-07-30 03:05:55,2020
32,7,39,active,1,0,True,2020-07-30 02:44:24+00:00,False,True,39,True,0,15,2020-07-30 03:05:55,2020
33,11,40,active,0,0,True,2020-07-30 02:52:12+00:00,False,True,40,True,0,8,2020-07-30 03:05:55,2020
34,4,41,active,1,0,True,2020-07-30 02:20:23+00:00,True,True,41,True,0,22,2020-07-30 03:05:55,2020
35,1,42,active,1,0,True,2020-07-30 02:13:18+00:00,False,True,42,True,0,21,2020-07-30 03:05:55,2020
36,9,43,active,0,0,True,2020-07-30 02:37:40+00:00,True,True,43,True,0,6,2020-07-30 03:05:55,2020
37,11,44,active,1,0,True,2020-07-30 02:06:30+00:00,False,True,44,True,0,11,2020-07-30 03:05:55,2020
38,10,46,active,1,0,True,2020-07-30 02:52:34+00:00,False,True,46,True,0,8,2020-07-30 03:05:55,2020
39,5,47,active,0,0,True,2020-07-30 02:43:30+00:00,True,True,47,True,0,14,2020-07-30 03:05:55,2020
40,19,48,active,0,0,True,2020-07-29 23:43:25+00:00,False,True,48,True,0,0,2020-07-30 03:05:55,2020
41,14,49,active,0,0,True,2020-07-30 02:19:42+00:00,False,True,49,True,0,4,2020-07-30 03:05:55,2020
42,13,50,active,0,0,True,2020-07-30 02:42:21+00:00,True,True,50,True,0,2,2020-07-30 03:05:55,2020
