,is_returning,num_ebikes_available,is_installed,last_reported,eightd_has_available_keys,legacy_id,num_docks_disabled,num_bikes_available,station_status,station_id,num_docks_available,is_renting,num_bikes_disabled,valet,eightd_active_station_services,timestamp_of_data_read_request,year_station_last_reported
0,True,0,True,2020-07-30 13:57:24+00:00,True,3,0,11,active,3,4,True,0,,,2020-07-30 14:01:25,2020
1,True,0,True,2020-07-30 13:58:57+00:00,False,4,0,9,active,4,9,True,1,,,2020-07-30 14:01:25,2020
2,True,0,True,2020-07-30 13:54:38+00:00,False,5,0,5,active,5,9,True,1,,,2020-07-30 14:01:25,2020
3,True,0,True,2020-07-30 13:57:29+00:00,False,6,0,9,active,6,6,True,0,,,2020-07-30 14:01:25,2020
4,True,0,True,2020-07-30 13:09:52+00:00,False,7,0,7,active,7,7,True,1,,,2020-07-30 14:01:25,2020
5,True,0,True,2020-07-30 13:52:40+00:00,False,8,0,3,active,8,14,True,2,,,2020-07-30 14:01:25,2020
6,True,0,True,2020-07-30 13:47:35+00:00,False,9,0,0,active,9,15,True,0,,,2020-07-30 14:01:25,2020
7,True,0,True,2020-07-30 13:53:36+00:00,False,10,0,3,active,10,8,True,0,,,2020-07-30 14:01:25,2020
8,True,0,True,2020-07-30 14:01:17+00:00,False,11,0,9,active,11,6,True,0,"{'off_dock_count': 55, 'region': 'BOS', 'off_dock_capacity': 50, 'valet_revision': 73, 'station_id': 'f8346ad7-0de8-11e7-991c-3863bb43a7d0', 'active': True, 'dock_blocked_count': 0}",[{'id': 'f8346ad7-0de8-11e7-991c-3863bb43a7d0'}],2020-07-30 14:01:25,2020
9,True,0,True,2020-07-30 13:44:18+00:00,True,12,0,4,active,12,13,True,1,,,2020-07-30 14:01:25,2020
10,True,0,True,2020-07-30 13:47:50+00:00,False,13,0,18,active,13,1,True,0,,,2020-07-30 14:01:25,2020
11,True,0,True,2020-07-30 13:58:23+00:00,False,14,0,18,active,14,7,True,0,,,2020-07-30 14:01:25,2020
12,True,0,True,2020-07-30 13:35:26+00:00,False,15,0,13,active,15,2,True,0,,,2020-07-30 14:01:25,2020
13,True,0,True,2020-07-30 13:49:41+00:00,True,16,0,3,active,16,14,True,2,,,2020-07-30 14:01:25,2020
14,True,0,True,2020-07-30 13:55:14+00:00,False,17,0,9,active,17,6,True,0,,,2020-07-30 14:01:25,2020
15,True,0,True,2020-07-30 13:51:57+00:00,False,19,0,4,active,19,11,True,0,,,2020-07-30 14:01:25,2020
16,True,0,True,2020-07-30 13:58:54+00:00,False,20,0,13,active,20,10,True,0,,,2020-07-30 14:01:25,2020
17,True,0,True,2020-07-30 13:49:44+00:00,False,21,0,12,active,21,6,True,0,,,2020-07-30 14:01:25,2020
18,True,0,True,2020-07-30 13:41:35+00:00,True,22,0,10,active,22,36,True,1,,,2020-07-30 14:01:25,2020
19,True,0,True,2020-07-30 13:57:42+00:00,True,23,0,19,active,23,2,True,0,,,2020-07-30 14:01:25,2020
20,True,0,True,2020-07-30 13:41:19+00:00,False,24,0,14,active,24,4,True,1,,,2020-07-30 14:01:25,2020
21,True,0,True,2020-07-30 13:29:38+00:00,False,25,0,6,active,25,9,True,0,,,2020-07-30 14:01:25,2020
22,True,0,True,2020-07-30 12:29:40+00:00,False,26,0,0,active,26,13,True,2,,,2020-07-30 14:01:25,2020
23,True,0,True,2020-07-30 13:42:34+00:00,False,27,0,1,active,27,20,True,2,,,2020-07-30 14:01:25,2020
24,True,0,True,2020-07-30 13:11:12+00:00,False,29,0,9,active,29,6,True,0,,,2020-07-30 14:01:25,2020
25,True,0,True,2020-07-30 13:48:56+00:00,False,30,0,12,active,30,3,True,0,,,2020-07-30 14:01:25,2020
26,True,0,True,2020-07-30 13:58:17+00:00,True,31,0,6,active,31,12,True,1,,,2020-07-30 14:01:25,2020
27,True,0,True,2020-07-30 13:31:11+00:00,False,32,0,8,active,32,5,True,2,,,2020-07-30 14:01:25,2020
28,True,0,True,2020-07-30 14:01:19+00:00,False,33,0,21,active,33,5,True,1,,,2020-07-30 14:01:25,2020
29,True,0,True,2020-07-30 14:00:15+00:00,False,35,0,14,active,35,9,True,0,,,2020-07-30 14:01:25,2020
30,True,0,True,2020-07-30 13:50:50+00:00,True,36,0,14,active,36,19,True,0,,,2020-07-30 14:01:25,2020
31,True,0,True,2020-07-30 12:18:22+00:00,True,37,0,4,active,37,11,True,0,,,2020-07-30 14:01:25,2020
32,True,0,True,2020-07-30 13:47:31+00:00,False,39,0,12,active,39,9,True,2,,,2020-07-30 14:01:25,2020
33,True,0,True,2020-07-30 13:23:18+00:00,False,40,0,3,active,40,16,True,0,,,2020-07-30 14:01:25,2020
34,True,0,True,2020-07-30 13:56:36+00:00,True,41,0,22,active,41,4,True,1,,,2020-07-30 14:01:25,2020
35,True,0,True,2020-07-30 13:59:35+00:00,False,42,0,20,active,42,3,True,0,,,2020-07-30 14:01:25,2020
36,True,0,True,2020-07-30 12:47:18+00:00,True,43,0,8,active,43,7,True,0,,,2020-07-30 14:01:25,2020
37,True,0,True,2020-07-30 13:35:31+00:00,False,44,0,10,active,44,12,True,1,,,2020-07-30 14:01:25,2020
38,True,0,True,2020-07-30 13:57:09+00:00,False,46,0,4,active,46,14,True,1,,,2020-07-30 14:01:25,2020
39,True,0,True,2020-07-30 14:00:54+00:00,True,47,0,7,active,47,12,True,0,,,2020-07-30 14:01:25,2020
40,True,0,True,2020-07-30 13:31:24+00:00,False,48,0,14,active,48,5,True,0,,,2020-07-30 14:01:25,2020
41,True,0,True,2020-07-30 13:32:15+00:00,False,49,0,4,active,49,14,True,0,,,2020-07-30 14:01:25,2020
42,True,0,True,2020-07-30 13:41:11+00:00,True,50,0,5,active,50,10,True,0,,,2020-07-30 14:01:25,2020
43,True,0,True,2020-07-30 13:59:48+00:00,False,51,0,4,active,51,10,True,1,,,2020-07-30 14:01:25,2020
44,True,0,True,2020-07-30 13:32:11+00:00,True,52,0,0,active,52,23,True,0,,,2020-07-30 14:01:25,2020
45,True,0,True,2020-07-30 13:40:48+00:00,False,53,0,0,active,53,19,True,0,,,2020-07-30 14:01:25,2020
46,True,0,True,2020-07-30 13:38:06+00:00,False,54,0,3,active,54,12,True,0,,,2020-07-30 14:01:25,2020
47,True,0,True,2020-07-30 13:56:12+00:00,False,55,0,13,active,55,2,True,0,,,2020-07-30 14:01:25,2020
48,True,0,True,2020-07-30 12:44:08+00:00,True,56,0,12,active,56,6,True,0,,,2020-07-30 14:01:25,2020
49,True,0,True,2020-07-30 13:45:30+00:00,True,57,0,2,active,57,12,True,0,,,2020-07-30 14:01:25,2020
50,True,0,True,2020-07-30 13:16:14+00:00,True,58,0,10,active,58,8,True,1,,,2020-07-30 14:01:25,2020
51,True,0,True,2020-07-30 13:59:37+00:00,True,59,0,9,active,59,10,True,0,,,2020-07-30 14:01:25,2020
