,num_docks_available,is_renting,last_reported,num_bikes_available,legacy_id,station_id,num_ebikes_available,num_docks_disabled,eightd_has_available_keys,num_bikes_disabled,is_installed,is_returning,station_status,eightd_active_station_services,valet,timestamp_of_data_read_request,year_station_last_reported
0,2,True,2020-07-30 17:27:06+00:00,13,3,3,0,0,True,0,True,True,active,,,2020-07-30 17:35:50,2020
1,7,True,2020-07-30 17:32:25+00:00,12,4,4,0,0,False,0,True,True,active,,,2020-07-30 17:35:50,2020
2,14,True,2020-07-30 17:33:07+00:00,1,5,5,0,0,False,0,True,True,active,,,2020-07-30 17:35:50,2020
3,1,True,2020-07-30 17:25:00+00:00,14,6,6,0,0,False,0,True,True,active,,,2020-07-30 17:35:50,2020
4,2,True,2020-07-30 16:17:07+00:00,11,7,7,0,0,False,2,True,True,active,,,2020-07-30 17:35:50,2020
5,14,True,2020-07-30 16:45:08+00:00,3,8,8,0,0,False,2,True,True,active,,,2020-07-30 17:35:50,2020
6,11,True,2020-07-30 17:09:00+00:00,4,9,9,0,0,False,0,True,True,active,,,2020-07-30 17:35:50,2020
7,9,True,2020-07-30 17:26:06+00:00,2,10,10,0,0,False,0,True,True,active,,,2020-07-30 17:35:50,2020
8,0,True,2020-07-30 17:24:47+00:00,15,11,11,0,0,False,0,True,True,active,[{'id': 'f8346ad7-0de8-11e7-991c-3863bb43a7d0'}],"{'active': True, 'station_id': 'f8346ad7-0de8-11e7-991c-3863bb43a7d0', 'valet_revision': 73, 'off_dock_count': 61, 'off_dock_capacity': 50, 'region': 'BOS', 'dock_blocked_count': 0}",2020-07-30 17:35:50,2020
9,10,True,2020-07-30 17:32:47+00:00,7,12,12,0,0,True,1,True,True,active,,,2020-07-30 17:35:50,2020
10,2,True,2020-07-30 17:22:34+00:00,17,13,13,0,0,False,0,True,True,active,,,2020-07-30 17:35:50,2020
11,1,True,2020-07-30 16:59:26+00:00,24,14,14,0,0,False,0,True,True,active,,,2020-07-30 17:35:50,2020
12,7,True,2020-07-30 17:15:44+00:00,8,15,15,0,0,False,0,True,True,active,,,2020-07-30 17:35:50,2020
13,14,True,2020-07-30 17:34:55+00:00,2,16,16,0,0,True,3,True,True,active,,,2020-07-30 17:35:50,2020
14,11,True,2020-07-30 17:10:20+00:00,4,17,17,0,0,False,0,True,True,active,,,2020-07-30 17:35:50,2020
15,13,True,2020-07-30 17:16:59+00:00,2,19,19,0,0,False,0,True,True,active,,,2020-07-30 17:35:50,2020
16,6,True,2020-07-30 16:28:33+00:00,17,20,20,0,0,True,0,True,True,active,,,2020-07-30 17:35:50,2020
17,7,True,2020-07-30 17:19:07+00:00,11,21,21,0,0,True,0,True,True,active,,,2020-07-30 17:35:50,2020
18,37,True,2020-07-30 17:25:03+00:00,9,22,22,0,0,True,1,True,True,active,,,2020-07-30 17:35:50,2020
19,13,True,2020-07-30 17:27:30+00:00,8,23,23,0,0,True,0,True,True,active,,,2020-07-30 17:35:50,2020
20,1,True,2020-07-30 17:14:44+00:00,17,24,24,0,0,False,1,True,True,active,,,2020-07-30 17:35:50,2020
21,6,True,2020-07-30 17:31:49+00:00,9,25,25,0,0,False,0,True,True,active,,,2020-07-30 17:35:50,2020
22,12,True,2020-07-30 14:57:05+00:00,1,26,26,0,0,False,2,True,True,active,,,2020-07-30 17:35:50,2020
23,20,True,2020-07-30 16:11:31+00:00,1,27,27,0,0,False,2,True,True,active,,,2020-07-30 17:35:50,2020
24,6,True,2020-07-30 13:11:12+00:00,9,29,29,0,0,False,0,True,True,active,,,2020-07-30 17:35:50,2020
25,4,True,2020-07-30 17:22:48+00:00,11,30,30,0,0,False,0,True,True,active,,,2020-07-30 17:35:50,2020
26,9,True,2020-07-30 15:39:12+00:00,9,31,31,0,0,True,1,True,True,active,,,2020-07-30 17:35:50,2020
27,0,True,2020-07-30 17:16:34+00:00,14,32,32,0,0,False,1,True,True,active,,,2020-07-30 17:35:50,2020
28,7,True,2020-07-30 17:23:09+00:00,18,33,33,0,0,False,2,True,True,active,,,2020-07-30 17:35:50,2020
29,6,True,2020-07-30 17:01:40+00:00,17,35,35,0,0,False,0,True,True,active,,,2020-07-30 17:35:50,2020
30,16,True,2020-07-30 17:32:38+00:00,17,36,36,0,0,True,0,True,True,active,,,2020-07-30 17:35:50,2020
31,12,True,2020-07-30 15:41:04+00:00,3,37,37,0,0,True,0,True,True,active,,,2020-07-30 17:35:50,2020
32,5,True,2020-07-30 17:33:34+00:00,18,39,39,0,0,False,0,True,True,active,,,2020-07-30 17:35:50,2020
33,13,True,2020-07-30 17:35:24+00:00,6,40,40,0,0,False,0,True,True,active,,,2020-07-30 17:35:50,2020
34,16,True,2020-07-30 17:19:04+00:00,10,41,41,0,0,True,1,True,True,active,,,2020-07-30 17:35:50,2020
