,is_installed,eightd_has_available_keys,is_renting,station_status,legacy_id,is_returning,num_bikes_disabled,num_docks_available,num_docks_disabled,num_bikes_available,station_id,num_ebikes_available,last_reported,eightd_active_station_services,valet,timestamp_of_data_read_request,year_station_last_reported
0,True,True,True,active,3,True,0,12,0,3,3,0,2020-07-31 03:38:11+00:00,,,2020-07-31 04:09:00,2020
1,True,False,True,active,4,True,0,2,0,17,4,0,2020-07-31 04:08:06+00:00,,,2020-07-31 04:09:00,2020
2,True,False,True,active,5,True,0,1,0,14,5,0,2020-07-31 03:58:36+00:00,,,2020-07-31 04:09:00,2020
3,True,False,True,active,6,True,0,15,0,0,6,0,2020-07-31 03:54:54+00:00,,,2020-07-31 04:09:00,2020
4,True,False,True,active,7,True,1,6,0,8,7,0,2020-07-31 03:48:21+00:00,,,2020-07-31 04:09:00,2020
5,True,False,True,active,8,True,2,0,0,17,8,0,2020-07-31 03:12:50+00:00,,,2020-07-31 04:09:00,2020
6,True,False,True,active,9,True,0,5,0,10,9,0,2020-07-31 03:55:54+00:00,,,2020-07-31 04:09:00,2020
7,True,False,True,active,10,True,0,4,0,7,10,0,2020-07-31 03:37:34+00:00,,,2020-07-31 04:09:00,2020
8,True,False,True,active,11,True,0,15,0,0,11,0,2020-07-31 03:05:30+00:00,,,2020-07-31 04:09:00,2020
9,True,True,True,active,12,True,1,16,0,1,12,0,2020-07-31 04:03:11+00:00,,,2020-07-31 04:09:00,2020
10,True,False,True,active,13,True,0,16,0,3,13,0,2020-07-31 02:14:35+00:00,,,2020-07-31 04:09:00,2020
11,True,False,True,active,14,True,0,25,0,0,14,0,2020-07-31 03:08:40+00:00,,,2020-07-31 04:09:00,2020
12,True,False,True,active,15,True,2,3,0,10,15,0,2020-07-31 03:02:46+00:00,,,2020-07-31 04:09:00,2020
13,True,True,True,active,16,True,1,15,0,3,16,0,2020-07-31 03:44:30+00:00,,,2020-07-31 04:09:00,2020
14,True,False,True,active,17,True,0,8,0,7,17,0,2020-07-31 04:06:16+00:00,,,2020-07-31 04:09:00,2020
15,True,False,True,active,19,True,0,5,0,10,19,0,2020-07-31 03:01:50+00:00,,,2020-07-31 04:09:00,2020
16,True,True,True,active,20,True,0,16,0,7,20,0,2020-07-31 03:56:15+00:00,,,2020-07-31 04:09:00,2020
17,True,True,True,active,21,True,0,10,0,8,21,0,2020-07-31 02:49:32+00:00,,,2020-07-31 04:09:00,2020
18,True,True,True,active,22,True,0,41,0,6,22,0,2020-07-31 03:56:39+00:00,,,2020-07-31 04:09:00,2020
19,True,True,True,active,23,True,0,16,0,5,23,0,2020-07-31 03:23:27+00:00,,,2020-07-31 04:09:00,2020
20,True,False,True,active,24,True,0,11,0,8,24,0,2020-07-31 03:43:20+00:00,,,2020-07-31 04:09:00,2020
21,True,False,True,active,25,True,1,1,0,13,25,0,2020-07-31 03:45:47+00:00,,,2020-07-31 04:09:00,2020
22,True,False,True,active,26,True,2,8,0,5,26,0,2020-07-31 03:46:04+00:00,,,2020-07-31 04:09:00,2020
23,True,False,True,active,27,True,2,2,0,19,27,0,2020-07-31 03:38:15+00:00,,,2020-07-31 04:09:00,2020
24,True,False,True,active,29,True,0,9,0,6,29,0,2020-07-31 00:21:00+00:00,,,2020-07-31 04:09:00,2020
25,True,False,True,active,30,True,0,12,0,3,30,0,2020-07-31 03:36:06+00:00,,,2020-07-31 04:09:00,2020
26,True,True,True,active,31,True,1,0,0,18,31,0,2020-07-31 02:30:28+00:00,,,2020-07-31 04:09:00,2020
27,True,False,True,active,32,True,2,4,0,9,32,0,2020-07-31 03:47:58+00:00,,,2020-07-31 04:09:00,2020
28,True,False,True,active,33,True,0,3,0,24,33,0,2020-07-31 03:52:24+00:00,,,2020-07-31 04:09:00,2020
29,True,False,True,active,35,True,0,17,0,6,35,0,2020-07-31 01:46:18+00:00,,,2020-07-31 04:09:00,2020
30,True,True,True,active,36,True,0,31,0,2,36,0,2020-07-31 04:05:18+00:00,,,2020-07-31 04:09:00,2020
31,True,True,True,active,37,True,0,14,0,1,37,0,2020-07-31 01:20:58+00:00,,,2020-07-31 04:09:00,2020
32,True,False,True,active,39,True,0,14,0,9,39,0,2020-07-31 04:03:48+00:00,,,2020-07-31 04:09:00,2020
33,True,False,True,active,40,True,0,2,0,17,40,0,2020-07-31 04:00:58+00:00,,,2020-07-31 04:09:00,2020
34,True,True,True,active,41,True,1,0,0,26,41,0,2020-07-31 03:13:48+00:00,,,2020-07-31 04:09:00,2020
35,True,False,True,active,42,True,0,10,0,13,42,0,2020-07-31 00:48:53+00:00,,,2020-07-31 04:09:00,2020
36,True,True,True,active,43,True,0,11,0,4,43,0,2020-07-31 03:44:01+00:00,,,2020-07-31 04:09:00,2020
37,True,False,True,active,44,True,0,1,0,22,44,0,2020-07-31 03:45:20+00:00,,,2020-07-31 04:09:00,2020
38,True,False,True,active,46,True,0,0,0,19,46,0,2020-07-31 04:00:48+00:00,,,2020-07-31 04:09:00,2020
39,True,True,True,active,47,True,0,4,0,15,47,0,2020-07-31 04:05:47+00:00,,,2020-07-31 04:09:00,2020
40,True,False,True,active,48,True,0,14,0,5,48,0,2020-07-31 01:56:19+00:00,,,2020-07-31 04:09:00,2020
41,True,False,True,active,49,True,0,16,0,2,49,0,2020-07-31 03:29:11+00:00,,,2020-07-31 04:09:00,2020
42,True,True,True,active,50,True,0,15,0,0,50,0,2020-07-31 00:20:13+00:00,,,2020-07-31 04:09:00,2020
43,True,False,True,active,51,True,2,9,0,4,51,0,2020-07-31 03:12:46+00:00,,,2020-07-31 04:09:00,2020
44,True,True,True,active,52,True,1,11,0,11,52,0,2020-07-31 03:07:50+00:00,,,2020-07-31 04:09:00,2020
45,True,False,True,active,53,True,0,19,0,0,53,0,2020-07-31 03:52:54+00:00,,,2020-07-31 04:09:00,2020
46,True,False,True,active,54,True,0,13,0,2,54,0,2020-07-31 03:36:09+00:00,,,2020-07-31 04:09:00,2020
47,True,False,True,active,55,True,0,5,0,10,55,0,2020-07-31 02:33:26+00:00,,,2020-07-31 04:09:00,2020
48,True,True,True,active,56,True,3,4,0,11,56,0,2020-07-31 03:41:13+00:00,,,2020-07-31 04:09:00,2020
49,True,True,True,active,57,True,0,8,0,6,57,0,2020-07-31 02:43:56+00:00,,,2020-07-31 04:09:00,2020
50,True,True,True,active,58,True,0,17,0,2,58,0,2020-07-31 03:18:02+00:00,,,2020-07-31 04:09:00,2020
51,True,True,True,active,59,True,0,6,0,13,59,0,2020-07-31 02:53:09+00:00,,,2020-07-31 04:09:00,2020
52,True,False,True,active,60,True,0,15,0,4,60,0,2020-07-31 03:45:12+00:00,[{'id': 'f8348a68-0de8-11e7-991c-3863bb43a7d0'}],"{'dock_blocked_count': 0, 'valet_revision': 63, 'off_dock_capacity': 40, 'off_dock_count': 12, 'active': True, 'station_id': 'f8348a68-0de8-11e7-991c-3863bb43a7d0', 'region': 'BOS'}",2020-07-31 04:09:00,2020
53,True,False,True,active,61,True,0,14,0,5,61,0,2020-07-31 04:08:05+00:00,,,2020-07-31 04:09:00,2020
