,num_bikes_disabled,is_returning,is_renting,num_docks_available,legacy_id,num_docks_disabled,is_installed,station_status,num_bikes_available,last_reported,num_ebikes_available,station_id,eightd_has_available_keys,eightd_active_station_services,valet,timestamp_of_data_read_request,year_station_last_reported
0,0,True,True,14,3,0,True,active,1,2020-07-31 08:17:44+00:00,0,3,True,,,2020-07-31 09:25:10,2020
1,0,True,True,1,4,0,True,active,18,2020-07-31 08:26:05+00:00,0,4,False,,,2020-07-31 09:25:10,2020
2,0,True,True,2,5,0,True,active,13,2020-07-31 09:15:15+00:00,0,5,False,,,2020-07-31 09:25:10,2020
3,0,True,True,13,6,0,True,active,2,2020-07-31 09:24:23+00:00,0,6,False,,,2020-07-31 09:25:10,2020
4,1,True,True,5,7,0,True,active,9,2020-07-31 08:47:12+00:00,0,7,False,,,2020-07-31 09:25:10,2020
5,2,True,True,1,8,0,True,active,16,2020-07-31 09:13:56+00:00,0,8,False,,,2020-07-31 09:25:10,2020
6,0,True,True,4,9,0,True,active,11,2020-07-31 08:01:54+00:00,0,9,False,,,2020-07-31 09:25:10,2020
7,0,True,True,4,10,0,True,active,7,2020-07-31 08:11:59+00:00,0,10,False,,,2020-07-31 09:25:10,2020
8,0,True,True,1,11,0,True,active,14,2020-07-31 08:56:40+00:00,0,11,False,,,2020-07-31 09:25:10,2020
9,1,True,True,16,12,0,True,active,1,2020-07-31 08:52:39+00:00,0,12,True,,,2020-07-31 09:25:10,2020
10,0,True,True,14,13,0,True,active,5,2020-07-31 09:24:06+00:00,0,13,False,,,2020-07-31 09:25:10,2020
11,0,True,True,24,14,0,True,active,1,2020-07-31 09:12:48+00:00,0,14,False,,,2020-07-31 09:25:10,2020
12,2,True,True,2,15,0,True,active,11,2020-07-31 08:56:17+00:00,0,15,False,,,2020-07-31 09:25:10,2020
13,1,True,True,13,16,0,True,active,5,2020-07-31 08:56:29+00:00,0,16,True,,,2020-07-31 09:25:10,2020
14,0,True,True,3,17,0,True,active,12,2020-07-31 09:20:56+00:00,0,17,False,,,2020-07-31 09:25:10,2020
15,0,True,True,5,19,0,True,active,10,2020-07-31 08:57:44+00:00,0,19,False,,,2020-07-31 09:25:10,2020
16,0,True,True,16,20,0,True,active,7,2020-07-31 08:52:47+00:00,0,20,True,,,2020-07-31 09:25:10,2020
17,0,True,True,11,21,0,True,active,7,2020-07-31 08:56:16+00:00,0,21,True,,,2020-07-31 09:25:10,2020
18,1,True,True,40,22,0,True,active,6,2020-07-31 06:53:14+00:00,0,22,True,,,2020-07-31 09:25:10,2020
19,0,True,True,16,23,0,True,active,5,2020-07-31 08:45:55+00:00,0,23,True,,,2020-07-31 09:25:10,2020
20,0,True,True,12,24,0,True,active,7,2020-07-31 08:42:40+00:00,0,24,False,,,2020-07-31 09:25:10,2020
21,1,True,True,1,25,0,True,active,13,2020-07-31 08:07:34+00:00,0,25,False,,,2020-07-31 09:25:10,2020
22,2,True,True,8,26,0,True,active,5,2020-07-31 03:46:04+00:00,0,26,False,,,2020-07-31 09:25:10,2020
23,2,True,True,0,27,0,True,active,21,2020-07-31 08:46:01+00:00,0,27,False,,,2020-07-31 09:25:10,2020
24,0,True,True,9,29,0,True,active,6,2020-07-31 08:32:25+00:00,0,29,False,,,2020-07-31 09:25:10,2020
25,0,True,True,11,30,0,True,active,4,2020-07-31 09:10:30+00:00,0,30,False,,,2020-07-31 09:25:10,2020
26,1,True,True,0,31,0,True,active,18,2020-07-31 08:52:41+00:00,0,31,True,,,2020-07-31 09:25:10,2020
