,num_docks_available,num_ebikes_available,station_id,num_docks_disabled,station_status,legacy_id,num_bikes_disabled,eightd_has_available_keys,is_installed,num_bikes_available,is_renting,is_returning,last_reported,eightd_active_station_services,valet,timestamp_of_data_read_request,year_station_last_reported
0,4,0,3,0,active,3,0,True,True,11,True,True,2020-07-31 18:23:54+00:00,,,2020-07-31 18:36:20,2020
1,16,0,4,0,active,4,0,False,True,3,True,True,2020-07-31 18:30:40+00:00,,,2020-07-31 18:36:20,2020
2,6,0,5,0,active,5,0,False,True,9,True,True,2020-07-31 18:32:19+00:00,,,2020-07-31 18:36:20,2020
3,14,0,6,0,active,6,0,False,True,1,True,True,2020-07-31 18:11:24+00:00,,,2020-07-31 18:36:20,2020
4,1,0,7,0,active,7,1,False,True,13,True,True,2020-07-31 18:35:32+00:00,,,2020-07-31 18:36:20,2020
5,15,0,8,0,active,8,2,False,True,2,True,True,2020-07-31 18:23:53+00:00,,,2020-07-31 18:36:20,2020
6,1,0,9,0,active,9,0,False,True,14,True,True,2020-07-31 18:11:48+00:00,,,2020-07-31 18:36:20,2020
7,2,0,10,0,active,10,0,False,True,9,True,True,2020-07-31 18:29:32+00:00,,,2020-07-31 18:36:20,2020
8,0,0,11,0,active,11,0,False,True,15,True,True,2020-07-31 18:17:51+00:00,[{'id': 'f8346ad7-0de8-11e7-991c-3863bb43a7d0'}],"{'valet_revision': 75, 'active': True, 'off_dock_capacity': 50, 'station_id': 'f8346ad7-0de8-11e7-991c-3863bb43a7d0', 'off_dock_count': 67, 'dock_blocked_count': 0, 'region': 'BOS'}",2020-07-31 18:36:20,2020
9,11,0,12,0,active,12,2,True,True,5,True,True,2020-07-31 18:31:45+00:00,,,2020-07-31 18:36:20,2020
10,12,0,13,0,active,13,0,False,True,7,True,True,2020-07-31 18:13:47+00:00,,,2020-07-31 18:36:20,2020
11,0,0,14,0,active,14,1,False,True,24,True,True,2020-07-31 18:24:08+00:00,,,2020-07-31 18:36:20,2020
12,6,0,15,0,active,15,1,False,True,8,True,True,2020-07-31 18:20:34+00:00,,,2020-07-31 18:36:20,2020
13,13,0,16,0,active,16,2,True,True,4,True,True,2020-07-31 18:23:46+00:00,,,2020-07-31 18:36:20,2020
14,7,0,17,0,active,17,0,False,True,8,True,True,2020-07-31 18:34:27+00:00,,,2020-07-31 18:36:20,2020
15,11,0,19,0,active,19,0,False,True,4,True,True,2020-07-31 18:15:49+00:00,,,2020-07-31 18:36:20,2020
16,10,0,20,0,active,20,0,True,True,13,True,True,2020-07-31 18:31:15+00:00,,,2020-07-31 18:36:20,2020
17,13,0,21,0,active,21,1,True,True,4,True,True,2020-07-31 18:31:53+00:00,,,2020-07-31 18:36:20,2020
18,37,0,22,0,active,22,1,True,True,9,True,True,2020-07-31 17:49:16+00:00,,,2020-07-31 18:36:20,2020
19,15,0,23,0,active,23,0,True,True,6,True,True,2020-07-31 18:35:20+00:00,,,2020-07-31 18:36:20,2020
20,4,0,24,0,active,24,0,False,True,15,True,True,2020-07-31 17:55:25+00:00,,,2020-07-31 18:36:20,2020
21,7,0,25,0,active,25,2,False,True,6,True,True,2020-07-31 18:02:40+00:00,,,2020-07-31 18:36:20,2020
22,9,0,26,0,active,26,3,False,True,3,True,True,2020-07-31 18:13:22+00:00,,,2020-07-31 18:36:20,2020
23,20,0,27,0,active,27,2,False,True,1,True,True,2020-07-31 18:31:01+00:00,,,2020-07-31 18:36:20,2020
24,7,0,29,0,active,29,0,False,True,8,True,True,2020-07-31 16:37:02+00:00,,,2020-07-31 18:36:20,2020
25,3,0,30,0,active,30,1,False,True,11,True,True,2020-07-31 18:25:01+00:00,,,2020-07-31 18:36:20,2020
26,1,0,31,0,active,31,0,True,True,18,True,True,2020-07-31 18:29:25+00:00,,,2020-07-31 18:36:20,2020
27,5,0,32,0,active,32,2,False,True,8,True,True,2020-07-31 18:35:30+00:00,,,2020-07-31 18:36:20,2020
28,9,0,33,0,active,33,0,False,True,18,True,True,2020-07-31 18:34:48+00:00,,,2020-07-31 18:36:20,2020
29,8,0,35,0,active,35,2,False,True,13,True,True,2020-07-31 18:30:27+00:00,,,2020-07-31 18:36:20,2020
30,26,0,36,0,active,36,0,True,True,7,True,True,2020-07-31 18:11:53+00:00,,,2020-07-31 18:36:20,2020
31,15,0,37,0,active,37,0,True,True,0,True,True,2020-07-31 17:59:24+00:00,,,2020-07-31 18:36:20,2020
32,4,0,39,0,active,39,1,False,True,18,True,True,2020-07-31 18:11:27+00:00,,,2020-07-31 18:36:20,2020
33,9,0,40,0,active,40,0,False,True,10,True,True,2020-07-31 18:29:20+00:00,,,2020-07-31 18:36:20,2020
34,19,0,41,0,active,41,1,True,True,7,True,True,2020-07-31 18:27:06+00:00,,,2020-07-31 18:36:20,2020
35,12,0,42,0,active,42,1,False,True,10,True,True,2020-07-31 18:31:59+00:00,,,2020-07-31 18:36:20,2020
36,9,0,43,0,active,43,0,True,True,6,True,True,2020-07-31 18:33:12+00:00,,,2020-07-31 18:36:20,2020
37,4,0,44,0,active,44,0,False,True,19,True,True,2020-07-31 18:21:07+00:00,,,2020-07-31 18:36:20,2020
