,num_bikes_available,last_reported,is_renting,num_docks_available,legacy_id,num_docks_disabled,station_status,eightd_has_available_keys,station_id,num_bikes_disabled,num_ebikes_available,is_returning,is_installed,eightd_active_station_services,valet,timestamp_of_data_read_request,year_station_last_reported
0,8,2020-07-31 21:11:21+00:00,True,7,3,0,active,True,3,0,0,True,True,,,2020-07-31 21:19:50,2020
1,5,2020-07-31 21:17:31+00:00,True,14,4,0,active,False,4,0,0,True,True,,,2020-07-31 21:19:50,2020
2,5,2020-07-31 21:09:24+00:00,True,10,5,0,active,False,5,0,0,True,True,,,2020-07-31 21:19:50,2020
3,6,2020-07-31 21:18:39+00:00,True,9,6,0,active,False,6,0,0,True,True,,,2020-07-31 21:19:50,2020
4,10,2020-07-31 21:16:04+00:00,True,4,7,0,active,False,7,1,0,True,True,,,2020-07-31 21:19:50,2020
5,8,2020-07-31 21:12:42+00:00,True,9,8,0,active,False,8,2,0,True,True,,,2020-07-31 21:19:50,2020
6,9,2020-07-31 20:50:04+00:00,True,6,9,0,active,False,9,0,0,True,True,,,2020-07-31 21:19:50,2020
7,10,2020-07-31 21:03:59+00:00,True,1,10,0,active,False,10,0,0,True,True,,,2020-07-31 21:19:50,2020
8,4,2020-07-31 21:17:01+00:00,True,11,11,0,active,False,11,0,0,True,True,[{'id': 'f8346ad7-0de8-11e7-991c-3863bb43a7d0'}],"{'off_dock_count': 51, 'dock_blocked_count': 0, 'off_dock_capacity': 50, 'active': True, 'region': 'BOS', 'valet_revision': 75, 'station_id': 'f8346ad7-0de8-11e7-991c-3863bb43a7d0'}",2020-07-31 21:19:50,2020
9,0,2020-07-31 21:17:19+00:00,True,16,12,0,active,True,12,2,0,True,True,,,2020-07-31 21:19:50,2020
10,0,2020-07-31 21:13:30+00:00,True,19,13,0,active,False,13,0,0,True,True,,,2020-07-31 21:19:50,2020
11,14,2020-07-31 21:13:01+00:00,True,10,14,0,active,False,14,1,0,True,True,,,2020-07-31 21:19:50,2020
12,6,2020-07-31 20:58:36+00:00,True,8,15,0,active,False,15,1,0,True,True,,,2020-07-31 21:19:50,2020
13,8,2020-07-31 21:18:28+00:00,True,10,16,0,active,True,16,1,0,True,True,,,2020-07-31 21:19:50,2020
14,6,2020-07-31 21:15:40+00:00,True,9,17,0,active,False,17,0,0,True,True,,,2020-07-31 21:19:50,2020
15,1,2020-07-31 20:25:37+00:00,True,14,19,0,active,False,19,0,0,True,True,,,2020-07-31 21:19:50,2020
16,12,2020-07-31 21:14:50+00:00,True,11,20,0,active,True,20,0,0,True,True,,,2020-07-31 21:19:50,2020
17,9,2020-07-31 21:19:22+00:00,True,9,21,0,active,True,21,0,0,True,True,,,2020-07-31 21:19:50,2020
18,6,2020-07-31 21:08:01+00:00,True,40,22,0,active,True,22,1,0,True,True,,,2020-07-31 21:19:50,2020
19,14,2020-07-31 21:05:32+00:00,True,7,23,0,active,True,23,0,0,True,True,,,2020-07-31 21:19:50,2020
20,15,2020-07-31 21:15:36+00:00,True,4,24,0,active,False,24,0,0,True,True,,,2020-07-31 21:19:50,2020
21,10,2020-07-31 21:07:18+00:00,True,3,25,0,active,False,25,2,0,True,True,,,2020-07-31 21:19:50,2020
22,6,2020-07-31 21:09:40+00:00,True,8,26,0,active,False,26,1,0,True,True,,,2020-07-31 21:19:50,2020
23,6,2020-07-31 21:16:48+00:00,True,15,27,0,active,False,27,2,0,True,True,,,2020-07-31 21:19:50,2020
24,8,2020-07-31 16:37:02+00:00,True,7,29,0,active,False,29,0,0,True,True,,,2020-07-31 21:19:50,2020
25,1,2020-07-31 21:17:16+00:00,True,13,30,0,active,False,30,1,0,True,True,,,2020-07-31 21:19:50,2020
26,18,2020-07-31 20:48:17+00:00,True,1,31,0,active,True,31,0,0,True,True,,,2020-07-31 21:19:50,2020
27,10,2020-07-31 21:09:41+00:00,True,1,32,0,active,False,32,4,0,True,True,,,2020-07-31 21:19:50,2020
28,26,2020-07-31 21:04:19+00:00,True,1,33,0,active,False,33,0,0,True,True,,,2020-07-31 21:19:50,2020
29,7,2020-07-31 21:03:09+00:00,True,14,35,0,active,False,35,2,0,True,True,,,2020-07-31 21:19:50,2020
30,7,2020-07-31 21:12:30+00:00,True,26,36,0,active,True,36,0,0,True,True,,,2020-07-31 21:19:50,2020
31,0,2020-07-31 17:59:24+00:00,True,15,37,0,active,True,37,0,0,True,True,,,2020-07-31 21:19:50,2020
