,station_id,num_docks_disabled,is_installed,is_returning,is_renting,eightd_has_available_keys,last_reported,num_bikes_available,num_ebikes_available,num_bikes_disabled,station_status,num_docks_available,legacy_id,eightd_active_station_services,valet,timestamp_of_data_read_request,year_station_last_reported
0,3,0,True,True,True,False,2020-07-31 23:04:55+00:00,3,0,0,active,12,3,,,2020-07-31 23:22:10,2020
1,4,0,True,True,True,False,2020-07-31 23:18:22+00:00,10,0,0,active,9,4,,,2020-07-31 23:22:10,2020
2,5,0,True,True,True,False,2020-07-31 23:16:10+00:00,5,0,0,active,10,5,,,2020-07-31 23:22:10,2020
3,6,0,True,True,True,False,2020-07-31 23:07:00+00:00,0,0,0,active,15,6,,,2020-07-31 23:22:10,2020
4,7,0,True,True,True,False,2020-07-31 23:10:41+00:00,14,0,1,active,0,7,,,2020-07-31 23:22:10,2020
5,8,0,True,True,True,False,2020-07-31 23:04:30+00:00,0,0,2,active,17,8,,,2020-07-31 23:22:10,2020
6,9,0,True,True,True,False,2020-07-31 22:50:41+00:00,13,0,0,active,2,9,,,2020-07-31 23:22:10,2020
7,10,0,True,True,True,False,2020-07-31 23:03:47+00:00,9,0,1,active,1,10,,,2020-07-31 23:22:10,2020
8,11,0,True,True,True,False,2020-07-31 23:19:11+00:00,2,0,1,active,12,11,[{'id': 'f8346ad7-0de8-11e7-991c-3863bb43a7d0'}],"{'station_id': 'f8346ad7-0de8-11e7-991c-3863bb43a7d0', 'off_dock_count': 20, 'dock_blocked_count': 0, 'off_dock_capacity': 50, 'valet_revision': 75, 'active': True, 'region': 'BOS'}",2020-07-31 23:22:10,2020
9,12,0,True,True,True,True,2020-07-31 23:03:22+00:00,0,0,2,active,16,12,,,2020-07-31 23:22:10,2020
10,13,0,True,True,True,False,2020-07-31 23:21:08+00:00,6,0,0,active,13,13,,,2020-07-31 23:22:10,2020
11,14,0,True,True,True,False,2020-07-31 22:58:54+00:00,0,0,0,active,25,14,,,2020-07-31 23:22:10,2020
12,15,0,True,True,True,False,2020-07-31 22:57:39+00:00,5,0,2,active,8,15,,,2020-07-31 23:22:10,2020
13,16,0,True,True,True,True,2020-07-31 22:58:39+00:00,10,0,2,active,7,16,,,2020-07-31 23:22:10,2020
14,17,0,True,True,True,False,2020-07-31 23:18:05+00:00,9,0,0,active,6,17,,,2020-07-31 23:22:10,2020
15,19,0,True,True,True,False,2020-07-31 23:12:35+00:00,5,0,0,active,10,19,,,2020-07-31 23:22:10,2020
16,20,0,True,True,True,True,2020-07-31 23:13:43+00:00,20,0,0,active,3,20,,,2020-07-31 23:22:10,2020
17,21,0,True,True,True,True,2020-07-31 23:18:50+00:00,3,0,0,active,15,21,,,2020-07-31 23:22:10,2020
18,22,0,True,True,True,True,2020-07-31 23:15:05+00:00,23,0,2,active,22,22,,,2020-07-31 23:22:10,2020
19,23,0,True,True,True,True,2020-07-31 23:01:05+00:00,16,0,0,active,5,23,,,2020-07-31 23:22:10,2020
20,24,0,True,True,True,False,2020-07-31 23:08:42+00:00,19,0,0,active,0,24,,,2020-07-31 23:22:10,2020
21,25,0,True,True,True,False,2020-07-31 23:08:51+00:00,7,0,1,active,7,25,,,2020-07-31 23:22:10,2020
22,26,0,True,True,True,False,2020-07-31 23:17:58+00:00,10,0,1,active,4,26,,,2020-07-31 23:22:10,2020
23,27,0,True,True,True,False,2020-07-31 23:20:45+00:00,4,0,2,active,17,27,,,2020-07-31 23:22:10,2020
24,29,0,True,True,True,False,2020-07-31 16:37:02+00:00,8,0,0,active,7,29,,,2020-07-31 23:22:10,2020
25,30,0,True,True,True,False,2020-07-31 23:21:02+00:00,1,0,1,active,13,30,,,2020-07-31 23:22:10,2020
26,31,0,True,True,True,True,2020-07-31 22:49:37+00:00,19,0,0,active,0,31,,,2020-07-31 23:22:10,2020
27,32,0,True,True,True,False,2020-07-31 23:21:17+00:00,11,0,3,active,1,32,,,2020-07-31 23:22:10,2020
28,33,0,True,True,True,False,2020-07-31 23:21:12+00:00,23,0,0,active,4,33,,,2020-07-31 23:22:10,2020
29,35,0,True,True,True,False,2020-07-31 23:12:27+00:00,8,0,2,active,13,35,,,2020-07-31 23:22:10,2020
30,36,0,True,True,True,True,2020-07-31 23:18:09+00:00,9,0,0,active,24,36,,,2020-07-31 23:22:10,2020
31,37,0,True,True,True,True,2020-07-31 22:32:08+00:00,0,0,0,active,15,37,,,2020-07-31 23:22:10,2020
32,39,0,True,True,True,False,2020-07-31 23:15:19+00:00,6,0,0,active,17,39,,,2020-07-31 23:22:10,2020
33,40,0,True,True,True,False,2020-07-31 23:20:59+00:00,15,0,0,active,4,40,,,2020-07-31 23:22:10,2020
34,41,0,True,True,True,True,2020-07-31 23:21:22+00:00,22,0,1,active,4,41,,,2020-07-31 23:22:10,2020
35,42,0,True,True,True,False,2020-07-31 23:21:11+00:00,22,0,1,active,0,42,,,2020-07-31 23:22:10,2020
36,43,0,True,True,True,True,2020-07-31 23:00:33+00:00,9,0,0,active,6,43,,,2020-07-31 23:22:10,2020
37,44,0,True,True,True,False,2020-07-31 22:31:51+00:00,2,0,0,active,21,44,,,2020-07-31 23:22:10,2020
38,46,0,True,True,True,False,2020-07-31 23:21:56+00:00,12,0,0,active,7,46,,,2020-07-31 23:22:10,2020
39,47,0,True,True,True,True,2020-07-31 23:21:01+00:00,19,0,0,active,0,47,,,2020-07-31 23:22:10,2020
40,48,0,True,True,True,False,2020-07-31 23:14:02+00:00,8,0,0,active,11,48,,,2020-07-31 23:22:10,2020
41,49,0,True,True,True,False,2020-07-31 22:45:47+00:00,0,0,0,active,18,49,,,2020-07-31 23:22:10,2020
42,50,0,True,True,True,True,2020-07-31 23:18:05+00:00,5,0,0,active,10,50,,,2020-07-31 23:22:10,2020
43,51,0,True,True,True,False,2020-07-31 23:12:16+00:00,2,0,2,active,11,51,,,2020-07-31 23:22:10,2020
44,52,0,True,True,True,True,2020-07-31 23:21:51+00:00,14,0,1,active,8,52,,,2020-07-31 23:22:10,2020
45,53,0,True,True,True,False,2020-07-31 23:19:30+00:00,5,0,1,active,13,53,,,2020-07-31 23:22:10,2020
46,54,0,True,True,True,False,2020-07-31 23:13:28+00:00,0,0,0,active,15,54,,,2020-07-31 23:22:10,2020
47,55,0,True,True,True,False,2020-07-31 23:13:19+00:00,10,0,0,active,5,55,,,2020-07-31 23:22:10,2020
48,56,0,True,True,True,True,2020-07-31 22:10:05+00:00,8,0,0,active,10,56,,,2020-07-31 23:22:10,2020
49,57,0,True,True,True,True,2020-07-31 23:05:33+00:00,1,0,0,active,13,57,,,2020-07-31 23:22:10,2020
50,58,0,True,True,True,True,2020-07-31 23:09:33+00:00,9,0,1,active,9,58,,,2020-07-31 23:22:10,2020
51,59,0,True,True,True,False,2020-07-31 23:16:39+00:00,0,0,0,active,19,59,,,2020-07-31 23:22:10,2020
