,num_bikes_available,is_returning,num_ebikes_available,eightd_has_available_keys,last_reported,station_status,is_installed,legacy_id,station_id,num_docks_available,is_renting,num_bikes_disabled,num_docks_disabled,valet,eightd_active_station_services,timestamp_of_data_read_request,year_station_last_reported
0,2,True,0,False,2020-08-01 00:51:07+00:00,active,True,3,3,13,True,0,0,,,2020-08-01 00:54:00,2020
1,0,True,0,False,2020-08-01 00:44:04+00:00,active,True,4,4,19,True,0,0,,,2020-08-01 00:54:00,2020
2,1,True,0,False,2020-08-01 00:52:21+00:00,active,True,5,5,14,True,0,0,,,2020-08-01 00:54:00,2020
3,1,True,0,False,2020-08-01 00:42:53+00:00,active,True,6,6,14,True,0,0,,,2020-08-01 00:54:00,2020
4,10,True,0,False,2020-08-01 00:19:22+00:00,active,True,7,7,5,True,0,0,,,2020-08-01 00:54:00,2020
5,6,True,0,False,2020-08-01 00:50:50+00:00,active,True,8,8,11,True,2,0,,,2020-08-01 00:54:00,2020
6,14,True,0,False,2020-08-01 00:45:51+00:00,active,True,9,9,1,True,0,0,,,2020-08-01 00:54:00,2020
7,6,True,0,False,2020-08-01 00:50:02+00:00,active,True,10,10,4,True,1,0,,,2020-08-01 00:54:00,2020
8,0,True,0,False,2020-08-01 00:15:16+00:00,active,True,11,11,14,True,1,0,"{'region': 'BOS', 'dock_blocked_count': 0, 'active': True, 'off_dock_capacity': 50, 'off_dock_count': 20, 'valet_revision': 75, 'station_id': 'f8346ad7-0de8-11e7-991c-3863bb43a7d0'}",[{'id': 'f8346ad7-0de8-11e7-991c-3863bb43a7d0'}],2020-08-01 00:54:00,2020
9,3,True,0,True,2020-08-01 00:48:44+00:00,active,True,12,12,13,True,2,0,,,2020-08-01 00:54:00,2020
10,5,True,0,False,2020-08-01 00:52:41+00:00,active,True,13,13,14,True,0,0,,,2020-08-01 00:54:00,2020
11,1,True,0,False,2020-08-01 00:50:47+00:00,active,True,14,14,24,True,0,0,,,2020-08-01 00:54:00,2020
12,9,True,0,False,2020-08-01 00:48:46+00:00,active,True,15,15,4,True,2,0,,,2020-08-01 00:54:00,2020
13,10,True,0,True,2020-08-01 00:50:54+00:00,active,True,16,16,7,True,2,0,,,2020-08-01 00:54:00,2020
14,10,True,0,False,2020-08-01 00:40:10+00:00,active,True,17,17,5,True,0,0,,,2020-08-01 00:54:00,2020
15,10,True,0,False,2020-08-01 00:38:17+00:00,active,True,19,19,5,True,0,0,,,2020-08-01 00:54:00,2020
16,10,True,0,True,2020-08-01 00:53:50+00:00,active,True,20,20,13,True,0,0,,,2020-08-01 00:54:00,2020
17,8,True,0,True,2020-08-01 00:43:05+00:00,active,True,21,21,10,True,0,0,,,2020-08-01 00:54:00,2020
18,27,True,0,True,2020-08-01 00:31:45+00:00,active,True,22,22,18,True,2,0,,,2020-08-01 00:54:00,2020
19,19,True,0,True,2020-08-01 00:49:24+00:00,active,True,23,23,2,True,0,0,,,2020-08-01 00:54:00,2020
20,14,True,0,False,2020-08-01 00:51:40+00:00,active,True,24,24,5,True,0,0,,,2020-08-01 00:54:00,2020
21,9,True,0,False,2020-08-01 00:52:21+00:00,active,True,25,25,5,True,1,0,,,2020-08-01 00:54:00,2020
22,13,True,0,False,2020-08-01 00:28:23+00:00,active,True,26,26,1,True,1,0,,,2020-08-01 00:54:00,2020
23,6,True,0,False,2020-08-01 00:52:38+00:00,active,True,27,27,15,True,2,0,,,2020-08-01 00:54:00,2020
24,8,True,0,False,2020-07-31 16:37:02+00:00,active,True,29,29,7,True,0,0,,,2020-08-01 00:54:00,2020
25,4,True,0,False,2020-08-01 00:51:10+00:00,active,True,30,30,10,True,1,0,,,2020-08-01 00:54:00,2020
26,18,True,0,True,2020-08-01 00:34:03+00:00,active,True,31,31,1,True,0,0,,,2020-08-01 00:54:00,2020
27,7,True,0,False,2020-08-01 00:53:12+00:00,active,True,32,32,5,True,3,0,,,2020-08-01 00:54:00,2020
28,25,True,0,False,2020-08-01 00:45:35+00:00,active,True,33,33,2,True,0,0,,,2020-08-01 00:54:00,2020
29,4,True,0,False,2020-08-01 00:33:43+00:00,active,True,35,35,16,True,3,0,,,2020-08-01 00:54:00,2020
30,0,True,0,True,2020-08-01 00:37:55+00:00,active,True,36,36,33,True,0,0,,,2020-08-01 00:54:00,2020
31,0,True,0,True,2020-07-31 22:32:08+00:00,active,True,37,37,15,True,0,0,,,2020-08-01 00:54:00,2020
32,3,True,0,False,2020-08-01 00:43:05+00:00,active,True,39,39,19,True,1,0,,,2020-08-01 00:54:00,2020
33,14,True,0,False,2020-08-01 00:48:48+00:00,active,True,40,40,5,True,0,0,,,2020-08-01 00:54:00,2020
34,14,True,0,True,2020-08-01 00:51:34+00:00,active,True,41,41,12,True,1,0,,,2020-08-01 00:54:00,2020
35,18,True,0,False,2020-08-01 00:46:21+00:00,active,True,42,42,5,True,0,0,,,2020-08-01 00:54:00,2020
36,13,True,0,True,2020-08-01 00:47:39+00:00,active,True,43,43,2,True,0,0,,,2020-08-01 00:54:00,2020
37,6,True,0,False,2020-08-01 00:51:54+00:00,active,True,44,44,17,True,0,0,,,2020-08-01 00:54:00,2020
38,14,True,0,False,2020-08-01 00:53:47+00:00,active,True,46,46,5,True,0,0,,,2020-08-01 00:54:00,2020
39,19,True,0,True,2020-08-01 00:26:20+00:00,active,True,47,47,0,True,0,0,,,2020-08-01 00:54:00,2020
40,8,True,0,False,2020-07-31 23:14:02+00:00,active,True,48,48,11,True,0,0,,,2020-08-01 00:54:00,2020
41,1,True,0,False,2020-08-01 00:40:38+00:00,active,True,49,49,17,True,0,0,,,2020-08-01 00:54:00,2020
42,6,True,0,True,2020-08-01 00:27:37+00:00,active,True,50,50,9,True,0,0,,,2020-08-01 00:54:00,2020
43,3,True,0,False,2020-08-01 00:47:07+00:00,active,True,51,51,10,True,2,0,,,2020-08-01 00:54:00,2020
44,11,True,0,True,2020-08-01 00:47:49+00:00,active,True,52,52,11,True,1,0,,,2020-08-01 00:54:00,2020
45,10,True,0,False,2020-08-01 00:53:02+00:00,active,True,53,53,8,True,1,0,,,2020-08-01 00:54:00,2020
46,5,True,0,False,2020-08-01 00:50:09+00:00,active,True,54,54,10,True,0,0,,,2020-08-01 00:54:00,2020
