,num_bikes_available,last_reported,eightd_has_available_keys,num_docks_available,num_bikes_disabled,num_ebikes_available,is_installed,station_status,legacy_id,is_returning,is_renting,station_id,num_docks_disabled,eightd_active_station_services,valet,timestamp_of_data_read_request,year_station_last_reported
0,1,2020-08-01 01:54:54+00:00,False,14,0,0,True,active,3,True,True,3,0,,,2020-08-01 02:06:00,2020
1,0,2020-08-01 00:44:04+00:00,False,19,0,0,True,active,4,True,True,4,0,,,2020-08-01 02:06:00,2020
2,1,2020-08-01 01:43:44+00:00,False,14,0,0,True,active,5,True,True,5,0,,,2020-08-01 02:06:00,2020
3,2,2020-08-01 01:50:48+00:00,False,13,0,0,True,active,6,True,True,6,0,,,2020-08-01 02:06:00,2020
4,9,2020-08-01 01:34:04+00:00,False,6,0,0,True,active,7,True,True,7,0,,,2020-08-01 02:06:00,2020
5,7,2020-08-01 01:00:59+00:00,False,10,2,0,True,active,8,True,True,8,0,,,2020-08-01 02:06:00,2020
6,13,2020-08-01 00:55:50+00:00,False,2,0,0,True,active,9,True,True,9,0,,,2020-08-01 02:06:00,2020
7,6,2020-08-01 00:50:02+00:00,False,4,1,0,True,active,10,True,True,10,0,,,2020-08-01 02:06:00,2020
8,0,2020-08-01 00:15:16+00:00,False,14,1,0,True,active,11,True,True,11,0,[{'id': 'f8346ad7-0de8-11e7-991c-3863bb43a7d0'}],"{'dock_blocked_count': 0, 'off_dock_capacity': 50, 'off_dock_count': 20, 'region': 'BOS', 'valet_revision': 75, 'station_id': 'f8346ad7-0de8-11e7-991c-3863bb43a7d0', 'active': True}",2020-08-01 02:06:00,2020
9,0,2020-08-01 02:03:47+00:00,True,16,2,0,True,active,12,True,True,12,0,,,2020-08-01 02:06:00,2020
10,5,2020-08-01 02:00:38+00:00,False,14,0,0,True,active,13,True,True,13,0,,,2020-08-01 02:06:00,2020
11,0,2020-08-01 02:04:01+00:00,False,25,0,0,True,active,14,True,True,14,0,,,2020-08-01 02:06:00,2020
12,9,2020-08-01 00:48:46+00:00,False,4,2,0,True,active,15,True,True,15,0,,,2020-08-01 02:06:00,2020
13,11,2020-08-01 02:02:09+00:00,True,6,2,0,True,active,16,True,True,16,0,,,2020-08-01 02:06:00,2020
14,6,2020-08-01 01:39:17+00:00,False,9,0,0,True,active,17,True,True,17,0,,,2020-08-01 02:06:00,2020
15,13,2020-08-01 01:51:14+00:00,False,2,0,0,True,active,19,True,True,19,0,,,2020-08-01 02:06:00,2020
16,6,2020-08-01 01:50:21+00:00,True,17,0,0,True,active,20,True,True,20,0,,,2020-08-01 02:06:00,2020
17,5,2020-08-01 01:39:19+00:00,True,13,0,0,True,active,21,True,True,21,0,,,2020-08-01 02:06:00,2020
18,24,2020-08-01 02:02:45+00:00,True,21,2,0,True,active,22,True,True,22,0,,,2020-08-01 02:06:00,2020
19,20,2020-08-01 01:58:55+00:00,True,1,0,0,True,active,23,True,True,23,0,,,2020-08-01 02:06:00,2020
20,11,2020-08-01 02:05:34+00:00,False,8,0,0,True,active,24,True,True,24,0,,,2020-08-01 02:06:00,2020
21,8,2020-08-01 00:58:00+00:00,False,6,1,0,True,active,25,True,True,25,0,,,2020-08-01 02:06:00,2020
22,10,2020-08-01 01:57:40+00:00,False,4,1,0,True,active,26,True,True,26,0,,,2020-08-01 02:06:00,2020
23,8,2020-08-01 01:57:46+00:00,False,13,2,0,True,active,27,True,True,27,0,,,2020-08-01 02:06:00,2020
24,8,2020-07-31 16:37:02+00:00,False,7,0,0,True,active,29,True,True,29,0,,,2020-08-01 02:06:00,2020
25,4,2020-08-01 01:58:23+00:00,False,10,1,0,True,active,30,True,True,30,0,,,2020-08-01 02:06:00,2020
26,17,2020-08-01 02:02:08+00:00,True,2,0,0,True,active,31,True,True,31,0,,,2020-08-01 02:06:00,2020
27,2,2020-08-01 02:04:21+00:00,False,9,4,0,True,active,32,True,True,32,0,,,2020-08-01 02:06:00,2020
28,20,2020-08-01 01:58:33+00:00,False,7,0,0,True,active,33,True,True,33,0,,,2020-08-01 02:06:00,2020
29,4,2020-08-01 00:33:43+00:00,False,16,3,0,True,active,35,True,True,35,0,,,2020-08-01 02:06:00,2020
30,0,2020-08-01 01:56:27+00:00,True,33,0,0,True,active,36,True,True,36,0,,,2020-08-01 02:06:00,2020
31,1,2020-08-01 01:03:27+00:00,True,14,0,0,True,active,37,True,True,37,0,,,2020-08-01 02:06:00,2020
32,9,2020-08-01 01:58:56+00:00,False,13,1,0,True,active,39,True,True,39,0,,,2020-08-01 02:06:00,2020
33,17,2020-08-01 01:26:46+00:00,False,2,0,0,True,active,40,True,True,40,0,,,2020-08-01 02:06:00,2020
34,15,2020-08-01 01:58:49+00:00,True,11,1,0,True,active,41,True,True,41,0,,,2020-08-01 02:06:00,2020
35,18,2020-08-01 02:05:12+00:00,False,5,0,0,True,active,42,True,True,42,0,,,2020-08-01 02:06:00,2020
36,12,2020-08-01 01:22:49+00:00,True,3,0,0,True,active,43,True,True,43,0,,,2020-08-01 02:06:00,2020
37,6,2020-08-01 02:00:06+00:00,False,17,0,0,True,active,44,True,True,44,0,,,2020-08-01 02:06:00,2020
38,16,2020-08-01 01:51:52+00:00,False,3,0,0,True,active,46,True,True,46,0,,,2020-08-01 02:06:00,2020
39,12,2020-08-01 02:03:28+00:00,True,7,0,0,True,active,47,True,True,47,0,,,2020-08-01 02:06:00,2020
40,4,2020-08-01 01:30:55+00:00,False,15,0,0,True,active,48,True,True,48,0,,,2020-08-01 02:06:00,2020
41,7,2020-08-01 02:04:12+00:00,False,11,0,0,True,active,49,True,True,49,0,,,2020-08-01 02:06:00,2020
42,2,2020-08-01 01:54:48+00:00,True,13,0,0,True,active,50,True,True,50,0,,,2020-08-01 02:06:00,2020
43,3,2020-08-01 02:04:43+00:00,False,10,2,0,True,active,51,True,True,51,0,,,2020-08-01 02:06:00,2020
44,7,2020-08-01 02:04:30+00:00,True,15,1,0,True,active,52,True,True,52,0,,,2020-08-01 02:06:00,2020
45,15,2020-08-01 01:57:53+00:00,False,3,1,0,True,active,53,True,True,53,0,,,2020-08-01 02:06:00,2020
46,8,2020-08-01 01:40:50+00:00,False,7,0,0,True,active,54,True,True,54,0,,,2020-08-01 02:06:00,2020
47,3,2020-08-01 01:48:22+00:00,False,12,0,0,True,active,55,True,True,55,0,,,2020-08-01 02:06:00,2020
48,8,2020-08-01 01:50:24+00:00,True,10,0,0,True,active,56,True,True,56,0,,,2020-08-01 02:06:00,2020
49,11,2020-08-01 02:05:41+00:00,True,3,0,0,True,active,57,True,True,57,0,,,2020-08-01 02:06:00,2020
50,13,2020-08-01 01:57:23+00:00,True,6,0,0,True,active,58,True,True,58,0,,,2020-08-01 02:06:00,2020
51,13,2020-08-01 01:26:24+00:00,False,6,0,0,True,active,59,True,True,59,0,,,2020-08-01 02:06:00,2020
52,12,2020-08-01 01:41:02+00:00,False,5,2,0,True,active,60,True,True,60,0,[{'id': 'f8348a68-0de8-11e7-991c-3863bb43a7d0'}],"{'dock_blocked_count': 0, 'off_dock_capacity': 40, 'off_dock_count': 2, 'region': 'BOS', 'valet_revision': 63, 'station_id': 'f8348a68-0de8-11e7-991c-3863bb43a7d0', 'active': True}",2020-08-01 02:06:00,2020
53,11,2020-08-01 02:03:05+00:00,False,8,0,0,True,active,61,True,True,61,0,,,2020-08-01 02:06:00,2020
54,1,2020-08-01 00:38:23+00:00,False,14,0,0,True,active,63,True,True,63,0,,,2020-08-01 02:06:00,2020
55,14,2020-08-01 02:02:49+00:00,False,4,1,0,True,active,64,True,True,64,0,,,2020-08-01 02:06:00,2020
56,13,2020-08-01 01:18:13+00:00,False,9,1,0,True,active,65,True,True,65,0,,,2020-08-01 02:06:00,2020
57,5,2020-08-01 01:12:55+00:00,False,9,1,0,True,active,66,True,True,66,0,,,2020-08-01 02:06:00,2020
58,5,2020-08-01 02:02:16+00:00,True,20,2,0,True,active,67,True,True,67,0,,,2020-08-01 02:06:00,2020
59,11,2020-08-01 01:53:39+00:00,True,8,0,0,True,active,68,True,True,68,0,,,2020-08-01 02:06:00,2020
60,12,2020-08-01 01:55:29+00:00,True,7,0,0,True,active,69,True,True,69,0,,,2020-08-01 02:06:00,2020
61,22,2020-08-01 02:00:54+00:00,False,0,1,0,True,active,70,True,True,70,0,,,2020-08-01 02:06:00,2020
62,22,2020-08-01 01:57:45+00:00,False,1,0,0,True,active,71,True,True,71,0,,,2020-08-01 02:06:00,2020
63,0,2020-08-01 02:02:29+00:00,False,23,0,0,True,active,72,True,True,72,0,,,2020-08-01 02:06:00,2020
64,14,2020-08-01 02:01:48+00:00,False,1,0,0,True,active,73,True,True,73,0,,,2020-08-01 02:06:00,2020
65,14,2020-08-01 01:52:29+00:00,True,4,1,0,True,active,74,True,True,74,0,,,2020-08-01 02:06:00,2020
66,4,2020-08-01 01:59:44+00:00,False,11,0,0,True,active,75,True,True,75,0,,,2020-08-01 02:06:00,2020
67,10,2020-08-01 02:03:50+00:00,False,6,1,0,True,active,76,True,True,76,0,,,2020-08-01 02:06:00,2020
68,7,2020-08-01 01:54:17+00:00,False,7,1,0,True,active,77,True,True,77,0,,,2020-08-01 02:06:00,2020
69,17,2020-08-01 01:30:58+00:00,False,0,2,0,True,active,78,True,True,78,0,,,2020-08-01 02:06:00,2020
70,14,2020-08-01 01:55:55+00:00,False,5,0,0,True,active,79,True,True,79,0,,,2020-08-01 02:06:00,2020
71,0,2020-08-01 01:43:37+00:00,False,33,2,0,True,active,80,True,True,80,0,,,2020-08-01 02:06:00,2020
72,1,2020-08-01 01:59:39+00:00,False,18,0,0,True,active,81,True,True,81,0,,,2020-08-01 02:06:00,2020
73,6,2020-07-31 23:34:40+00:00,False,9,0,0,True,active,82,True,True,82,0,,,2020-08-01 02:06:00,2020
74,4,2020-08-01 00:43:10+00:00,False,11,0,0,True,active,84,True,True,84,0,,,2020-08-01 02:06:00,2020
75,0,2020-08-01 00:16:04+00:00,False,19,0,0,True,active,85,True,True,85,0,,,2020-08-01 02:06:00,2020
76,12,2020-08-01 02:03:03+00:00,False,7,0,0,True,active,86,True,True,86,0,,,2020-08-01 02:06:00,2020
77,10,2020-08-01 01:24:30+00:00,False,4,1,0,True,active,87,True,True,87,0,,,2020-08-01 02:06:00,2020
78,18,2020-08-01 01:55:25+00:00,False,1,0,0,True,active,89,True,True,89,0,,,2020-08-01 02:06:00,2020
79,1,2020-08-01 01:43:38+00:00,False,18,0,0,True,active,90,True,True,90,0,,,2020-08-01 02:06:00,2020
80,3,2020-08-01 02:01:22+00:00,False,16,0,0,True,active,91,True,True,91,0,,,2020-08-01 02:06:00,2020
81,12,2020-07-31 23:47:39+00:00,False,7,0,0,True,active,92,True,True,92,0,,,2020-08-01 02:06:00,2020
82,10,2020-08-01 01:38:05+00:00,False,2,3,0,True,active,93,True,True,93,0,,,2020-08-01 02:06:00,2020
83,10,2020-08-01 01:38:15+00:00,False,1,0,0,True,active,94,True,True,94,0,,,2020-08-01 02:06:00,2020
84,3,2020-08-01 02:02:08+00:00,False,12,0,0,True,active,95,True,True,95,0,,,2020-08-01 02:06:00,2020
85,2,2020-08-01 01:47:06+00:00,False,17,0,0,True,active,96,True,True,96,0,,,2020-08-01 02:06:00,2020
86,8,2020-08-01 01:43:03+00:00,False,10,1,0,True,active,97,True,True,97,0,,,2020-08-01 02:06:00,2020
87,6,2020-08-01 01:55:11+00:00,False,15,1,0,True,active,98,True,True,98,0,,,2020-08-01 02:06:00,2020
88,4,2020-08-01 00:46:27+00:00,False,10,1,0,True,active,99,True,True,99,0,,,2020-08-01 02:06:00,2020
89,9,2020-08-01 02:00:09+00:00,True,13,3,0,True,active,100,True,True,100,0,,,2020-08-01 02:06:00,2020
90,3,2020-08-01 01:42:01+00:00,False,12,0,0,True,active,101,True,True,101,0,,,2020-08-01 02:06:00,2020
91,10,2020-08-01 01:15:32+00:00,False,5,0,0,True,active,102,True,True,102,0,,,2020-08-01 02:06:00,2020
92,3,2020-08-01 01:58:30+00:00,False,11,1,0,True,active,103,True,True,103,0,,,2020-08-01 02:06:00,2020
93,17,2020-08-01 01:41:01+00:00,False,2,0,0,True,active,104,True,True,104,0,,,2020-08-01 02:06:00,2020
