,station_status,num_docks_disabled,num_docks_available,legacy_id,is_renting,num_bikes_disabled,eightd_has_available_keys,is_returning,station_id,is_installed,last_reported,num_ebikes_available,num_bikes_available,valet,eightd_active_station_services,timestamp_of_data_read_request,year_station_last_reported
0,active,0,14,3,True,0,False,True,3,True,2020-08-01 01:54:54+00:00,0,1,,,2020-08-01 02:26:25,2020
1,active,0,19,4,True,0,False,True,4,True,2020-08-01 00:44:04+00:00,0,0,,,2020-08-01 02:26:25,2020
2,active,0,15,5,True,0,False,True,5,True,2020-08-01 02:22:57+00:00,0,0,,,2020-08-01 02:26:25,2020
3,active,0,15,6,True,0,False,True,6,True,2020-08-01 02:25:51+00:00,0,0,,,2020-08-01 02:26:25,2020
4,active,0,6,7,True,0,False,True,7,True,2020-08-01 02:26:01+00:00,0,9,,,2020-08-01 02:26:25,2020
5,active,0,8,8,True,2,False,True,8,True,2020-08-01 02:16:23+00:00,0,9,,,2020-08-01 02:26:25,2020
6,active,0,3,9,True,0,False,True,9,True,2020-08-01 02:15:32+00:00,0,12,,,2020-08-01 02:26:25,2020
7,active,0,4,10,True,1,False,True,10,True,2020-08-01 00:50:02+00:00,0,6,,,2020-08-01 02:26:25,2020
8,active,0,13,11,True,1,False,True,11,True,2020-08-01 02:11:56+00:00,0,1,"{'off_dock_capacity': 50, 'dock_blocked_count': 0, 'off_dock_count': 20, 'region': 'BOS', 'active': True, 'valet_revision': 75, 'station_id': 'f8346ad7-0de8-11e7-991c-3863bb43a7d0'}",[{'id': 'f8346ad7-0de8-11e7-991c-3863bb43a7d0'}],2020-08-01 02:26:25,2020
9,active,0,16,12,True,2,True,True,12,True,2020-08-01 02:11:44+00:00,0,0,,,2020-08-01 02:26:25,2020
10,active,0,14,13,True,0,False,True,13,True,2020-08-01 02:23:17+00:00,0,5,,,2020-08-01 02:26:25,2020
11,active,0,25,14,True,0,False,True,14,True,2020-08-01 02:04:01+00:00,0,0,,,2020-08-01 02:26:25,2020
12,active,0,4,15,True,2,False,True,15,True,2020-08-01 00:48:46+00:00,0,9,,,2020-08-01 02:26:25,2020
13,active,0,6,16,True,2,True,True,16,True,2020-08-01 02:02:09+00:00,0,11,,,2020-08-01 02:26:25,2020
14,active,0,9,17,True,0,False,True,17,True,2020-08-01 01:39:17+00:00,0,6,,,2020-08-01 02:26:25,2020
15,active,0,2,19,True,0,False,True,19,True,2020-08-01 01:51:14+00:00,0,13,,,2020-08-01 02:26:25,2020
16,active,0,19,20,True,0,True,True,20,True,2020-08-01 02:26:19+00:00,0,4,,,2020-08-01 02:26:25,2020
17,active,0,13,21,True,0,True,True,21,True,2020-08-01 01:39:19+00:00,0,5,,,2020-08-01 02:26:25,2020
18,active,0,21,22,True,2,True,True,22,True,2020-08-01 02:02:45+00:00,0,24,,,2020-08-01 02:26:25,2020
19,active,0,0,23,True,0,True,True,23,True,2020-08-01 02:17:09+00:00,0,21,,,2020-08-01 02:26:25,2020
20,active,0,13,24,True,0,False,True,24,True,2020-08-01 02:25:17+00:00,0,6,,,2020-08-01 02:26:25,2020
21,active,0,6,25,True,1,False,True,25,True,2020-08-01 00:58:00+00:00,0,8,,,2020-08-01 02:26:25,2020
22,active,0,4,26,True,1,False,True,26,True,2020-08-01 01:57:40+00:00,0,10,,,2020-08-01 02:26:25,2020
23,active,0,13,27,True,2,False,True,27,True,2020-08-01 02:15:47+00:00,0,8,,,2020-08-01 02:26:25,2020
24,active,0,7,29,True,0,False,True,29,True,2020-07-31 16:37:02+00:00,0,8,,,2020-08-01 02:26:25,2020
25,active,0,8,30,True,1,False,True,30,True,2020-08-01 02:24:12+00:00,0,6,,,2020-08-01 02:26:25,2020
26,active,0,2,31,True,0,True,True,31,True,2020-08-01 02:02:08+00:00,0,17,,,2020-08-01 02:26:25,2020
27,active,0,10,32,True,3,False,True,32,True,2020-08-01 02:24:57+00:00,0,2,,,2020-08-01 02:26:25,2020
