,is_installed,num_bikes_disabled,num_docks_available,is_renting,num_ebikes_available,num_bikes_available,station_id,is_returning,last_reported,station_status,legacy_id,num_docks_disabled,eightd_has_available_keys,valet,eightd_active_station_services,timestamp_of_data_read_request,year_station_last_reported
0,True,0,14,True,0,1,3,True,2020-08-01 01:54:54+00:00,active,3,0,False,,,2020-08-01 03:07:10,2020
1,True,0,19,True,0,0,4,True,2020-08-01 02:59:52+00:00,active,4,0,False,,,2020-08-01 03:07:10,2020
2,True,0,13,True,0,2,5,True,2020-08-01 02:35:51+00:00,active,5,0,False,,,2020-08-01 03:07:10,2020
3,True,0,15,True,0,0,6,True,2020-08-01 02:25:51+00:00,active,6,0,False,,,2020-08-01 03:07:10,2020
4,True,0,6,True,0,9,7,True,2020-08-01 02:26:01+00:00,active,7,0,False,,,2020-08-01 03:07:10,2020
5,True,2,7,True,0,10,8,True,2020-08-01 02:37:46+00:00,active,8,0,False,,,2020-08-01 03:07:10,2020
6,True,0,2,True,0,13,9,True,2020-08-01 03:04:25+00:00,active,9,0,False,,,2020-08-01 03:07:10,2020
7,True,1,6,True,0,4,10,True,2020-08-01 03:05:12+00:00,active,10,0,False,,,2020-08-01 03:07:10,2020
8,True,1,11,True,0,3,11,True,2020-08-01 02:54:51+00:00,active,11,0,False,"{'station_id': 'f8346ad7-0de8-11e7-991c-3863bb43a7d0', 'region': 'BOS', 'off_dock_count': 20, 'valet_revision': 75, 'active': True, 'dock_blocked_count': 0, 'off_dock_capacity': 50}",[{'id': 'f8346ad7-0de8-11e7-991c-3863bb43a7d0'}],2020-08-01 03:07:10,2020
9,True,2,15,True,0,1,12,True,2020-08-01 03:05:49+00:00,active,12,0,True,,,2020-08-01 03:07:10,2020
10,True,0,14,True,0,5,13,True,2020-08-01 03:03:43+00:00,active,13,0,False,,,2020-08-01 03:07:10,2020
11,True,0,25,True,0,0,14,True,2020-08-01 02:04:01+00:00,active,14,0,False,,,2020-08-01 03:07:10,2020
12,True,3,3,True,0,9,15,True,2020-08-01 03:04:03+00:00,active,15,0,False,,,2020-08-01 03:07:10,2020
13,True,2,7,True,0,10,16,True,2020-08-01 02:31:13+00:00,active,16,0,True,,,2020-08-01 03:07:10,2020
14,True,0,14,True,0,1,17,True,2020-08-01 02:57:31+00:00,active,17,0,False,,,2020-08-01 03:07:10,2020
15,True,0,1,True,0,14,19,True,2020-08-01 02:59:01+00:00,active,19,0,False,,,2020-08-01 03:07:10,2020
16,True,0,21,True,0,2,20,True,2020-08-01 03:06:21+00:00,active,20,0,True,,,2020-08-01 03:07:10,2020
17,True,0,15,True,0,3,21,True,2020-08-01 02:47:58+00:00,active,21,0,True,,,2020-08-01 03:07:10,2020
18,True,2,21,True,0,24,22,True,2020-08-01 02:02:45+00:00,active,22,0,True,,,2020-08-01 03:07:10,2020
19,True,0,11,True,0,10,23,True,2020-08-01 02:34:55+00:00,active,23,0,True,,,2020-08-01 03:07:10,2020
20,True,0,19,True,0,0,24,True,2020-08-01 02:54:02+00:00,active,24,0,False,,,2020-08-01 03:07:10,2020
21,True,1,4,True,0,10,25,True,2020-08-01 02:47:49+00:00,active,25,0,False,,,2020-08-01 03:07:10,2020
22,True,1,4,True,0,10,26,True,2020-08-01 01:57:40+00:00,active,26,0,False,,,2020-08-01 03:07:10,2020
23,True,2,17,True,0,4,27,True,2020-08-01 03:04:10+00:00,active,27,0,False,,,2020-08-01 03:07:10,2020
24,True,0,7,True,0,8,29,True,2020-07-31 16:37:02+00:00,active,29,0,False,,,2020-08-01 03:07:10,2020
