,num_bikes_available,legacy_id,station_status,num_ebikes_available,station_id,is_installed,num_bikes_disabled,last_reported,is_renting,eightd_active_station_services,num_docks_disabled,is_returning,valet,num_docks_available,eightd_has_available_keys,timestamp_of_data_read_request,year_station_last_reported
0,1,296,active,0,296,True,0,2020-08-02 04:14:13+00:00,True,[{'id': 'e4cf42bb-42a8-4a72-9a2f-5f76a12e7a7a'}],0,True,"{'region': 'BOS', 'station_id': '74cb9bf6-bb53-4c70-88d2-67998b99628c', 'active': True, 'valet_revision': 3, 'off_dock_count': 0, 'off_dock_capacity': 0, 'dock_blocked_count': 0}",22,False,2020-08-02 04:18:45,2020
1,2,3,active,0,3,True,0,2020-08-02 03:12:53+00:00,True,,0,True,,13,True,2020-08-02 04:18:45,2020
2,5,4,active,0,4,True,0,2020-08-02 04:10:28+00:00,True,,0,True,,14,False,2020-08-02 04:18:45,2020
3,9,5,active,0,5,True,0,2020-08-02 04:10:17+00:00,True,,0,True,,6,False,2020-08-02 04:18:45,2020
4,12,6,active,0,6,True,0,2020-08-02 04:16:29+00:00,True,,0,True,,3,False,2020-08-02 04:18:45,2020
5,0,7,active,0,7,True,0,2020-08-02 03:44:58+00:00,True,,0,True,,15,False,2020-08-02 04:18:45,2020
6,8,8,active,0,8,True,3,2020-08-02 04:13:29+00:00,True,,0,True,,8,False,2020-08-02 04:18:45,2020
7,15,9,active,0,9,True,0,2020-08-02 02:16:41+00:00,True,,0,True,,0,False,2020-08-02 04:18:45,2020
8,2,10,active,0,10,True,1,2020-08-02 02:55:33+00:00,True,,0,True,,8,False,2020-08-02 04:18:45,2020
9,2,11,active,0,11,True,1,2020-08-02 04:15:43+00:00,True,,0,True,,12,False,2020-08-02 04:18:45,2020
10,4,12,active,0,12,True,0,2020-08-02 04:04:48+00:00,True,,0,True,,14,True,2020-08-02 04:18:45,2020
11,10,13,active,0,13,True,0,2020-08-02 02:57:00+00:00,True,,0,True,,9,False,2020-08-02 04:18:45,2020
12,1,14,active,0,14,True,1,2020-08-02 03:36:32+00:00,True,,0,True,,23,False,2020-08-02 04:18:45,2020
13,6,15,active,0,15,True,1,2020-08-02 03:46:27+00:00,True,,0,True,,8,False,2020-08-02 04:18:45,2020
14,16,16,active,0,16,True,1,2020-08-02 03:58:08+00:00,True,,0,True,,2,True,2020-08-02 04:18:45,2020
15,7,17,active,0,17,True,0,2020-08-02 03:51:44+00:00,True,,0,True,,8,False,2020-08-02 04:18:45,2020
16,7,19,active,0,19,True,1,2020-08-02 04:06:27+00:00,True,,0,True,,7,False,2020-08-02 04:18:45,2020
17,6,20,active,0,20,True,0,2020-08-02 04:07:34+00:00,True,,0,True,,17,True,2020-08-02 04:18:45,2020
18,7,21,active,0,21,True,1,2020-08-02 03:30:10+00:00,True,,0,True,,10,True,2020-08-02 04:18:45,2020
19,3,22,active,0,22,True,2,2020-08-02 04:03:12+00:00,True,,0,True,,42,True,2020-08-02 04:18:45,2020
20,3,23,active,0,23,True,1,2020-08-02 04:12:12+00:00,True,,0,True,,17,True,2020-08-02 04:18:45,2020
21,1,24,active,0,24,True,0,2020-08-02 04:16:01+00:00,True,,0,True,,18,False,2020-08-02 04:18:45,2020
22,6,25,active,0,25,True,1,2020-08-02 03:14:51+00:00,True,,0,True,,8,False,2020-08-02 04:18:45,2020
23,5,26,active,0,26,True,0,2020-08-02 04:09:19+00:00,True,,0,True,,10,False,2020-08-02 04:18:45,2020
24,20,27,active,0,27,True,3,2020-08-02 04:16:19+00:00,True,,0,True,,0,False,2020-08-02 04:18:45,2020
25,7,29,active,0,29,True,0,2020-08-02 01:20:41+00:00,True,,0,True,,8,False,2020-08-02 04:18:45,2020
26,8,30,active,0,30,True,3,2020-08-02 04:02:12+00:00,True,,0,True,,4,False,2020-08-02 04:18:45,2020
27,17,31,active,0,31,True,0,2020-08-02 02:30:26+00:00,True,,0,True,,2,True,2020-08-02 04:18:45,2020
28,10,32,active,0,32,True,3,2020-08-02 03:52:25+00:00,True,,0,True,,2,False,2020-08-02 04:18:45,2020
29,3,33,active,0,33,True,1,2020-08-02 03:58:44+00:00,True,,0,True,,23,False,2020-08-02 04:18:45,2020
30,3,35,active,0,35,True,0,2020-08-02 04:08:02+00:00,True,,0,True,,20,False,2020-08-02 04:18:45,2020
31,6,36,active,0,36,True,0,2020-08-02 04:11:58+00:00,True,,0,True,,27,True,2020-08-02 04:18:45,2020
32,4,37,active,0,37,True,0,2020-08-02 01:29:27+00:00,True,,0,True,,11,True,2020-08-02 04:18:45,2020
33,20,39,active,0,39,True,0,2020-08-02 03:41:02+00:00,True,,0,True,,3,False,2020-08-02 04:18:45,2020
34,8,40,active,0,40,True,0,2020-08-02 04:06:52+00:00,True,,0,True,,11,False,2020-08-02 04:18:45,2020
35,13,41,active,0,41,True,5,2020-08-02 04:13:28+00:00,True,,0,True,,9,True,2020-08-02 04:18:45,2020
36,4,42,active,0,42,True,0,2020-08-02 04:08:29+00:00,True,,0,True,,19,False,2020-08-02 04:18:45,2020
37,0,43,active,0,43,True,4,2020-08-02 03:46:39+00:00,True,,0,True,,11,True,2020-08-02 04:18:45,2020
38,15,44,active,0,44,True,0,2020-08-02 03:28:53+00:00,True,,0,True,,8,False,2020-08-02 04:18:45,2020
39,18,46,active,0,46,True,1,2020-08-02 04:11:31+00:00,True,,0,True,,0,False,2020-08-02 04:18:45,2020
