,station_id,is_renting,num_ebikes_available,num_bikes_disabled,eightd_has_available_keys,last_reported,eightd_active_station_services,num_docks_disabled,is_returning,valet,legacy_id,is_installed,num_bikes_available,num_docks_available,station_status,timestamp_of_data_read_request,year_station_last_reported
0,296,True,0,0,False,2020-08-02 16:05:15+00:00,[{'id': 'e4cf42bb-42a8-4a72-9a2f-5f76a12e7a7a'}],0,True,"{'off_dock_capacity': 0, 'station_id': '74cb9bf6-bb53-4c70-88d2-67998b99628c', 'off_dock_count': 0, 'active': True, 'dock_blocked_count': 0, 'valet_revision': 3, 'region': 'BOS'}",296,True,8,15,active,2020-08-02 16:14:50,2020
1,3,True,0,1,True,2020-08-02 16:10:59+00:00,,0,True,,3,True,9,5,active,2020-08-02 16:14:50,2020
2,4,True,0,0,False,2020-08-02 16:10:20+00:00,,0,True,,4,True,6,13,active,2020-08-02 16:14:50,2020
3,5,True,0,0,False,2020-08-02 16:07:19+00:00,,0,True,,5,True,8,7,active,2020-08-02 16:14:50,2020
4,6,True,0,0,False,2020-08-02 16:11:03+00:00,,0,True,,6,True,1,14,active,2020-08-02 16:14:50,2020
5,7,True,0,0,False,2020-08-02 08:58:23+00:00,,0,True,,7,True,0,15,active,2020-08-02 16:14:50,2020
6,8,True,0,4,False,2020-08-02 16:14:38+00:00,,0,True,,8,True,11,4,active,2020-08-02 16:14:50,2020
7,9,True,0,0,False,2020-08-02 16:10:24+00:00,,0,True,,9,True,12,3,active,2020-08-02 16:14:50,2020
8,10,True,0,2,False,2020-08-02 15:38:09+00:00,,0,True,,10,True,1,8,active,2020-08-02 16:14:50,2020
9,11,True,0,2,False,2020-08-02 16:11:32+00:00,,0,True,,11,True,11,2,active,2020-08-02 16:14:50,2020
10,12,True,0,0,True,2020-08-02 16:08:29+00:00,,0,True,,12,True,1,17,active,2020-08-02 16:14:50,2020
11,13,True,0,0,False,2020-08-02 15:49:14+00:00,,0,True,,13,True,18,1,active,2020-08-02 16:14:50,2020
12,14,True,0,1,False,2020-08-02 16:03:43+00:00,,0,True,,14,True,14,10,active,2020-08-02 16:14:50,2020
13,15,True,0,1,False,2020-08-02 15:43:44+00:00,,0,True,,15,True,7,7,active,2020-08-02 16:14:50,2020
14,16,True,0,1,True,2020-08-02 16:02:57+00:00,,0,True,,16,True,11,7,active,2020-08-02 16:14:50,2020
15,17,True,0,0,False,2020-08-02 15:51:30+00:00,,0,True,,17,True,5,10,active,2020-08-02 16:14:50,2020
16,19,True,0,1,False,2020-08-02 16:09:09+00:00,,0,True,,19,True,7,7,active,2020-08-02 16:14:50,2020
17,20,True,0,0,True,2020-08-02 16:09:11+00:00,,0,True,,20,True,11,12,active,2020-08-02 16:14:50,2020
18,21,True,0,0,True,2020-08-02 15:57:14+00:00,,0,True,,21,True,4,14,active,2020-08-02 16:14:50,2020
19,22,True,0,0,True,2020-08-02 15:52:30+00:00,,0,True,,22,True,6,41,active,2020-08-02 16:14:50,2020
20,23,True,0,0,True,2020-08-02 15:57:21+00:00,,0,True,,23,True,2,19,active,2020-08-02 16:14:50,2020
21,24,True,0,1,False,2020-08-02 15:46:06+00:00,,0,True,,24,True,6,12,active,2020-08-02 16:14:50,2020
22,25,True,0,1,False,2020-08-02 15:53:43+00:00,,0,True,,25,True,6,8,active,2020-08-02 16:14:50,2020
