,num_bikes_available,valet,last_reported,is_returning,legacy_id,num_bikes_disabled,station_status,num_docks_disabled,num_ebikes_available,station_id,is_installed,is_renting,eightd_has_available_keys,num_docks_available,eightd_active_station_services,timestamp_of_data_read_request,year_station_last_reported
0,11,"{'off_dock_capacity': 0, 'valet_revision': 3, 'off_dock_count': 0, 'station_id': '74cb9bf6-bb53-4c70-88d2-67998b99628c', 'region': 'BOS', 'active': True, 'dock_blocked_count': 0}",2020-08-02 17:29:51+00:00,True,296,0,active,0,0,296,True,True,False,12,[{'id': 'e4cf42bb-42a8-4a72-9a2f-5f76a12e7a7a'}],2020-08-02 17:47:25,2020
1,10,,2020-08-02 17:44:21+00:00,True,3,2,active,0,0,3,True,True,True,3,,2020-08-02 17:47:25,2020
2,3,,2020-08-02 17:42:28+00:00,True,4,0,active,0,0,4,True,True,False,16,,2020-08-02 17:47:25,2020
3,6,,2020-08-02 17:42:19+00:00,True,5,0,active,0,0,5,True,True,False,9,,2020-08-02 17:47:25,2020
4,3,,2020-08-02 17:46:00+00:00,True,6,0,active,0,0,6,True,True,False,12,,2020-08-02 17:47:25,2020
5,3,,2020-08-02 17:21:42+00:00,True,7,0,active,0,0,7,True,True,False,12,,2020-08-02 17:47:25,2020
6,7,,2020-08-02 17:46:43+00:00,True,8,3,active,0,0,8,True,True,False,9,,2020-08-02 17:47:25,2020
7,6,,2020-08-02 17:31:41+00:00,True,9,0,active,0,0,9,True,True,False,9,,2020-08-02 17:47:25,2020
8,4,,2020-08-02 17:35:01+00:00,True,10,2,active,0,0,10,True,True,False,5,,2020-08-02 17:47:25,2020
9,12,,2020-08-02 17:43:15+00:00,True,11,2,active,0,0,11,True,True,False,1,,2020-08-02 17:47:25,2020
10,3,,2020-08-02 17:46:56+00:00,True,12,0,active,0,0,12,True,True,True,15,,2020-08-02 17:47:25,2020
11,15,,2020-08-02 17:38:28+00:00,True,13,0,active,0,0,13,True,True,False,4,,2020-08-02 17:47:25,2020
12,14,,2020-08-02 17:24:45+00:00,True,14,1,active,0,0,14,True,True,False,10,,2020-08-02 17:47:25,2020
13,12,,2020-08-02 17:10:03+00:00,True,15,1,active,0,0,15,True,True,False,2,,2020-08-02 17:47:25,2020
14,12,,2020-08-02 17:38:59+00:00,True,16,1,active,0,0,16,True,True,True,6,,2020-08-02 17:47:25,2020
15,7,,2020-08-02 17:28:03+00:00,True,17,1,active,0,0,17,True,True,False,7,,2020-08-02 17:47:25,2020
16,6,,2020-08-02 17:45:46+00:00,True,19,0,active,0,0,19,True,True,False,9,,2020-08-02 17:47:25,2020
17,13,,2020-08-02 17:34:00+00:00,True,20,0,active,0,0,20,True,True,True,10,,2020-08-02 17:47:25,2020
18,3,,2020-08-02 17:39:56+00:00,True,21,0,active,0,0,21,True,True,True,15,,2020-08-02 17:47:25,2020
19,5,,2020-08-02 17:46:48+00:00,True,22,0,active,0,0,22,True,True,True,42,,2020-08-02 17:47:25,2020
20,0,,2020-08-02 17:18:16+00:00,True,23,0,active,0,0,23,True,True,True,21,,2020-08-02 17:47:25,2020
21,6,,2020-08-02 17:41:09+00:00,True,24,3,active,0,0,24,True,True,False,10,,2020-08-02 17:47:25,2020
22,6,,2020-08-02 17:46:25+00:00,True,25,1,active,0,0,25,True,True,False,8,,2020-08-02 17:47:25,2020
23,4,,2020-08-02 17:41:47+00:00,True,26,0,active,0,0,26,True,True,False,11,,2020-08-02 17:47:25,2020
24,0,,2020-08-02 17:45:13+00:00,True,27,2,active,0,0,27,True,True,False,21,,2020-08-02 17:47:25,2020
25,10,,2020-08-02 16:50:51+00:00,True,29,0,active,0,0,29,True,True,False,5,,2020-08-02 17:47:25,2020
26,6,,2020-08-02 17:29:32+00:00,True,30,2,active,0,0,30,True,True,False,7,,2020-08-02 17:47:25,2020
27,6,,2020-08-02 17:46:35+00:00,True,31,0,active,0,0,31,True,True,True,13,,2020-08-02 17:47:25,2020
28,12,,2020-08-02 17:40:07+00:00,True,32,3,active,0,0,32,True,True,False,0,,2020-08-02 17:47:25,2020
29,1,,2020-08-02 17:16:23+00:00,True,33,1,active,0,0,33,True,True,False,25,,2020-08-02 17:47:25,2020
30,6,,2020-08-02 17:20:09+00:00,True,35,0,active,0,0,35,True,True,False,17,,2020-08-02 17:47:25,2020
31,9,,2020-08-02 17:30:23+00:00,True,36,1,active,0,0,36,True,True,True,23,,2020-08-02 17:47:25,2020
32,8,,2020-08-02 17:12:28+00:00,True,37,0,active,0,0,37,True,True,True,7,,2020-08-02 17:47:25,2020
33,18,,2020-08-02 17:20:03+00:00,True,39,0,active,0,0,39,True,True,False,5,,2020-08-02 17:47:25,2020
34,9,,2020-08-02 17:35:17+00:00,True,40,3,active,0,0,40,True,True,False,7,,2020-08-02 17:47:25,2020
35,0,,2020-08-02 17:43:40+00:00,True,41,5,active,0,0,41,True,True,True,22,,2020-08-02 17:47:25,2020
36,0,,2020-08-02 17:11:17+00:00,True,42,1,active,0,0,42,True,True,False,22,,2020-08-02 17:47:25,2020
37,14,,2020-08-02 17:06:18+00:00,True,43,0,active,0,0,43,True,True,True,1,,2020-08-02 17:47:25,2020
38,9,,2020-08-02 17:47:09+00:00,True,44,0,active,0,0,44,True,True,False,14,,2020-08-02 17:47:25,2020
39,5,,2020-08-02 17:46:40+00:00,True,46,1,active,0,0,46,True,True,False,13,,2020-08-02 17:47:25,2020
40,0,,2020-08-02 17:46:13+00:00,True,47,0,active,0,0,47,True,True,True,19,,2020-08-02 17:47:25,2020
41,3,,2020-08-02 17:39:45+00:00,True,48,0,active,0,0,48,True,True,False,16,,2020-08-02 17:47:25,2020
42,3,,2020-08-02 17:07:20+00:00,True,49,0,active,0,0,49,True,True,False,15,,2020-08-02 17:47:25,2020
43,13,,2020-08-02 17:25:54+00:00,True,50,0,active,0,0,50,True,True,True,2,,2020-08-02 17:47:25,2020
44,13,,2020-08-02 16:56:17+00:00,True,51,0,active,0,0,51,True,True,False,2,,2020-08-02 17:47:25,2020
45,6,,2020-08-02 17:42:14+00:00,True,52,1,active,0,0,52,True,True,True,16,,2020-08-02 17:47:25,2020
