,num_bikes_available,legacy_id,station_status,num_ebikes_available,station_id,is_installed,num_bikes_disabled,last_reported,is_renting,eightd_active_station_services,num_docks_disabled,is_returning,num_docks_available,eightd_has_available_keys,valet,timestamp_of_data_read_request,year_station_last_reported
0,13,296,active,0,296,True,0,2020-08-03 13:55:58+00:00,True,[{'id': 'e4cf42bb-42a8-4a72-9a2f-5f76a12e7a7a'}],0,True,10,False,,2020-08-03 14:41:15,2020
1,14,3,active,0,3,True,0,2020-08-03 13:58:48+00:00,True,,0,True,1,True,,2020-08-03 14:41:15,2020
2,4,4,active,0,4,True,0,2020-08-03 14:04:45+00:00,True,,0,True,15,False,,2020-08-03 14:41:15,2020
3,4,5,active,0,5,True,1,2020-08-03 14:32:52+00:00,True,,0,True,10,False,,2020-08-03 14:41:15,2020
4,11,6,active,0,6,True,0,2020-08-03 14:29:34+00:00,True,,0,True,4,False,,2020-08-03 14:41:15,2020
5,13,7,active,0,7,True,1,2020-08-03 14:19:27+00:00,True,,0,True,1,False,,2020-08-03 14:41:15,2020
6,7,8,active,0,8,True,0,2020-08-03 14:37:17+00:00,True,,0,True,12,False,,2020-08-03 14:41:15,2020
7,9,9,active,0,9,True,0,2020-08-03 13:52:18+00:00,True,,0,True,6,False,,2020-08-03 14:41:15,2020
8,1,10,active,0,10,True,1,2020-08-03 14:38:16+00:00,True,,0,True,9,False,,2020-08-03 14:41:15,2020
9,10,11,active,0,11,True,2,2020-08-03 14:39:42+00:00,True,[{'id': 'f8346ad7-0de8-11e7-991c-3863bb43a7d0'}],0,True,3,False,"{'region': 'BOS', 'station_id': 'f8346ad7-0de8-11e7-991c-3863bb43a7d0', 'active': True, 'valet_revision': 77, 'off_dock_count': 81, 'off_dock_capacity': 50, 'dock_blocked_count': 0}",2020-08-03 14:41:15,2020
10,8,12,active,0,12,True,0,2020-08-03 14:34:32+00:00,True,,0,True,10,True,,2020-08-03 14:41:15,2020
11,19,13,active,0,13,True,0,2020-08-03 13:57:58+00:00,True,,0,True,0,False,,2020-08-03 14:41:15,2020
12,15,14,active,0,14,True,3,2020-08-03 14:36:54+00:00,True,,0,True,7,False,,2020-08-03 14:41:15,2020
13,7,15,active,0,15,True,0,2020-08-03 13:46:34+00:00,True,,0,True,8,False,,2020-08-03 14:41:15,2020
14,1,16,active,0,16,True,0,2020-08-03 14:38:12+00:00,True,,0,True,18,True,,2020-08-03 14:41:15,2020
15,8,17,active,0,17,True,2,2020-08-03 14:35:10+00:00,True,,0,True,5,False,,2020-08-03 14:41:15,2020
16,3,19,active,0,19,True,0,2020-08-03 14:01:02+00:00,True,,0,True,12,False,,2020-08-03 14:41:15,2020
17,11,20,active,0,20,True,1,2020-08-03 14:14:52+00:00,True,,0,True,11,True,,2020-08-03 14:41:15,2020
18,2,21,active,0,21,True,0,2020-08-03 14:38:13+00:00,True,,0,True,16,True,,2020-08-03 14:41:15,2020
19,21,22,active,0,22,True,0,2020-08-03 14:36:36+00:00,True,,0,True,26,True,,2020-08-03 14:41:15,2020
20,5,23,active,0,23,True,1,2020-08-03 14:26:01+00:00,True,,0,True,15,True,,2020-08-03 14:41:15,2020
21,6,24,active,0,24,True,1,2020-08-03 14:34:34+00:00,True,,0,True,12,False,,2020-08-03 14:41:15,2020
22,0,25,active,0,25,True,2,2020-08-03 13:54:11+00:00,True,,0,True,13,False,,2020-08-03 14:41:15,2020
23,4,26,active,0,26,True,0,2020-08-03 14:36:17+00:00,True,,0,True,11,False,,2020-08-03 14:41:15,2020
24,14,27,active,0,27,True,1,2020-08-03 13:38:35+00:00,True,,0,True,8,False,,2020-08-03 14:41:15,2020
25,7,29,active,0,29,True,0,2020-08-03 13:50:55+00:00,True,,0,True,8,False,,2020-08-03 14:41:15,2020
26,12,30,active,0,30,True,3,2020-08-03 14:21:33+00:00,True,,0,True,0,False,,2020-08-03 14:41:15,2020
27,5,31,active,0,31,True,0,2020-08-03 14:20:53+00:00,True,,0,True,14,True,,2020-08-03 14:41:15,2020
28,9,32,active,0,32,True,3,2020-08-03 14:40:48+00:00,True,,0,True,3,False,,2020-08-03 14:41:15,2020
29,2,33,active,0,33,True,1,2020-08-03 14:31:22+00:00,True,,0,True,24,False,,2020-08-03 14:41:15,2020
30,20,35,active,0,35,True,0,2020-08-03 14:05:38+00:00,True,,0,True,3,False,,2020-08-03 14:41:15,2020
31,19,36,active,0,36,True,0,2020-08-03 14:16:52+00:00,True,,0,True,14,True,,2020-08-03 14:41:15,2020
32,9,37,active,0,37,True,0,2020-08-03 13:44:13+00:00,True,,0,True,6,True,,2020-08-03 14:41:15,2020
33,11,39,active,0,39,True,2,2020-08-03 14:39:25+00:00,True,,0,True,10,False,,2020-08-03 14:41:15,2020
34,3,40,active,0,40,True,2,2020-08-03 14:10:47+00:00,True,,0,True,14,False,,2020-08-03 14:41:15,2020
35,5,41,active,0,41,True,0,2020-08-03 14:25:32+00:00,True,,0,True,22,True,,2020-08-03 14:41:15,2020
36,9,42,active,0,42,True,2,2020-08-03 14:36:48+00:00,True,,0,True,12,False,,2020-08-03 14:41:15,2020
37,5,43,active,0,43,True,0,2020-08-03 13:26:12+00:00,True,,0,True,10,True,,2020-08-03 14:41:15,2020
38,6,44,active,0,44,True,0,2020-08-03 14:13:47+00:00,True,,0,True,17,False,,2020-08-03 14:41:15,2020
39,3,46,active,0,46,True,1,2020-08-03 14:36:52+00:00,True,,0,True,15,False,,2020-08-03 14:41:15,2020
40,1,47,active,0,47,True,0,2020-08-03 14:34:05+00:00,True,,0,True,18,True,,2020-08-03 14:41:15,2020
41,12,48,active,0,48,True,0,2020-08-03 14:26:37+00:00,True,,0,True,7,False,,2020-08-03 14:41:15,2020
42,8,49,active,0,49,True,0,2020-08-03 14:17:17+00:00,True,,0,True,10,False,,2020-08-03 14:41:15,2020
43,3,50,active,0,50,True,1,2020-08-03 14:39:43+00:00,True,,0,True,11,True,,2020-08-03 14:41:15,2020
44,15,51,active,0,51,True,0,2020-08-03 13:03:07+00:00,False,,0,False,0,False,,2020-08-03 14:41:15,2020
45,2,52,active,0,52,True,0,2020-08-03 14:26:05+00:00,True,,0,True,21,True,,2020-08-03 14:41:15,2020
46,0,53,active,0,53,True,1,2020-08-03 14:35:11+00:00,True,,0,True,18,False,,2020-08-03 14:41:15,2020
47,7,54,active,0,54,True,1,2020-08-03 14:32:03+00:00,True,,0,True,7,False,,2020-08-03 14:41:15,2020
48,0,55,active,0,55,True,0,2020-08-03 14:12:18+00:00,True,,0,True,15,False,,2020-08-03 14:41:15,2020
49,9,56,active,0,56,True,0,2020-08-03 14:20:43+00:00,True,,0,True,9,True,,2020-08-03 14:41:15,2020
50,1,57,active,0,57,True,0,2020-08-03 14:24:59+00:00,True,,0,True,13,True,,2020-08-03 14:41:15,2020
51,9,58,active,0,58,True,0,2020-08-03 14:20:57+00:00,True,,0,True,10,True,,2020-08-03 14:41:15,2020
52,12,59,active,0,59,True,0,2020-08-03 14:27:25+00:00,True,,0,True,7,True,,2020-08-03 14:41:15,2020
53,4,60,active,0,60,True,0,2020-08-03 14:41:02+00:00,True,[{'id': 'f8348a68-0de8-11e7-991c-3863bb43a7d0'}],0,True,15,False,"{'region': 'BOS', 'station_id': 'f8348a68-0de8-11e7-991c-3863bb43a7d0', 'active': True, 'valet_revision': 65, 'off_dock_count': 37, 'off_dock_capacity': 40, 'dock_blocked_count': 0}",2020-08-03 14:41:15,2020
54,9,61,active,0,61,True,0,2020-08-03 14:07:59+00:00,True,,0,True,10,False,,2020-08-03 14:41:15,2020
55,1,63,active,0,63,True,0,2020-08-03 00:49:30+00:00,True,,0,True,14,False,,2020-08-03 14:41:15,2020
56,19,64,active,0,64,True,0,2020-08-03 12:56:26+00:00,True,,0,True,0,False,,2020-08-03 14:41:15,2020
57,13,65,active,0,65,True,0,2020-08-03 12:13:51+00:00,True,,0,True,10,False,,2020-08-03 14:41:15,2020
58,0,66,active,0,66,True,1,2020-08-03 13:38:11+00:00,True,,0,True,14,False,,2020-08-03 14:41:15,2020
59,6,67,active,0,67,True,0,2020-08-03 14:38:00+00:00,True,,0,True,21,False,,2020-08-03 14:41:15,2020
60,5,68,active,0,68,True,0,2020-08-03 14:35:33+00:00,True,,0,True,14,True,,2020-08-03 14:41:15,2020
61,1,69,active,0,69,True,0,2020-08-03 14:30:23+00:00,True,,0,True,18,True,,2020-08-03 14:41:15,2020
62,15,70,active,0,70,True,2,2020-08-03 14:40:52+00:00,True,,0,True,6,False,,2020-08-03 14:41:15,2020
63,6,71,active,0,71,True,0,2020-08-03 13:36:47+00:00,True,,0,True,17,False,,2020-08-03 14:41:15,2020
64,5,72,active,0,72,True,0,2020-08-03 14:24:19+00:00,True,,0,True,18,False,,2020-08-03 14:41:15,2020
65,15,73,active,0,73,True,0,2020-08-03 13:01:35+00:00,True,,0,True,0,False,,2020-08-03 14:41:15,2020
66,17,74,active,0,74,True,2,2020-08-03 14:19:41+00:00,True,,0,True,0,True,,2020-08-03 14:41:15,2020
67,0,75,active,0,75,True,0,2020-08-03 12:47:04+00:00,True,,0,True,15,False,,2020-08-03 14:41:15,2020
68,3,76,active,0,76,True,0,2020-08-03 14:15:17+00:00,True,,0,True,14,False,,2020-08-03 14:41:15,2020
69,0,77,active,0,77,True,1,2020-08-03 12:57:12+00:00,True,,0,True,14,False,,2020-08-03 14:41:15,2020
70,5,78,active,0,78,True,1,2020-08-03 14:26:40+00:00,True,,0,True,13,False,,2020-08-03 14:41:15,2020
71,10,79,active,0,79,True,0,2020-08-03 14:39:33+00:00,True,,0,True,9,False,,2020-08-03 14:41:15,2020
72,33,80,active,0,80,True,1,2020-08-03 14:41:08+00:00,True,,0,True,1,False,,2020-08-03 14:41:15,2020
73,6,81,active,0,81,True,0,2020-08-03 14:05:26+00:00,True,,0,True,13,False,,2020-08-03 14:41:15,2020
74,3,82,active,0,82,True,0,2020-08-03 14:01:41+00:00,True,,0,True,12,False,,2020-08-03 14:41:15,2020
75,1,84,active,0,84,True,1,2020-08-03 13:32:05+00:00,True,,0,True,13,False,,2020-08-03 14:41:15,2020
76,18,85,active,0,85,True,0,2020-08-03 12:24:48+00:00,True,,0,True,1,False,,2020-08-03 14:41:15,2020
77,12,86,active,0,86,True,0,2020-08-03 14:15:33+00:00,True,,0,True,7,False,,2020-08-03 14:41:15,2020
78,5,87,active,0,87,True,0,2020-08-03 14:20:50+00:00,True,,0,True,10,False,,2020-08-03 14:41:15,2020
79,13,89,active,0,89,True,1,2020-08-03 14:12:16+00:00,True,,0,True,5,False,,2020-08-03 14:41:15,2020
80,6,90,active,0,90,True,0,2020-08-03 14:36:20+00:00,True,,0,True,13,False,,2020-08-03 14:41:15,2020
81,13,91,active,0,91,True,1,2020-08-03 14:40:10+00:00,True,,0,True,5,False,,2020-08-03 14:41:15,2020
82,19,92,active,0,92,True,0,2020-08-03 08:43:47+00:00,True,,0,True,0,False,,2020-08-03 14:41:15,2020
83,11,93,active,0,93,True,2,2020-08-03 14:37:20+00:00,True,,0,True,2,False,,2020-08-03 14:41:15,2020
84,3,94,active,0,94,True,0,2020-08-03 14:31:19+00:00,True,,0,True,8,False,,2020-08-03 14:41:15,2020
85,1,95,active,0,95,True,0,2020-08-03 14:35:08+00:00,True,,0,True,14,False,,2020-08-03 14:41:15,2020
86,5,96,active,0,96,True,0,2020-08-03 13:38:58+00:00,True,,0,True,14,False,,2020-08-03 14:41:15,2020
87,2,97,active,0,97,True,1,2020-08-03 14:24:57+00:00,True,,0,True,16,False,,2020-08-03 14:41:15,2020
88,3,98,active,0,98,True,2,2020-08-03 14:05:51+00:00,True,,0,True,17,False,,2020-08-03 14:41:15,2020
89,11,99,active,0,99,True,0,2020-08-03 14:23:39+00:00,True,,0,True,4,False,,2020-08-03 14:41:15,2020
90,18,100,active,0,100,True,1,2020-08-03 14:00:35+00:00,True,,0,True,6,True,,2020-08-03 14:41:15,2020
91,11,101,active,0,101,True,0,2020-08-03 13:41:22+00:00,True,,0,True,4,False,,2020-08-03 14:41:15,2020
92,12,102,active,0,102,True,0,2020-08-03 13:41:07+00:00,True,,0,True,3,False,,2020-08-03 14:41:15,2020
93,0,103,active,0,103,True,1,2020-08-03 14:17:15+00:00,True,,0,True,14,False,,2020-08-03 14:41:15,2020
94,7,104,active,0,104,True,1,2020-08-03 13:51:27+00:00,True,,0,True,11,False,,2020-08-03 14:41:15,2020
95,5,105,active,0,105,True,0,2020-08-03 14:26:55+00:00,True,,0,True,14,False,,2020-08-03 14:41:15,2020
