,num_docks_available,num_bikes_available,last_reported,num_ebikes_available,eightd_has_available_keys,station_status,is_installed,num_bikes_disabled,station_id,num_docks_disabled,is_renting,legacy_id,is_returning,eightd_active_station_services,valet,timestamp_of_data_read_request,year_station_last_reported
0,1,14,2020-08-04 18:09:16+00:00,0,True,active,True,0,3,0,True,3,True,,,2020-08-04 18:33:55,2020
1,12,6,2020-08-04 17:42:48+00:00,0,False,active,True,1,4,0,True,4,True,,,2020-08-04 18:33:55,2020
2,10,5,2020-08-04 18:11:40+00:00,0,False,active,True,0,5,0,True,5,True,,,2020-08-04 18:33:55,2020
3,2,12,2020-08-04 18:13:53+00:00,0,False,active,True,1,6,0,True,6,True,,,2020-08-04 18:33:55,2020
4,2,13,2020-08-04 17:58:12+00:00,0,False,active,True,0,7,0,True,7,True,,,2020-08-04 18:33:55,2020
5,18,1,2020-08-04 18:28:47+00:00,0,False,active,True,0,8,0,True,8,True,,,2020-08-04 18:33:55,2020
6,9,6,2020-08-04 18:24:24+00:00,0,False,active,True,0,9,0,True,9,True,,,2020-08-04 18:33:55,2020
7,0,10,2020-08-04 18:14:26+00:00,0,False,active,True,1,10,0,True,10,True,,,2020-08-04 18:33:55,2020
8,1,14,2020-08-04 18:29:16+00:00,0,False,active,True,0,11,0,True,11,True,[{'id': 'f8346ad7-0de8-11e7-991c-3863bb43a7d0'}],"{'valet_revision': 77, 'region': 'BOS', 'off_dock_count': 56, 'dock_blocked_count': 0, 'station_id': 'f8346ad7-0de8-11e7-991c-3863bb43a7d0', 'active': True, 'off_dock_capacity': 50}",2020-08-04 18:33:55,2020
9,14,4,2020-08-04 18:32:55+00:00,0,True,active,True,0,12,0,True,12,True,,,2020-08-04 18:33:55,2020
10,4,15,2020-08-04 18:33:43+00:00,0,False,active,True,0,13,0,True,13,True,,,2020-08-04 18:33:55,2020
11,3,21,2020-08-04 18:32:36+00:00,0,False,active,True,1,14,0,True,14,True,,,2020-08-04 18:33:55,2020
12,6,9,2020-08-04 16:45:29+00:00,0,False,active,True,0,15,0,True,15,True,,,2020-08-04 18:33:55,2020
13,11,8,2020-08-04 18:08:59+00:00,0,True,active,True,0,16,0,True,16,True,,,2020-08-04 18:33:55,2020
14,11,2,2020-08-04 17:21:26+00:00,0,False,active,True,2,17,0,True,17,True,,,2020-08-04 18:33:55,2020
15,3,9,2020-08-04 17:06:30+00:00,0,False,active,True,2,19,1,True,19,True,,,2020-08-04 18:33:55,2020
16,17,5,2020-08-04 15:56:07+00:00,0,True,active,True,1,20,0,True,20,True,,,2020-08-04 18:33:55,2020
17,18,0,2020-08-04 18:20:12+00:00,0,True,active,True,0,21,0,True,21,True,,,2020-08-04 18:33:55,2020
