,is_renting,last_reported,station_status,is_installed,station_id,num_bikes_disabled,num_docks_available,eightd_has_available_keys,legacy_id,is_returning,num_docks_disabled,num_bikes_available,num_ebikes_available,eightd_active_station_services,valet,timestamp_of_data_read_request,year_station_last_reported
0,True,2020-08-04 21:02:06+00:00,active,True,3,0,4,True,3,True,0,11,0,,,2020-08-04 21:07:00,2020
1,True,2020-08-04 20:50:06+00:00,active,True,4,1,14,False,4,True,0,4,0,,,2020-08-04 21:07:00,2020
2,True,2020-08-04 20:54:26+00:00,active,True,5,0,9,False,5,True,0,6,0,,,2020-08-04 21:07:00,2020
3,True,2020-08-04 21:05:33+00:00,active,True,6,1,4,False,6,True,0,10,0,,,2020-08-04 21:07:00,2020
4,True,2020-08-04 21:01:26+00:00,active,True,7,1,8,False,7,True,0,6,0,,,2020-08-04 21:07:00,2020
5,True,2020-08-04 20:59:42+00:00,active,True,8,0,13,False,8,True,0,6,0,,,2020-08-04 21:07:00,2020
6,True,2020-08-04 20:57:40+00:00,active,True,9,0,6,False,9,True,0,9,0,,,2020-08-04 21:07:00,2020
7,True,2020-08-04 20:40:31+00:00,active,True,10,2,3,False,10,True,0,6,0,,,2020-08-04 21:07:00,2020
8,True,2020-08-04 21:05:43+00:00,active,True,11,0,7,False,11,True,0,8,0,[{'id': 'f8346ad7-0de8-11e7-991c-3863bb43a7d0'}],"{'station_id': 'f8346ad7-0de8-11e7-991c-3863bb43a7d0', 'region': 'BOS', 'dock_blocked_count': 0, 'off_dock_capacity': 50, 'valet_revision': 77, 'active': True, 'off_dock_count': 21}",2020-08-04 21:07:00,2020
9,True,2020-08-04 20:53:59+00:00,active,True,12,0,6,True,12,True,0,12,0,,,2020-08-04 21:07:00,2020
10,True,2020-08-04 21:03:58+00:00,active,True,13,0,18,False,13,True,0,1,0,,,2020-08-04 21:07:00,2020
11,True,2020-08-04 21:04:32+00:00,active,True,14,4,11,False,14,True,0,10,0,,,2020-08-04 21:07:00,2020
12,True,2020-08-04 20:46:56+00:00,active,True,15,0,4,False,15,True,0,11,0,,,2020-08-04 21:07:00,2020
13,True,2020-08-04 20:44:25+00:00,active,True,16,0,10,True,16,True,0,9,0,,,2020-08-04 21:07:00,2020
14,True,2020-08-04 20:57:51+00:00,active,True,17,2,9,False,17,True,0,4,0,,,2020-08-04 21:07:00,2020
15,True,2020-08-04 19:52:49+00:00,active,True,19,2,4,False,19,True,0,9,0,,,2020-08-04 21:07:00,2020
16,True,2020-08-04 20:52:06+00:00,active,True,20,1,6,True,20,True,0,16,0,,,2020-08-04 21:07:00,2020
17,True,2020-08-04 18:20:12+00:00,active,True,21,0,18,True,21,True,0,0,0,,,2020-08-04 21:07:00,2020
18,True,2020-08-04 20:52:46+00:00,active,True,22,1,41,True,22,True,0,5,0,,,2020-08-04 21:07:00,2020
19,True,2020-08-04 21:05:34+00:00,active,True,23,2,19,True,23,True,0,0,0,,,2020-08-04 21:07:00,2020
20,True,2020-08-04 19:53:18+00:00,active,True,24,1,12,False,24,True,0,6,0,,,2020-08-04 21:07:00,2020
