,num_bikes_available,is_installed,last_reported,station_id,eightd_has_available_keys,station_status,num_docks_available,num_ebikes_available,num_bikes_disabled,is_returning,legacy_id,is_renting,num_docks_disabled,valet,eightd_active_station_services,timestamp_of_data_read_request,year_station_last_reported
0,13,True,2020-08-04 22:24:15+00:00,3,True,active,2,0,0,True,3,True,0,,,2020-08-04 22:38:55,2020
1,8,True,2020-08-04 22:34:00+00:00,4,False,active,10,0,1,True,4,True,0,,,2020-08-04 22:38:55,2020
2,8,True,2020-08-04 22:38:44+00:00,5,False,active,6,0,1,True,5,True,0,,,2020-08-04 22:38:55,2020
3,3,True,2020-08-04 22:31:43+00:00,6,False,active,11,0,1,True,6,True,0,,,2020-08-04 22:38:55,2020
4,6,True,2020-08-04 21:01:26+00:00,7,False,active,8,0,1,True,7,True,0,,,2020-08-04 22:38:55,2020
5,8,True,2020-08-04 22:26:18+00:00,8,False,active,11,0,0,True,8,True,0,,,2020-08-04 22:38:55,2020
6,11,True,2020-08-04 22:35:30+00:00,9,False,active,4,0,0,True,9,True,0,,,2020-08-04 22:38:55,2020
7,3,True,2020-08-04 22:03:14+00:00,10,False,active,6,0,2,True,10,True,0,,,2020-08-04 22:38:55,2020
8,0,True,2020-08-04 22:18:41+00:00,11,False,active,15,0,0,True,11,True,0,"{'dock_blocked_count': 0, 'station_id': 'f8346ad7-0de8-11e7-991c-3863bb43a7d0', 'valet_revision': 77, 'region': 'BOS', 'off_dock_capacity': 50, 'active': True, 'off_dock_count': 12}",[{'id': 'f8346ad7-0de8-11e7-991c-3863bb43a7d0'}],2020-08-04 22:38:55,2020
9,9,True,2020-08-04 22:35:28+00:00,12,True,active,9,0,0,True,12,True,0,,,2020-08-04 22:38:55,2020
10,1,True,2020-08-04 22:15:49+00:00,13,False,active,18,0,0,True,13,True,0,,,2020-08-04 22:38:55,2020
11,4,True,2020-08-04 22:32:37+00:00,14,False,active,19,0,2,True,14,True,0,,,2020-08-04 22:38:55,2020
12,12,True,2020-08-04 22:31:48+00:00,15,False,active,3,0,0,True,15,True,0,,,2020-08-04 22:38:55,2020
13,12,True,2020-08-04 22:35:53+00:00,16,True,active,7,0,0,True,16,True,0,,,2020-08-04 22:38:55,2020
14,4,True,2020-08-04 22:34:01+00:00,17,False,active,9,0,2,True,17,True,0,,,2020-08-04 22:38:55,2020
15,11,True,2020-08-04 22:34:11+00:00,19,False,active,2,0,2,True,19,True,0,,,2020-08-04 22:38:55,2020
16,16,True,2020-08-04 22:38:07+00:00,20,True,active,6,0,1,True,20,True,0,,,2020-08-04 22:38:55,2020
17,4,True,2020-08-04 22:36:10+00:00,21,True,active,14,0,0,True,21,True,0,,,2020-08-04 22:38:55,2020
18,3,True,2020-08-04 22:27:00+00:00,22,True,active,43,0,1,True,22,True,0,,,2020-08-04 22:38:55,2020
19,0,True,2020-08-04 22:00:09+00:00,23,True,active,19,0,2,True,23,True,0,,,2020-08-04 22:38:55,2020
20,7,True,2020-08-04 22:37:37+00:00,24,False,active,11,0,1,True,24,True,0,,,2020-08-04 22:38:55,2020
21,8,True,2020-08-04 21:55:48+00:00,25,False,active,7,0,0,True,25,True,0,,,2020-08-04 22:38:55,2020
22,9,True,2020-08-04 22:34:22+00:00,26,False,active,5,0,1,True,26,True,0,,,2020-08-04 22:38:55,2020
23,6,True,2020-08-04 22:28:37+00:00,27,False,active,16,0,1,True,27,True,0,,,2020-08-04 22:38:55,2020
24,10,True,2020-08-04 20:06:14+00:00,29,False,active,5,0,0,True,29,True,0,,,2020-08-04 22:38:55,2020
25,12,True,2020-08-04 22:07:24+00:00,30,False,active,3,0,0,True,30,True,0,,,2020-08-04 22:38:55,2020
26,3,True,2020-08-04 20:19:18+00:00,31,True,active,16,0,0,True,31,True,0,,,2020-08-04 22:38:55,2020
27,10,True,2020-08-04 21:56:51+00:00,32,False,active,4,0,1,True,32,True,0,,,2020-08-04 22:38:55,2020
28,1,True,2020-08-04 22:26:50+00:00,33,False,active,25,0,1,True,33,True,0,,,2020-08-04 22:38:55,2020
29,7,True,2020-08-04 22:29:22+00:00,35,False,active,16,0,0,True,35,True,0,,,2020-08-04 22:38:55,2020
30,16,True,2020-08-04 22:27:44+00:00,36,True,active,17,0,0,True,36,True,0,,,2020-08-04 22:38:55,2020
31,13,True,2020-08-04 22:14:08+00:00,37,True,active,2,0,0,True,37,True,0,,,2020-08-04 22:38:55,2020
32,4,True,2020-08-04 22:22:00+00:00,39,False,active,16,0,3,True,39,True,0,,,2020-08-04 22:38:55,2020
33,10,True,2020-08-04 22:32:18+00:00,40,False,active,7,0,2,True,40,True,0,,,2020-08-04 22:38:55,2020
34,4,True,2020-08-04 22:38:23+00:00,41,True,active,19,0,3,True,41,True,1,,,2020-08-04 22:38:55,2020
35,2,True,2020-08-04 22:09:33+00:00,42,False,active,21,0,0,True,42,True,0,,,2020-08-04 22:38:55,2020
36,7,True,2020-08-04 20:56:01+00:00,43,True,active,8,0,0,True,43,True,0,,,2020-08-04 22:38:55,2020
37,18,True,2020-08-04 21:18:01+00:00,44,False,active,5,0,0,True,44,True,0,,,2020-08-04 22:38:55,2020
38,8,True,2020-08-04 22:33:17+00:00,46,False,active,10,0,1,True,46,True,0,,,2020-08-04 22:38:55,2020
39,17,True,2020-08-04 22:33:46+00:00,47,True,active,2,0,0,True,47,True,0,,,2020-08-04 22:38:55,2020
40,4,True,2020-08-04 21:52:05+00:00,48,False,active,15,0,0,True,48,True,0,,,2020-08-04 22:38:55,2020
41,11,True,2020-08-04 21:07:36+00:00,49,False,active,6,0,1,True,49,True,0,,,2020-08-04 22:38:55,2020
42,8,True,2020-08-04 22:37:06+00:00,50,True,active,5,0,2,True,50,True,0,,,2020-08-04 22:38:55,2020
43,5,True,2020-08-04 22:34:46+00:00,51,False,active,9,0,1,True,51,True,0,,,2020-08-04 22:38:55,2020
44,16,True,2020-08-04 22:30:23+00:00,52,True,active,6,0,1,True,52,True,0,,,2020-08-04 22:38:55,2020
45,15,True,2020-08-04 22:08:24+00:00,53,False,active,4,0,0,True,53,True,0,,,2020-08-04 22:38:55,2020
46,10,True,2020-08-04 22:05:06+00:00,54,False,active,4,0,1,True,54,True,0,,,2020-08-04 22:38:55,2020
47,9,True,2020-08-04 22:33:35+00:00,55,False,active,6,0,0,True,55,True,0,,,2020-08-04 22:38:55,2020
48,7,True,2020-08-04 20:58:14+00:00,56,True,active,11,0,0,True,56,True,0,,,2020-08-04 22:38:55,2020
49,1,True,2020-08-04 22:37:50+00:00,57,True,active,12,0,1,True,57,True,0,,,2020-08-04 22:38:55,2020
