,is_returning,last_reported,num_docks_disabled,eightd_has_available_keys,num_docks_available,station_status,num_bikes_available,num_bikes_disabled,legacy_id,is_renting,num_ebikes_available,is_installed,station_id,timestamp_of_data_read_request,year_station_last_reported
0,True,2020-08-04 23:14:59+00:00,0,True,2,active,13,0,3,True,0,True,3,2020-08-04 23:19:50,2020
1,True,2020-08-04 22:50:52+00:00,0,False,9,active,9,1,4,True,0,True,4,2020-08-04 23:19:50,2020
2,True,2020-08-04 23:01:49+00:00,0,False,7,active,8,0,5,True,0,True,5,2020-08-04 23:19:50,2020
3,True,2020-08-04 22:53:04+00:00,0,False,10,active,4,1,6,True,0,True,6,2020-08-04 23:19:50,2020
4,True,2020-08-04 21:01:26+00:00,0,False,8,active,6,1,7,True,0,True,7,2020-08-04 23:19:50,2020
5,True,2020-08-04 23:18:04+00:00,0,False,11,active,8,0,8,True,0,True,8,2020-08-04 23:19:50,2020
6,True,2020-08-04 23:19:06+00:00,0,False,5,active,10,0,9,True,0,True,9,2020-08-04 23:19:50,2020
7,True,2020-08-04 23:13:21+00:00,0,False,5,active,5,1,10,True,0,True,10,2020-08-04 23:19:50,2020
8,True,2020-08-04 22:53:53+00:00,0,False,15,active,0,0,11,True,0,True,11,2020-08-04 23:19:50,2020
9,True,2020-08-04 23:13:28+00:00,0,True,9,active,9,0,12,True,0,True,12,2020-08-04 23:19:50,2020
10,True,2020-08-04 22:44:29+00:00,0,False,19,active,0,0,13,True,0,True,13,2020-08-04 23:19:50,2020
11,True,2020-08-04 23:17:27+00:00,0,False,25,active,0,0,14,True,0,True,14,2020-08-04 23:19:50,2020
12,True,2020-08-04 22:31:48+00:00,0,False,3,active,12,0,15,True,0,True,15,2020-08-04 23:19:50,2020
13,True,2020-08-04 23:12:52+00:00,0,True,10,active,9,0,16,True,0,True,16,2020-08-04 23:19:50,2020
14,True,2020-08-04 22:45:07+00:00,0,False,8,active,5,2,17,True,0,True,17,2020-08-04 23:19:50,2020
15,True,2020-08-04 23:07:28+00:00,0,False,3,active,12,0,19,True,0,True,19,2020-08-04 23:19:50,2020
16,True,2020-08-04 23:05:06+00:00,0,True,10,active,12,1,20,True,0,True,20,2020-08-04 23:19:50,2020
17,True,2020-08-04 23:14:42+00:00,0,True,12,active,6,0,21,True,0,True,21,2020-08-04 23:19:50,2020
18,True,2020-08-04 22:40:07+00:00,0,True,42,active,4,1,22,True,0,True,22,2020-08-04 23:19:50,2020
19,True,2020-08-04 22:00:09+00:00,0,True,19,active,0,2,23,True,0,True,23,2020-08-04 23:19:50,2020
20,True,2020-08-04 22:58:02+00:00,0,False,12,active,6,1,24,True,0,True,24,2020-08-04 23:19:50,2020
21,True,2020-08-04 23:09:01+00:00,0,False,9,active,6,0,25,True,0,True,25,2020-08-04 23:19:50,2020
22,True,2020-08-04 23:03:25+00:00,0,False,4,active,10,1,26,True,0,True,26,2020-08-04 23:19:50,2020
23,True,2020-08-04 23:18:02+00:00,0,False,13,active,10,0,27,True,0,True,27,2020-08-04 23:19:50,2020
24,True,2020-08-04 20:06:14+00:00,0,False,5,active,10,0,29,True,0,True,29,2020-08-04 23:19:50,2020
25,True,2020-08-04 23:15:43+00:00,0,False,4,active,11,0,30,True,0,True,30,2020-08-04 23:19:50,2020
26,True,2020-08-04 22:49:35+00:00,0,True,15,active,4,0,31,True,0,True,31,2020-08-04 23:19:50,2020
