,is_renting,last_reported,station_status,is_installed,station_id,num_bikes_disabled,num_docks_available,eightd_has_available_keys,legacy_id,is_returning,num_docks_disabled,num_bikes_available,num_ebikes_available,timestamp_of_data_read_request,year_station_last_reported
0,True,2020-08-04 23:56:24+00:00,active,True,3,0,8,True,3,True,0,7,0,2020-08-05 00:21:10,2020
1,True,2020-08-04 23:52:24+00:00,active,True,4,1,9,False,4,True,0,9,0,2020-08-05 00:21:10,2020
2,True,2020-08-05 00:16:01+00:00,active,True,5,0,4,False,5,True,0,11,0,2020-08-05 00:21:10,2020
3,True,2020-08-05 00:14:48+00:00,active,True,6,1,11,False,6,True,0,3,0,2020-08-05 00:21:10,2020
4,True,2020-08-04 23:55:11+00:00,active,True,7,1,9,False,7,True,0,5,0,2020-08-05 00:21:10,2020
5,True,2020-08-05 00:19:51+00:00,active,True,8,0,14,False,8,True,0,5,0,2020-08-05 00:21:10,2020
6,True,2020-08-05 00:15:10+00:00,active,True,9,0,9,False,9,True,0,6,0,2020-08-05 00:21:10,2020
7,True,2020-08-05 00:16:42+00:00,active,True,10,0,7,False,10,True,0,4,0,2020-08-05 00:21:10,2020
8,True,2020-08-05 00:19:57+00:00,active,True,11,0,15,False,11,True,0,0,0,2020-08-05 00:21:10,2020
9,True,2020-08-05 00:20:41+00:00,active,True,12,0,15,True,12,True,0,3,0,2020-08-05 00:21:10,2020
10,True,2020-08-05 00:13:57+00:00,active,True,13,0,19,False,13,True,0,0,0,2020-08-05 00:21:10,2020
11,True,2020-08-05 00:13:46+00:00,active,True,14,0,20,False,14,True,0,5,0,2020-08-05 00:21:10,2020
12,True,2020-08-04 23:57:28+00:00,active,True,15,0,8,False,15,True,0,7,0,2020-08-05 00:21:10,2020
13,True,2020-08-04 23:34:22+00:00,active,True,16,0,10,True,16,True,0,9,0,2020-08-05 00:21:10,2020
14,True,2020-08-05 00:07:43+00:00,active,True,17,2,10,False,17,True,0,3,0,2020-08-05 00:21:10,2020
15,True,2020-08-05 00:05:32+00:00,active,True,19,0,2,False,19,True,0,13,0,2020-08-05 00:21:10,2020
16,True,2020-08-04 23:05:06+00:00,active,True,20,1,10,True,20,True,0,12,0,2020-08-05 00:21:10,2020
17,True,2020-08-05 00:13:46+00:00,active,True,21,1,12,True,21,True,0,5,0,2020-08-05 00:21:10,2020
18,True,2020-08-05 00:06:41+00:00,active,True,22,1,43,True,22,True,0,3,0,2020-08-05 00:21:10,2020
19,True,2020-08-05 00:10:53+00:00,active,True,23,2,19,True,23,True,0,0,0,2020-08-05 00:21:10,2020
20,True,2020-08-05 00:13:09+00:00,active,True,24,1,11,False,24,True,0,7,0,2020-08-05 00:21:10,2020
21,True,2020-08-05 00:13:35+00:00,active,True,25,0,7,False,25,True,0,8,0,2020-08-05 00:21:10,2020
22,True,2020-08-04 23:54:04+00:00,active,True,26,1,4,False,26,True,0,10,0,2020-08-05 00:21:10,2020
23,True,2020-08-05 00:00:15+00:00,active,True,27,0,9,False,27,True,0,14,0,2020-08-05 00:21:10,2020
24,True,2020-08-04 20:06:14+00:00,active,True,29,0,5,False,29,True,0,10,0,2020-08-05 00:21:10,2020
25,True,2020-08-05 00:01:48+00:00,active,True,30,0,1,False,30,True,0,14,0,2020-08-05 00:21:10,2020
26,True,2020-08-04 22:49:35+00:00,active,True,31,0,15,True,31,True,0,4,0,2020-08-05 00:21:10,2020
27,True,2020-08-05 00:21:02+00:00,active,True,32,0,4,False,32,True,0,11,0,2020-08-05 00:21:10,2020
28,True,2020-08-05 00:10:41+00:00,active,True,33,0,26,False,33,True,0,1,0,2020-08-05 00:21:10,2020
29,True,2020-08-04 23:53:16+00:00,active,True,35,0,20,False,35,True,0,3,0,2020-08-05 00:21:10,2020
30,True,2020-08-04 23:59:31+00:00,active,True,36,0,18,True,36,True,0,15,0,2020-08-05 00:21:10,2020
31,True,2020-08-04 23:31:55+00:00,active,True,37,0,4,True,37,True,0,11,0,2020-08-05 00:21:10,2020
32,True,2020-08-05 00:19:50+00:00,active,True,39,3,16,False,39,True,0,4,0,2020-08-05 00:21:10,2020
33,True,2020-08-05 00:12:20+00:00,active,True,40,3,2,False,40,True,0,14,0,2020-08-05 00:21:10,2020
34,True,2020-08-05 00:14:34+00:00,active,True,41,3,13,True,41,True,1,10,0,2020-08-05 00:21:10,2020
35,True,2020-08-05 00:06:19+00:00,active,True,42,1,21,False,42,True,0,1,0,2020-08-05 00:21:10,2020
36,True,2020-08-05 00:08:40+00:00,active,True,43,0,6,True,43,True,0,9,0,2020-08-05 00:21:10,2020
37,True,2020-08-05 00:14:44+00:00,active,True,44,0,7,False,44,True,0,16,0,2020-08-05 00:21:10,2020
38,True,2020-08-05 00:17:45+00:00,active,True,46,2,2,False,46,True,0,15,0,2020-08-05 00:21:10,2020
39,True,2020-08-05 00:19:20+00:00,active,True,47,0,10,True,47,True,0,9,0,2020-08-05 00:21:10,2020
40,True,2020-08-04 22:54:45+00:00,active,True,48,0,15,False,48,True,0,4,0,2020-08-05 00:21:10,2020
41,True,2020-08-04 23:25:20+00:00,active,True,49,1,6,False,49,True,0,11,0,2020-08-05 00:21:10,2020
42,True,2020-08-04 23:34:49+00:00,active,True,50,1,9,True,50,True,0,5,0,2020-08-05 00:21:10,2020
43,True,2020-08-05 00:11:05+00:00,active,True,51,1,10,False,51,True,0,4,0,2020-08-05 00:21:10,2020
44,True,2020-08-05 00:14:58+00:00,active,True,52,1,13,True,52,True,0,9,0,2020-08-05 00:21:10,2020
45,True,2020-08-05 00:20:59+00:00,active,True,53,0,11,False,53,True,0,8,0,2020-08-05 00:21:10,2020
46,True,2020-08-05 00:17:44+00:00,active,True,54,1,2,False,54,True,0,12,0,2020-08-05 00:21:10,2020
47,True,2020-08-05 00:12:55+00:00,active,True,55,1,4,False,55,True,0,10,0,2020-08-05 00:21:10,2020
48,True,2020-08-05 00:01:14+00:00,active,True,56,0,11,True,56,True,0,7,0,2020-08-05 00:21:10,2020
49,True,2020-08-04 23:43:43+00:00,active,True,57,1,11,True,57,True,0,2,0,2020-08-05 00:21:10,2020
50,True,2020-08-05 00:19:15+00:00,active,True,58,0,15,True,58,True,0,4,0,2020-08-05 00:21:10,2020
51,True,2020-08-04 22:28:35+00:00,active,True,59,1,13,True,59,True,0,5,0,2020-08-05 00:21:10,2020
52,True,2020-08-05 00:04:13+00:00,active,True,60,1,10,False,60,True,0,8,0,2020-08-05 00:21:10,2020
53,True,2020-08-04 23:59:21+00:00,active,True,61,0,12,False,61,True,0,7,0,2020-08-05 00:21:10,2020
54,True,2020-08-04 23:07:50+00:00,active,True,63,0,10,False,63,True,0,5,0,2020-08-05 00:21:10,2020
55,True,2020-08-04 23:41:56+00:00,active,True,64,0,10,False,64,True,0,9,0,2020-08-05 00:21:10,2020
56,True,2020-08-04 16:26:16+00:00,active,True,65,1,16,False,65,True,0,6,0,2020-08-05 00:21:10,2020
57,True,2020-08-05 00:19:29+00:00,active,True,66,0,8,False,66,True,0,7,0,2020-08-05 00:21:10,2020
58,True,2020-08-05 00:18:34+00:00,active,True,67,0,19,True,67,True,0,8,0,2020-08-05 00:21:10,2020
59,True,2020-08-05 00:17:35+00:00,active,True,68,0,12,True,68,True,0,7,0,2020-08-05 00:21:10,2020
60,True,2020-08-04 23:39:48+00:00,active,True,69,0,9,True,69,True,0,10,0,2020-08-05 00:21:10,2020
61,True,2020-08-04 23:33:26+00:00,active,True,70,0,3,False,70,True,0,20,0,2020-08-05 00:21:10,2020
62,True,2020-08-05 00:21:05+00:00,active,True,71,0,3,False,71,True,0,20,0,2020-08-05 00:21:10,2020
63,True,2020-08-04 23:28:37+00:00,active,True,72,0,19,False,72,True,0,4,0,2020-08-05 00:21:10,2020
64,True,2020-08-05 00:11:10+00:00,active,True,73,0,8,False,73,True,0,7,0,2020-08-05 00:21:10,2020
65,True,2020-08-05 00:05:43+00:00,active,True,74,1,3,True,74,True,0,15,0,2020-08-05 00:21:10,2020
66,True,2020-08-05 00:03:26+00:00,active,True,75,0,9,False,75,True,0,6,0,2020-08-05 00:21:10,2020
67,True,2020-08-05 00:10:59+00:00,active,True,76,0,6,False,76,True,0,11,0,2020-08-05 00:21:10,2020
68,True,2020-08-04 23:38:35+00:00,active,True,77,0,7,False,77,True,0,8,0,2020-08-05 00:21:10,2020
69,True,2020-08-05 00:03:18+00:00,active,True,78,0,3,False,78,True,0,16,0,2020-08-05 00:21:10,2020
70,True,2020-08-05 00:11:26+00:00,active,True,79,0,7,False,79,True,0,12,0,2020-08-05 00:21:10,2020
71,True,2020-08-05 00:20:54+00:00,active,True,80,0,34,False,80,True,0,1,0,2020-08-05 00:21:10,2020
72,True,2020-08-05 00:17:56+00:00,active,True,81,1,7,False,81,True,0,11,0,2020-08-05 00:21:10,2020
73,True,2020-08-04 23:32:57+00:00,active,True,82,1,1,False,82,True,0,13,0,2020-08-05 00:21:10,2020
74,True,2020-08-05 00:08:33+00:00,active,True,84,0,6,False,84,True,0,9,0,2020-08-05 00:21:10,2020
75,True,2020-08-04 23:31:04+00:00,active,True,85,2,14,False,85,True,0,3,0,2020-08-05 00:21:10,2020
76,True,2020-08-04 23:44:50+00:00,active,True,86,0,12,False,86,True,0,7,0,2020-08-05 00:21:10,2020
77,True,2020-08-05 00:14:22+00:00,active,True,87,0,6,False,87,True,0,9,0,2020-08-05 00:21:10,2020
78,True,2020-08-04 23:26:50+00:00,active,True,89,0,7,False,89,True,0,12,0,2020-08-05 00:21:10,2020
79,True,2020-08-05 00:15:23+00:00,active,True,90,2,4,False,90,True,0,13,0,2020-08-05 00:21:10,2020
80,True,2020-08-05 00:17:26+00:00,active,True,91,0,14,False,91,True,0,5,0,2020-08-05 00:21:10,2020
81,True,2020-08-04 17:12:55+00:00,active,True,92,0,4,False,92,True,0,15,0,2020-08-05 00:21:10,2020
82,True,2020-08-04 21:18:51+00:00,active,True,93,1,3,False,93,True,0,11,0,2020-08-05 00:21:10,2020
83,True,2020-08-04 23:07:50+00:00,active,True,94,2,4,False,94,True,0,5,0,2020-08-05 00:21:10,2020
84,True,2020-08-04 23:27:50+00:00,active,True,95,0,2,False,95,True,0,13,0,2020-08-05 00:21:10,2020
85,True,2020-08-04 23:58:33+00:00,active,True,96,0,6,False,96,True,0,13,0,2020-08-05 00:21:10,2020
86,True,2020-08-05 00:03:30+00:00,active,True,97,0,10,False,97,True,0,9,0,2020-08-05 00:21:10,2020
87,True,2020-08-04 23:24:11+00:00,active,True,98,0,8,False,98,True,0,15,0,2020-08-05 00:21:10,2020
88,True,2020-08-05 00:18:25+00:00,active,True,99,0,11,False,99,True,0,4,0,2020-08-05 00:21:10,2020
89,True,2020-08-04 22:29:36+00:00,active,True,100,1,4,True,100,True,0,20,0,2020-08-05 00:21:10,2020
90,True,2020-08-04 23:15:23+00:00,active,True,101,0,1,False,101,True,0,14,0,2020-08-05 00:21:10,2020
91,True,2020-08-05 00:12:45+00:00,active,True,102,1,3,False,102,True,0,11,0,2020-08-05 00:21:10,2020
92,True,2020-08-05 00:19:22+00:00,active,True,103,1,7,False,103,True,0,7,0,2020-08-05 00:21:10,2020
93,True,2020-08-05 00:16:59+00:00,active,True,104,0,12,False,104,True,0,7,0,2020-08-05 00:21:10,2020
94,True,2020-08-05 00:19:13+00:00,active,True,105,1,13,False,105,True,0,5,0,2020-08-05 00:21:10,2020
95,True,2020-08-04 23:02:22+00:00,active,True,106,0,14,False,106,True,0,1,0,2020-08-05 00:21:10,2020
96,True,2020-08-04 23:11:47+00:00,active,True,107,0,19,False,107,True,0,0,0,2020-08-05 00:21:10,2020
97,True,2020-08-05 00:06:35+00:00,active,True,108,1,9,False,108,True,0,7,0,2020-08-05 00:21:10,2020
98,True,2020-08-04 22:40:08+00:00,active,True,109,2,23,False,109,True,0,10,0,2020-08-05 00:21:10,2020
99,True,2020-08-04 22:53:23+00:00,active,True,110,0,7,False,110,True,0,8,0,2020-08-05 00:21:10,2020
