,num_bikes_available,is_installed,legacy_id,station_status,eightd_has_available_keys,num_docks_available,num_ebikes_available,is_renting,is_returning,last_reported,station_id,num_docks_disabled,num_bikes_disabled,timestamp_of_data_read_request,year_station_last_reported
0,7,True,3,active,True,8,0,True,True,2020-08-04 23:56:24+00:00,3,0,0,2020-08-05 00:31:25,2020
1,11,True,4,active,False,7,0,True,True,2020-08-05 00:29:42+00:00,4,0,1,2020-08-05 00:31:25,2020
2,11,True,5,active,False,4,0,True,True,2020-08-05 00:16:01+00:00,5,0,0,2020-08-05 00:31:25,2020
3,3,True,6,active,False,11,0,True,True,2020-08-05 00:25:09+00:00,6,0,1,2020-08-05 00:31:25,2020
4,5,True,7,active,False,9,0,True,True,2020-08-04 23:55:11+00:00,7,0,1,2020-08-05 00:31:25,2020
5,5,True,8,active,False,14,0,True,True,2020-08-05 00:19:51+00:00,8,0,0,2020-08-05 00:31:25,2020
6,6,True,9,active,False,9,0,True,True,2020-08-05 00:15:10+00:00,9,0,0,2020-08-05 00:31:25,2020
7,4,True,10,active,False,7,0,True,True,2020-08-05 00:16:42+00:00,10,0,0,2020-08-05 00:31:25,2020
8,0,True,11,active,False,15,0,True,True,2020-08-05 00:19:57+00:00,11,0,0,2020-08-05 00:31:25,2020
9,5,True,12,active,True,13,0,True,True,2020-08-05 00:26:18+00:00,12,0,0,2020-08-05 00:31:25,2020
10,0,True,13,active,False,19,0,True,True,2020-08-05 00:13:57+00:00,13,0,0,2020-08-05 00:31:25,2020
11,2,True,14,active,False,23,0,True,True,2020-08-05 00:28:07+00:00,14,0,0,2020-08-05 00:31:25,2020
12,7,True,15,active,False,8,0,True,True,2020-08-04 23:57:28+00:00,15,0,0,2020-08-05 00:31:25,2020
13,9,True,16,active,True,10,0,True,True,2020-08-04 23:34:22+00:00,16,0,0,2020-08-05 00:31:25,2020
14,3,True,17,active,False,10,0,True,True,2020-08-05 00:07:43+00:00,17,0,2,2020-08-05 00:31:25,2020
15,13,True,19,active,False,2,0,True,True,2020-08-05 00:05:32+00:00,19,0,0,2020-08-05 00:31:25,2020
16,12,True,20,active,True,10,0,True,True,2020-08-04 23:05:06+00:00,20,0,1,2020-08-05 00:31:25,2020
17,5,True,21,active,True,12,0,True,True,2020-08-05 00:13:46+00:00,21,0,1,2020-08-05 00:31:25,2020
18,3,True,22,active,True,43,0,True,True,2020-08-05 00:06:41+00:00,22,0,1,2020-08-05 00:31:25,2020
19,0,True,23,active,True,19,0,True,True,2020-08-05 00:10:53+00:00,23,0,2,2020-08-05 00:31:25,2020
20,7,True,24,active,False,11,0,True,True,2020-08-05 00:13:09+00:00,24,0,1,2020-08-05 00:31:25,2020
21,8,True,25,active,False,7,0,True,True,2020-08-05 00:13:35+00:00,25,0,0,2020-08-05 00:31:25,2020
22,10,True,26,active,False,4,0,True,True,2020-08-04 23:54:04+00:00,26,0,1,2020-08-05 00:31:25,2020
23,14,True,27,active,False,9,0,True,True,2020-08-05 00:00:15+00:00,27,0,0,2020-08-05 00:31:25,2020
24,10,True,29,active,False,5,0,True,True,2020-08-04 20:06:14+00:00,29,0,0,2020-08-05 00:31:25,2020
25,15,True,30,active,False,0,0,True,True,2020-08-05 00:30:24+00:00,30,0,0,2020-08-05 00:31:25,2020
26,4,True,31,active,True,15,0,True,True,2020-08-04 22:49:35+00:00,31,0,0,2020-08-05 00:31:25,2020
27,10,True,32,active,False,5,0,True,True,2020-08-05 00:25:30+00:00,32,0,0,2020-08-05 00:31:25,2020
28,1,True,33,active,False,26,0,True,True,2020-08-05 00:10:41+00:00,33,0,0,2020-08-05 00:31:25,2020
29,3,True,35,active,False,20,0,True,True,2020-08-04 23:53:16+00:00,35,0,0,2020-08-05 00:31:25,2020
30,15,True,36,active,True,18,0,True,True,2020-08-04 23:59:31+00:00,36,0,0,2020-08-05 00:31:25,2020
31,11,True,37,active,True,4,0,True,True,2020-08-04 23:31:55+00:00,37,0,0,2020-08-05 00:31:25,2020
32,5,True,39,active,False,16,0,True,True,2020-08-05 00:21:50+00:00,39,0,2,2020-08-05 00:31:25,2020
33,14,True,40,active,False,2,0,True,True,2020-08-05 00:12:20+00:00,40,0,3,2020-08-05 00:31:25,2020
34,10,True,41,active,True,13,0,True,True,2020-08-05 00:31:13+00:00,41,1,3,2020-08-05 00:31:25,2020
35,1,True,42,active,False,21,0,True,True,2020-08-05 00:06:19+00:00,42,0,1,2020-08-05 00:31:25,2020
36,8,True,43,active,True,7,0,True,True,2020-08-05 00:30:56+00:00,43,0,0,2020-08-05 00:31:25,2020
37,16,True,44,active,False,7,0,True,True,2020-08-05 00:14:44+00:00,44,0,0,2020-08-05 00:31:25,2020
38,14,True,46,active,False,3,0,True,True,2020-08-05 00:30:01+00:00,46,0,2,2020-08-05 00:31:25,2020
39,9,True,47,active,True,10,0,True,True,2020-08-05 00:19:20+00:00,47,0,0,2020-08-05 00:31:25,2020
40,4,True,48,active,False,15,0,True,True,2020-08-04 22:54:45+00:00,48,0,0,2020-08-05 00:31:25,2020
41,11,True,49,active,False,6,0,True,True,2020-08-05 00:28:43+00:00,49,0,1,2020-08-05 00:31:25,2020
42,5,True,50,active,True,9,0,True,True,2020-08-04 23:34:49+00:00,50,0,1,2020-08-05 00:31:25,2020
43,4,True,51,active,False,10,0,True,True,2020-08-05 00:11:05+00:00,51,0,1,2020-08-05 00:31:25,2020
44,9,True,52,active,True,13,0,True,True,2020-08-05 00:14:58+00:00,52,0,1,2020-08-05 00:31:25,2020
45,9,True,53,active,False,10,0,True,True,2020-08-05 00:30:43+00:00,53,0,0,2020-08-05 00:31:25,2020
46,12,True,54,active,False,2,0,True,True,2020-08-05 00:28:41+00:00,54,0,1,2020-08-05 00:31:25,2020
47,10,True,55,active,False,4,0,True,True,2020-08-05 00:12:55+00:00,55,0,1,2020-08-05 00:31:25,2020
