,num_bikes_available,is_installed,legacy_id,station_status,eightd_has_available_keys,num_docks_available,num_ebikes_available,is_renting,is_returning,last_reported,station_id,num_docks_disabled,num_bikes_disabled,valet,eightd_active_station_services,timestamp_of_data_read_request,year_station_last_reported
0,12,True,3,active,True,3,0,True,True,2020-08-05 21:10:07+00:00,3,0,0,,,2020-08-05 21:18:30,2020
1,3,True,4,active,False,16,0,True,True,2020-08-05 21:18:27+00:00,4,0,0,,,2020-08-05 21:18:30,2020
2,12,True,5,active,False,3,0,True,True,2020-08-05 21:13:49+00:00,5,0,0,,,2020-08-05 21:18:30,2020
3,1,True,6,active,False,13,0,True,True,2020-08-05 21:15:57+00:00,6,0,1,,,2020-08-05 21:18:30,2020
4,10,True,7,active,False,5,0,True,True,2020-08-05 21:17:59+00:00,7,0,0,,,2020-08-05 21:18:30,2020
5,3,True,8,active,False,16,0,True,True,2020-08-05 21:17:29+00:00,8,0,0,,,2020-08-05 21:18:30,2020
6,11,True,9,active,False,4,0,True,True,2020-08-05 21:08:05+00:00,9,0,0,,,2020-08-05 21:18:30,2020
7,1,True,10,active,False,10,0,True,True,2020-08-05 21:11:40+00:00,10,0,0,,,2020-08-05 21:18:30,2020
8,9,True,11,active,False,6,0,True,True,2020-08-05 21:18:16+00:00,11,0,0,"{'off_dock_count': 14, 'dock_blocked_count': 0, 'active': True, 'off_dock_capacity': 50, 'region': 'BOS', 'valet_revision': 79, 'station_id': 'f8346ad7-0de8-11e7-991c-3863bb43a7d0'}",[{'id': 'f8346ad7-0de8-11e7-991c-3863bb43a7d0'}],2020-08-05 21:18:30,2020
9,6,True,12,active,True,12,0,True,True,2020-08-05 21:09:38+00:00,12,0,0,,,2020-08-05 21:18:30,2020
10,4,True,13,active,False,15,0,True,True,2020-08-05 21:17:55+00:00,13,0,0,,,2020-08-05 21:18:30,2020
11,8,True,14,active,False,16,0,True,True,2020-08-05 21:10:51+00:00,14,0,1,,,2020-08-05 21:18:30,2020
12,7,True,15,active,False,8,0,True,True,2020-08-05 21:04:24+00:00,15,0,0,,,2020-08-05 21:18:30,2020
13,6,True,16,active,True,13,0,True,True,2020-08-05 21:12:38+00:00,16,0,0,,,2020-08-05 21:18:30,2020
14,0,True,17,active,False,15,0,True,True,2020-08-05 21:08:44+00:00,17,0,0,,,2020-08-05 21:18:30,2020
15,1,True,19,active,False,14,0,True,True,2020-08-05 21:13:31+00:00,19,0,0,,,2020-08-05 21:18:30,2020
16,17,True,20,active,True,6,0,True,True,2020-08-05 21:16:07+00:00,20,0,0,,,2020-08-05 21:18:30,2020
17,9,True,21,active,True,8,0,True,True,2020-08-05 21:17:10+00:00,21,0,1,,,2020-08-05 21:18:30,2020
18,11,True,22,active,True,34,0,True,True,2020-08-05 21:17:16+00:00,22,0,2,,,2020-08-05 21:18:30,2020
19,10,True,23,active,True,11,0,True,True,2020-08-05 21:01:15+00:00,23,0,0,,,2020-08-05 21:18:30,2020
20,4,True,24,active,False,15,0,True,True,2020-08-05 21:16:03+00:00,24,0,0,,,2020-08-05 21:18:30,2020
21,2,True,25,active,False,13,0,True,True,2020-08-05 21:18:18+00:00,25,0,0,,,2020-08-05 21:18:30,2020
22,1,True,26,active,False,13,0,True,True,2020-08-05 21:16:52+00:00,26,0,1,,,2020-08-05 21:18:30,2020
23,13,True,27,active,False,10,0,True,True,2020-08-05 21:14:38+00:00,27,0,0,,,2020-08-05 21:18:30,2020
24,13,True,29,active,False,1,0,True,True,2020-08-05 21:02:42+00:00,29,0,1,,,2020-08-05 21:18:30,2020
25,4,True,30,active,False,11,0,True,True,2020-08-05 21:11:32+00:00,30,0,0,,,2020-08-05 21:18:30,2020
26,2,True,31,active,True,17,0,True,True,2020-08-05 21:01:16+00:00,31,0,0,,,2020-08-05 21:18:30,2020
27,2,True,32,active,False,13,0,True,True,2020-08-05 21:12:30+00:00,32,0,0,,,2020-08-05 21:18:30,2020
28,15,True,33,active,False,12,0,True,True,2020-08-05 20:32:35+00:00,33,0,0,,,2020-08-05 21:18:30,2020
29,9,True,35,active,False,13,0,True,True,2020-08-05 21:14:07+00:00,35,0,1,,,2020-08-05 21:18:30,2020
30,16,True,36,active,True,17,0,True,True,2020-08-05 20:56:19+00:00,36,0,0,,,2020-08-05 21:18:30,2020
31,9,True,37,active,True,6,0,True,True,2020-08-05 21:09:18+00:00,37,0,0,,,2020-08-05 21:18:30,2020
32,9,True,39,active,False,13,0,True,True,2020-08-05 21:15:42+00:00,39,0,1,,,2020-08-05 21:18:30,2020
33,0,True,40,active,False,18,0,True,True,2020-08-05 21:13:27+00:00,40,0,1,,,2020-08-05 21:18:30,2020
34,5,True,41,active,True,22,0,True,True,2020-08-05 21:14:17+00:00,41,0,0,,,2020-08-05 21:18:30,2020
35,15,True,42,active,False,6,0,True,True,2020-08-05 21:15:35+00:00,42,0,2,,,2020-08-05 21:18:30,2020
36,5,True,43,active,True,10,0,True,True,2020-08-05 20:45:47+00:00,43,0,0,,,2020-08-05 21:18:30,2020
37,12,True,44,active,False,11,0,True,True,2020-08-05 21:12:42+00:00,44,0,0,,,2020-08-05 21:18:30,2020
38,8,True,46,active,False,10,0,True,True,2020-08-05 21:16:18+00:00,46,0,1,,,2020-08-05 21:18:30,2020
39,5,True,47,active,True,13,0,True,True,2020-08-05 21:17:51+00:00,47,0,1,,,2020-08-05 21:18:30,2020
40,6,True,48,active,False,13,0,True,True,2020-08-05 21:14:29+00:00,48,0,0,,,2020-08-05 21:18:30,2020
41,15,True,49,active,False,3,0,True,True,2020-08-05 21:15:41+00:00,49,0,0,,,2020-08-05 21:18:30,2020
42,14,True,50,active,True,0,0,True,True,2020-08-05 20:18:43+00:00,50,0,1,,,2020-08-05 21:18:30,2020
43,4,True,51,active,False,11,0,True,True,2020-08-05 21:17:43+00:00,51,0,0,,,2020-08-05 21:18:30,2020
44,15,True,52,active,True,8,0,True,True,2020-08-05 21:14:51+00:00,52,0,0,,,2020-08-05 21:18:30,2020
45,7,True,53,active,False,12,0,True,True,2020-08-05 21:13:06+00:00,53,0,0,,,2020-08-05 21:18:30,2020
46,13,True,54,active,False,2,0,True,True,2020-08-05 20:53:08+00:00,54,0,0,,,2020-08-05 21:18:30,2020
47,12,True,55,active,False,1,0,True,True,2020-08-05 21:08:26+00:00,55,0,2,,,2020-08-05 21:18:30,2020
48,2,True,56,active,True,15,0,True,True,2020-08-05 21:16:17+00:00,56,0,1,,,2020-08-05 21:18:30,2020
49,4,True,57,active,True,9,0,True,True,2020-08-05 21:11:12+00:00,57,0,1,,,2020-08-05 21:18:30,2020
50,7,True,58,active,True,12,0,True,True,2020-08-05 21:13:23+00:00,58,0,0,,,2020-08-05 21:18:30,2020
51,6,True,59,active,True,13,0,True,True,2020-08-05 21:06:44+00:00,59,0,0,,,2020-08-05 21:18:30,2020
52,13,True,60,active,False,6,0,True,True,2020-08-05 21:18:18+00:00,60,0,0,"{'off_dock_count': 9, 'dock_blocked_count': 0, 'active': True, 'off_dock_capacity': 40, 'region': 'BOS', 'valet_revision': 67, 'station_id': 'f8348a68-0de8-11e7-991c-3863bb43a7d0'}",[{'id': 'f8348a68-0de8-11e7-991c-3863bb43a7d0'}],2020-08-05 21:18:30,2020
53,13,True,61,active,False,5,0,True,True,2020-08-05 21:17:25+00:00,61,0,1,,,2020-08-05 21:18:30,2020
54,6,True,63,active,False,9,0,True,True,2020-08-05 20:51:34+00:00,63,0,0,,,2020-08-05 21:18:30,2020
55,7,True,64,active,False,12,0,True,True,2020-08-05 21:17:03+00:00,64,0,0,,,2020-08-05 21:18:30,2020
56,3,True,65,active,False,19,0,True,True,2020-08-05 20:37:00+00:00,65,0,1,,,2020-08-05 21:18:30,2020
57,2,True,66,active,False,13,0,True,True,2020-08-05 21:08:30+00:00,66,0,0,,,2020-08-05 21:18:30,2020
58,8,True,67,active,True,19,0,True,True,2020-08-05 21:04:11+00:00,67,0,0,,,2020-08-05 21:18:30,2020
59,12,True,68,active,True,7,0,True,True,2020-08-05 21:12:22+00:00,68,0,0,,,2020-08-05 21:18:30,2020
60,4,True,69,active,True,15,0,True,True,2020-08-05 21:17:28+00:00,69,0,0,,,2020-08-05 21:18:30,2020
61,15,True,70,active,False,7,0,True,True,2020-08-05 21:11:52+00:00,70,0,1,,,2020-08-05 21:18:30,2020
62,13,True,71,active,False,10,0,True,True,2020-08-05 21:16:24+00:00,71,0,0,,,2020-08-05 21:18:30,2020
63,9,True,72,active,False,14,0,True,True,2020-08-05 21:18:20+00:00,72,0,0,,,2020-08-05 21:18:30,2020
64,5,True,73,active,False,10,0,True,True,2020-08-05 21:12:17+00:00,73,0,0,,,2020-08-05 21:18:30,2020
65,14,True,74,active,True,5,0,True,True,2020-08-05 21:18:08+00:00,74,0,0,,,2020-08-05 21:18:30,2020
66,0,True,75,active,False,15,0,True,True,2020-08-05 21:11:04+00:00,75,0,0,,,2020-08-05 21:18:30,2020
67,8,True,76,active,False,9,0,True,True,2020-08-05 21:18:14+00:00,76,0,0,,,2020-08-05 21:18:30,2020
68,7,True,77,active,False,8,0,True,True,2020-08-05 20:48:43+00:00,77,0,0,,,2020-08-05 21:18:30,2020
69,15,True,78,active,False,4,0,True,True,2020-08-05 21:17:13+00:00,78,0,0,,,2020-08-05 21:18:30,2020
70,2,True,79,active,False,17,0,True,True,2020-08-05 21:14:06+00:00,79,0,0,,,2020-08-05 21:18:30,2020
71,29,True,80,active,False,6,0,True,True,2020-08-05 21:17:53+00:00,80,0,0,,,2020-08-05 21:18:30,2020
72,9,True,81,active,False,10,0,True,True,2020-08-05 21:06:56+00:00,81,0,0,,,2020-08-05 21:18:30,2020
73,0,True,82,active,False,14,0,True,True,2020-08-05 21:10:36+00:00,82,0,1,,,2020-08-05 21:18:30,2020
74,13,True,84,active,False,1,0,True,True,2020-08-05 20:57:34+00:00,84,0,1,,,2020-08-05 21:18:30,2020
75,10,True,85,active,False,8,0,True,True,2020-08-05 21:06:05+00:00,85,0,1,,,2020-08-05 21:18:30,2020
76,10,True,86,active,False,9,0,True,True,2020-08-05 21:13:41+00:00,86,0,0,,,2020-08-05 21:18:30,2020
