,is_installed,legacy_id,station_id,num_bikes_disabled,eightd_has_available_keys,is_returning,station_status,num_docks_disabled,num_docks_available,num_ebikes_available,last_reported,num_bikes_available,is_renting,valet,eightd_active_station_services,timestamp_of_data_read_request,year_station_last_reported
0,True,3,3,0,True,True,active,0,6,0,2020-08-05 22:49:58+00:00,9,True,,,2020-08-05 22:50:50,2020
1,True,4,4,0,False,True,active,0,10,0,2020-08-05 22:41:55+00:00,9,True,,,2020-08-05 22:50:50,2020
2,True,5,5,0,False,True,active,0,8,0,2020-08-05 22:34:50+00:00,7,True,,,2020-08-05 22:50:50,2020
3,True,6,6,1,False,True,active,0,11,0,2020-08-05 22:50:17+00:00,3,True,,,2020-08-05 22:50:50,2020
4,True,7,7,0,False,True,active,0,3,0,2020-08-05 22:48:42+00:00,12,True,,,2020-08-05 22:50:50,2020
5,True,8,8,0,False,True,active,0,16,0,2020-08-05 22:47:19+00:00,3,True,,,2020-08-05 22:50:50,2020
6,True,9,9,0,False,True,active,0,6,0,2020-08-05 22:47:56+00:00,9,True,,,2020-08-05 22:50:50,2020
7,True,10,10,0,False,True,active,0,10,0,2020-08-05 22:50:21+00:00,1,True,,,2020-08-05 22:50:50,2020
8,True,11,11,0,False,True,active,0,15,0,2020-08-05 22:37:33+00:00,0,True,"{'off_dock_count': 3, 'valet_revision': 79, 'region': 'BOS', 'off_dock_capacity': 50, 'station_id': 'f8346ad7-0de8-11e7-991c-3863bb43a7d0', 'active': True, 'dock_blocked_count': 0}",[{'id': 'f8346ad7-0de8-11e7-991c-3863bb43a7d0'}],2020-08-05 22:50:50,2020
9,True,12,12,0,True,True,active,0,15,0,2020-08-05 22:40:37+00:00,3,True,,,2020-08-05 22:50:50,2020
10,True,13,13,0,False,True,active,0,18,0,2020-08-05 22:46:10+00:00,1,True,,,2020-08-05 22:50:50,2020
11,True,14,14,0,False,True,active,0,25,0,2020-08-05 22:42:10+00:00,0,True,,,2020-08-05 22:50:50,2020
12,True,15,15,0,False,True,active,0,2,0,2020-08-05 22:44:26+00:00,13,True,,,2020-08-05 22:50:50,2020
13,True,16,16,0,True,True,active,0,16,0,2020-08-05 22:40:44+00:00,3,True,,,2020-08-05 22:50:50,2020
14,True,17,17,0,False,True,active,0,13,0,2020-08-05 22:39:23+00:00,2,True,,,2020-08-05 22:50:50,2020
15,True,19,19,0,False,True,active,0,9,0,2020-08-05 22:47:46+00:00,6,True,,,2020-08-05 22:50:50,2020
16,True,20,20,1,True,True,active,0,4,0,2020-08-05 22:33:27+00:00,18,True,,,2020-08-05 22:50:50,2020
17,True,21,21,1,True,True,active,0,9,0,2020-08-05 22:50:38+00:00,8,True,,,2020-08-05 22:50:50,2020
18,True,22,22,2,True,True,active,0,35,0,2020-08-05 22:47:09+00:00,10,True,,,2020-08-05 22:50:50,2020
19,True,23,23,0,True,True,active,0,7,0,2020-08-05 22:44:50+00:00,14,True,,,2020-08-05 22:50:50,2020
20,True,24,24,0,False,True,active,0,13,0,2020-08-05 22:47:10+00:00,6,True,,,2020-08-05 22:50:50,2020
21,True,25,25,0,False,True,active,0,14,0,2020-08-05 22:22:41+00:00,1,True,,,2020-08-05 22:50:50,2020
22,True,26,26,1,False,True,active,0,12,0,2020-08-05 22:50:37+00:00,2,True,,,2020-08-05 22:50:50,2020
23,True,27,27,1,False,True,active,0,8,0,2020-08-05 22:49:16+00:00,14,True,,,2020-08-05 22:50:50,2020
24,True,29,29,1,False,True,active,0,7,0,2020-08-05 22:17:12+00:00,7,True,,,2020-08-05 22:50:50,2020
25,True,30,30,0,False,True,active,0,10,0,2020-08-05 22:47:45+00:00,5,True,,,2020-08-05 22:50:50,2020
26,True,31,31,0,True,True,active,0,17,0,2020-08-05 21:50:54+00:00,2,True,,,2020-08-05 22:50:50,2020
27,True,32,32,1,False,True,active,0,0,0,2020-08-05 22:49:42+00:00,14,True,,,2020-08-05 22:50:50,2020
28,True,33,33,0,False,True,active,0,10,0,2020-08-05 22:48:28+00:00,17,True,,,2020-08-05 22:50:50,2020
29,True,35,35,0,False,True,active,0,19,0,2020-08-05 22:49:15+00:00,4,True,,,2020-08-05 22:50:50,2020
30,True,36,36,0,True,True,active,0,14,0,2020-08-05 22:43:15+00:00,19,True,,,2020-08-05 22:50:50,2020
31,True,37,37,0,True,True,active,0,1,0,2020-08-05 22:46:27+00:00,14,True,,,2020-08-05 22:50:50,2020
32,True,39,39,0,False,True,active,0,21,0,2020-08-05 22:49:26+00:00,2,True,,,2020-08-05 22:50:50,2020
33,True,40,40,1,False,True,active,0,17,0,2020-08-05 22:43:31+00:00,1,True,,,2020-08-05 22:50:50,2020
34,True,41,41,0,True,True,active,0,21,0,2020-08-05 22:50:35+00:00,6,True,,,2020-08-05 22:50:50,2020
35,True,42,42,2,False,True,active,0,1,0,2020-08-05 22:35:55+00:00,20,True,,,2020-08-05 22:50:50,2020
36,True,43,43,0,True,True,active,0,11,0,2020-08-05 22:15:53+00:00,4,True,,,2020-08-05 22:50:50,2020
37,True,44,44,0,False,True,active,0,10,0,2020-08-05 22:48:20+00:00,13,True,,,2020-08-05 22:50:50,2020
38,True,46,46,1,False,True,active,0,14,0,2020-08-05 22:50:00+00:00,4,True,,,2020-08-05 22:50:50,2020
39,True,47,47,0,True,True,active,0,5,0,2020-08-05 22:50:04+00:00,14,True,,,2020-08-05 22:50:50,2020
40,True,48,48,0,False,True,active,0,19,0,2020-08-05 22:46:07+00:00,0,True,,,2020-08-05 22:50:50,2020
41,True,49,49,0,False,True,active,0,7,0,2020-08-05 22:36:39+00:00,11,True,,,2020-08-05 22:50:50,2020
42,True,50,50,1,True,True,active,0,5,0,2020-08-05 22:43:42+00:00,9,True,,,2020-08-05 22:50:50,2020
43,True,51,51,0,False,True,active,0,12,0,2020-08-05 22:37:18+00:00,3,True,,,2020-08-05 22:50:50,2020
44,True,52,52,0,True,True,active,0,3,0,2020-08-05 22:46:19+00:00,20,True,,,2020-08-05 22:50:50,2020
45,True,53,53,2,False,True,active,0,5,0,2020-08-05 22:48:58+00:00,12,True,,,2020-08-05 22:50:50,2020
46,True,54,54,0,False,True,active,0,8,0,2020-08-05 22:47:58+00:00,7,True,,,2020-08-05 22:50:50,2020
47,True,55,55,1,False,True,active,0,4,0,2020-08-05 22:49:22+00:00,10,True,,,2020-08-05 22:50:50,2020
48,True,56,56,0,True,True,active,0,14,0,2020-08-05 21:56:19+00:00,4,True,,,2020-08-05 22:50:50,2020
49,True,57,57,1,True,True,active,0,13,0,2020-08-05 22:39:03+00:00,0,True,,,2020-08-05 22:50:50,2020
50,True,58,58,0,True,True,active,0,7,0,2020-08-05 22:49:39+00:00,12,True,,,2020-08-05 22:50:50,2020
51,True,59,59,0,True,True,active,0,15,0,2020-08-05 22:24:14+00:00,4,True,,,2020-08-05 22:50:50,2020
52,True,60,60,1,False,True,active,0,9,0,2020-08-05 22:49:35+00:00,9,True,,,2020-08-05 22:50:50,2020
53,True,61,61,1,False,True,active,0,12,0,2020-08-05 22:50:14+00:00,6,True,,,2020-08-05 22:50:50,2020
54,True,63,63,0,False,True,active,0,7,0,2020-08-05 22:36:53+00:00,8,True,,,2020-08-05 22:50:50,2020
55,True,64,64,0,False,True,active,0,11,0,2020-08-05 22:39:55+00:00,8,True,,,2020-08-05 22:50:50,2020
56,True,65,65,1,False,True,active,0,17,0,2020-08-05 22:32:27+00:00,5,True,,,2020-08-05 22:50:50,2020
57,True,66,66,0,False,True,active,0,13,0,2020-08-05 22:47:48+00:00,2,True,,,2020-08-05 22:50:50,2020
