,station_status,is_installed,last_reported,num_docks_disabled,num_bikes_disabled,station_id,eightd_has_available_keys,is_renting,is_returning,legacy_id,num_ebikes_available,num_docks_available,num_bikes_available,eightd_active_station_services,valet,timestamp_of_data_read_request,year_station_last_reported
0,active,True,2020-08-06 02:04:58+00:00,0,0,3,False,True,True,3,0,15,0,,,2020-08-06 03:59:55,2020
1,active,True,2020-08-06 03:39:49+00:00,0,0,4,False,True,True,4,0,5,14,,,2020-08-06 03:59:55,2020
2,active,True,2020-08-06 03:55:46+00:00,0,0,5,False,True,True,5,0,4,11,,,2020-08-06 03:59:55,2020
3,active,True,2020-08-06 03:53:53+00:00,0,2,6,False,True,True,6,0,4,9,,,2020-08-06 03:59:55,2020
4,active,True,2020-08-06 03:00:25+00:00,0,0,7,False,True,True,7,0,13,2,,,2020-08-06 03:59:55,2020
5,active,True,2020-08-06 03:41:24+00:00,0,0,8,False,True,True,8,0,8,11,,,2020-08-06 03:59:55,2020
6,active,True,2020-08-06 02:37:48+00:00,0,0,9,False,True,True,9,0,2,13,,,2020-08-06 03:59:55,2020
7,active,True,2020-08-06 03:10:30+00:00,0,0,10,False,True,True,10,0,7,4,,,2020-08-06 03:59:55,2020
8,active,True,2020-08-06 02:49:15+00:00,0,0,11,False,True,True,11,0,15,0,[{'id': 'f8346ad7-0de8-11e7-991c-3863bb43a7d0'}],"{'off_dock_count': 3, 'station_id': 'f8346ad7-0de8-11e7-991c-3863bb43a7d0', 'dock_blocked_count': 0, 'active': True, 'off_dock_capacity': 50, 'region': 'BOS', 'valet_revision': 79}",2020-08-06 03:59:55,2020
9,active,True,2020-08-06 03:30:27+00:00,0,0,12,True,True,True,12,0,5,13,,,2020-08-06 03:59:55,2020
10,active,True,2020-08-06 03:16:23+00:00,0,0,13,False,True,True,13,0,14,5,,,2020-08-06 03:59:55,2020
11,active,True,2020-08-06 02:38:23+00:00,0,0,14,False,True,True,14,0,25,0,,,2020-08-06 03:59:55,2020
12,active,True,2020-08-06 02:39:43+00:00,0,0,15,False,True,True,15,0,6,9,,,2020-08-06 03:59:55,2020
13,active,True,2020-08-06 03:02:36+00:00,0,0,16,True,True,True,16,0,16,3,,,2020-08-06 03:59:55,2020
14,active,True,2020-08-06 02:40:27+00:00,0,0,17,False,True,True,17,0,12,3,,,2020-08-06 03:59:55,2020
15,active,True,2020-08-06 03:36:27+00:00,0,0,19,False,True,True,19,0,9,6,,,2020-08-06 03:59:55,2020
16,active,True,2020-08-06 03:36:41+00:00,0,1,20,True,True,True,20,0,17,5,,,2020-08-06 03:59:55,2020
17,active,True,2020-08-06 03:38:07+00:00,0,0,21,True,True,True,21,0,14,4,,,2020-08-06 03:59:55,2020
18,active,True,2020-08-06 02:34:09+00:00,0,2,22,True,True,True,22,0,38,7,,,2020-08-06 03:59:55,2020
19,active,True,2020-08-06 03:39:01+00:00,0,0,23,True,True,True,23,0,10,11,,,2020-08-06 03:59:55,2020
20,active,True,2020-08-06 03:34:23+00:00,0,0,24,False,True,True,24,0,10,9,,,2020-08-06 03:59:55,2020
21,active,True,2020-08-06 02:16:54+00:00,0,0,25,False,True,True,25,0,7,8,,,2020-08-06 03:59:55,2020
22,active,True,2020-08-06 02:10:52+00:00,0,1,26,False,True,True,26,0,7,7,,,2020-08-06 03:59:55,2020
23,active,True,2020-08-06 02:53:26+00:00,0,2,27,False,True,True,27,0,3,18,,,2020-08-06 03:59:55,2020
24,active,True,2020-08-06 00:15:21+00:00,0,1,29,False,True,True,29,0,9,5,,,2020-08-06 03:59:55,2020
25,active,True,2020-08-06 03:45:07+00:00,0,0,30,False,True,True,30,0,14,1,,,2020-08-06 03:59:55,2020
26,active,True,2020-08-06 02:34:32+00:00,0,0,31,True,True,True,31,0,16,3,,,2020-08-06 03:59:55,2020
27,active,True,2020-08-06 02:47:51+00:00,0,2,32,False,True,True,32,0,12,1,,,2020-08-06 03:59:55,2020
28,active,True,2020-08-06 03:49:54+00:00,0,0,33,False,True,True,33,0,22,5,,,2020-08-06 03:59:55,2020
29,active,True,2020-08-06 03:07:58+00:00,0,0,35,False,True,True,35,0,18,5,,,2020-08-06 03:59:55,2020
30,active,True,2020-08-06 02:52:57+00:00,0,0,36,True,True,True,36,0,8,25,,,2020-08-06 03:59:55,2020
