,num_bikes_disabled,is_renting,num_docks_disabled,eightd_has_available_keys,num_bikes_available,last_reported,station_status,num_ebikes_available,is_returning,station_id,num_docks_available,is_installed,legacy_id,eightd_active_station_services,valet,timestamp_of_data_read_request,year_station_last_reported
0,0,True,0,False,0,2020-08-06 02:04:58+00:00,active,0,True,3,15,True,3,,,2020-08-06 04:20:25,2020
1,0,True,0,False,16,2020-08-06 04:19:12+00:00,active,0,True,4,3,True,4,,,2020-08-06 04:20:25,2020
2,0,True,0,False,10,2020-08-06 04:08:31+00:00,active,0,True,5,5,True,5,,,2020-08-06 04:20:25,2020
3,2,True,0,False,8,2020-08-06 04:01:55+00:00,active,0,True,6,5,True,6,,,2020-08-06 04:20:25,2020
4,0,True,0,False,2,2020-08-06 03:00:25+00:00,active,0,True,7,13,True,7,,,2020-08-06 04:20:25,2020
5,0,True,0,False,11,2020-08-06 03:41:24+00:00,active,0,True,8,8,True,8,,,2020-08-06 04:20:25,2020
6,0,True,0,False,13,2020-08-06 02:37:48+00:00,active,0,True,9,2,True,9,,,2020-08-06 04:20:25,2020
7,0,True,0,False,4,2020-08-06 03:10:30+00:00,active,0,True,10,7,True,10,,,2020-08-06 04:20:25,2020
8,0,True,0,False,0,2020-08-06 02:49:15+00:00,active,0,True,11,15,True,11,[{'id': 'f8346ad7-0de8-11e7-991c-3863bb43a7d0'}],"{'valet_revision': 79, 'dock_blocked_count': 0, 'station_id': 'f8346ad7-0de8-11e7-991c-3863bb43a7d0', 'region': 'BOS', 'off_dock_capacity': 50, 'active': True, 'off_dock_count': 3}",2020-08-06 04:20:25,2020
9,0,True,0,True,13,2020-08-06 04:07:22+00:00,active,0,True,12,5,True,12,,,2020-08-06 04:20:25,2020
10,0,True,0,False,3,2020-08-06 04:06:34+00:00,active,0,True,13,16,True,13,,,2020-08-06 04:20:25,2020
11,0,True,0,False,0,2020-08-06 02:38:23+00:00,active,0,True,14,25,True,14,,,2020-08-06 04:20:25,2020
12,0,True,0,False,9,2020-08-06 02:39:43+00:00,active,0,True,15,6,True,15,,,2020-08-06 04:20:25,2020
13,0,True,0,True,3,2020-08-06 03:02:36+00:00,active,0,True,16,16,True,16,,,2020-08-06 04:20:25,2020
14,0,True,0,False,2,2020-08-06 04:14:29+00:00,active,0,True,17,13,True,17,,,2020-08-06 04:20:25,2020
15,0,True,0,False,6,2020-08-06 03:36:27+00:00,active,0,True,19,9,True,19,,,2020-08-06 04:20:25,2020
