,legacy_id,num_docks_available,station_id,last_reported,is_renting,station_status,eightd_has_available_keys,num_bikes_disabled,num_ebikes_available,is_returning,num_docks_disabled,num_bikes_available,is_installed,eightd_active_station_services,valet,timestamp_of_data_read_request,year_station_last_reported
0,3,12,3,2020-08-06 22:53:51+00:00,True,active,False,0,0,True,0,3,True,,,2020-08-06 22:54:00,2020
1,4,3,4,2020-08-06 22:38:15+00:00,True,active,False,0,0,True,0,16,True,,,2020-08-06 22:54:00,2020
2,5,10,5,2020-08-06 22:40:22+00:00,True,active,False,1,0,True,0,4,True,,,2020-08-06 22:54:00,2020
3,6,13,6,2020-08-06 22:53:31+00:00,True,active,False,1,0,True,0,1,True,,,2020-08-06 22:54:00,2020
4,7,7,7,2020-08-06 22:47:39+00:00,True,active,False,0,0,True,0,8,True,,,2020-08-06 22:54:00,2020
5,8,12,8,2020-08-06 22:43:09+00:00,True,active,False,2,0,True,0,5,True,,,2020-08-06 22:54:00,2020
6,9,4,9,2020-08-06 22:49:21+00:00,True,active,False,1,0,True,0,10,True,,,2020-08-06 22:54:00,2020
7,10,7,10,2020-08-06 22:51:06+00:00,True,active,False,0,0,True,0,4,True,,,2020-08-06 22:54:00,2020
8,11,14,11,2020-08-06 22:47:11+00:00,True,active,False,1,0,True,0,0,True,[{'id': 'f8346ad7-0de8-11e7-991c-3863bb43a7d0'}],"{'off_dock_count': 3, 'valet_revision': 79, 'station_id': 'f8346ad7-0de8-11e7-991c-3863bb43a7d0', 'off_dock_capacity': 50, 'dock_blocked_count': 0, 'active': True, 'region': 'BOS'}",2020-08-06 22:54:00,2020
9,12,0,12,2020-08-06 22:45:05+00:00,True,active,True,0,0,True,0,18,True,,,2020-08-06 22:54:00,2020
10,13,19,13,2020-08-06 22:48:00+00:00,True,active,False,0,0,True,0,0,True,,,2020-08-06 22:54:00,2020
11,14,23,14,2020-08-06 22:49:02+00:00,True,active,False,2,0,True,0,0,True,,,2020-08-06 22:54:00,2020
12,15,3,15,2020-08-06 22:37:16+00:00,True,active,False,0,0,True,0,12,True,,,2020-08-06 22:54:00,2020
13,16,10,16,2020-08-06 22:40:06+00:00,True,active,True,0,0,True,0,9,True,,,2020-08-06 22:54:00,2020
14,17,11,17,2020-08-06 22:49:10+00:00,True,active,False,0,0,True,0,4,True,,,2020-08-06 22:54:00,2020
15,19,13,19,2020-08-06 22:50:13+00:00,True,active,False,0,0,True,0,2,True,,,2020-08-06 22:54:00,2020
16,20,18,20,2020-08-06 22:48:55+00:00,True,active,True,1,0,True,0,4,True,,,2020-08-06 22:54:00,2020
17,21,12,21,2020-08-06 22:27:36+00:00,True,active,True,0,0,True,0,6,True,,,2020-08-06 22:54:00,2020
18,22,44,22,2020-08-06 22:20:57+00:00,True,active,True,1,0,True,0,2,True,,,2020-08-06 22:54:00,2020
19,23,8,23,2020-08-06 22:26:44+00:00,True,active,True,0,0,True,0,13,True,,,2020-08-06 22:54:00,2020
20,24,0,24,2020-08-06 22:44:26+00:00,True,active,False,2,0,True,0,17,True,,,2020-08-06 22:54:00,2020
21,25,10,25,2020-08-06 22:53:11+00:00,True,active,False,1,0,True,0,4,True,,,2020-08-06 22:54:00,2020
22,26,7,26,2020-08-06 22:53:46+00:00,True,active,False,1,0,True,0,7,True,,,2020-08-06 22:54:00,2020
23,27,11,27,2020-08-06 22:52:13+00:00,True,active,False,1,0,True,0,11,True,,,2020-08-06 22:54:00,2020
24,29,6,29,2020-08-06 22:17:46+00:00,True,active,False,2,0,True,0,7,True,,,2020-08-06 22:54:00,2020
25,30,14,30,2020-08-06 22:50:07+00:00,True,active,False,0,0,True,0,1,True,,,2020-08-06 22:54:00,2020
26,31,7,31,2020-08-06 22:46:49+00:00,True,active,True,0,0,True,0,12,True,,,2020-08-06 22:54:00,2020
27,32,11,32,2020-08-06 22:53:50+00:00,True,active,False,0,0,True,0,4,True,,,2020-08-06 22:54:00,2020
28,33,8,33,2020-08-06 22:45:37+00:00,True,active,False,0,0,True,0,19,True,,,2020-08-06 22:54:00,2020
29,35,16,35,2020-08-06 22:40:07+00:00,True,active,False,0,0,True,0,7,True,,,2020-08-06 22:54:00,2020
30,36,6,36,2020-08-06 22:49:59+00:00,True,active,True,1,0,True,0,26,True,,,2020-08-06 22:54:00,2020
31,37,9,37,2020-08-06 22:10:11+00:00,True,active,True,1,0,True,0,5,True,,,2020-08-06 22:54:00,2020
32,39,22,39,2020-08-06 22:53:49+00:00,True,active,False,0,0,True,0,1,True,,,2020-08-06 22:54:00,2020
33,40,18,40,2020-08-06 22:41:57+00:00,True,active,False,0,0,True,0,1,True,,,2020-08-06 22:54:00,2020
34,41,25,41,2020-08-06 22:53:53+00:00,True,active,True,0,0,True,0,2,True,,,2020-08-06 22:54:00,2020
35,42,12,42,2020-08-06 22:48:18+00:00,True,active,False,1,0,True,0,10,True,,,2020-08-06 22:54:00,2020
36,43,6,43,2020-08-06 22:36:32+00:00,True,active,True,0,0,True,0,9,True,,,2020-08-06 22:54:00,2020
37,44,14,44,2020-08-06 22:42:44+00:00,True,active,False,0,0,True,0,9,True,,,2020-08-06 22:54:00,2020
38,46,4,46,2020-08-06 22:50:47+00:00,True,active,False,1,0,True,0,14,True,,,2020-08-06 22:54:00,2020
39,47,5,47,2020-08-06 22:53:20+00:00,True,active,True,1,0,True,0,13,True,,,2020-08-06 22:54:00,2020
40,48,18,48,2020-08-06 22:39:33+00:00,True,active,False,0,0,True,0,1,True,,,2020-08-06 22:54:00,2020
41,49,13,49,2020-08-06 22:48:25+00:00,True,active,False,1,0,True,0,4,True,,,2020-08-06 22:54:00,2020
42,50,0,50,2020-08-06 22:53:38+00:00,True,active,True,13,0,True,2,0,True,,,2020-08-06 22:54:00,2020
43,51,15,51,2020-08-06 22:53:24+00:00,True,active,False,0,0,True,0,0,True,,,2020-08-06 22:54:00,2020
44,52,0,52,2020-08-06 22:51:20+00:00,True,active,True,0,0,True,0,23,True,,,2020-08-06 22:54:00,2020
45,53,2,53,2020-08-06 22:53:51+00:00,True,active,False,0,0,True,0,17,True,,,2020-08-06 22:54:00,2020
46,54,2,54,2020-08-06 22:53:47+00:00,True,active,False,0,0,True,0,13,True,,,2020-08-06 22:54:00,2020
47,55,5,55,2020-08-06 22:51:40+00:00,True,active,False,3,0,True,0,7,True,,,2020-08-06 22:54:00,2020
48,56,14,56,2020-08-06 22:19:16+00:00,True,active,True,0,0,True,0,4,True,,,2020-08-06 22:54:00,2020
49,57,8,57,2020-08-06 22:41:20+00:00,True,active,True,1,0,True,0,5,True,,,2020-08-06 22:54:00,2020
50,58,10,58,2020-08-06 22:53:31+00:00,True,active,True,1,0,True,0,8,True,,,2020-08-06 22:54:00,2020
51,59,12,59,2020-08-06 22:52:59+00:00,True,active,True,2,0,True,0,5,True,,,2020-08-06 22:54:00,2020
52,60,1,60,2020-08-06 22:53:19+00:00,True,active,False,0,0,True,0,18,True,[{'id': 'f8348a68-0de8-11e7-991c-3863bb43a7d0'}],"{'off_dock_count': 3, 'valet_revision': 69, 'station_id': 'f8348a68-0de8-11e7-991c-3863bb43a7d0', 'off_dock_capacity': 40, 'dock_blocked_count': 0, 'active': True, 'region': 'BOS'}",2020-08-06 22:54:00,2020
53,61,7,61,2020-08-06 22:52:46+00:00,True,active,False,0,0,True,0,12,True,,,2020-08-06 22:54:00,2020
54,63,9,63,2020-08-06 22:00:11+00:00,True,active,False,0,0,True,0,6,True,,,2020-08-06 22:54:00,2020
55,64,14,64,2020-08-06 22:50:50+00:00,True,active,False,0,0,True,0,5,True,,,2020-08-06 22:54:00,2020
56,65,19,65,2020-08-06 22:32:24+00:00,True,active,False,1,0,True,0,3,True,,,2020-08-06 22:54:00,2020
57,66,9,66,2020-08-06 22:48:22+00:00,True,active,False,0,0,True,0,6,True,,,2020-08-06 22:54:00,2020
58,67,14,67,2020-08-06 22:51:57+00:00,True,active,True,1,0,True,0,12,True,,,2020-08-06 22:54:00,2020
59,68,7,68,2020-08-06 22:53:32+00:00,True,active,True,0,0,True,0,12,True,,,2020-08-06 22:54:00,2020
60,69,7,69,2020-08-06 22:51:44+00:00,True,active,True,1,0,True,0,11,True,,,2020-08-06 22:54:00,2020
61,70,3,70,2020-08-06 22:41:14+00:00,True,active,False,0,0,True,0,20,True,,,2020-08-06 22:54:00,2020
62,71,2,71,2020-08-06 22:20:53+00:00,True,active,False,0,0,True,0,21,True,,,2020-08-06 22:54:00,2020
63,72,6,72,2020-08-06 22:42:42+00:00,True,active,False,0,0,True,0,17,True,,,2020-08-06 22:54:00,2020
64,73,9,73,2020-08-06 22:29:43+00:00,True,active,False,1,0,True,0,5,True,,,2020-08-06 22:54:00,2020
65,74,6,74,2020-08-06 22:46:34+00:00,True,active,True,0,0,True,0,13,True,,,2020-08-06 22:54:00,2020
