,num_bikes_available,num_docks_disabled,is_installed,legacy_id,is_returning,station_status,is_renting,last_reported,eightd_has_available_keys,station_id,num_ebikes_available,num_docks_available,num_bikes_disabled,valet,eightd_active_station_services,timestamp_of_data_read_request,year_station_last_reported
0,2,0,True,3,True,active,True,2020-08-07 01:11:47+00:00,False,3,0,13,0,,,2020-08-07 01:58:50,2020
1,18,0,True,4,True,active,True,2020-08-07 01:49:09+00:00,False,4,0,1,0,,,2020-08-07 01:58:50,2020
2,13,0,True,5,True,active,True,2020-08-07 01:52:18+00:00,False,5,0,0,2,,,2020-08-07 01:58:50,2020
3,4,0,True,6,True,active,True,2020-08-07 01:58:23+00:00,False,6,0,10,1,,,2020-08-07 01:58:50,2020
4,6,0,True,7,True,active,True,2020-08-07 01:46:39+00:00,False,7,0,9,0,,,2020-08-07 01:58:50,2020
5,11,0,True,8,True,active,True,2020-08-07 01:48:14+00:00,False,8,0,8,0,,,2020-08-07 01:58:50,2020
6,9,0,True,9,True,active,True,2020-08-07 01:50:28+00:00,False,9,0,5,1,,,2020-08-07 01:58:50,2020
7,8,0,True,10,True,active,True,2020-08-07 01:37:49+00:00,False,10,0,3,0,,,2020-08-07 01:58:50,2020
8,0,0,True,11,True,active,True,2020-08-07 01:43:03+00:00,False,11,0,14,1,,,2020-08-07 01:58:50,2020
9,5,0,True,12,True,active,True,2020-08-07 01:26:39+00:00,True,12,0,13,0,,,2020-08-07 01:58:50,2020
10,0,0,True,13,True,active,True,2020-08-07 01:27:59+00:00,False,13,0,19,0,,,2020-08-07 01:58:50,2020
11,0,0,True,14,True,active,True,2020-08-07 01:27:23+00:00,False,14,0,23,2,,,2020-08-07 01:58:50,2020
12,7,0,True,15,True,active,True,2020-08-07 01:48:19+00:00,False,15,0,8,0,,,2020-08-07 01:58:50,2020
13,11,0,True,16,True,active,True,2020-08-07 01:41:54+00:00,True,16,0,8,0,,,2020-08-07 01:58:50,2020
14,3,0,True,17,True,active,True,2020-08-07 01:33:08+00:00,False,17,0,10,2,,,2020-08-07 01:58:50,2020
15,9,0,True,19,True,active,True,2020-08-07 01:41:12+00:00,False,19,0,6,0,,,2020-08-07 01:58:50,2020
16,0,0,True,20,True,active,True,2020-08-07 01:49:03+00:00,True,20,0,22,1,,,2020-08-07 01:58:50,2020
17,15,0,True,21,True,active,True,2020-08-07 01:45:32+00:00,True,21,0,3,0,,,2020-08-07 01:58:50,2020
18,20,0,True,22,True,active,True,2020-08-07 01:29:30+00:00,True,22,0,26,1,,,2020-08-07 01:58:50,2020
19,17,0,True,23,True,active,True,2020-08-07 01:50:48+00:00,True,23,0,4,0,,,2020-08-07 01:58:50,2020
20,4,0,True,24,True,active,True,2020-08-07 01:37:47+00:00,False,24,0,13,2,,,2020-08-07 01:58:50,2020
21,11,0,True,25,True,active,True,2020-08-07 01:25:58+00:00,False,25,0,3,1,,,2020-08-07 01:58:50,2020
22,11,0,True,26,True,active,True,2020-08-07 01:48:28+00:00,False,26,0,3,1,,,2020-08-07 01:58:50,2020
23,8,0,True,27,True,active,True,2020-08-07 01:56:47+00:00,False,27,0,15,0,,,2020-08-07 01:58:50,2020
24,7,0,True,29,True,active,True,2020-08-07 00:18:47+00:00,False,29,0,7,1,,,2020-08-07 01:58:50,2020
25,5,0,True,30,True,active,True,2020-08-07 01:50:20+00:00,False,30,0,10,0,,,2020-08-07 01:58:50,2020
26,14,0,True,31,True,active,True,2020-08-07 00:50:09+00:00,True,31,0,5,0,,,2020-08-07 01:58:50,2020
27,0,0,True,32,True,active,True,2020-08-07 01:58:01+00:00,False,32,0,15,0,,,2020-08-07 01:58:50,2020
28,16,0,True,33,True,active,True,2020-08-07 01:48:31+00:00,False,33,0,11,0,,,2020-08-07 01:58:50,2020
29,2,0,True,35,True,active,True,2020-08-07 00:21:31+00:00,False,35,0,21,0,,,2020-08-07 01:58:50,2020
30,27,0,True,36,True,active,True,2020-08-07 01:38:11+00:00,True,36,0,5,1,,,2020-08-07 01:58:50,2020
31,6,0,True,37,True,active,True,2020-08-07 00:49:16+00:00,True,37,0,8,1,,,2020-08-07 01:58:50,2020
32,6,0,True,39,True,active,True,2020-08-07 01:56:52+00:00,False,39,0,17,0,,,2020-08-07 01:58:50,2020
33,8,0,True,40,True,active,True,2020-08-07 01:15:28+00:00,False,40,0,11,0,,,2020-08-07 01:58:50,2020
34,24,0,True,41,True,active,True,2020-08-07 01:58:33+00:00,True,41,0,3,0,,,2020-08-07 01:58:50,2020
35,7,0,True,42,True,active,True,2020-08-07 00:59:07+00:00,False,42,0,15,1,,,2020-08-07 01:58:50,2020
36,10,0,True,43,True,active,True,2020-08-07 01:35:04+00:00,True,43,0,5,0,,,2020-08-07 01:58:50,2020
37,1,0,True,44,True,active,True,2020-08-07 01:29:10+00:00,False,44,0,22,0,,,2020-08-07 01:58:50,2020
38,18,0,True,46,True,active,True,2020-08-07 01:36:49+00:00,False,46,0,0,1,,,2020-08-07 01:58:50,2020
39,15,0,True,47,True,active,True,2020-08-07 01:53:27+00:00,True,47,0,3,1,,,2020-08-07 01:58:50,2020
40,1,0,True,48,True,active,True,2020-08-07 00:32:09+00:00,False,48,0,18,0,,,2020-08-07 01:58:50,2020
41,8,0,True,49,True,active,True,2020-08-07 00:47:57+00:00,False,49,0,9,1,,,2020-08-07 01:58:50,2020
42,0,2,True,50,True,active,True,2020-08-07 01:56:31+00:00,True,50,0,0,13,,,2020-08-07 01:58:50,2020
43,0,0,True,51,True,active,True,2020-08-07 00:48:21+00:00,False,51,0,15,0,,,2020-08-07 01:58:50,2020
