,num_bikes_available,is_installed,num_docks_disabled,num_bikes_disabled,legacy_id,station_id,station_status,eightd_has_available_keys,num_ebikes_available,is_renting,is_returning,num_docks_available,last_reported,eightd_active_station_services,valet,timestamp_of_data_read_request,year_station_last_reported
0,0,True,0,0,3,3,active,False,0,True,True,15,2020-08-07 02:45:22+00:00,,,2020-08-07 03:51:25,2020
1,16,True,0,0,4,4,active,False,0,True,True,3,2020-08-07 03:09:53+00:00,,,2020-08-07 03:51:25,2020
2,12,True,0,2,5,5,active,False,0,True,True,1,2020-08-07 03:47:20+00:00,,,2020-08-07 03:51:25,2020
3,9,True,0,1,6,6,active,False,0,True,True,5,2020-08-07 03:38:58+00:00,,,2020-08-07 03:51:25,2020
4,5,True,0,0,7,7,active,False,0,True,True,10,2020-08-07 03:03:31+00:00,,,2020-08-07 03:51:25,2020
5,15,True,0,0,8,8,active,False,0,True,True,4,2020-08-07 03:28:16+00:00,,,2020-08-07 03:51:25,2020
6,9,True,0,1,9,9,active,False,0,True,True,5,2020-08-07 01:50:28+00:00,,,2020-08-07 03:51:25,2020
7,5,True,0,0,10,10,active,False,0,True,True,6,2020-08-07 03:35:11+00:00,,,2020-08-07 03:51:25,2020
8,0,True,0,1,11,11,active,False,0,True,True,14,2020-08-07 01:43:03+00:00,,,2020-08-07 03:51:25,2020
9,5,True,0,0,12,12,active,True,0,True,True,13,2020-08-07 03:39:50+00:00,,,2020-08-07 03:51:25,2020
10,0,True,0,0,13,13,active,False,0,True,True,19,2020-08-07 01:27:59+00:00,,,2020-08-07 03:51:25,2020
11,1,True,0,2,14,14,active,False,0,True,True,22,2020-08-07 03:44:20+00:00,,,2020-08-07 03:51:25,2020
12,12,True,0,0,15,15,active,False,0,True,True,3,2020-08-07 03:38:56+00:00,,,2020-08-07 03:51:25,2020
13,9,True,0,0,16,16,active,True,0,True,True,10,2020-08-07 03:36:00+00:00,,,2020-08-07 03:51:25,2020
14,3,True,0,1,17,17,active,False,0,True,True,11,2020-08-07 03:48:33+00:00,,,2020-08-07 03:51:25,2020
15,11,True,0,0,19,19,active,False,0,True,True,4,2020-08-07 03:51:06+00:00,,,2020-08-07 03:51:25,2020
16,3,True,0,0,20,20,active,True,0,True,True,20,2020-08-07 03:40:33+00:00,,,2020-08-07 03:51:25,2020
17,16,True,0,0,21,21,active,True,0,True,True,2,2020-08-07 03:42:13+00:00,,,2020-08-07 03:51:25,2020
18,15,True,0,1,22,22,active,True,0,True,True,31,2020-08-07 03:43:02+00:00,,,2020-08-07 03:51:25,2020
19,13,True,0,0,23,23,active,True,0,True,True,8,2020-08-07 03:39:03+00:00,,,2020-08-07 03:51:25,2020
20,3,True,0,1,24,24,active,False,0,True,True,15,2020-08-07 03:51:18+00:00,,,2020-08-07 03:51:25,2020
21,12,True,0,1,25,25,active,False,0,True,True,2,2020-08-07 02:44:00+00:00,,,2020-08-07 03:51:25,2020
22,12,True,0,1,26,26,active,False,0,True,True,2,2020-08-07 03:36:31+00:00,,,2020-08-07 03:51:25,2020
23,15,True,0,0,27,27,active,False,0,True,True,8,2020-08-07 02:50:55+00:00,,,2020-08-07 03:51:25,2020
24,7,True,0,1,29,29,active,False,0,True,True,7,2020-08-07 00:18:47+00:00,,,2020-08-07 03:51:25,2020
25,0,True,0,0,30,30,active,False,0,True,True,15,2020-08-07 03:41:25+00:00,,,2020-08-07 03:51:25,2020
26,18,True,0,0,31,31,active,True,0,True,True,1,2020-08-07 02:42:04+00:00,,,2020-08-07 03:51:25,2020
27,3,True,0,0,32,32,active,False,0,True,True,12,2020-08-07 03:46:55+00:00,,,2020-08-07 03:51:25,2020
28,16,True,0,0,33,33,active,False,0,True,True,11,2020-08-07 03:13:50+00:00,,,2020-08-07 03:51:25,2020
29,1,True,0,0,35,35,active,False,0,True,True,22,2020-08-07 02:08:13+00:00,,,2020-08-07 03:51:25,2020
30,25,True,0,1,36,36,active,True,0,True,True,7,2020-08-07 03:11:19+00:00,,,2020-08-07 03:51:25,2020
31,6,True,0,0,37,37,active,True,0,True,True,9,2020-08-07 03:10:16+00:00,,,2020-08-07 03:51:25,2020
32,8,True,0,0,39,39,active,False,0,True,True,15,2020-08-07 03:20:33+00:00,,,2020-08-07 03:51:25,2020
33,17,True,0,0,40,40,active,False,0,True,True,2,2020-08-07 03:37:12+00:00,,,2020-08-07 03:51:25,2020
34,25,True,0,0,41,41,active,True,0,True,True,2,2020-08-07 03:46:33+00:00,,,2020-08-07 03:51:25,2020
35,6,True,0,1,42,42,active,False,0,True,True,16,2020-08-07 03:05:54+00:00,,,2020-08-07 03:51:25,2020
36,3,True,0,0,43,43,active,True,0,True,True,12,2020-08-07 03:48:05+00:00,,,2020-08-07 03:51:25,2020
37,7,True,0,0,44,44,active,False,0,True,True,16,2020-08-07 03:35:03+00:00,,,2020-08-07 03:51:25,2020
38,14,True,0,1,46,46,active,False,0,True,True,4,2020-08-07 03:45:35+00:00,,,2020-08-07 03:51:25,2020
39,18,True,0,1,47,47,active,True,0,True,True,0,2020-08-07 03:51:15+00:00,,,2020-08-07 03:51:25,2020
40,1,True,0,0,48,48,active,False,0,True,True,18,2020-08-07 00:32:09+00:00,,,2020-08-07 03:51:25,2020
41,8,True,0,1,49,49,active,False,0,True,True,9,2020-08-07 03:16:45+00:00,,,2020-08-07 03:51:25,2020
42,0,True,2,13,50,50,active,True,0,True,True,0,2020-08-07 03:49:08+00:00,,,2020-08-07 03:51:25,2020
