,eightd_has_available_keys,num_bikes_available,station_status,last_reported,num_docks_disabled,is_renting,is_returning,legacy_id,num_bikes_disabled,station_id,num_docks_available,is_installed,num_ebikes_available,valet,eightd_active_station_services,timestamp_of_data_read_request,year_station_last_reported
0,False,14,active,2020-08-08 18:29:01+00:00,0,True,True,3,0,3,1,True,0,,,2020-08-08 19:33:30,2020
1,False,5,active,2020-08-08 19:23:24+00:00,0,True,True,4,0,4,14,True,0,,,2020-08-08 19:33:30,2020
2,False,3,active,2020-08-08 19:28:38+00:00,0,True,True,5,0,5,12,True,0,,,2020-08-08 19:33:30,2020
3,False,5,active,2020-08-08 19:22:39+00:00,0,True,True,6,1,6,9,True,0,,,2020-08-08 19:33:30,2020
4,False,8,active,2020-08-08 19:32:08+00:00,0,True,True,7,0,7,7,True,0,,,2020-08-08 19:33:30,2020
5,False,1,active,2020-08-08 19:03:53+00:00,0,True,True,8,0,8,18,True,0,,,2020-08-08 19:33:30,2020
6,False,0,active,2020-08-08 19:27:04+00:00,0,True,True,9,1,9,14,True,0,,,2020-08-08 19:33:30,2020
7,False,1,active,2020-08-08 19:04:04+00:00,0,True,True,10,1,10,9,True,0,,,2020-08-08 19:33:30,2020
8,False,5,active,2020-08-08 19:07:02+00:00,0,True,True,11,1,11,9,True,0,,,2020-08-08 19:33:30,2020
9,True,0,active,2020-08-08 19:32:00+00:00,0,True,True,12,0,12,18,True,0,,,2020-08-08 19:33:30,2020
10,False,6,active,2020-08-08 19:17:44+00:00,0,True,True,13,0,13,13,True,0,,,2020-08-08 19:33:30,2020
11,False,16,active,2020-08-08 19:28:47+00:00,0,True,True,14,0,14,9,True,0,,,2020-08-08 19:33:30,2020
12,False,12,active,2020-08-08 19:32:56+00:00,0,True,True,15,0,15,3,True,0,,,2020-08-08 19:33:30,2020
13,True,19,active,2020-08-08 19:32:25+00:00,0,True,True,16,0,16,0,True,0,,,2020-08-08 19:33:30,2020
14,False,1,active,2020-08-08 19:22:56+00:00,0,True,True,17,1,17,13,True,0,,,2020-08-08 19:33:30,2020
15,False,4,active,2020-08-08 19:07:29+00:00,0,True,True,19,0,19,11,True,0,,,2020-08-08 19:33:30,2020
16,True,12,active,2020-08-08 19:33:16+00:00,0,True,True,20,0,20,11,True,0,,,2020-08-08 19:33:30,2020
17,True,6,active,2020-08-08 19:10:19+00:00,0,True,True,21,1,21,11,True,0,,,2020-08-08 19:33:30,2020
18,True,16,active,2020-08-08 19:12:19+00:00,0,True,True,22,0,22,31,True,0,,,2020-08-08 19:33:30,2020
19,False,3,active,2020-08-08 19:30:41+00:00,0,True,True,23,0,23,18,True,0,,,2020-08-08 19:33:30,2020
20,False,19,active,2020-08-08 19:27:15+00:00,0,True,True,24,0,24,0,True,0,,,2020-08-08 19:33:30,2020
21,False,7,active,2020-08-08 19:19:56+00:00,0,True,True,25,0,25,8,True,0,,,2020-08-08 19:33:30,2020
22,False,4,active,2020-08-08 19:28:26+00:00,0,True,True,26,0,26,11,True,0,,,2020-08-08 19:33:30,2020
23,False,1,active,2020-08-08 19:28:57+00:00,0,True,True,27,0,27,22,True,0,,,2020-08-08 19:33:30,2020
24,False,1,active,2020-08-08 18:39:24+00:00,0,True,True,29,2,29,12,True,0,,,2020-08-08 19:33:30,2020
25,False,3,active,2020-08-08 19:30:42+00:00,0,True,True,30,0,30,12,True,0,,,2020-08-08 19:33:30,2020
26,False,17,active,2020-08-08 19:29:11+00:00,0,True,True,31,0,31,2,True,0,,,2020-08-08 19:33:30,2020
27,False,11,active,2020-08-08 19:17:13+00:00,0,True,True,32,2,32,2,True,0,,,2020-08-08 19:33:30,2020
