,is_installed,num_docks_disabled,num_ebikes_available,eightd_has_available_keys,legacy_id,num_docks_available,num_bikes_available,station_id,num_bikes_disabled,last_reported,station_status,is_renting,is_returning,timestamp_of_data_read_request,year_station_last_reported
0,True,0,0,False,3,14,1,3,0,2020-08-09 00:54:01+00:00,active,True,True,2020-08-09 01:10:40,2020
1,True,0,0,False,4,12,7,4,0,2020-08-09 00:40:28+00:00,active,True,True,2020-08-09 01:10:40,2020
2,True,0,0,False,5,14,1,5,0,2020-08-09 01:06:57+00:00,active,True,True,2020-08-09 01:10:40,2020
3,True,0,0,False,6,10,4,6,1,2020-08-09 01:05:53+00:00,active,True,True,2020-08-09 01:10:40,2020
4,True,0,0,False,7,14,1,7,0,2020-08-09 00:30:44+00:00,active,True,True,2020-08-09 01:10:40,2020
5,True,0,0,False,8,3,16,8,0,2020-08-09 01:06:17+00:00,active,True,True,2020-08-09 01:10:40,2020
6,True,0,0,False,9,11,2,9,2,2020-08-09 00:33:32+00:00,active,True,True,2020-08-09 01:10:40,2020
7,True,0,0,False,10,9,1,10,1,2020-08-09 01:08:47+00:00,active,True,True,2020-08-09 01:10:40,2020
8,True,0,0,False,11,9,4,11,2,2020-08-09 01:08:38+00:00,active,True,True,2020-08-09 01:10:40,2020
9,True,0,0,True,12,14,4,12,0,2020-08-09 01:09:46+00:00,active,True,True,2020-08-09 01:10:40,2020
10,True,0,0,False,13,15,4,13,0,2020-08-09 00:44:45+00:00,active,True,True,2020-08-09 01:10:40,2020
11,True,0,0,False,14,24,1,14,0,2020-08-09 01:03:07+00:00,active,True,True,2020-08-09 01:10:40,2020
12,True,0,0,False,15,6,9,15,0,2020-08-09 01:01:11+00:00,active,True,True,2020-08-09 01:10:40,2020
13,True,0,0,True,16,13,6,16,0,2020-08-09 00:25:08+00:00,active,True,True,2020-08-09 01:10:40,2020
14,True,0,0,False,17,11,3,17,1,2020-08-09 01:00:09+00:00,active,True,True,2020-08-09 01:10:40,2020
15,True,0,0,False,19,12,2,19,1,2020-08-09 01:09:29+00:00,active,True,True,2020-08-09 01:10:40,2020
16,True,0,0,True,20,21,2,20,0,2020-08-09 01:05:36+00:00,active,True,True,2020-08-09 01:10:40,2020
17,True,0,0,True,21,8,10,21,0,2020-08-09 01:10:28+00:00,active,True,True,2020-08-09 01:10:40,2020
18,True,0,0,True,22,38,9,22,0,2020-08-09 01:05:55+00:00,active,True,True,2020-08-09 01:10:40,2020
19,True,0,0,False,23,10,10,23,1,2020-08-09 01:07:15+00:00,active,True,True,2020-08-09 01:10:40,2020
20,True,0,0,False,24,8,10,24,1,2020-08-09 01:08:07+00:00,active,True,True,2020-08-09 01:10:40,2020
21,True,0,0,False,25,8,7,25,0,2020-08-09 00:10:24+00:00,active,True,True,2020-08-09 01:10:40,2020
22,True,0,0,False,26,6,9,26,0,2020-08-09 00:54:31+00:00,active,True,True,2020-08-09 01:10:40,2020
