,num_bikes_disabled,last_reported,legacy_id,eightd_has_available_keys,is_installed,num_docks_available,num_ebikes_available,num_docks_disabled,is_returning,station_status,station_id,is_renting,num_bikes_available,timestamp_of_data_read_request,year_station_last_reported
0,0,2020-08-09 23:18:48+00:00,3,False,True,12,0,0,True,active,3,True,3,2020-08-10 00:09:55,2020
1,0,2020-08-09 23:47:09+00:00,4,False,True,13,0,0,True,active,4,True,6,2020-08-10 00:09:55,2020
2,1,2020-08-09 23:59:42+00:00,5,False,True,10,0,0,True,active,5,True,4,2020-08-10 00:09:55,2020
3,2,2020-08-10 00:03:48+00:00,6,False,True,1,0,0,True,active,6,True,12,2020-08-10 00:09:55,2020
4,0,2020-08-10 00:06:11+00:00,7,False,True,13,0,0,True,active,7,True,2,2020-08-10 00:09:55,2020
5,0,2020-08-10 00:09:19+00:00,8,False,True,7,0,0,True,active,8,True,12,2020-08-10 00:09:55,2020
6,2,2020-08-10 00:03:27+00:00,9,False,True,11,0,0,True,active,9,True,2,2020-08-10 00:09:55,2020
7,3,2020-08-10 00:09:16+00:00,10,False,True,6,0,0,True,active,10,True,2,2020-08-10 00:09:55,2020
8,2,2020-08-09 23:54:46+00:00,11,False,True,12,0,0,True,active,11,True,1,2020-08-10 00:09:55,2020
9,0,2020-08-10 00:00:59+00:00,12,True,True,0,0,0,True,active,12,True,18,2020-08-10 00:09:55,2020
10,0,2020-08-10 00:04:03+00:00,13,False,True,12,0,0,True,active,13,True,7,2020-08-10 00:09:55,2020
11,1,2020-08-10 00:05:40+00:00,14,False,True,8,0,0,True,active,14,True,16,2020-08-10 00:09:55,2020
12,0,2020-08-10 00:07:52+00:00,15,False,True,1,0,0,True,active,15,True,14,2020-08-10 00:09:55,2020
13,0,2020-08-09 23:37:47+00:00,16,True,True,19,0,0,True,active,16,True,0,2020-08-10 00:09:55,2020
14,0,2020-08-10 00:07:34+00:00,17,False,True,14,0,0,True,active,17,True,1,2020-08-10 00:09:55,2020
15,0,2020-08-09 23:35:16+00:00,19,False,True,6,0,0,True,active,19,True,9,2020-08-10 00:09:55,2020
16,1,2020-08-09 23:59:46+00:00,20,False,True,22,0,0,True,active,20,True,0,2020-08-10 00:09:55,2020
17,0,2020-08-10 00:08:18+00:00,21,True,True,16,0,0,True,active,21,True,2,2020-08-10 00:09:55,2020
18,0,2020-08-10 00:05:07+00:00,22,True,True,33,0,0,True,active,22,True,14,2020-08-10 00:09:55,2020
19,0,2020-08-10 00:03:08+00:00,23,False,True,17,0,0,True,active,23,True,4,2020-08-10 00:09:55,2020
20,0,2020-08-09 23:55:14+00:00,24,False,True,11,0,0,True,active,24,True,8,2020-08-10 00:09:55,2020
21,1,2020-08-09 23:40:49+00:00,25,False,True,9,0,0,True,active,25,True,5,2020-08-10 00:09:55,2020
22,2,2020-08-09 23:33:29+00:00,26,False,True,3,0,0,True,active,26,True,10,2020-08-10 00:09:55,2020
23,1,2020-08-10 00:08:04+00:00,27,False,True,15,0,0,True,active,27,True,7,2020-08-10 00:09:55,2020
24,1,2020-08-09 22:22:53+00:00,29,False,True,7,0,0,True,active,29,True,7,2020-08-10 00:09:55,2020
25,0,2020-08-09 23:58:25+00:00,30,False,True,11,0,0,True,active,30,True,4,2020-08-10 00:09:55,2020
26,0,2020-08-09 23:37:08+00:00,31,True,True,17,0,0,True,active,31,True,2,2020-08-10 00:09:55,2020
27,2,2020-08-09 23:54:18+00:00,32,False,True,11,0,0,True,active,32,True,2,2020-08-10 00:09:55,2020
28,1,2020-08-10 00:03:54+00:00,33,False,True,6,0,0,True,active,33,True,20,2020-08-10 00:09:55,2020
29,0,2020-08-09 23:42:39+00:00,35,False,True,13,0,0,True,active,35,True,10,2020-08-10 00:09:55,2020
30,0,2020-08-10 00:08:35+00:00,36,True,True,33,0,0,True,active,36,True,0,2020-08-10 00:09:55,2020
31,0,2020-08-09 23:12:12+00:00,37,True,True,15,0,0,True,active,37,True,0,2020-08-10 00:09:55,2020
32,0,2020-08-10 00:01:13+00:00,39,False,True,21,0,0,True,active,39,True,2,2020-08-10 00:09:55,2020
33,3,2020-08-10 00:03:49+00:00,40,False,True,10,0,0,True,active,40,True,6,2020-08-10 00:09:55,2020
34,2,2020-08-10 00:04:08+00:00,41,True,True,22,0,0,True,active,41,True,3,2020-08-10 00:09:55,2020
35,0,2020-08-10 00:01:15+00:00,42,False,True,7,0,0,True,active,42,True,16,2020-08-10 00:09:55,2020
36,1,2020-08-09 23:13:40+00:00,43,True,True,14,0,0,True,active,43,True,0,2020-08-10 00:09:55,2020
37,1,2020-08-10 00:05:42+00:00,44,False,True,21,0,0,True,active,44,True,1,2020-08-10 00:09:55,2020
38,3,2020-08-10 00:04:28+00:00,46,False,True,11,0,0,True,active,46,True,5,2020-08-10 00:09:55,2020
39,1,2020-08-10 00:09:06+00:00,47,True,True,4,0,0,True,active,47,True,14,2020-08-10 00:09:55,2020
40,0,2020-08-09 22:17:21+00:00,48,False,True,18,0,0,True,active,48,True,1,2020-08-10 00:09:55,2020
41,0,2020-08-10 00:08:13+00:00,49,False,True,1,0,0,True,active,49,True,17,2020-08-10 00:09:55,2020
42,0,2020-08-09 23:55:14+00:00,50,True,True,8,0,0,True,active,50,True,7,2020-08-10 00:09:55,2020
43,1,2020-08-10 00:09:43+00:00,51,False,True,12,0,0,True,active,51,True,2,2020-08-10 00:09:55,2020
44,1,2020-08-09 23:55:06+00:00,52,True,True,2,0,0,True,active,52,True,20,2020-08-10 00:09:55,2020
45,1,2020-08-10 00:03:52+00:00,53,False,True,0,0,0,True,active,53,True,18,2020-08-10 00:09:55,2020
46,0,2020-08-10 00:02:04+00:00,54,False,True,4,0,0,True,active,54,True,11,2020-08-10 00:09:55,2020
47,1,2020-08-10 00:02:59+00:00,55,False,True,1,0,0,True,active,55,True,13,2020-08-10 00:09:55,2020
48,0,2020-08-09 21:10:16+00:00,56,True,True,15,0,0,True,active,56,True,3,2020-08-10 00:09:55,2020
49,1,2020-08-09 23:52:59+00:00,57,True,True,10,0,0,True,active,57,True,3,2020-08-10 00:09:55,2020
50,3,2020-08-09 23:49:16+00:00,58,True,True,0,0,0,True,active,58,True,16,2020-08-10 00:09:55,2020
51,0,2020-08-10 00:09:44+00:00,59,True,True,17,0,0,True,active,59,True,2,2020-08-10 00:09:55,2020
52,1,2020-08-10 00:04:39+00:00,60,False,True,16,0,0,True,active,60,True,2,2020-08-10 00:09:55,2020
53,2,2020-08-09 23:52:41+00:00,61,False,True,0,0,0,True,active,61,True,17,2020-08-10 00:09:55,2020
54,2,2020-08-09 21:45:13+00:00,63,False,True,6,0,0,True,active,63,True,7,2020-08-10 00:09:55,2020
55,0,2020-08-10 00:06:14+00:00,64,False,True,15,0,0,True,active,64,True,4,2020-08-10 00:09:55,2020
56,0,2020-08-09 22:25:41+00:00,65,False,True,23,0,0,True,active,65,True,0,2020-08-10 00:09:55,2020
57,0,2020-08-10 00:02:38+00:00,66,False,True,10,0,0,True,active,66,True,5,2020-08-10 00:09:55,2020
58,1,2020-08-10 00:09:24+00:00,67,True,True,15,0,0,True,active,67,True,11,2020-08-10 00:09:55,2020
59,2,2020-08-10 00:07:23+00:00,68,True,True,2,0,0,True,active,68,True,15,2020-08-10 00:09:55,2020
60,0,2020-08-09 23:28:22+00:00,69,True,True,17,0,0,True,active,69,True,2,2020-08-10 00:09:55,2020
61,0,2020-08-09 23:44:28+00:00,70,False,True,10,0,0,True,active,70,True,13,2020-08-10 00:09:55,2020
62,0,2020-08-09 23:54:32+00:00,71,False,True,4,0,0,True,active,71,True,19,2020-08-10 00:09:55,2020
63,0,2020-08-10 00:09:36+00:00,72,False,True,20,0,0,True,active,72,True,3,2020-08-10 00:09:55,2020
64,0,2020-08-10 00:08:06+00:00,73,False,True,1,0,0,True,active,73,True,14,2020-08-10 00:09:55,2020
65,1,2020-08-10 00:02:11+00:00,74,True,True,2,0,0,True,active,74,True,16,2020-08-10 00:09:55,2020
66,0,2020-08-10 00:06:39+00:00,75,False,True,11,0,0,True,active,75,True,4,2020-08-10 00:09:55,2020
67,0,2020-08-10 00:04:56+00:00,76,False,True,7,0,0,True,active,76,True,10,2020-08-10 00:09:55,2020
68,1,2020-08-09 22:35:54+00:00,77,False,True,13,0,0,True,active,77,True,1,2020-08-10 00:09:55,2020
69,0,2020-08-09 23:43:14+00:00,78,False,True,18,0,0,True,active,78,True,1,2020-08-10 00:09:55,2020
70,2,2020-08-10 00:06:04+00:00,79,False,True,9,0,0,True,active,79,True,8,2020-08-10 00:09:55,2020
71,0,2020-08-10 00:07:45+00:00,80,False,True,29,0,0,True,active,80,True,6,2020-08-10 00:09:55,2020
72,1,2020-08-10 00:08:14+00:00,81,False,True,17,0,0,True,active,81,True,1,2020-08-10 00:09:55,2020
73,0,2020-08-09 23:26:53+00:00,82,False,True,14,0,0,True,active,82,True,1,2020-08-10 00:09:55,2020
74,0,2020-08-09 22:38:21+00:00,84,False,True,12,0,0,True,active,84,True,3,2020-08-10 00:09:55,2020
75,0,2020-08-10 00:01:53+00:00,85,False,True,11,0,0,True,active,85,True,8,2020-08-10 00:09:55,2020
76,0,2020-08-09 23:40:58+00:00,86,False,True,13,0,0,True,active,86,True,6,2020-08-10 00:09:55,2020
77,0,2020-08-09 23:51:59+00:00,87,False,True,11,0,0,True,active,87,True,4,2020-08-10 00:09:55,2020
78,2,2020-08-09 23:31:00+00:00,89,False,True,4,0,0,True,active,89,True,13,2020-08-10 00:09:55,2020
79,1,2020-08-10 00:04:55+00:00,90,False,True,0,0,0,True,active,90,True,18,2020-08-10 00:09:55,2020
80,0,2020-08-10 00:05:31+00:00,91,False,True,15,0,0,True,active,91,True,4,2020-08-10 00:09:55,2020
81,0,2020-08-09 23:38:09+00:00,92,False,True,6,0,0,True,active,92,True,13,2020-08-10 00:09:55,2020
82,1,2020-08-09 23:59:11+00:00,93,False,True,3,0,0,True,active,93,True,11,2020-08-10 00:09:55,2020
83,0,2020-08-09 23:56:59+00:00,94,False,True,2,0,0,True,active,94,True,9,2020-08-10 00:09:55,2020
84,1,2020-08-10 00:01:36+00:00,95,False,True,8,0,0,True,active,95,True,6,2020-08-10 00:09:55,2020
85,0,2020-08-10 00:07:50+00:00,96,False,True,8,0,0,True,active,96,True,11,2020-08-10 00:09:55,2020
86,0,2020-08-10 00:04:43+00:00,97,False,True,1,0,0,True,active,97,True,18,2020-08-10 00:09:55,2020
87,0,2020-08-10 00:06:28+00:00,98,False,True,18,0,0,True,active,98,True,5,2020-08-10 00:09:55,2020
88,1,2020-08-09 23:15:19+00:00,99,False,True,14,0,0,True,active,99,True,0,2020-08-10 00:09:55,2020
