,is_returning,station_status,num_bikes_available,num_docks_disabled,legacy_id,eightd_has_available_keys,is_installed,num_docks_available,is_renting,last_reported,station_id,num_ebikes_available,num_bikes_disabled,valet,eightd_active_station_services,timestamp_of_data_read_request,year_station_last_reported
0,True,active,5,0,3,False,True,10,True,2020-08-10 19:11:56+00:00,3,0,0,,,2020-08-10 19:24:10,2020
1,True,active,3,0,4,False,True,16,True,2020-08-10 19:11:08+00:00,4,0,0,,,2020-08-10 19:24:10,2020
2,True,active,1,0,5,False,True,14,True,2020-08-10 19:14:01+00:00,5,0,0,,,2020-08-10 19:24:10,2020
3,True,active,11,0,6,False,True,3,True,2020-08-10 19:19:59+00:00,6,0,1,,,2020-08-10 19:24:10,2020
4,True,active,7,0,7,False,True,8,True,2020-08-10 19:21:51+00:00,7,0,0,,,2020-08-10 19:24:10,2020
5,True,active,10,0,8,False,True,8,True,2020-08-10 19:22:55+00:00,8,0,1,,,2020-08-10 19:24:10,2020
6,True,active,5,0,9,False,True,10,True,2020-08-10 19:07:06+00:00,9,0,0,,,2020-08-10 19:24:10,2020
7,True,active,3,0,10,False,True,6,True,2020-08-10 18:47:56+00:00,10,0,2,,,2020-08-10 19:24:10,2020
8,True,active,9,0,11,False,True,4,True,2020-08-10 19:21:30+00:00,11,0,2,,,2020-08-10 19:24:10,2020
9,True,active,16,0,12,True,True,2,True,2020-08-10 19:06:56+00:00,12,0,0,,,2020-08-10 19:24:10,2020
10,True,active,16,0,13,False,True,3,True,2020-08-10 19:23:21+00:00,13,0,0,,,2020-08-10 19:24:10,2020
11,True,active,16,0,14,False,True,7,True,2020-08-10 19:15:30+00:00,14,0,2,,,2020-08-10 19:24:10,2020
12,True,active,14,0,15,False,True,1,True,2020-08-10 18:57:08+00:00,15,0,0,,,2020-08-10 19:24:10,2020
13,True,active,7,0,16,True,True,12,True,2020-08-10 18:45:51+00:00,16,0,0,,,2020-08-10 19:24:10,2020
14,True,active,2,0,17,False,True,13,True,2020-08-10 19:07:21+00:00,17,0,0,,,2020-08-10 19:24:10,2020
15,True,active,5,0,19,False,True,10,True,2020-08-10 18:30:31+00:00,19,0,0,,,2020-08-10 19:24:10,2020
16,True,active,5,0,20,True,True,16,True,2020-08-10 19:10:33+00:00,20,0,2,,,2020-08-10 19:24:10,2020
17,True,active,1,0,21,True,True,17,True,2020-08-10 18:44:45+00:00,21,0,0,,,2020-08-10 19:24:10,2020
18,True,active,21,0,22,True,True,24,True,2020-08-10 19:06:30+00:00,22,0,2,,,2020-08-10 19:24:10,2020
19,True,active,10,0,23,False,True,11,True,2020-08-10 19:04:09+00:00,23,0,0,,,2020-08-10 19:24:10,2020
20,True,active,5,0,24,False,True,14,True,2020-08-10 19:16:05+00:00,24,0,0,,,2020-08-10 19:24:10,2020
21,True,active,2,0,25,False,True,12,True,2020-08-10 19:14:17+00:00,25,0,1,,,2020-08-10 19:24:10,2020
22,True,active,8,0,26,False,True,7,True,2020-08-10 19:22:18+00:00,26,0,0,,,2020-08-10 19:24:10,2020
23,True,active,14,0,27,False,True,8,True,2020-08-10 19:23:52+00:00,27,0,1,,,2020-08-10 19:24:10,2020
24,True,active,7,0,29,False,True,7,True,2020-08-10 18:48:09+00:00,29,0,1,,,2020-08-10 19:24:10,2020
25,True,active,13,0,30,False,True,2,True,2020-08-10 19:23:27+00:00,30,0,0,,,2020-08-10 19:24:10,2020
26,True,active,5,0,31,True,True,14,True,2020-08-10 18:56:56+00:00,31,0,0,,,2020-08-10 19:24:10,2020
27,True,active,9,0,32,False,True,6,True,2020-08-10 19:22:47+00:00,32,0,0,,,2020-08-10 19:24:10,2020
28,True,active,16,0,33,False,True,11,True,2020-08-10 19:19:33+00:00,33,0,0,,,2020-08-10 19:24:10,2020
29,True,active,10,0,35,False,True,12,True,2020-08-10 19:16:44+00:00,35,0,1,,,2020-08-10 19:24:10,2020
30,True,active,7,0,36,True,True,26,True,2020-08-10 19:12:48+00:00,36,0,0,,,2020-08-10 19:24:10,2020
31,True,active,1,0,37,True,True,14,True,2020-08-10 17:32:54+00:00,37,0,0,,,2020-08-10 19:24:10,2020
32,True,active,23,0,39,False,True,0,True,2020-08-10 19:22:09+00:00,39,0,0,,,2020-08-10 19:24:10,2020
33,True,active,6,0,40,False,True,13,True,2020-08-10 19:13:47+00:00,40,0,0,,,2020-08-10 19:24:10,2020
34,True,active,8,0,41,True,True,17,True,2020-08-10 18:53:17+00:00,41,0,2,,,2020-08-10 19:24:10,2020
35,True,active,14,0,42,False,True,4,True,2020-08-10 19:01:34+00:00,42,0,5,,,2020-08-10 19:24:10,2020
