,num_bikes_available,is_installed,is_returning,station_status,legacy_id,last_reported,is_renting,num_ebikes_available,station_id,num_docks_disabled,num_bikes_disabled,num_docks_available,eightd_has_available_keys,valet,eightd_active_station_services,timestamp_of_data_read_request,year_station_last_reported
0,3,True,True,active,3,2020-08-10 21:17:39+00:00,True,0,3,0,0,12,False,,,2020-08-10 21:26:40,2020
1,5,True,True,active,4,2020-08-10 21:18:34+00:00,True,0,4,0,0,14,False,,,2020-08-10 21:26:40,2020
2,0,True,True,active,5,2020-08-10 21:13:48+00:00,True,0,5,0,0,15,False,,,2020-08-10 21:26:40,2020
3,4,True,True,active,6,2020-08-10 21:23:41+00:00,True,0,6,0,1,10,False,,,2020-08-10 21:26:40,2020
4,4,True,True,active,7,2020-08-10 21:24:20+00:00,True,0,7,0,0,11,False,,,2020-08-10 21:26:40,2020
5,11,True,True,active,8,2020-08-10 21:20:42+00:00,True,0,8,0,1,7,False,,,2020-08-10 21:26:40,2020
6,3,True,True,active,9,2020-08-10 21:20:09+00:00,True,0,9,0,0,12,False,,,2020-08-10 21:26:40,2020
7,5,True,True,active,10,2020-08-10 21:20:37+00:00,True,0,10,0,1,5,False,,,2020-08-10 21:26:40,2020
8,9,True,True,active,11,2020-08-10 21:25:31+00:00,True,0,11,0,1,5,False,,,2020-08-10 21:26:40,2020
9,15,True,True,active,12,2020-08-10 21:24:29+00:00,True,0,12,0,1,2,True,,,2020-08-10 21:26:40,2020
10,0,True,True,active,13,2020-08-10 21:26:33+00:00,True,0,13,0,0,19,False,,,2020-08-10 21:26:40,2020
11,0,True,True,active,14,2020-08-10 21:19:20+00:00,True,0,14,0,1,24,False,,,2020-08-10 21:26:40,2020
12,15,True,True,active,15,2020-08-10 21:06:56+00:00,True,0,15,0,0,0,False,,,2020-08-10 21:26:40,2020
13,10,True,True,active,16,2020-08-10 21:21:15+00:00,True,0,16,0,0,9,True,,,2020-08-10 21:26:40,2020
14,1,True,True,active,17,2020-08-10 21:16:30+00:00,True,0,17,0,0,14,False,,,2020-08-10 21:26:40,2020
15,7,True,True,active,19,2020-08-10 21:26:17+00:00,True,0,19,0,0,8,False,,,2020-08-10 21:26:40,2020
16,13,True,True,active,20,2020-08-10 21:16:47+00:00,True,0,20,0,2,8,True,,,2020-08-10 21:26:40,2020
17,3,True,True,active,21,2020-08-10 21:18:12+00:00,True,0,21,0,0,15,True,,,2020-08-10 21:26:40,2020
18,11,True,True,active,22,2020-08-10 21:19:22+00:00,True,0,22,0,2,34,True,,,2020-08-10 21:26:40,2020
19,8,True,True,active,23,2020-08-10 21:24:12+00:00,True,0,23,0,0,13,False,,,2020-08-10 21:26:40,2020
20,1,True,True,active,24,2020-08-10 21:20:40+00:00,True,0,24,0,1,17,False,,,2020-08-10 21:26:40,2020
21,7,True,True,active,25,2020-08-10 21:18:05+00:00,True,0,25,0,1,7,False,,,2020-08-10 21:26:40,2020
22,6,True,True,active,26,2020-08-10 21:24:28+00:00,True,0,26,0,0,9,False,,,2020-08-10 21:26:40,2020
23,13,True,True,active,27,2020-08-10 21:23:19+00:00,True,0,27,0,1,9,False,,,2020-08-10 21:26:40,2020
24,6,True,True,active,29,2020-08-10 21:21:39+00:00,True,0,29,0,1,8,False,,,2020-08-10 21:26:40,2020
25,2,True,True,active,30,2020-08-10 21:24:35+00:00,True,0,30,0,0,13,False,,,2020-08-10 21:26:40,2020
26,2,True,True,active,31,2020-08-10 21:20:05+00:00,True,0,31,0,1,16,True,,,2020-08-10 21:26:40,2020
27,12,True,True,active,32,2020-08-10 21:26:05+00:00,True,0,32,0,0,3,False,,,2020-08-10 21:26:40,2020
28,14,True,True,active,33,2020-08-10 21:22:32+00:00,True,0,33,0,0,13,False,,,2020-08-10 21:26:40,2020
29,12,True,True,active,35,2020-08-10 21:00:45+00:00,True,0,35,0,1,10,False,,,2020-08-10 21:26:40,2020
30,9,True,True,active,36,2020-08-10 21:19:45+00:00,True,0,36,0,0,24,True,,,2020-08-10 21:26:40,2020
31,10,True,True,active,37,2020-08-10 21:20:00+00:00,True,0,37,0,0,5,True,,,2020-08-10 21:26:40,2020
32,10,True,True,active,39,2020-08-10 21:17:15+00:00,True,0,39,0,0,13,False,,,2020-08-10 21:26:40,2020
33,9,True,True,active,40,2020-08-10 21:18:05+00:00,True,0,40,0,0,10,False,,,2020-08-10 21:26:40,2020
34,9,True,True,active,41,2020-08-10 21:05:21+00:00,True,0,41,0,3,15,True,,,2020-08-10 21:26:40,2020
35,15,True,True,active,42,2020-08-10 21:14:22+00:00,True,0,42,0,5,3,False,,,2020-08-10 21:26:40,2020
36,3,True,True,active,43,2020-08-10 21:24:17+00:00,True,0,43,0,0,12,True,,,2020-08-10 21:26:40,2020
37,1,True,True,active,44,2020-08-10 21:20:01+00:00,True,0,44,0,1,21,False,,,2020-08-10 21:26:40,2020
38,4,True,True,active,46,2020-08-10 21:26:18+00:00,True,0,46,0,2,13,False,,,2020-08-10 21:26:40,2020
39,7,True,True,active,47,2020-08-10 21:24:35+00:00,True,0,47,0,1,11,True,,,2020-08-10 21:26:40,2020
40,9,True,True,active,48,2020-08-10 21:24:31+00:00,True,0,48,0,0,10,False,,,2020-08-10 21:26:40,2020
41,6,True,True,active,49,2020-08-10 21:14:09+00:00,True,0,49,0,0,12,False,,,2020-08-10 21:26:40,2020
42,7,True,True,active,50,2020-08-10 21:23:31+00:00,True,0,50,0,0,8,True,,,2020-08-10 21:26:40,2020
43,2,True,True,active,51,2020-08-10 20:57:02+00:00,True,0,51,0,0,13,False,,,2020-08-10 21:26:40,2020
44,9,True,True,active,52,2020-08-10 21:18:27+00:00,True,0,52,0,1,13,True,,,2020-08-10 21:26:40,2020
45,12,True,True,active,53,2020-08-10 21:25:27+00:00,True,0,53,0,1,6,False,,,2020-08-10 21:26:40,2020
46,4,True,True,active,54,2020-08-10 21:22:38+00:00,True,0,54,0,0,11,False,,,2020-08-10 21:26:40,2020
47,4,True,True,active,55,2020-08-10 21:24:59+00:00,True,0,55,0,2,9,False,,,2020-08-10 21:26:40,2020
48,4,True,True,active,56,2020-08-10 21:01:18+00:00,True,0,56,0,1,13,True,,,2020-08-10 21:26:40,2020
49,5,True,True,active,57,2020-08-10 21:13:20+00:00,True,0,57,0,0,9,True,,,2020-08-10 21:26:40,2020
