,is_returning,num_docks_available,last_reported,num_docks_disabled,legacy_id,num_ebikes_available,is_installed,num_bikes_disabled,num_bikes_available,station_status,station_id,eightd_has_available_keys,is_renting,valet,eightd_active_station_services,timestamp_of_data_read_request,year_station_last_reported
0,True,15,2020-08-10 22:25:55+00:00,0,3,0,True,0,0,active,3,False,True,,,2020-08-10 22:38:15,2020
1,True,13,2020-08-10 22:29:53+00:00,0,4,0,True,0,6,active,4,False,True,,,2020-08-10 22:38:15,2020
2,True,12,2020-08-10 22:36:01+00:00,0,5,0,True,0,3,active,5,False,True,,,2020-08-10 22:38:15,2020
3,True,12,2020-08-10 22:37:11+00:00,0,6,0,True,1,2,active,6,False,True,,,2020-08-10 22:38:15,2020
4,True,12,2020-08-10 22:34:37+00:00,0,7,0,True,0,3,active,7,False,True,,,2020-08-10 22:38:15,2020
5,True,5,2020-08-10 22:31:35+00:00,0,8,0,True,2,12,active,8,False,True,,,2020-08-10 22:38:15,2020
6,True,11,2020-08-10 22:36:29+00:00,0,9,0,True,0,4,active,9,False,True,,,2020-08-10 22:38:15,2020
7,True,3,2020-08-10 22:33:46+00:00,0,10,0,True,1,7,active,10,False,True,,,2020-08-10 22:38:15,2020
8,True,14,2020-08-10 22:36:07+00:00,0,11,0,True,1,0,active,11,False,True,,,2020-08-10 22:38:15,2020
9,True,4,2020-08-10 22:36:02+00:00,0,12,0,True,1,13,active,12,True,True,,,2020-08-10 22:38:15,2020
10,True,19,2020-08-10 21:26:33+00:00,0,13,0,True,0,0,active,13,False,True,,,2020-08-10 22:38:15,2020
11,True,24,2020-08-10 22:36:02+00:00,0,14,0,True,0,1,active,14,False,True,,,2020-08-10 22:38:15,2020
12,True,0,2020-08-10 21:06:56+00:00,0,15,0,True,0,15,active,15,False,True,,,2020-08-10 22:38:15,2020
13,True,11,2020-08-10 22:32:40+00:00,0,16,0,True,0,8,active,16,True,True,,,2020-08-10 22:38:15,2020
14,True,14,2020-08-10 22:09:59+00:00,0,17,0,True,0,1,active,17,False,True,,,2020-08-10 22:38:15,2020
15,True,10,2020-08-10 22:37:36+00:00,0,19,0,True,0,5,active,19,False,True,,,2020-08-10 22:38:15,2020
16,True,11,2020-08-10 22:34:20+00:00,0,20,0,True,2,10,active,20,True,True,,,2020-08-10 22:38:15,2020
17,True,9,2020-08-10 22:35:20+00:00,0,21,0,True,0,9,active,21,True,True,,,2020-08-10 22:38:15,2020
18,True,35,2020-08-10 22:34:31+00:00,0,22,0,True,2,10,active,22,True,True,,,2020-08-10 22:38:15,2020
19,True,18,2020-08-10 22:34:13+00:00,0,23,0,True,0,3,active,23,False,True,,,2020-08-10 22:38:15,2020
20,True,13,2020-08-10 22:38:09+00:00,0,24,0,True,2,4,active,24,False,True,,,2020-08-10 22:38:15,2020
21,True,6,2020-08-10 22:36:53+00:00,0,25,0,True,1,8,active,25,False,True,,,2020-08-10 22:38:15,2020
22,True,5,2020-08-10 22:31:49+00:00,0,26,0,True,1,9,active,26,False,True,,,2020-08-10 22:38:15,2020
23,True,10,2020-08-10 22:31:10+00:00,0,27,0,True,1,12,active,27,False,True,,,2020-08-10 22:38:15,2020
24,True,8,2020-08-10 21:21:39+00:00,0,29,0,True,1,6,active,29,False,True,,,2020-08-10 22:38:15,2020
25,True,15,2020-08-10 21:33:32+00:00,0,30,0,True,0,0,active,30,False,True,,,2020-08-10 22:38:15,2020
26,True,16,2020-08-10 21:20:05+00:00,0,31,0,True,1,2,active,31,True,True,,,2020-08-10 22:38:15,2020
27,True,1,2020-08-10 22:36:01+00:00,0,32,0,True,0,14,active,32,False,True,,,2020-08-10 22:38:15,2020
28,True,19,2020-08-10 22:31:46+00:00,0,33,0,True,0,8,active,33,False,True,,,2020-08-10 22:38:15,2020
29,True,12,2020-08-10 22:08:13+00:00,0,35,0,True,0,11,active,35,False,True,,,2020-08-10 22:38:15,2020
30,True,21,2020-08-10 22:31:18+00:00,0,36,0,True,0,12,active,36,True,True,,,2020-08-10 22:38:15,2020
31,True,7,2020-08-10 22:00:24+00:00,0,37,0,True,0,8,active,37,True,True,,,2020-08-10 22:38:15,2020
32,True,23,2020-08-10 22:14:29+00:00,0,39,0,True,0,0,active,39,False,True,,,2020-08-10 22:38:15,2020
33,True,5,2020-08-10 22:13:42+00:00,0,40,0,True,0,14,active,40,False,True,,,2020-08-10 22:38:15,2020
34,True,22,2020-08-10 22:37:34+00:00,0,41,0,True,3,2,active,41,True,True,,,2020-08-10 22:38:15,2020
35,True,2,2020-08-10 22:01:46+00:00,0,42,0,True,5,16,active,42,False,True,,,2020-08-10 22:38:15,2020
36,True,14,2020-08-10 22:25:22+00:00,0,43,0,True,0,1,active,43,True,True,,,2020-08-10 22:38:15,2020
37,True,17,2020-08-10 22:20:07+00:00,0,44,0,True,1,5,active,44,False,True,,,2020-08-10 22:38:15,2020
38,True,1,2020-08-10 22:35:29+00:00,0,46,0,True,0,18,active,46,False,True,,,2020-08-10 22:38:15,2020
39,True,11,2020-08-10 22:36:04+00:00,0,47,0,True,1,7,active,47,True,True,,,2020-08-10 22:38:15,2020
40,True,12,2020-08-10 22:18:25+00:00,0,48,0,True,0,7,active,48,False,True,,,2020-08-10 22:38:15,2020
41,True,7,2020-08-10 22:08:39+00:00,0,49,0,True,1,10,active,49,False,True,,,2020-08-10 22:38:15,2020
42,True,7,2020-08-10 22:22:38+00:00,0,50,0,True,0,8,active,50,True,True,,,2020-08-10 22:38:15,2020
43,True,13,2020-08-10 22:11:58+00:00,0,51,0,True,0,2,active,51,False,True,,,2020-08-10 22:38:15,2020
44,True,9,2020-08-10 22:34:28+00:00,0,52,0,True,0,14,active,52,True,True,,,2020-08-10 22:38:15,2020
45,True,6,2020-08-10 22:37:37+00:00,0,53,0,True,0,13,active,53,False,True,,,2020-08-10 22:38:15,2020
46,True,9,2020-08-10 22:34:02+00:00,0,54,0,True,0,6,active,54,False,True,,,2020-08-10 22:38:15,2020
47,True,7,2020-08-10 22:27:10+00:00,0,55,0,True,1,7,active,55,False,True,,,2020-08-10 22:38:15,2020
48,True,11,2020-08-10 22:28:18+00:00,0,56,0,True,1,6,active,56,True,True,,,2020-08-10 22:38:15,2020
49,True,4,2020-08-10 22:37:35+00:00,0,57,0,True,0,10,active,57,True,True,,,2020-08-10 22:38:15,2020
50,True,1,2020-08-10 22:27:16+00:00,0,58,0,True,4,14,active,58,True,True,,,2020-08-10 22:38:15,2020
51,True,19,2020-08-10 22:36:33+00:00,0,59,0,True,0,0,active,59,True,True,,,2020-08-10 22:38:15,2020
52,True,7,2020-08-10 22:38:12+00:00,0,60,0,True,0,12,active,60,False,True,"{'region': 'BOS', 'valet_revision': 71, 'off_dock_capacity': 40, 'off_dock_count': 3, 'station_id': 'f8348a68-0de8-11e7-991c-3863bb43a7d0', 'active': True, 'dock_blocked_count': 0}",[{'id': 'f8348a68-0de8-11e7-991c-3863bb43a7d0'}],2020-08-10 22:38:15,2020
53,True,11,2020-08-10 22:36:35+00:00,0,61,0,True,1,7,active,61,False,True,,,2020-08-10 22:38:15,2020
54,True,10,2020-08-10 21:38:13+00:00,0,63,0,True,2,3,active,63,False,True,,,2020-08-10 22:38:15,2020
55,True,14,2020-08-10 22:15:44+00:00,0,64,0,True,0,5,active,64,False,True,,,2020-08-10 22:38:15,2020
56,True,18,2020-08-10 22:29:21+00:00,0,65,0,True,0,5,active,65,False,True,,,2020-08-10 22:38:15,2020
57,True,11,2020-08-10 22:31:49+00:00,0,66,0,True,0,4,active,66,False,True,,,2020-08-10 22:38:15,2020
