,legacy_id,station_id,num_bikes_disabled,is_installed,station_status,eightd_has_available_keys,is_returning,num_bikes_available,num_ebikes_available,is_renting,last_reported,num_docks_available,num_docks_disabled,eightd_active_station_services,valet,timestamp_of_data_read_request,year_station_last_reported
0,3,3,0,True,active,False,True,0,0,True,2020-08-10 22:25:55+00:00,15,0,,,2020-08-10 22:48:25,2020
1,4,4,0,True,active,False,True,6,0,True,2020-08-10 22:29:53+00:00,13,0,,,2020-08-10 22:48:25,2020
2,5,5,0,True,active,False,True,3,0,True,2020-08-10 22:46:02+00:00,12,0,,,2020-08-10 22:48:25,2020
3,6,6,1,True,active,False,True,1,0,True,2020-08-10 22:41:47+00:00,13,0,,,2020-08-10 22:48:25,2020
4,7,7,0,True,active,False,True,3,0,True,2020-08-10 22:34:37+00:00,12,0,,,2020-08-10 22:48:25,2020
5,8,8,2,True,active,False,True,12,0,True,2020-08-10 22:31:35+00:00,5,0,,,2020-08-10 22:48:25,2020
6,9,9,0,True,active,False,True,6,0,True,2020-08-10 22:46:56+00:00,9,0,,,2020-08-10 22:48:25,2020
7,10,10,1,True,active,False,True,6,0,True,2020-08-10 22:41:09+00:00,4,0,,,2020-08-10 22:48:25,2020
8,11,11,0,True,active,False,True,0,0,True,2020-08-10 22:44:32+00:00,15,0,,,2020-08-10 22:48:25,2020
9,12,12,2,True,active,True,True,13,0,True,2020-08-10 22:48:16+00:00,3,0,,,2020-08-10 22:48:25,2020
10,13,13,0,True,active,False,True,0,0,True,2020-08-10 21:26:33+00:00,19,0,,,2020-08-10 22:48:25,2020
11,14,14,0,True,active,False,True,0,0,True,2020-08-10 22:40:42+00:00,25,0,,,2020-08-10 22:48:25,2020
12,15,15,0,True,active,False,True,14,0,True,2020-08-10 22:39:07+00:00,1,0,,,2020-08-10 22:48:25,2020
13,16,16,0,True,active,True,True,8,0,True,2020-08-10 22:39:38+00:00,11,0,,,2020-08-10 22:48:25,2020
14,17,17,0,True,active,False,True,1,0,True,2020-08-10 22:09:59+00:00,14,0,,,2020-08-10 22:48:25,2020
15,19,19,0,True,active,False,True,4,0,True,2020-08-10 22:46:16+00:00,11,0,,,2020-08-10 22:48:25,2020
16,20,20,2,True,active,True,True,10,0,True,2020-08-10 22:34:20+00:00,11,0,,,2020-08-10 22:48:25,2020
17,21,21,0,True,active,True,True,8,0,True,2020-08-10 22:40:14+00:00,10,0,,,2020-08-10 22:48:25,2020
18,22,22,2,True,active,True,True,9,0,True,2020-08-10 22:41:05+00:00,36,0,,,2020-08-10 22:48:25,2020
19,23,23,0,True,active,False,True,3,0,True,2020-08-10 22:34:13+00:00,18,0,,,2020-08-10 22:48:25,2020
20,24,24,1,True,active,False,True,5,0,True,2020-08-10 22:43:16+00:00,13,0,,,2020-08-10 22:48:25,2020
21,25,25,1,True,active,False,True,6,0,True,2020-08-10 22:43:14+00:00,8,0,,,2020-08-10 22:48:25,2020
22,26,26,1,True,active,False,True,11,0,True,2020-08-10 22:46:33+00:00,3,0,,,2020-08-10 22:48:25,2020
23,27,27,1,True,active,False,True,10,0,True,2020-08-10 22:43:21+00:00,12,0,,,2020-08-10 22:48:25,2020
24,29,29,1,True,active,False,True,6,0,True,2020-08-10 21:21:39+00:00,8,0,,,2020-08-10 22:48:25,2020
25,30,30,0,True,active,False,True,0,0,True,2020-08-10 21:33:32+00:00,15,0,,,2020-08-10 22:48:25,2020
26,31,31,1,True,active,True,True,2,0,True,2020-08-10 21:20:05+00:00,16,0,,,2020-08-10 22:48:25,2020
27,32,32,0,True,active,False,True,12,0,True,2020-08-10 22:47:30+00:00,3,0,,,2020-08-10 22:48:25,2020
28,33,33,0,True,active,False,True,8,0,True,2020-08-10 22:31:46+00:00,19,0,,,2020-08-10 22:48:25,2020
29,35,35,0,True,active,False,True,11,0,True,2020-08-10 22:08:13+00:00,12,0,,,2020-08-10 22:48:25,2020
