,num_bikes_disabled,eightd_has_available_keys,legacy_id,num_docks_available,station_id,is_installed,is_renting,num_docks_disabled,last_reported,num_bikes_available,station_status,num_ebikes_available,is_returning,timestamp_of_data_read_request,year_station_last_reported
0,0,False,3,15,3,True,True,0,2020-08-11 00:32:56+00:00,0,active,0,True,2020-08-11 01:21:40,2020
1,0,False,4,9,4,True,True,0,2020-08-11 00:08:57+00:00,10,active,0,True,2020-08-11 01:21:40,2020
2,0,False,5,8,5,True,True,0,2020-08-11 01:18:41+00:00,7,active,0,True,2020-08-11 01:21:40,2020
3,2,False,6,8,6,True,True,0,2020-08-11 01:07:39+00:00,5,active,0,True,2020-08-11 01:21:40,2020
4,0,False,7,3,7,True,True,0,2020-08-11 00:30:51+00:00,12,active,0,True,2020-08-11 01:21:40,2020
5,2,False,8,1,8,True,True,0,2020-08-11 01:09:31+00:00,16,active,0,True,2020-08-11 01:21:40,2020
6,0,False,9,1,9,True,True,0,2020-08-11 00:50:01+00:00,14,active,0,True,2020-08-11 01:21:40,2020
7,0,False,10,6,10,True,True,0,2020-08-11 00:59:26+00:00,5,active,0,True,2020-08-11 01:21:40,2020
8,0,False,11,15,11,True,True,0,2020-08-11 00:31:25+00:00,0,active,0,True,2020-08-11 01:21:40,2020
9,1,True,12,9,12,True,True,0,2020-08-11 01:11:20+00:00,8,active,0,True,2020-08-11 01:21:40,2020
10,0,False,13,18,13,True,True,0,2020-08-10 23:33:24+00:00,1,active,0,True,2020-08-11 01:21:40,2020
11,0,False,14,25,14,True,True,0,2020-08-11 01:19:25+00:00,0,active,0,True,2020-08-11 01:21:40,2020
12,0,False,15,0,15,True,True,0,2020-08-10 23:44:01+00:00,15,active,0,True,2020-08-11 01:21:40,2020
13,0,True,16,12,16,True,True,0,2020-08-11 00:20:11+00:00,7,active,0,True,2020-08-11 01:21:40,2020
14,1,False,17,11,17,True,True,0,2020-08-10 23:41:06+00:00,3,active,0,True,2020-08-11 01:21:40,2020
15,0,False,19,4,19,True,True,0,2020-08-11 00:54:07+00:00,11,active,0,True,2020-08-11 01:21:40,2020
16,3,True,20,16,20,True,True,0,2020-08-11 01:16:17+00:00,4,active,0,True,2020-08-11 01:21:40,2020
17,0,True,21,10,21,True,True,0,2020-08-11 01:17:36+00:00,8,active,0,True,2020-08-11 01:21:40,2020
18,2,True,22,36,22,True,True,0,2020-08-11 01:09:22+00:00,9,active,0,True,2020-08-11 01:21:40,2020
19,1,False,23,20,23,True,True,0,2020-08-11 00:51:13+00:00,0,active,0,True,2020-08-11 01:21:40,2020
20,1,False,24,16,24,True,True,0,2020-08-11 00:50:42+00:00,2,active,0,True,2020-08-11 01:21:40,2020
21,2,False,25,5,25,True,True,0,2020-08-11 00:41:51+00:00,8,active,0,True,2020-08-11 01:21:40,2020
22,1,False,26,6,26,True,True,0,2020-08-11 00:33:31+00:00,8,active,0,True,2020-08-11 01:21:40,2020
23,1,False,27,5,27,True,True,0,2020-08-11 01:19:43+00:00,17,active,0,True,2020-08-11 01:21:40,2020
24,1,False,29,10,29,True,True,0,2020-08-11 01:16:52+00:00,4,active,0,True,2020-08-11 01:21:40,2020
25,0,False,30,12,30,True,True,0,2020-08-11 01:17:54+00:00,3,active,0,True,2020-08-11 01:21:40,2020
26,1,True,31,16,31,True,True,0,2020-08-11 00:23:37+00:00,2,active,0,True,2020-08-11 01:21:40,2020
27,0,False,32,15,32,True,True,0,2020-08-11 01:04:52+00:00,0,active,0,True,2020-08-11 01:21:40,2020
28,0,False,33,19,33,True,True,0,2020-08-11 00:48:49+00:00,8,active,0,True,2020-08-11 01:21:40,2020
29,0,False,35,12,35,True,True,0,2020-08-10 23:44:02+00:00,11,active,0,True,2020-08-11 01:21:40,2020
30,0,True,36,26,36,True,True,0,2020-08-11 01:03:39+00:00,7,active,0,True,2020-08-11 01:21:40,2020
31,0,True,37,7,37,True,True,0,2020-08-10 23:35:32+00:00,8,active,0,True,2020-08-11 01:21:40,2020
32,0,False,39,18,39,True,True,0,2020-08-11 01:08:39+00:00,5,active,0,True,2020-08-11 01:21:40,2020
33,0,False,40,5,40,True,True,0,2020-08-11 01:21:27+00:00,14,active,0,True,2020-08-11 01:21:40,2020
34,2,True,41,22,41,True,True,0,2020-08-11 01:17:31+00:00,3,active,0,True,2020-08-11 01:21:40,2020
35,4,False,42,10,42,True,True,0,2020-08-11 00:51:36+00:00,9,active,0,True,2020-08-11 01:21:40,2020
36,0,True,43,14,43,True,True,0,2020-08-11 01:10:42+00:00,1,active,0,True,2020-08-11 01:21:40,2020
37,1,False,44,15,44,True,True,0,2020-08-11 00:54:12+00:00,7,active,0,True,2020-08-11 01:21:40,2020
38,0,False,46,5,46,True,True,0,2020-08-11 01:17:07+00:00,14,active,0,True,2020-08-11 01:21:40,2020
39,1,True,47,11,47,True,True,0,2020-08-11 00:58:32+00:00,7,active,0,True,2020-08-11 01:21:40,2020
40,0,False,48,17,48,True,True,0,2020-08-11 01:05:37+00:00,2,active,0,True,2020-08-11 01:21:40,2020
