,num_bikes_available,num_docks_disabled,is_returning,station_status,num_ebikes_available,eightd_has_available_keys,num_docks_available,station_id,num_bikes_disabled,is_renting,is_installed,last_reported,legacy_id,timestamp_of_data_read_request,year_station_last_reported
0,1,0,True,active,0,False,14,3,0,True,True,2020-08-11 03:20:54+00:00,3,2020-08-11 03:34:25,2020
1,8,0,True,active,0,False,11,4,0,True,True,2020-08-11 02:44:27+00:00,4,2020-08-11 03:34:25,2020
2,7,0,True,active,0,False,8,5,0,True,True,2020-08-11 03:30:33+00:00,5,2020-08-11 03:34:25,2020
3,5,0,True,active,0,False,8,6,2,True,True,2020-08-11 03:18:36+00:00,6,2020-08-11 03:34:25,2020
4,12,0,True,active,0,False,3,7,0,True,True,2020-08-11 03:15:54+00:00,7,2020-08-11 03:34:25,2020
5,17,0,True,active,0,False,0,8,2,True,True,2020-08-11 01:41:34+00:00,8,2020-08-11 03:34:25,2020
6,13,0,True,active,0,False,2,9,0,True,True,2020-08-11 02:56:54+00:00,9,2020-08-11 03:34:25,2020
7,6,0,True,active,0,False,5,10,0,True,True,2020-08-11 02:49:09+00:00,10,2020-08-11 03:34:25,2020
8,0,0,True,active,0,False,15,11,0,True,True,2020-08-11 03:05:54+00:00,11,2020-08-11 03:34:25,2020
9,7,0,True,active,0,True,10,12,1,True,True,2020-08-11 02:43:19+00:00,12,2020-08-11 03:34:25,2020
10,0,0,True,active,0,False,19,13,0,True,True,2020-08-11 03:28:59+00:00,13,2020-08-11 03:34:25,2020
11,2,0,True,active,0,False,23,14,0,True,True,2020-08-11 02:32:13+00:00,14,2020-08-11 03:34:25,2020
12,15,0,True,active,0,False,0,15,0,True,True,2020-08-10 23:44:01+00:00,15,2020-08-11 03:34:25,2020
13,6,0,True,active,0,True,13,16,0,True,True,2020-08-11 02:09:05+00:00,16,2020-08-11 03:34:25,2020
14,6,0,True,active,0,False,8,17,1,True,True,2020-08-11 01:59:29+00:00,17,2020-08-11 03:34:25,2020
15,9,0,True,active,0,False,6,19,0,True,True,2020-08-11 01:39:14+00:00,19,2020-08-11 03:34:25,2020
16,7,0,True,active,0,True,14,20,2,True,True,2020-08-11 02:54:34+00:00,20,2020-08-11 03:34:25,2020
17,6,0,True,active,0,True,12,21,0,True,True,2020-08-11 03:29:47+00:00,21,2020-08-11 03:34:25,2020
18,6,0,True,active,0,True,39,22,2,True,True,2020-08-11 03:31:17+00:00,22,2020-08-11 03:34:25,2020
19,0,0,True,active,0,False,20,23,1,True,True,2020-08-11 00:51:13+00:00,23,2020-08-11 03:34:25,2020
20,0,0,True,active,0,False,18,24,1,True,True,2020-08-11 02:35:45+00:00,24,2020-08-11 03:34:25,2020
21,10,0,True,active,0,False,3,25,2,True,True,2020-08-11 03:30:40+00:00,25,2020-08-11 03:34:25,2020
22,8,0,True,active,0,False,6,26,1,True,True,2020-08-11 02:13:05+00:00,26,2020-08-11 03:34:25,2020
23,22,0,True,active,0,False,0,27,1,True,True,2020-08-11 03:14:45+00:00,27,2020-08-11 03:34:25,2020
24,6,0,True,active,0,False,8,29,1,True,True,2020-08-11 01:42:05+00:00,29,2020-08-11 03:34:25,2020
25,4,0,True,active,0,False,11,30,0,True,True,2020-08-11 03:34:19+00:00,30,2020-08-11 03:34:25,2020
26,2,0,True,active,0,True,16,31,1,True,True,2020-08-11 00:23:37+00:00,31,2020-08-11 03:34:25,2020
27,0,0,True,active,0,False,15,32,0,True,True,2020-08-11 03:05:11+00:00,32,2020-08-11 03:34:25,2020
28,8,0,True,active,0,False,19,33,0,True,True,2020-08-11 03:15:01+00:00,33,2020-08-11 03:34:25,2020
29,3,0,True,active,0,False,20,35,0,True,True,2020-08-11 01:59:50+00:00,35,2020-08-11 03:34:25,2020
30,12,0,True,active,0,True,21,36,0,True,True,2020-08-11 03:33:56+00:00,36,2020-08-11 03:34:25,2020
31,8,0,True,active,0,True,7,37,0,True,True,2020-08-10 23:35:32+00:00,37,2020-08-11 03:34:25,2020
32,4,0,True,active,0,False,19,39,0,True,True,2020-08-11 02:31:06+00:00,39,2020-08-11 03:34:25,2020
33,14,0,True,active,0,False,5,40,0,True,True,2020-08-11 03:24:13+00:00,40,2020-08-11 03:34:25,2020
34,18,0,True,active,0,True,7,41,2,True,True,2020-08-11 03:29:17+00:00,41,2020-08-11 03:34:25,2020
35,6,0,True,active,0,False,13,42,4,True,True,2020-08-11 02:07:52+00:00,42,2020-08-11 03:34:25,2020
36,5,0,True,active,0,True,10,43,0,True,True,2020-08-11 01:53:25+00:00,43,2020-08-11 03:34:25,2020
37,7,0,True,active,0,False,15,44,1,True,True,2020-08-11 00:54:12+00:00,44,2020-08-11 03:34:25,2020
38,12,0,True,active,0,False,7,46,0,True,True,2020-08-11 03:18:39+00:00,46,2020-08-11 03:34:25,2020
39,10,0,True,active,0,True,8,47,1,True,True,2020-08-11 02:53:53+00:00,47,2020-08-11 03:34:25,2020
40,2,0,True,active,0,False,17,48,0,True,True,2020-08-11 01:05:37+00:00,48,2020-08-11 03:34:25,2020
41,14,0,True,active,0,False,3,49,1,True,True,2020-08-11 02:14:57+00:00,49,2020-08-11 03:34:25,2020
42,6,0,True,active,0,True,9,50,0,True,True,2020-08-11 01:19:33+00:00,50,2020-08-11 03:34:25,2020
43,3,0,True,active,0,False,11,51,1,True,True,2020-08-11 01:21:12+00:00,51,2020-08-11 03:34:25,2020
44,16,0,True,active,0,True,7,52,0,True,True,2020-08-11 03:17:44+00:00,52,2020-08-11 03:34:25,2020
45,13,0,True,active,0,False,6,53,0,True,True,2020-08-11 03:24:36+00:00,53,2020-08-11 03:34:25,2020
46,3,0,True,active,0,False,12,54,0,True,True,2020-08-11 02:50:57+00:00,54,2020-08-11 03:34:25,2020
47,8,0,True,active,0,False,6,55,1,True,True,2020-08-11 02:24:07+00:00,55,2020-08-11 03:34:25,2020
48,7,0,True,active,0,True,10,56,1,True,True,2020-08-11 03:22:50+00:00,56,2020-08-11 03:34:25,2020
49,7,0,True,active,0,True,7,57,0,True,True,2020-08-11 03:07:26+00:00,57,2020-08-11 03:34:25,2020
50,10,0,True,active,0,True,5,58,4,True,True,2020-08-11 02:53:41+00:00,58,2020-08-11 03:34:25,2020
51,6,0,True,active,0,True,13,59,0,True,True,2020-08-11 03:00:56+00:00,59,2020-08-11 03:34:25,2020
52,4,0,True,active,0,False,15,60,0,True,True,2020-08-11 03:03:59+00:00,60,2020-08-11 03:34:25,2020
53,7,0,True,active,0,False,11,61,1,True,True,2020-08-11 02:57:01+00:00,61,2020-08-11 03:34:25,2020
54,4,0,True,active,0,False,9,63,2,True,True,2020-08-10 22:55:41+00:00,63,2020-08-11 03:34:25,2020
55,3,0,True,active,0,False,16,64,0,True,True,2020-08-11 02:17:45+00:00,64,2020-08-11 03:34:25,2020
56,4,0,True,active,0,False,19,65,0,True,True,2020-08-10 23:13:48+00:00,65,2020-08-11 03:34:25,2020
57,15,0,True,active,0,False,0,66,0,True,True,2020-08-11 02:52:54+00:00,66,2020-08-11 03:34:25,2020
58,2,0,True,active,0,True,25,67,0,True,True,2020-08-11 03:25:52+00:00,67,2020-08-11 03:34:25,2020
59,10,0,True,active,0,True,9,68,0,True,True,2020-08-11 03:19:42+00:00,68,2020-08-11 03:34:25,2020
60,9,0,True,active,0,True,9,69,1,True,True,2020-08-11 03:08:08+00:00,69,2020-08-11 03:34:25,2020
61,21,0,True,active,0,False,2,70,0,True,True,2020-08-11 01:00:24+00:00,70,2020-08-11 03:34:25,2020
62,21,0,True,active,0,False,2,71,0,True,True,2020-08-11 03:20:40+00:00,71,2020-08-11 03:34:25,2020
63,0,0,True,active,0,False,23,72,0,True,True,2020-08-11 00:52:03+00:00,72,2020-08-11 03:34:25,2020
64,0,0,True,active,0,False,15,73,0,True,True,2020-08-11 02:20:43+00:00,73,2020-08-11 03:34:25,2020
65,2,0,True,active,0,True,17,74,0,True,True,2020-08-11 03:26:31+00:00,74,2020-08-11 03:34:25,2020
66,4,0,True,active,0,False,11,75,0,True,True,2020-08-11 03:28:28+00:00,75,2020-08-11 03:34:25,2020
67,5,0,True,active,0,False,12,76,0,True,True,2020-08-11 03:34:07+00:00,76,2020-08-11 03:34:25,2020
68,5,0,True,active,0,False,9,77,1,True,True,2020-08-11 01:56:46+00:00,77,2020-08-11 03:34:25,2020
69,2,0,True,active,0,False,17,78,0,True,True,2020-08-11 02:41:44+00:00,78,2020-08-11 03:34:25,2020
70,14,0,True,active,0,False,2,79,3,True,True,2020-08-11 03:21:34+00:00,79,2020-08-11 03:34:25,2020
71,2,0,True,active,0,False,33,80,0,True,True,2020-08-11 03:24:27+00:00,80,2020-08-11 03:34:25,2020
72,6,0,True,active,0,False,13,81,0,True,True,2020-08-11 02:10:10+00:00,81,2020-08-11 03:34:25,2020
73,1,0,True,active,0,False,14,82,0,True,True,2020-08-11 01:05:23+00:00,82,2020-08-11 03:34:25,2020
74,3,0,True,active,0,False,11,84,1,True,True,2020-08-11 02:55:07+00:00,84,2020-08-11 03:34:25,2020
75,0,0,True,active,0,False,19,85,0,True,True,2020-08-11 02:45:23+00:00,85,2020-08-11 03:34:25,2020
76,5,0,True,active,0,False,14,86,0,True,True,2020-08-11 03:26:26+00:00,86,2020-08-11 03:34:25,2020
77,13,0,True,active,0,False,2,87,0,True,True,2020-08-11 02:50:41+00:00,87,2020-08-11 03:34:25,2020
78,8,0,True,active,0,False,11,89,0,True,True,2020-08-11 02:41:49+00:00,89,2020-08-11 03:34:25,2020
79,18,0,True,active,0,False,0,90,1,True,True,2020-08-11 01:15:28+00:00,90,2020-08-11 03:34:25,2020
80,3,0,True,active,0,False,15,91,1,True,True,2020-08-11 01:55:48+00:00,91,2020-08-11 03:34:25,2020
81,9,0,True,active,0,False,10,92,0,True,True,2020-08-11 00:43:16+00:00,92,2020-08-11 03:34:25,2020
82,12,0,True,active,0,False,2,93,1,True,True,2020-08-11 02:00:31+00:00,93,2020-08-11 03:34:25,2020
83,3,0,True,active,0,False,8,94,0,True,True,2020-08-11 03:12:29+00:00,94,2020-08-11 03:34:25,2020
84,8,0,True,active,0,False,5,95,2,True,True,2020-08-11 03:04:44+00:00,95,2020-08-11 03:34:25,2020
85,19,0,True,active,0,False,0,96,0,True,True,2020-08-11 03:10:57+00:00,96,2020-08-11 03:34:25,2020
86,15,0,True,active,0,False,4,97,0,True,True,2020-08-11 03:08:31+00:00,97,2020-08-11 03:34:25,2020
87,7,0,True,active,0,False,16,98,0,True,True,2020-08-11 02:55:31+00:00,98,2020-08-11 03:34:25,2020
88,8,0,True,active,0,False,7,99,0,True,True,2020-08-11 01:57:00+00:00,99,2020-08-11 03:34:25,2020
89,14,0,True,active,0,True,10,100,1,True,True,2020-08-11 03:02:11+00:00,100,2020-08-11 03:34:25,2020
90,14,0,True,active,0,False,0,101,1,True,True,2020-08-11 00:41:43+00:00,101,2020-08-11 03:34:25,2020
91,3,0,True,active,0,False,12,102,0,True,True,2020-08-11 03:33:19+00:00,102,2020-08-11 03:34:25,2020
92,11,0,True,active,0,False,4,103,0,True,True,2020-08-11 03:07:29+00:00,103,2020-08-11 03:34:25,2020
93,9,0,True,active,0,False,10,104,0,True,True,2020-08-11 02:28:50+00:00,104,2020-08-11 03:34:25,2020
94,11,0,True,active,0,False,6,105,2,True,True,2020-08-11 03:02:18+00:00,105,2020-08-11 03:34:25,2020
95,6,0,True,active,0,False,8,106,1,True,True,2020-08-10 23:29:51+00:00,106,2020-08-11 03:34:25,2020
96,9,0,True,active,0,False,8,107,2,True,True,2020-08-11 03:18:23+00:00,107,2020-08-11 03:34:25,2020
97,4,0,True,active,0,False,13,108,0,True,True,2020-08-11 03:16:56+00:00,108,2020-08-11 03:34:25,2020
98,8,0,True,active,0,False,26,109,1,True,True,2020-08-11 01:24:03+00:00,109,2020-08-11 03:34:25,2020
99,3,0,True,active,0,False,12,110,0,True,True,2020-08-11 01:24:13+00:00,110,2020-08-11 03:34:25,2020
100,7,0,True,active,0,False,8,111,0,True,True,2020-08-11 02:47:00+00:00,111,2020-08-11 03:34:25,2020
101,9,0,True,active,0,False,6,112,0,True,True,2020-08-11 00:23:13+00:00,112,2020-08-11 03:34:25,2020
102,13,0,True,active,0,False,1,113,1,True,True,2020-08-11 03:31:23+00:00,113,2020-08-11 03:34:25,2020
103,3,0,True,active,0,False,11,114,1,True,True,2020-08-11 02:15:25+00:00,114,2020-08-11 03:34:25,2020
104,15,0,True,active,0,False,4,115,0,True,True,2020-08-11 03:28:29+00:00,115,2020-08-11 03:34:25,2020
105,19,0,True,active,0,False,4,116,0,True,True,2020-08-11 03:30:34+00:00,116,2020-08-11 03:34:25,2020
106,12,0,True,active,0,False,7,117,0,True,True,2020-08-11 01:34:16+00:00,117,2020-08-11 03:34:25,2020
107,18,0,True,active,0,False,0,118,1,True,True,2020-08-11 02:22:40+00:00,118,2020-08-11 03:34:25,2020
108,2,0,True,active,0,False,13,119,0,True,True,2020-08-11 02:00:37+00:00,119,2020-08-11 03:34:25,2020
109,9,0,True,active,0,False,1,120,5,True,True,2020-08-11 02:14:14+00:00,120,2020-08-11 03:34:25,2020
110,7,0,True,active,0,False,10,121,0,True,True,2020-08-11 03:21:27+00:00,121,2020-08-11 03:34:25,2020
111,11,0,True,active,0,False,4,122,0,True,True,2020-08-11 01:13:59+00:00,122,2020-08-11 03:34:25,2020
112,11,0,True,active,0,False,4,124,0,True,True,2020-08-11 00:41:14+00:00,124,2020-08-11 03:34:25,2020
113,6,0,True,active,0,False,9,125,0,True,True,2020-08-11 03:06:56+00:00,125,2020-08-11 03:34:25,2020
114,4,0,True,active,0,False,11,126,0,True,True,2020-08-11 03:07:56+00:00,126,2020-08-11 03:34:25,2020
115,11,0,True,active,0,False,8,128,0,True,True,2020-08-11 03:04:29+00:00,128,2020-08-11 03:34:25,2020
116,12,0,True,active,0,False,7,129,0,True,True,2020-08-11 02:38:45+00:00,129,2020-08-11 03:34:25,2020
117,12,0,True,active,0,False,3,130,0,True,True,2020-08-11 02:12:28+00:00,130,2020-08-11 03:34:25,2020
118,18,0,True,active,0,False,0,131,0,True,True,2020-08-11 02:24:42+00:00,131,2020-08-11 03:34:25,2020
119,18,0,True,active,0,False,4,133,1,True,True,2020-08-11 02:10:17+00:00,133,2020-08-11 03:34:25,2020
120,4,0,True,active,0,False,12,135,1,True,True,2020-08-11 00:11:39+00:00,135,2020-08-11 03:34:25,2020
121,6,0,True,active,0,False,12,136,1,True,True,2020-08-11 00:39:52+00:00,136,2020-08-11 03:34:25,2020
122,12,0,True,active,0,False,3,137,0,True,True,2020-08-11 02:03:19+00:00,137,2020-08-11 03:34:25,2020
123,12,0,True,active,0,False,1,138,2,True,True,2020-08-11 00:52:25+00:00,138,2020-08-11 03:34:25,2020
124,6,0,True,active,0,False,12,139,1,True,True,2020-08-11 03:06:21+00:00,139,2020-08-11 03:34:25,2020
125,12,0,True,active,0,False,4,140,1,True,True,2020-08-11 00:22:55+00:00,140,2020-08-11 03:34:25,2020
126,7,0,True,active,0,False,8,141,0,True,True,2020-08-11 02:21:36+00:00,141,2020-08-11 03:34:25,2020
127,17,0,True,active,0,False,6,142,0,True,True,2020-08-11 00:54:24+00:00,142,2020-08-11 03:34:25,2020
128,18,0,True,active,0,False,5,143,0,True,True,2020-08-11 03:08:33+00:00,143,2020-08-11 03:34:25,2020
129,14,0,True,active,0,False,5,144,0,True,True,2020-08-11 00:35:41+00:00,144,2020-08-11 03:34:25,2020
130,17,0,True,active,0,False,2,145,0,True,True,2020-08-11 01:47:51+00:00,145,2020-08-11 03:34:25,2020
131,3,0,True,active,0,False,14,146,2,True,True,2020-08-11 00:54:41+00:00,146,2020-08-11 03:34:25,2020
132,15,0,True,active,0,True,3,149,0,True,True,2020-08-11 02:19:11+00:00,149,2020-08-11 03:34:25,2020
133,10,0,True,active,0,False,8,150,1,True,True,2020-08-11 03:08:21+00:00,150,2020-08-11 03:34:25,2020
134,3,0,True,active,0,False,16,151,0,True,True,2020-08-11 00:26:50+00:00,151,2020-08-11 03:34:25,2020
135,14,0,True,active,0,True,1,152,0,True,True,2020-08-11 00:37:13+00:00,152,2020-08-11 03:34:25,2020
136,3,0,True,active,0,False,12,156,0,True,True,2020-08-11 03:18:15+00:00,156,2020-08-11 03:34:25,2020
137,9,0,True,active,0,False,5,157,1,True,True,2020-08-11 03:21:18+00:00,157,2020-08-11 03:34:25,2020
138,6,0,True,active,0,False,8,159,1,True,True,2020-08-11 01:46:14+00:00,159,2020-08-11 03:34:25,2020
139,2,0,True,active,0,True,12,160,0,True,True,2020-08-11 03:32:30+00:00,160,2020-08-11 03:34:25,2020
140,13,0,True,active,0,True,8,161,2,True,True,2020-08-11 02:28:31+00:00,161,2020-08-11 03:34:25,2020
141,6,0,True,active,0,False,9,162,0,True,True,2020-08-11 00:33:12+00:00,162,2020-08-11 03:34:25,2020
142,10,0,True,active,0,True,9,163,0,True,True,2020-08-11 02:14:44+00:00,163,2020-08-11 03:34:25,2020
143,6,0,True,active,0,False,9,167,0,True,True,2020-08-11 02:54:06+00:00,167,2020-08-11 03:34:25,2020
144,15,0,True,active,0,False,4,169,0,True,True,2020-08-11 00:20:45+00:00,169,2020-08-11 03:34:25,2020
145,3,0,True,active,0,True,11,170,0,True,True,2020-08-11 00:26:00+00:00,170,2020-08-11 03:34:25,2020
146,5,0,True,active,0,True,18,171,0,True,True,2020-08-11 01:27:24+00:00,171,2020-08-11 03:34:25,2020
147,10,0,True,active,0,True,4,173,0,True,True,2020-08-11 00:24:09+00:00,173,2020-08-11 03:34:25,2020
148,6,0,True,active,0,False,9,174,0,True,True,2020-08-11 02:37:46+00:00,174,2020-08-11 03:34:25,2020
149,1,0,True,active,0,True,16,175,0,True,True,2020-08-11 01:38:46+00:00,175,2020-08-11 03:34:25,2020
150,15,0,True,active,0,False,0,176,0,True,True,2020-08-11 02:11:23+00:00,176,2020-08-11 03:34:25,2020
151,0,0,True,active,0,False,19,177,0,True,True,2020-08-11 03:22:26+00:00,177,2020-08-11 03:34:25,2020
