,is_returning,is_installed,is_renting,eightd_has_available_keys,station_id,num_docks_disabled,num_ebikes_available,last_reported,station_status,num_docks_available,num_bikes_disabled,num_bikes_available,legacy_id,timestamp_of_data_read_request,year_station_last_reported
0,True,True,True,False,3,0,0,2020-08-11 06:01:27+00:00,active,15,0,0,3,2020-08-11 06:38:15,2020
1,True,True,True,False,4,0,0,2020-08-11 03:34:49+00:00,active,9,0,10,4,2020-08-11 06:38:15,2020
2,True,True,True,False,5,0,0,2020-08-11 05:45:10+00:00,active,7,0,8,5,2020-08-11 06:38:15,2020
3,True,True,True,False,6,0,0,2020-08-11 05:46:13+00:00,active,8,2,5,6,2020-08-11 06:38:15,2020
4,True,True,True,False,7,0,0,2020-08-11 04:31:47+00:00,active,4,0,11,7,2020-08-11 06:38:15,2020
5,True,True,True,False,8,0,0,2020-08-11 05:22:35+00:00,active,1,3,15,8,2020-08-11 06:38:15,2020
6,True,True,True,False,9,0,0,2020-08-11 02:56:54+00:00,active,2,0,13,9,2020-08-11 06:38:15,2020
7,True,True,True,False,10,0,0,2020-08-11 02:49:09+00:00,active,5,0,6,10,2020-08-11 06:38:15,2020
8,True,True,True,False,11,0,0,2020-08-11 06:09:35+00:00,active,15,0,0,11,2020-08-11 06:38:15,2020
9,True,True,True,True,12,0,0,2020-08-11 03:49:45+00:00,active,4,1,13,12,2020-08-11 06:38:15,2020
10,True,True,True,False,13,0,0,2020-08-11 03:28:59+00:00,active,19,0,0,13,2020-08-11 06:38:15,2020
11,True,True,True,False,14,0,0,2020-08-11 03:42:22+00:00,active,25,0,0,14,2020-08-11 06:38:15,2020
12,True,True,True,False,15,0,0,2020-08-10 23:44:01+00:00,active,0,0,15,15,2020-08-11 06:38:15,2020
13,True,True,True,True,16,0,0,2020-08-11 02:09:05+00:00,active,13,0,6,16,2020-08-11 06:38:15,2020
14,True,True,True,False,17,0,0,2020-08-11 04:28:02+00:00,active,9,1,5,17,2020-08-11 06:38:15,2020
15,True,True,True,False,19,0,0,2020-08-11 04:54:14+00:00,active,8,0,7,19,2020-08-11 06:38:15,2020
16,True,True,True,True,20,0,0,2020-08-11 05:10:58+00:00,active,14,0,9,20,2020-08-11 06:38:15,2020
17,True,True,True,True,21,0,0,2020-08-11 04:15:52+00:00,active,12,0,6,21,2020-08-11 06:38:15,2020
18,True,True,True,True,22,0,0,2020-08-11 05:33:23+00:00,active,39,2,6,22,2020-08-11 06:38:15,2020
19,True,True,True,False,23,0,0,2020-08-11 05:11:21+00:00,active,20,1,0,23,2020-08-11 06:38:15,2020
20,True,True,True,False,24,0,0,2020-08-11 02:35:45+00:00,active,18,1,0,24,2020-08-11 06:38:15,2020
21,True,True,True,False,25,0,0,2020-08-11 03:30:40+00:00,active,3,2,10,25,2020-08-11 06:38:15,2020
22,True,True,True,False,26,0,0,2020-08-11 02:13:05+00:00,active,6,1,8,26,2020-08-11 06:38:15,2020
23,True,True,True,False,27,0,0,2020-08-11 05:43:07+00:00,active,1,1,21,27,2020-08-11 06:38:15,2020
24,True,True,True,False,29,0,0,2020-08-11 01:42:05+00:00,active,8,1,6,29,2020-08-11 06:38:15,2020
25,True,True,True,False,30,0,0,2020-08-11 06:18:00+00:00,active,14,0,1,30,2020-08-11 06:38:15,2020
26,True,True,True,True,31,0,0,2020-08-11 00:23:37+00:00,active,16,1,2,31,2020-08-11 06:38:15,2020
27,True,True,True,False,32,0,0,2020-08-11 06:30:53+00:00,active,6,0,9,32,2020-08-11 06:38:15,2020
28,True,True,True,False,33,0,0,2020-08-11 05:38:01+00:00,active,19,0,8,33,2020-08-11 06:38:15,2020
29,True,True,True,False,35,0,0,2020-08-11 01:59:50+00:00,active,20,0,3,35,2020-08-11 06:38:15,2020
30,True,True,True,True,36,0,0,2020-08-11 06:19:30+00:00,active,27,0,6,36,2020-08-11 06:38:15,2020
31,True,True,True,True,37,0,0,2020-08-10 23:35:32+00:00,active,7,0,8,37,2020-08-11 06:38:15,2020
32,True,True,True,False,39,0,0,2020-08-11 06:24:43+00:00,active,17,0,6,39,2020-08-11 06:38:15,2020
33,True,True,True,False,40,0,0,2020-08-11 04:08:33+00:00,active,4,0,15,40,2020-08-11 06:38:15,2020
34,True,True,True,True,41,0,0,2020-08-11 05:00:54+00:00,active,6,2,19,41,2020-08-11 06:38:15,2020
35,True,True,True,False,42,0,0,2020-08-11 05:04:47+00:00,active,14,0,9,42,2020-08-11 06:38:15,2020
36,True,True,True,True,43,0,0,2020-08-11 01:53:25+00:00,active,10,0,5,43,2020-08-11 06:38:15,2020
37,True,True,True,False,44,0,0,2020-08-11 00:54:12+00:00,active,15,1,7,44,2020-08-11 06:38:15,2020
38,True,True,True,False,46,0,0,2020-08-11 05:45:44+00:00,active,7,0,12,46,2020-08-11 06:38:15,2020
39,True,True,True,True,47,0,0,2020-08-11 05:37:36+00:00,active,8,1,10,47,2020-08-11 06:38:15,2020
40,True,True,True,False,48,0,0,2020-08-11 01:05:37+00:00,active,17,0,2,48,2020-08-11 06:38:15,2020
41,True,True,True,False,49,0,0,2020-08-11 04:30:23+00:00,active,7,0,11,49,2020-08-11 06:38:15,2020
42,True,True,True,True,50,0,0,2020-08-11 01:19:33+00:00,active,9,0,6,50,2020-08-11 06:38:15,2020
43,True,True,True,False,51,0,0,2020-08-11 04:53:30+00:00,active,10,1,4,51,2020-08-11 06:38:15,2020
44,True,True,True,True,52,0,0,2020-08-11 03:17:44+00:00,active,7,0,16,52,2020-08-11 06:38:15,2020
45,True,True,True,False,53,0,0,2020-08-11 06:15:22+00:00,active,12,0,7,53,2020-08-11 06:38:15,2020
46,True,True,True,False,54,0,0,2020-08-11 04:32:00+00:00,active,13,0,2,54,2020-08-11 06:38:15,2020
47,True,True,True,False,55,0,0,2020-08-11 05:09:15+00:00,active,5,1,9,55,2020-08-11 06:38:15,2020
48,True,True,True,True,56,0,0,2020-08-11 03:22:50+00:00,active,10,1,7,56,2020-08-11 06:38:15,2020
49,True,True,True,True,57,0,0,2020-08-11 04:37:33+00:00,active,4,0,10,57,2020-08-11 06:38:15,2020
50,True,True,True,True,58,0,0,2020-08-11 06:14:38+00:00,active,8,1,10,58,2020-08-11 06:38:15,2020
51,True,True,True,True,59,0,0,2020-08-11 03:00:56+00:00,active,13,0,6,59,2020-08-11 06:38:15,2020
52,True,True,True,False,60,0,0,2020-08-11 03:36:10+00:00,active,16,0,3,60,2020-08-11 06:38:15,2020
53,True,True,True,False,61,0,0,2020-08-11 06:13:21+00:00,active,16,1,2,61,2020-08-11 06:38:15,2020
54,True,True,True,False,63,0,0,2020-08-10 22:55:41+00:00,active,9,2,4,63,2020-08-11 06:38:15,2020
55,True,True,True,False,64,0,0,2020-08-11 02:17:45+00:00,active,16,0,3,64,2020-08-11 06:38:15,2020
56,True,True,True,False,65,0,0,2020-08-10 23:13:48+00:00,active,19,0,4,65,2020-08-11 06:38:15,2020
57,True,True,True,False,66,0,0,2020-08-11 02:52:54+00:00,active,0,0,15,66,2020-08-11 06:38:15,2020
58,True,True,True,True,67,0,0,2020-08-11 06:02:02+00:00,active,24,0,3,67,2020-08-11 06:38:15,2020
59,True,True,True,True,68,0,0,2020-08-11 03:19:42+00:00,active,9,0,10,68,2020-08-11 06:38:15,2020
60,True,True,True,True,69,0,0,2020-08-11 04:45:21+00:00,active,10,1,8,69,2020-08-11 06:38:15,2020
61,True,True,True,False,70,0,0,2020-08-11 05:39:50+00:00,active,3,0,20,70,2020-08-11 06:38:15,2020
62,True,True,True,False,71,0,0,2020-08-11 03:20:40+00:00,active,2,0,21,71,2020-08-11 06:38:15,2020
63,True,True,True,False,72,0,0,2020-08-11 00:52:03+00:00,active,23,0,0,72,2020-08-11 06:38:15,2020
64,True,True,True,False,73,0,0,2020-08-11 02:20:43+00:00,active,15,0,0,73,2020-08-11 06:38:15,2020
65,True,True,True,True,74,0,0,2020-08-11 03:26:31+00:00,active,17,0,2,74,2020-08-11 06:38:15,2020
66,True,True,True,False,75,0,0,2020-08-11 05:15:10+00:00,active,13,0,2,75,2020-08-11 06:38:15,2020
67,True,True,True,False,76,0,0,2020-08-11 06:15:42+00:00,active,10,0,7,76,2020-08-11 06:38:15,2020
68,True,True,True,False,77,0,0,2020-08-11 01:56:46+00:00,active,9,1,5,77,2020-08-11 06:38:15,2020
69,True,True,True,False,78,0,0,2020-08-11 02:41:44+00:00,active,17,0,2,78,2020-08-11 06:38:15,2020
70,True,True,True,False,79,0,0,2020-08-11 03:21:34+00:00,active,2,3,14,79,2020-08-11 06:38:15,2020
71,True,True,True,False,80,0,0,2020-08-11 05:55:09+00:00,active,33,0,2,80,2020-08-11 06:38:15,2020
72,True,True,True,False,81,0,0,2020-08-11 05:44:36+00:00,active,14,0,5,81,2020-08-11 06:38:15,2020
73,True,True,True,False,82,0,0,2020-08-11 01:05:23+00:00,active,14,0,1,82,2020-08-11 06:38:15,2020
74,True,True,True,False,84,0,0,2020-08-11 04:07:45+00:00,active,10,1,4,84,2020-08-11 06:38:15,2020
75,True,True,True,False,85,0,0,2020-08-11 02:45:23+00:00,active,19,0,0,85,2020-08-11 06:38:15,2020
76,True,True,True,False,86,0,0,2020-08-11 05:59:35+00:00,active,13,0,6,86,2020-08-11 06:38:15,2020
77,True,True,True,False,87,0,0,2020-08-11 04:02:43+00:00,active,3,0,12,87,2020-08-11 06:38:15,2020
78,True,True,True,False,89,0,0,2020-08-11 04:05:19+00:00,active,12,1,6,89,2020-08-11 06:38:15,2020
79,True,True,True,False,90,0,0,2020-08-11 03:43:15+00:00,active,1,1,17,90,2020-08-11 06:38:15,2020
80,True,True,True,False,91,0,0,2020-08-11 05:38:20+00:00,active,16,0,3,91,2020-08-11 06:38:15,2020
81,True,True,True,False,92,0,0,2020-08-11 00:43:16+00:00,active,10,0,9,92,2020-08-11 06:38:15,2020
82,True,True,True,False,93,0,0,2020-08-11 02:00:31+00:00,active,2,1,12,93,2020-08-11 06:38:15,2020
83,True,True,True,False,94,0,0,2020-08-11 03:12:29+00:00,active,8,0,3,94,2020-08-11 06:38:15,2020
84,True,True,True,False,95,0,0,2020-08-11 05:29:23+00:00,active,7,0,8,95,2020-08-11 06:38:15,2020
85,True,True,True,False,96,0,0,2020-08-11 05:01:45+00:00,active,1,0,18,96,2020-08-11 06:38:15,2020
86,True,True,True,False,97,0,0,2020-08-11 04:01:16+00:00,active,3,0,16,97,2020-08-11 06:38:15,2020
87,True,True,True,False,98,0,0,2020-08-11 04:32:37+00:00,active,15,0,8,98,2020-08-11 06:38:15,2020
88,True,True,True,False,99,0,0,2020-08-11 04:36:08+00:00,active,6,0,9,99,2020-08-11 06:38:15,2020
89,True,True,True,True,100,0,0,2020-08-11 03:02:11+00:00,active,10,1,14,100,2020-08-11 06:38:15,2020
90,True,True,True,False,101,0,0,2020-08-11 00:41:43+00:00,active,0,1,14,101,2020-08-11 06:38:15,2020
91,True,True,True,False,102,0,0,2020-08-11 03:33:19+00:00,active,12,0,3,102,2020-08-11 06:38:15,2020
92,True,True,True,False,103,0,0,2020-08-11 04:39:22+00:00,active,3,0,12,103,2020-08-11 06:38:15,2020
93,True,True,True,False,104,0,0,2020-08-11 04:03:54+00:00,active,11,0,8,104,2020-08-11 06:38:15,2020
94,True,True,True,False,105,0,0,2020-08-11 05:57:14+00:00,active,7,1,11,105,2020-08-11 06:38:15,2020
95,True,True,True,False,106,0,0,2020-08-10 23:29:51+00:00,active,8,1,6,106,2020-08-11 06:38:15,2020
96,True,True,True,False,107,0,0,2020-08-11 05:44:53+00:00,active,13,0,6,107,2020-08-11 06:38:15,2020
97,True,True,True,False,108,0,0,2020-08-11 04:36:06+00:00,active,14,0,3,108,2020-08-11 06:38:15,2020
98,True,True,True,False,109,0,0,2020-08-11 01:24:03+00:00,active,26,1,8,109,2020-08-11 06:38:15,2020
99,True,True,True,False,110,0,0,2020-08-11 04:42:59+00:00,active,11,0,4,110,2020-08-11 06:38:15,2020
100,True,True,True,False,111,0,0,2020-08-11 05:14:15+00:00,active,8,0,7,111,2020-08-11 06:38:15,2020
