,eightd_has_available_keys,legacy_id,is_returning,last_reported,num_bikes_disabled,num_docks_available,station_id,num_docks_disabled,is_installed,num_bikes_available,is_renting,num_ebikes_available,station_status,timestamp_of_data_read_request,year_station_last_reported
0,False,3,True,2020-08-11 06:01:27+00:00,0,15,3,0,True,0,True,0,active,2020-08-11 06:58:45,2020
1,False,4,True,2020-08-11 03:34:49+00:00,0,9,4,0,True,10,True,0,active,2020-08-11 06:58:45,2020
2,False,5,True,2020-08-11 05:45:10+00:00,0,7,5,0,True,8,True,0,active,2020-08-11 06:58:45,2020
3,False,6,True,2020-08-11 05:46:13+00:00,2,8,6,0,True,5,True,0,active,2020-08-11 06:58:45,2020
4,False,7,True,2020-08-11 04:31:47+00:00,0,4,7,0,True,11,True,0,active,2020-08-11 06:58:45,2020
5,False,8,True,2020-08-11 06:41:05+00:00,3,2,8,0,True,14,True,0,active,2020-08-11 06:58:45,2020
6,False,9,True,2020-08-11 02:56:54+00:00,0,2,9,0,True,13,True,0,active,2020-08-11 06:58:45,2020
7,False,10,True,2020-08-11 02:49:09+00:00,0,5,10,0,True,6,True,0,active,2020-08-11 06:58:45,2020
8,False,11,True,2020-08-11 06:09:35+00:00,0,15,11,0,True,0,True,0,active,2020-08-11 06:58:45,2020
9,True,12,True,2020-08-11 03:49:45+00:00,1,4,12,0,True,13,True,0,active,2020-08-11 06:58:45,2020
10,False,13,True,2020-08-11 03:28:59+00:00,0,19,13,0,True,0,True,0,active,2020-08-11 06:58:45,2020
11,False,14,True,2020-08-11 03:42:22+00:00,0,25,14,0,True,0,True,0,active,2020-08-11 06:58:45,2020
12,False,15,True,2020-08-10 23:44:01+00:00,0,0,15,0,True,15,True,0,active,2020-08-11 06:58:45,2020
13,True,16,True,2020-08-11 02:09:05+00:00,0,13,16,0,True,6,True,0,active,2020-08-11 06:58:45,2020
14,False,17,True,2020-08-11 04:28:02+00:00,1,9,17,0,True,5,True,0,active,2020-08-11 06:58:45,2020
15,False,19,True,2020-08-11 04:54:14+00:00,0,8,19,0,True,7,True,0,active,2020-08-11 06:58:45,2020
16,True,20,True,2020-08-11 05:10:58+00:00,0,14,20,0,True,9,True,0,active,2020-08-11 06:58:45,2020
17,True,21,True,2020-08-11 04:15:52+00:00,0,12,21,0,True,6,True,0,active,2020-08-11 06:58:45,2020
18,True,22,True,2020-08-11 05:33:23+00:00,2,39,22,0,True,6,True,0,active,2020-08-11 06:58:45,2020
19,False,23,True,2020-08-11 05:11:21+00:00,1,20,23,0,True,0,True,0,active,2020-08-11 06:58:45,2020
20,False,24,True,2020-08-11 02:35:45+00:00,1,18,24,0,True,0,True,0,active,2020-08-11 06:58:45,2020
21,False,25,True,2020-08-11 03:30:40+00:00,2,3,25,0,True,10,True,0,active,2020-08-11 06:58:45,2020
22,False,26,True,2020-08-11 02:13:05+00:00,1,6,26,0,True,8,True,0,active,2020-08-11 06:58:45,2020
23,False,27,True,2020-08-11 05:43:07+00:00,1,1,27,0,True,21,True,0,active,2020-08-11 06:58:45,2020
