,is_returning,is_installed,is_renting,eightd_has_available_keys,station_id,num_docks_disabled,num_ebikes_available,last_reported,station_status,num_docks_available,num_bikes_disabled,num_bikes_available,legacy_id,eightd_active_station_services,valet,timestamp_of_data_read_request,year_station_last_reported
0,True,True,True,False,3,0,0,2020-08-11 10:48:42+00:00,active,14,0,1,3,,,2020-08-11 11:24:05,2020
1,True,True,True,False,4,0,0,2020-08-11 11:23:40+00:00,active,11,0,8,4,,,2020-08-11 11:24:05,2020
2,True,True,True,False,5,0,0,2020-08-11 11:22:26+00:00,active,7,0,8,5,,,2020-08-11 11:24:05,2020
3,True,True,True,False,6,0,0,2020-08-11 11:23:55+00:00,active,8,3,4,6,,,2020-08-11 11:24:05,2020
4,True,True,True,False,7,0,0,2020-08-11 11:15:20+00:00,active,8,0,7,7,,,2020-08-11 11:24:05,2020
5,True,True,True,False,8,0,0,2020-08-11 11:00:03+00:00,active,6,1,12,8,,,2020-08-11 11:24:05,2020
6,True,True,True,False,9,0,0,2020-08-11 10:16:16+00:00,active,3,0,12,9,,,2020-08-11 11:24:05,2020
7,True,True,True,False,10,0,0,2020-08-11 10:06:06+00:00,active,4,0,7,10,,,2020-08-11 11:24:05,2020
8,True,True,True,False,11,0,0,2020-08-11 11:23:18+00:00,active,7,0,8,11,[{'id': 'f8346ad7-0de8-11e7-991c-3863bb43a7d0'}],"{'region': 'BOS', 'station_id': 'f8346ad7-0de8-11e7-991c-3863bb43a7d0', 'off_dock_count': 20, 'active': True, 'valet_revision': 83, 'dock_blocked_count': 0, 'off_dock_capacity': 50}",2020-08-11 11:24:05,2020
9,True,True,True,True,12,0,0,2020-08-11 11:21:55+00:00,active,5,1,12,12,,,2020-08-11 11:24:05,2020
10,True,True,True,False,13,0,0,2020-08-11 11:16:16+00:00,active,0,1,18,13,,,2020-08-11 11:24:05,2020
11,True,True,True,False,14,0,0,2020-08-11 11:19:52+00:00,active,22,0,3,14,,,2020-08-11 11:24:05,2020
12,True,True,True,False,15,0,0,2020-08-11 08:21:30+00:00,active,0,0,15,15,,,2020-08-11 11:24:05,2020
13,True,True,True,True,16,0,0,2020-08-11 11:20:33+00:00,active,9,0,10,16,,,2020-08-11 11:24:05,2020
14,True,True,True,False,17,0,0,2020-08-11 11:00:58+00:00,active,10,1,4,17,,,2020-08-11 11:24:05,2020
15,True,True,True,False,19,0,0,2020-08-11 10:50:32+00:00,active,9,0,6,19,,,2020-08-11 11:24:05,2020
16,True,True,True,True,20,0,0,2020-08-11 11:04:58+00:00,active,16,0,7,20,,,2020-08-11 11:24:05,2020
17,True,True,True,True,21,0,0,2020-08-11 10:50:41+00:00,active,14,0,4,21,,,2020-08-11 11:24:05,2020
18,True,True,True,True,22,0,0,2020-08-11 11:24:01+00:00,active,44,2,1,22,,,2020-08-11 11:24:05,2020
