,num_docks_available,station_status,num_docks_disabled,eightd_has_available_keys,num_bikes_available,num_ebikes_available,is_renting,is_installed,last_reported,station_id,is_returning,legacy_id,num_bikes_disabled,timestamp_of_data_read_request,year_station_last_reported
0,14,active,0,False,0,0,True,True,2020-08-12 00:47:12+00:00,3,True,3,1,2020-08-12 00:47:25,2020
1,5,active,0,False,14,0,True,True,2020-08-12 00:40:27+00:00,4,True,4,0,2020-08-12 00:47:25,2020
2,1,active,0,False,14,0,True,True,2020-08-12 00:45:11+00:00,5,True,5,0,2020-08-12 00:47:25,2020
3,9,active,0,False,4,0,True,True,2020-08-12 00:41:43+00:00,6,True,6,2,2020-08-12 00:47:25,2020
4,12,active,0,False,3,0,True,True,2020-08-12 00:43:24+00:00,7,True,7,0,2020-08-12 00:47:25,2020
5,8,active,0,False,10,0,True,True,2020-08-12 00:43:02+00:00,8,True,8,1,2020-08-12 00:47:25,2020
6,5,active,0,False,10,0,True,True,2020-08-12 00:30:17+00:00,9,True,9,0,2020-08-12 00:47:25,2020
7,10,active,0,False,1,0,True,True,2020-08-12 00:44:12+00:00,10,True,10,0,2020-08-12 00:47:25,2020
8,8,active,0,False,7,0,True,True,2020-08-12 00:44:39+00:00,11,True,11,0,2020-08-12 00:47:25,2020
9,5,active,0,True,13,0,True,True,2020-08-12 00:44:23+00:00,12,True,12,0,2020-08-12 00:47:25,2020
10,19,active,0,False,0,0,True,True,2020-08-11 23:21:28+00:00,13,True,13,0,2020-08-12 00:47:25,2020
11,25,active,0,False,0,0,True,True,2020-08-11 23:22:54+00:00,14,True,14,0,2020-08-12 00:47:25,2020
12,4,active,0,False,11,0,True,True,2020-08-12 00:14:49+00:00,15,True,15,0,2020-08-12 00:47:25,2020
13,8,active,0,True,11,0,True,True,2020-08-12 00:35:10+00:00,16,True,16,0,2020-08-12 00:47:25,2020
14,6,active,0,False,7,0,True,True,2020-08-12 00:32:41+00:00,17,True,17,2,2020-08-12 00:47:25,2020
15,10,active,0,False,5,0,True,True,2020-08-12 00:39:41+00:00,19,True,19,0,2020-08-12 00:47:25,2020
16,7,active,0,True,16,0,True,True,2020-08-12 00:36:14+00:00,20,True,20,0,2020-08-12 00:47:25,2020
17,16,active,0,True,2,0,True,True,2020-08-12 00:33:58+00:00,21,True,21,0,2020-08-12 00:47:25,2020
18,47,active,0,True,0,0,True,True,2020-08-12 00:14:27+00:00,22,True,22,0,2020-08-12 00:47:25,2020
19,18,active,0,False,3,0,True,True,2020-08-12 00:35:15+00:00,23,True,23,0,2020-08-12 00:47:25,2020
20,11,active,0,False,6,0,True,True,2020-08-12 00:36:55+00:00,24,True,24,2,2020-08-12 00:47:25,2020
21,9,active,0,False,6,0,True,True,2020-08-12 00:46:31+00:00,25,True,25,0,2020-08-12 00:47:25,2020
22,6,active,0,False,9,0,True,True,2020-08-12 00:29:50+00:00,26,True,26,0,2020-08-12 00:47:25,2020
23,6,active,0,False,16,0,True,True,2020-08-12 00:36:18+00:00,27,True,27,1,2020-08-12 00:47:25,2020
24,6,active,0,False,9,0,True,True,2020-08-12 00:32:23+00:00,29,True,29,0,2020-08-12 00:47:25,2020
25,15,active,0,False,0,0,True,True,2020-08-12 00:22:02+00:00,30,True,30,0,2020-08-12 00:47:25,2020
26,17,active,0,True,2,0,True,True,2020-08-12 00:24:33+00:00,31,True,31,0,2020-08-12 00:47:25,2020
27,12,active,0,False,3,0,True,True,2020-08-12 00:46:58+00:00,32,True,32,0,2020-08-12 00:47:25,2020
28,26,active,0,False,1,0,True,True,2020-08-12 00:40:55+00:00,33,True,33,0,2020-08-12 00:47:25,2020
29,11,active,0,False,12,0,True,True,2020-08-12 00:35:23+00:00,35,True,35,0,2020-08-12 00:47:25,2020
30,26,active,0,True,7,0,True,True,2020-08-12 00:34:47+00:00,36,True,36,0,2020-08-12 00:47:25,2020
31,12,active,0,True,3,0,True,True,2020-08-11 22:30:00+00:00,37,True,37,0,2020-08-12 00:47:25,2020
32,7,active,0,False,16,0,True,True,2020-08-12 00:41:51+00:00,39,True,39,0,2020-08-12 00:47:25,2020
33,12,active,0,False,7,0,True,True,2020-08-12 00:39:43+00:00,40,True,40,0,2020-08-12 00:47:25,2020
34,8,active,0,True,19,0,True,True,2020-08-12 00:41:08+00:00,41,True,41,0,2020-08-12 00:47:25,2020
35,5,active,0,False,17,0,True,True,2020-08-12 00:47:04+00:00,42,True,42,1,2020-08-12 00:47:25,2020
36,5,active,0,True,10,0,True,True,2020-08-12 00:40:39+00:00,43,True,43,0,2020-08-12 00:47:25,2020
37,17,active,0,False,6,0,True,True,2020-08-11 23:12:39+00:00,44,True,44,0,2020-08-12 00:47:25,2020
38,17,active,0,False,2,0,True,True,2020-08-12 00:42:16+00:00,46,True,46,0,2020-08-12 00:47:25,2020
39,0,active,0,True,19,0,True,True,2020-08-12 00:39:37+00:00,47,True,47,0,2020-08-12 00:47:25,2020
40,19,active,0,False,0,0,True,True,2020-08-11 22:41:02+00:00,48,True,48,0,2020-08-12 00:47:25,2020
41,7,active,0,False,11,0,True,True,2020-08-12 00:45:02+00:00,49,True,49,0,2020-08-12 00:47:25,2020
42,9,active,0,True,6,0,True,True,2020-08-11 23:57:17+00:00,50,True,50,0,2020-08-12 00:47:25,2020
43,9,active,0,False,6,0,True,True,2020-08-11 23:59:03+00:00,51,True,51,0,2020-08-12 00:47:25,2020
44,16,active,0,True,7,0,True,True,2020-08-12 00:47:09+00:00,52,True,52,0,2020-08-12 00:47:25,2020
45,4,active,0,False,15,0,True,True,2020-08-12 00:42:34+00:00,53,True,53,0,2020-08-12 00:47:25,2020
46,12,active,0,False,2,0,True,True,2020-08-12 00:40:41+00:00,54,True,54,1,2020-08-12 00:47:25,2020
47,7,active,0,False,8,0,True,True,2020-08-12 00:41:38+00:00,55,True,55,0,2020-08-12 00:47:25,2020
48,9,active,0,True,9,0,True,True,2020-08-11 23:48:10+00:00,56,True,56,0,2020-08-12 00:47:25,2020
49,1,active,0,True,13,0,True,True,2020-08-12 00:44:18+00:00,57,True,57,0,2020-08-12 00:47:25,2020
50,7,active,0,True,10,0,True,True,2020-08-12 00:41:50+00:00,58,True,58,2,2020-08-12 00:47:25,2020
51,10,active,0,True,9,0,True,True,2020-08-12 00:35:44+00:00,59,True,59,0,2020-08-12 00:47:25,2020
52,10,active,0,False,9,0,True,True,2020-08-12 00:44:36+00:00,60,True,60,0,2020-08-12 00:47:25,2020
53,15,active,0,False,4,0,True,True,2020-08-12 00:42:01+00:00,61,True,61,0,2020-08-12 00:47:25,2020
54,11,active,0,False,4,0,True,True,2020-08-11 23:56:13+00:00,63,True,63,0,2020-08-12 00:47:25,2020
55,10,active,0,False,8,0,True,True,2020-08-12 00:39:43+00:00,64,True,64,1,2020-08-12 00:47:25,2020
56,19,active,0,False,3,0,True,True,2020-08-11 23:49:54+00:00,65,True,65,1,2020-08-12 00:47:25,2020
57,5,active,0,False,10,0,True,True,2020-08-12 00:45:01+00:00,66,True,66,0,2020-08-12 00:47:25,2020
58,24,active,0,True,2,0,True,True,2020-08-12 00:38:44+00:00,67,True,67,1,2020-08-12 00:47:25,2020
59,8,active,0,True,9,0,True,True,2020-08-12 00:46:30+00:00,68,True,68,2,2020-08-12 00:47:25,2020
60,4,active,0,True,14,0,True,True,2020-08-12 00:46:09+00:00,69,True,69,1,2020-08-12 00:47:25,2020
61,9,active,0,False,14,0,True,True,2020-08-12 00:34:49+00:00,70,True,70,0,2020-08-12 00:47:25,2020
62,2,active,0,False,21,0,True,True,2020-08-12 00:21:05+00:00,71,True,71,0,2020-08-12 00:47:25,2020
63,18,active,0,False,5,0,True,True,2020-08-12 00:10:49+00:00,72,True,72,0,2020-08-12 00:47:25,2020
64,8,active,0,False,7,0,True,True,2020-08-12 00:33:49+00:00,73,True,73,0,2020-08-12 00:47:25,2020
