,legacy_id,station_status,station_id,num_docks_available,num_bikes_available,is_renting,eightd_has_available_keys,last_reported,is_installed,num_docks_disabled,num_ebikes_available,num_bikes_disabled,is_returning,timestamp_of_data_read_request,year_station_last_reported
0,3,active,3,11,3,True,False,2020-08-12 01:13:32+00:00,True,0,0,1,True,2020-08-12 01:18:05,2020
1,4,active,4,6,12,True,False,2020-08-12 01:17:44+00:00,True,0,0,1,True,2020-08-12 01:18:05,2020
2,5,active,5,3,12,True,False,2020-08-12 01:03:17+00:00,True,0,0,0,True,2020-08-12 01:18:05,2020
3,6,active,6,10,3,True,False,2020-08-12 01:17:02+00:00,True,0,0,2,True,2020-08-12 01:18:05,2020
4,7,active,7,10,5,True,False,2020-08-12 00:59:58+00:00,True,0,0,0,True,2020-08-12 01:18:05,2020
5,8,active,8,7,11,True,False,2020-08-12 00:57:21+00:00,True,0,0,1,True,2020-08-12 01:18:05,2020
6,9,active,9,4,11,True,False,2020-08-12 01:14:24+00:00,True,0,0,0,True,2020-08-12 01:18:05,2020
7,10,active,10,11,0,True,False,2020-08-12 00:54:52+00:00,True,0,0,0,True,2020-08-12 01:18:05,2020
8,11,active,11,8,7,True,False,2020-08-12 01:14:42+00:00,True,0,0,0,True,2020-08-12 01:18:05,2020
9,12,active,12,5,13,True,True,2020-08-12 01:14:31+00:00,True,0,0,0,True,2020-08-12 01:18:05,2020
10,13,active,13,19,0,True,False,2020-08-11 23:21:28+00:00,True,0,0,0,True,2020-08-12 01:18:05,2020
11,14,active,14,25,0,True,False,2020-08-11 23:22:54+00:00,True,0,0,0,True,2020-08-12 01:18:05,2020
12,15,active,15,4,11,True,False,2020-08-12 00:14:49+00:00,True,0,0,0,True,2020-08-12 01:18:05,2020
13,16,active,16,9,10,True,True,2020-08-12 01:14:37+00:00,True,0,0,0,True,2020-08-12 01:18:05,2020
14,17,active,17,6,7,True,False,2020-08-12 01:01:59+00:00,True,0,0,2,True,2020-08-12 01:18:05,2020
15,19,active,19,9,6,True,False,2020-08-12 00:57:59+00:00,True,0,0,0,True,2020-08-12 01:18:05,2020
16,20,active,20,12,11,True,True,2020-08-12 01:12:00+00:00,True,0,0,0,True,2020-08-12 01:18:05,2020
17,21,active,21,4,14,True,True,2020-08-12 01:15:04+00:00,True,0,0,0,True,2020-08-12 01:18:05,2020
18,22,active,22,47,0,True,True,2020-08-12 00:14:27+00:00,True,0,0,0,True,2020-08-12 01:18:05,2020
19,23,active,23,18,3,True,False,2020-08-12 00:35:15+00:00,True,0,0,0,True,2020-08-12 01:18:05,2020
20,24,active,24,11,6,True,False,2020-08-12 00:36:55+00:00,True,0,0,2,True,2020-08-12 01:18:05,2020
21,25,active,25,8,7,True,False,2020-08-12 01:04:13+00:00,True,0,0,0,True,2020-08-12 01:18:05,2020
22,26,active,26,6,9,True,False,2020-08-12 00:29:50+00:00,True,0,0,0,True,2020-08-12 01:18:05,2020
23,27,active,27,7,14,True,False,2020-08-12 01:16:29+00:00,True,0,0,2,True,2020-08-12 01:18:05,2020
24,29,active,29,6,9,True,False,2020-08-12 00:32:23+00:00,True,0,0,0,True,2020-08-12 01:18:05,2020
25,30,active,30,13,2,True,False,2020-08-12 01:04:49+00:00,True,0,0,0,True,2020-08-12 01:18:05,2020
26,31,active,31,16,3,True,True,2020-08-12 01:12:11+00:00,True,0,0,0,True,2020-08-12 01:18:05,2020
27,32,active,32,10,4,True,False,2020-08-12 01:15:21+00:00,True,0,0,1,True,2020-08-12 01:18:05,2020
28,33,active,33,26,1,True,False,2020-08-12 01:06:41+00:00,True,0,0,0,True,2020-08-12 01:18:05,2020
29,35,active,35,11,12,True,False,2020-08-12 00:35:23+00:00,True,0,0,0,True,2020-08-12 01:18:05,2020
30,36,active,36,20,13,True,True,2020-08-12 01:17:14+00:00,True,0,0,0,True,2020-08-12 01:18:05,2020
31,37,active,37,12,3,True,True,2020-08-12 01:01:28+00:00,True,0,0,0,True,2020-08-12 01:18:05,2020
32,39,active,39,9,14,True,False,2020-08-12 01:09:31+00:00,True,0,0,0,True,2020-08-12 01:18:05,2020
33,40,active,40,12,7,True,False,2020-08-12 01:16:31+00:00,True,0,0,0,True,2020-08-12 01:18:05,2020
34,41,active,41,4,23,True,True,2020-08-12 01:16:07+00:00,True,0,0,0,True,2020-08-12 01:18:05,2020
35,42,active,42,14,9,True,False,2020-08-12 01:04:22+00:00,True,0,0,0,True,2020-08-12 01:18:05,2020
36,43,active,43,5,10,True,True,2020-08-12 00:40:39+00:00,True,0,0,0,True,2020-08-12 01:18:05,2020
37,44,active,44,17,6,True,False,2020-08-11 23:12:39+00:00,True,0,0,0,True,2020-08-12 01:18:05,2020
